Count;InterProID;pubmeds;Name;ShortDescription
21;IPR027417;"doi:10.1016/j.cell.2021.04.011
doi:10.1016/j.celrep.2020.108050
imex:IM-12079
imex:IM-12193
imex:IM-16529
imex:IM-20537
imex:IM-24272
imex:IM-26436
imex:IM-26684
imex:IM-27204
imex:IM-28217
imex:IM-29278
imex:IM-29540
imex:IM-30059
imex:IM-30119
pubmed:19490896
pubmed:19615732
pubmed:21565611
pubmed:24687852
pubmed:26496610
pubmed:29924966
pubmed:31046837
pubmed:32203420
pubmed:32814053
pubmed:33961781
pubmed:36012204
pubmed:37776851
pubmed:39251607";P-loop containing nucleoside triphosphate hydrolase;"<p>The P-loop NTPase fold is the most prevalent domain of the several distinct nucleotide-binding protein folds.</p>

<p>The most common reaction catalysed by enzymes of the P-loop NTPase fold is the hydrolysis of the beta-gamma phosphate bond of a bound nucleoside triphosphate (NTP). The energy from NTP hydrolysis is typically utilised to induce conformational changes in other molecules, which constitutes the basis of the biological functions of most P-loop NTPases. P-loop NTPases show substantial substrate preference for either ATP or GTP [[cite:PUB00064266]].</p>"
18;IPR017441;"doi:10.1016/j.celrep.2020.108050
doi:10.1016/j.molcel.2020.07.001
imex:IM-17166
imex:IM-20229
imex:IM-20537
imex:IM-22750
imex:IM-22822
imex:IM-26434
imex:IM-26684
imex:IM-28217
imex:IM-29257
imex:IM-29494
imex:IM-29553
pubmed:17353931
pubmed:19130088
pubmed:20029029
pubmed:24687852
pubmed:25260751
pubmed:26972000
pubmed:31046837
pubmed:31980649
pubmed:32707033
pubmed:32814053
pubmed:35384245
pubmed:36581701";Protein kinase, ATP binding site;"<p>Eukaryotic protein kinases [[cite:PUB00015293], [cite:PUB00001530], [cite:PUB00003568], [cite:PUB00003569], [cite:PUB00005115]] are enzymes that belong to a very extensive family of proteins which share a conserved catalytic core common with both serine/threonine and tyrosine protein kinases. There are a number of conserved regions in the catalytic domain of protein kinases.</p>
<p>This entry represents a conserved site, which is located in the N-terminal extremity of the catalytic domain, where there is a glycine-rich stretch of residues in the vicinity of a lysine residue. It is this lysine residue that has been shown to be involved in ATP binding.</p>; <p>Protein phosphorylation, which plays a key role in most cellular activities, is a reversible process mediated by protein kinases and phosphoprotein phosphatases. Protein kinases catalyse the transfer of the gamma phosphate from nucleotide triphosphates (often ATP) to one or more amino acid residues in a protein substrate side chain, resulting in a conformational change affecting protein function. Phosphoprotein phosphatases catalyse the reverse process. 
Protein kinases fall into three broad classes, characterised with respect to substrate specificity [[cite:PUB00005115]]:</p>

<ul>
<li>Serine/threonine-protein kinases</li>
<li>Tyrosine-protein kinases</li>
<li>Dual specificity protein kinases (e.g. MEK -phosphorylates both Thr and Tyr on target proteins)</li>
</ul>

<p>Protein kinase function is evolutionarily conserved from Escherichia coli to human [[cite:PUB00020114]]. Protein kinases play a role in a multitude of cellular processes, including division, proliferation, apoptosis, and differentiation [[cite:PUB00015362]]. Phosphorylation usually results in a functional change of the target protein by changing enzyme activity, cellular location, or association with other proteins. The catalytic subunits of protein kinases are highly conserved, and several structures have been solved [[cite:PUB00034898]], leading to large screens to develop kinase-specific inhibitors for the treatments of a number of diseases [[cite:PUB00034899]].</p>"
18;IPR000719;"doi:10.1016/j.celrep.2020.108050
doi:10.1016/j.molcel.2020.07.001
imex:IM-17166
imex:IM-20229
imex:IM-20537
imex:IM-22750
imex:IM-22822
imex:IM-26434
imex:IM-26684
imex:IM-28217
imex:IM-29257
imex:IM-29494
imex:IM-29553
pubmed:17353931
pubmed:19130088
pubmed:20029029
pubmed:24687852
pubmed:25260751
pubmed:26972000
pubmed:31046837
pubmed:31980649
pubmed:32707033
pubmed:32814053
pubmed:35384245
pubmed:36581701";Protein kinase domain;"<p>This entry represents the protein kinase domain containing the catalytic function of protein kinases [[cite:PUB00003569]]. This domain is found in serine/threonine-protein kinases, tyrosine-protein kinases and dual specificity protein kinases.</p>; <p>Eukaryotic protein kinases [[cite:PUB00003569], [cite:PUB00005115], [cite:PUB00015293], [cite:PUB00001530], [cite:PUB00003568]] are enzymes that belong to a very extensive family of proteins which share a conserved catalytic core common with both serine/threonine and tyrosine protein kinases. There are a number of conserved regions in the catalytic domain of protein kinases. In the N-terminal extremity of the catalytic domain there is a glycine-rich stretch of residues in the vicinity of a lysine residue, which has been shown to be involved in ATP binding. In the central part of the catalytic domain there is a conserved aspartic acid residue which is important for the catalytic activity of the enzyme [[cite:PUB00005145]].</p>; <p>Protein phosphorylation, which plays a key role in most cellular activities, is a reversible process mediated by protein kinases and phosphoprotein phosphatases. Protein kinases catalyse the transfer of the gamma phosphate from nucleotide triphosphates (often ATP) to one or more amino acid residues in a protein substrate side chain, resulting in a conformational change affecting protein function. Phosphoprotein phosphatases catalyse the reverse process. 
Protein kinases fall into three broad classes, characterised with respect to substrate specificity [[cite:PUB00005115]]:</p>

<ul>
<li>Serine/threonine-protein kinases</li>
<li>Tyrosine-protein kinases</li>
<li>Dual specificity protein kinases (e.g. MEK -phosphorylates both Thr and Tyr on target proteins)</li>
</ul>

<p>Protein kinase function is evolutionarily conserved from Escherichia coli to human [[cite:PUB00020114]]. Protein kinases play a role in a multitude of cellular processes, including division, proliferation, apoptosis, and differentiation [[cite:PUB00015362]]. Phosphorylation usually results in a functional change of the target protein by changing enzyme activity, cellular location, or association with other proteins. The catalytic subunits of protein kinases are highly conserved, and several structures have been solved [[cite:PUB00034898]], leading to large screens to develop kinase-specific inhibitors for the treatments of a number of diseases [[cite:PUB00034899]].</p>"
18;IPR011009;"doi:10.1016/j.celrep.2020.108050
doi:10.1016/j.molcel.2020.07.001
imex:IM-17166
imex:IM-20229
imex:IM-20537
imex:IM-22750
imex:IM-22822
imex:IM-26434
imex:IM-26684
imex:IM-28217
imex:IM-29257
imex:IM-29494
imex:IM-29553
pubmed:17353931
pubmed:19130088
pubmed:20029029
pubmed:24687852
pubmed:25260751
pubmed:26972000
pubmed:31046837
pubmed:31980649
pubmed:32707033
pubmed:32814053
pubmed:35384245
pubmed:36581701";Protein kinase-like domain superfamily;"<p>This entry represents the protein kinase domain superfamily containing the catalytic function of protein kinases. This domain is found in serine/threonine-protein kinases, tyrosine-protein kinases and dual-specificity protein kinases. Protein kinases ([interpro:IPR000719]) modify other proteins by chemically adding phosphate groups to them. This process is fundamental to most signalling and regulatory processes in the eukaryotic cell [[cite:PUB00014025]].</p>; <p>Eukaryotic protein kinases [[cite:PUB00003569], [cite:PUB00005115], [cite:PUB00015293], [cite:PUB00001530], [cite:PUB00003568]] are enzymes that belong to a very extensive family of proteins which share a conserved catalytic core common with both serine/threonine and tyrosine protein kinases. There are a number of conserved regions in the catalytic domain of protein kinases. In the N-terminal extremity of the catalytic domain there is a glycine-rich stretch of residues in the vicinity of a lysine residue, which has been shown to be involved in ATP binding. In the central part of the catalytic domain there is a conserved aspartic acid residue which is important for the catalytic activity of the enzyme [[cite:PUB00005145]].</p>; <p>Protein phosphorylation, which plays a key role in most cellular activities, is a reversible process mediated by protein kinases and phosphoprotein phosphatases. Protein kinases catalyse the transfer of the gamma phosphate from nucleotide triphosphates (often ATP) to one or more amino acid residues in a protein substrate side chain, resulting in a conformational change affecting protein function. Phosphoprotein phosphatases catalyse the reverse process. 
Protein kinases fall into three broad classes, characterised with respect to substrate specificity [[cite:PUB00005115]]:</p>

<ul>
<li>Serine/threonine-protein kinases</li>
<li>Tyrosine-protein kinases</li>
<li>Dual specificity protein kinases (e.g. MEK -phosphorylates both Thr and Tyr on target proteins)</li>
</ul>

<p>Protein kinase function is evolutionarily conserved from Escherichia coli to human [[cite:PUB00020114]]. Protein kinases play a role in a multitude of cellular processes, including division, proliferation, apoptosis, and differentiation [[cite:PUB00015362]]. Phosphorylation usually results in a functional change of the target protein by changing enzyme activity, cellular location, or association with other proteins. The catalytic subunits of protein kinases are highly conserved, and several structures have been solved [[cite:PUB00034898]], leading to large screens to develop kinase-specific inhibitors for the treatments of a number of diseases [[cite:PUB00034899]].</p>"
14;IPR029055;"imex:IM-12079
imex:IM-12193
pubmed:19490896
pubmed:19615732";Nucleophile aminohydrolases, N-terminal;"<p>The N-terminal of the nucleophile aminohydrolase (Ntn hydrolases) provides two catalytic groups, nucleophile and proton donor. Ntn hydrolases use the side chain of the amino-terminal residue, incorporated in a β-sheet, as the nucleophile in the catalytic attack at the carbonyl carbon. The nucleophile is cysteine in GAT, serine in penicillin acylase, and threonine in the proteasome. All the enzymes share an unusual fold in which the nucleophile and other catalytic groups occupy equivalent sites. This fold provides both the capacity for nucleophilic attack and the possibility of autocatalytic processing [[cite:PUB00050262]].</p>

<p>Some nucleophile aminohydrolases include:</p>

<ul><li>ATP-dependent protease subunit HslV</li>
  <li>Glutamine--fructose-6-phosphate aminotransferase [isomerizing]</li>
  <li>Proteasome subunits</li>
  <li>Amidophosphoribosyltransferase</li>
  <li>Related proteins</li></ul>"
14;IPR001353;"imex:IM-12079
imex:IM-12193
pubmed:19490896
pubmed:19615732";Proteasome, subunit alpha/beta;"<p>ATP-dependent protease complexes are present in all three kingdoms of life, where they rid the cell of misfolded or damaged proteins and control the level of certain regulatory proteins. They include the proteasome in Eukaryotes, Archaea, and Actinomycetales and the HslVU (ClpQY, clpXP) complex in other eubacteria. Genes homologues to eubacterial HslU (ClpY, clpX) have also been demonstrated in to be present in the genome of trypanosomatid protozoa [[cite:PUB00011906]].</p>; <p>The proteasome  (or macropain) ([ec:3.4.25.1]) [[cite:PUB00000524], [cite:PUB00000148], [cite:PUB00004123], [cite:PUB00001329], [cite:PUB00005460]] is a multicatalytic proteinase complex in eukaryotes and archaea, and in some bacteria, that is involved in an ATP/ubiquitin-dependent non-lysosomal proteolytic pathway. In eukaryotes the 20S proteasome is composed of 28 distinct subunits which form a highly ordered ring-shaped structure (20S ring) of about 700kDa.  Proteasome subunits can be classified on the basis of sequence similarities into two groups, alpha (A) and beta (B). The proteasome consists of four stacked rings composed of α/β/β/α subunits. There are seven different alpha subunits and seven different beta subunits [[cite:PUB00030848]]. Three of the seven beta subunits are peptidases, each with a different specificity.  Subunit beta1c (MEROPS identifier T01.010) has a preference for cleaving glutaminyl bonds (""peptidyl-glutamyl-like"" or ""caspase-like""), subunit beta2c (MEROPS identifier T01.011) has a preference for cleaving arginyl and lysyl bonds (""trypsin-like""), and subunit beta5c (MEROPS identifier T01.012) cleaves after hydrophobic amino acids (""chymotrypsin-like"") [[cite:PUB00080992]]. The proteasome subunits are related to N-terminal nucleophile hydrolases, and the catalytic subunits have an N-terminal threonine nucleophile.</p>; <p>The prokaryotic ATP-dependent proteasome is coded for by the heat-shock locus VU (HslVU). It consists of HslV, a peptidase, and HslU ([interpro:IPR004491]), the ATPase and chaperone belonging to the AAA/Clp/Hsp100 family. The crystal structure of Thermotoga maritima HslV has been determined to 2.1-A resolution. The structure of the dodecameric enzyme is well conserved compared to those from Escherichia coli and Haemophilus influenzae [[cite:PUB00014349], [cite:PUB00014350]].</p>; <p>This entry contains threonine peptidases and non-peptidase homologues belong to MEROPS peptidase family T1 (proteasome family, clan PB(T)). The family consists of the protease components of the archaeal and bacterial proteasomes and the alpha and beta subunits of the eukaryotic proteasome.</p>"
13;IPR003593;"doi:10.1016/j.cell.2021.04.011
imex:IM-12079
imex:IM-12193
imex:IM-24272
imex:IM-27204
imex:IM-29278
imex:IM-29540
imex:IM-30119
pubmed:19490896
pubmed:19615732
pubmed:26496610
pubmed:29924966
pubmed:33961781
pubmed:36012204
pubmed:37776851";AAA+ ATPase domain;"<p>This entry represents the AAA+ ATPase domain found in a range of proteins, including Holliday junction ATP-dependent DNA helicase RuvB from Mycobacterium sp, ATP synthases, and related ATP-dependent proteins.</p>; <p>The proteins in this superfamily are characterised by the structural conservation of a central ATPase domain of about 250 amino acids called the AAA  module. Typically, the AAA  domain can be divided into two structural subdomains, an N-terminal P-loop NTPase α-β-α subdomain that is connected to a smaller C-terminal all-α subdomain. The α-β-α subdomain adopts a Rossman fold and contains several motifs involved in ATP binding and hydrolysis, including classical motifs Walker A and Walker B [[cite:PUB00057226], [cite:PUB00057227]]. The all-α subdomain [[cite:PUB00005841]], is much less conserved across AAA  proteins.</p>; <p>The AAA+ superfamily of ATPases is found in all kingdoms of living organisms where they participate in diverse cellular processes including membrane fusion, proteolysis and DNA replication. Although the terms AAA+ and AAA are often used loosely and interchangeably, the classical AAA family members are distinguished by their possession of the SRH region in the AAA module. Many AAA+ proteins are involved in similar processes to those of AAA proteins (facilitation of protein folding and unfolding, assembly or disassembly of proteins complexes, protein transport and degradation), but others function in replication, recombination, repair and transcription. For a review see [[cite:PUB00057226]].</p>"
11;IPR036390;"doi:10.1016/j.cell.2021.04.011
doi:10.1016/j.celrep.2020.108050
imex:IM-12079
imex:IM-12193
imex:IM-24272
imex:IM-28217
imex:IM-28767
imex:IM-29278
imex:IM-29810
pubmed:19490896
pubmed:19615732
pubmed:26496610
pubmed:32814053
pubmed:33961781
pubmed:35140242
pubmed:37207277";Winged helix DNA-binding domain superfamily;"<p>Winged helix DNA-binding proteins share a related winged helix-turn-helix DNA-binding motif, where the ""wings"", or loops, are small β-sheets. The winged helix motif consists of two wings (W1, W2), three α-helices (H1, H2, H3) and three β-sheets (S1, S2, S3) arranged in the order H1-S1-H2-H3-S2-W1-S3-W2 [[cite:PUB00013195]]. The DNA-recognition helix makes sequence-specific DNA contacts with the major groove of DNA, while the wings make different DNA contacts, often with the minor groove or the backbone of DNA. Several winged-helix proteins display an exposed patch of hydrophobic residues thought to mediate protein-protein interactions.</p>"
10;IPR000717;"doi:10.1016/j.cell.2021.04.011
doi:10.1016/j.celrep.2020.108050
imex:IM-12079
imex:IM-12193
imex:IM-20458
imex:IM-24272
imex:IM-28217
imex:IM-29278
pubmed:19490896
pubmed:19615732
pubmed:19843313
pubmed:26496610
pubmed:32814053
pubmed:33961781";Proteasome component (PCI) domain;"<p>The PCI (for Proteasome, COP9, Initiation factor 3) domain (sometimes also referred to as the PINT domain, for Proteasome subunits, Int-6, Nip-1, and Trip-15) is present in six different subunits of 26 proteasome lid, COP9 signalosome (CSN) and eukaryotic translation initiation factor-3 (eIF3) complexes, as well as in subunits of certain other multiprotein complexes. The PCI domain mediates and stabilizes protein-protein interactions within the complexes. The role of the PCI domains is most likely that of a scaffold for the other complex subunits and other binding partners. The PCI domain could play a role as a universal binding domain supporting intra-complex interactions as well as recruitments of additional ligands [[cite:PUB00005480], [cite:PUB00005051], [cite:PUB00088687], [cite:PUB00077378], [cite:PUB00030855], [cite:PUB00051002]].</p>

<p>PCI is an ~190-amino acid domain, not well conserved in its primary sequence, usually located near the C terminus of the protein. It does not contain any invariant residues or any conserved pattern of charged residues that would suggest a catalytic activity. The PCI domain is comprised of two subdomains that are intimately connected, an N-terminal helical bundle (HB) subdomain and a C-terminal globular winged helix (WH) subdomain. The C- terminal half of the PCI domain is much better conserved than the N-terminal half [[cite:PUB00077378], [cite:PUB00030855], [cite:PUB00051002]].</p>"
9;IPR001245;"doi:10.1016/j.molcel.2020.07.001
imex:IM-17166
imex:IM-26434
imex:IM-29257
imex:IM-29494
imex:IM-29553
pubmed:20029029
pubmed:31980649
pubmed:32707033
pubmed:35384245
pubmed:36581701";Serine-threonine/tyrosine-protein kinase, catalytic domain;"<p>This entry represents the catalytic domain found in a number of serine/threonine- and tyrosine-protein kinases. It does not include catalytic domain of dual specificity kinases.</p>; <p>Protein phosphorylation, which plays a key role in most cellular activities, is a reversible process mediated by protein kinases and phosphoprotein phosphatases. Protein kinases catalyse the transfer of the gamma phosphate from nucleotide triphosphates (often ATP) to one or more amino acid residues in a protein substrate side chain, resulting in a conformational change affecting protein function. Phosphoprotein phosphatases catalyse the reverse process. 
Protein kinases fall into three broad classes, characterised with respect to substrate specificity [[cite:PUB00005115]]:</p>

<ul>
<li>Serine/threonine-protein kinases</li>
<li>Tyrosine-protein kinases</li>
<li>Dual specificity protein kinases (e.g. MEK -phosphorylates both Thr and Tyr on target proteins)</li>
</ul>

<p>Protein kinase function is evolutionarily conserved from Escherichia coli to human [[cite:PUB00020114]]. Protein kinases play a role in a multitude of cellular processes, including division, proliferation, apoptosis, and differentiation [[cite:PUB00015362]]. Phosphorylation usually results in a functional change of the target protein by changing enzyme activity, cellular location, or association with other proteins. The catalytic subunits of protein kinases are highly conserved, and several structures have been solved [[cite:PUB00034898]], leading to large screens to develop kinase-specific inhibitors for the treatments of a number of diseases [[cite:PUB00034899]].</p>"
