Count;InterProID;pubmeds;Name;ShortDescription
7;IPR009057;"doi:10.1016/j.cell.2021.04.011
imex:IM-25472
imex:IM-29278
pubmed:32296183
pubmed:33961781";Homeodomain-like superfamily;"<p>Homeodomain (HD)-containing proteins are transcription factors that share a related DNA binding domain [[cite:PUB00013192]]. HD was first identified in a number of Drosophila homeotic and segmentation proteins, but is now known to be well conserved in organisms from all domains in life. The domain binds DNA through a helix-turn-helix (HTH) structure. The HTH motif is characterised by two α-helices, which make intimate contacts with the DNA and are joined by a short turn. The second helix binds to DNA via a number of hydrogen bonds and hydrophobic interactions, which occur between specific side chains and the exposed bases and thymine methyl groups within the major groove of the DNA. The first helix helps to stabilise the structure. Many proteins contain homeodomains, including Drosophila Engrailed, yeast mating type proteins, hepatocyte nuclear factor 1a and HOX proteins.</p>

<p>The homeodomain motif is very similar in sequence and structure to domains in a wide range of DNA-binding proteins, including recombinases, Myb proteins, GARP response regulators, human telomeric proteins (hTRF1), paired domain proteins (PAX), yeast RAP1, centromere-binding proteins CENP-B and ABP-1, transcriptional regulators (TyrR), AraC-type transcriptional activators, and tetracycline repressor-like proteins (TetR, QacR, YcdC) [[cite:PUB00013193], [cite:PUB00013194], [cite:PUB00003347]].</p>"
6;IPR027417;"doi:10.1016/j.cell.2021.04.011
imex:IM-29278
pubmed:33961781";P-loop containing nucleoside triphosphate hydrolase;"<p>The P-loop NTPase fold is the most prevalent domain of the several distinct nucleotide-binding protein folds.</p>

<p>The most common reaction catalysed by enzymes of the P-loop NTPase fold is the hydrolysis of the beta-gamma phosphate bond of a bound nucleoside triphosphate (NTP). The energy from NTP hydrolysis is typically utilised to induce conformational changes in other molecules, which constitutes the basis of the biological functions of most P-loop NTPases. P-loop NTPases show substantial substrate preference for either ATP or GTP [[cite:PUB00064266]].</p>"
6;IPR001356;"doi:10.1016/j.cell.2021.04.011
imex:IM-25472
imex:IM-29278
pubmed:32296183
pubmed:33961781";Homeodomain;<p>This entry represents the homeodomain (HD), a protein domain of approximately 60 residues that usually binds DNA. It is encoded by the homeobox sequence [[cite:PUB00126359], [cite:PUB00075496], [cite:PUB00153777]], which was first identified in a number of Drosophila homeotic and segmentation proteins, but is now known to be well-conserved in many other animals, including vertebrates [[cite:PUB00000591], [cite:PUB00005390]], as well as plants [[cite:PUB00153787]], fungi [[cite:PUB00071003]] and some species of lower eukaryotes. Many members of this group are transcriptional regulators, some of which operate differential genetic programs along the anterior-posterior axis of animal bodies [[cite:PUB00010002]]. This domain folds into a globular structure with three α-helices connected by two short loops that harbour a hydrophobic core. The second and third form a helix-turn-helix (HTH) motif, which make intimate contacts with the DNA: while the first helix of this motif helps to stabilise the structure, the second helix binds to DNA via a number of hydrogen bonds and hydrophobic interactions, which occur between specific side chains and the exposed bases and thymine methyl groups within the major groove of the DNA. One particularity of the HTH motif in some of these proteins arises from the stereo-chemical requirement for glycine in the turn which is needed to avoid steric interference of the β-carbon with the main chain: for cro and repressor proteins the glycine appears to be mandatory, while for many of the homeotic and other DNA-binding proteins the requirement is relaxed.</p>
5;IPR050224;"doi:10.1016/j.cell.2021.04.011
imex:IM-29278
pubmed:33961781";;
5;IPR008422;"doi:10.1016/j.cell.2021.04.011
imex:IM-29278
pubmed:33961781";KN homeodomain;<p>This entry represents a homeodomain (HD) present in transcription factors conserved from fungi to human and plants [[cite:PUB00053798]]. Genes encoding these proteins were first identified as TALE homeobox proteins in eukaryotes, (including KNOX and MEIS genes) [[cite:PUB00053798], [cite:PUB00075494], [cite:PUB00020003]]. They have been classified [[cite:PUB00075495], [cite:PUB00075496], [cite:PUB00075497]].</p>
4;IPR017970;"doi:10.1016/j.cell.2021.04.011
imex:IM-25472
imex:IM-29278
pubmed:32296183
pubmed:33961781";Homeobox, conserved site;"<p>This entry represents a conserved site found in the homeodomain (HD), a protein domain of approximately 60 residues that usually binds DNA. It is encoded by the homeobox sequence [[cite:PUB00126359], [cite:PUB00075496], [cite:PUB00153777]], which was first identified in a number of Drosophila homeotic and segmentation proteins, but is now known to be well-conserved in many other animals, including vertebrates [[cite:PUB00000591], [cite:PUB00005390]]. Members of this group are transcriptional regulators that operate differential genetic programs along the anterior-posterior axis of animal bodies [[cite:PUB00010002]]. The domain binds DNA through a helix-turn-helix (HTH) structure. The HTH motif is characterised by two α-helices, which make intimate contacts with the DNA and are joined by a short turn. The second helix binds to DNA via a number of hydrogen bonds and hydrophobic interactions, which occur between specific side chains and the exposed bases and thymine methyl groups within the major groove of the DNA. The first helix helps to stabilise the structure.</p>

<p>The motif is very similar in sequence and structure in a wide range of DNA-binding proteins (e.g., cro and repressor proteins, homeotic proteins, etc.). One of the principal differences between HTH motifs in these different proteins arises from the stereo-chemical requirement for glycine in the turn which is needed to avoid steric interference of the β-carbon with the main chain: for cro and repressor proteins the glycine appears to be mandatory, while for many of the homeotic and other DNA-binding proteins the requirement is relaxed.</p>"
3;IPR000836;"doi:10.1016/j.cell.2021.04.011
imex:IM-25472
imex:IM-29278
pubmed:32296183
pubmed:33961781";Phosphoribosyltransferase domain;<p>This entry refers to the phosphoribosyl transferase (PRT) type I domain. PRTases catalyze the displacement of the alpha-1'-pyrophosphate of 5-phosphoribosyl-alpha1-pyrpphosphate (PRPP) by a nitrogen-containing nucleophile. The reaction products are an alpha-1 substituted ribose-5'-phosphate and a free pyrophosphate (PP).  PRPP, an activated form of ribose-5-phosphate, is a key metabolite connecting nucleotide synthesis and salvage pathways. The type I PRTases are identified by a conserved PRPP binding motif which features two adjacent acidic residues surrounded by one or more hydrophobic residue. This domain is found in a range of diverse phosphoribosyl transferase enzymes and regulatory proteins of the nucleotide synthesis and salvage pathways, including adenine phosphoribosyltransferase [ec:2.4.2.7], hypoxanthine-guanine-xanthine phosphoribosyltransferase, hypoxanthine phosphoribosyltransferase [ec:2.4.2.8], ribose-phosphate pyrophosphokinase [ec:2.7.6.1], amidophosphoribosyltransferase [ec:2.4.2.14], orotate phosphoribosyltransferase [ec:2.4.2.10], uracil phosphoribosyltransferase [ec:2.4.2.9], and xanthine-guanine phosphoribosyltransferase [ec:2.4.2.22]. In Arabidopsis, at the very N terminus of this domain is the P-Loop NTPase domain [[cite:PUB00060940], [cite:PUB00028083], [cite:PUB00080233], [cite:PUB00038074], [cite:PUB00046981], [cite:PUB00080234], [cite:PUB00080235], [cite:PUB00060925], [cite:PUB00080236], [cite:PUB00080237], [cite:PUB00080238], [cite:PUB00080239], [cite:PUB00080240]].</p>
3;IPR029057;"doi:10.1016/j.cell.2021.04.011
imex:IM-25472
imex:IM-29278
pubmed:32296183
pubmed:33961781";Phosphoribosyltransferase-like;<p>This superfamily represents a phosphoribosyltransferase-like domain. Proteins containing this domain include phosphoribosyltransferases (PRTases) [[cite:PUB00037289]], phosphoribosylpyrophosphate synthetase-like proteins [[cite:PUB00024226]] and some uncharacterised proteins.</p>
3;IPR005542;"doi:10.1016/j.cell.2021.04.011
imex:IM-29278
pubmed:33961781";PBX, PBC domain;"<p>Pbx proteins are members of the TALE (three-amino-acid loop extension) family of atypical homeodomain proteins, whose members
are characterised by a three-residue insertion between helix 1 and 2 and plays essential roles during embryonic development by participating in interactive TF networks. The heterodimerization of TALE proteins serves as a trigger for precise execution of developmental programs. Examination
of Pbx1 has shown that, in addition to the homeodomain, a short 16-residue C-terminal tail is essential for maximal cooperative interactions with
Hox partners as well as for maximal monomeric binding of Pbx1 to DNA.</p>"
2;IPR032453;"doi:10.1016/j.cell.2021.04.011
imex:IM-29278
pubmed:33961781";Homeobox protein PKNOX/Meis, N-terminal;<p>This domain is found towards the N terminus of the TALE/MEIS homeobox family members, including homeobox protein PKNOX and Meis.</p>
