Count;InterProID;pubmeds;Name;ShortDescription
56;IPR027417;"doi:10.1016/j.cell.2021.04.011
doi:10.1016/j.celrep.2020.108050
doi:10.1038/nature03239
doi:10.1038/nature22366
imex:IM-11694
imex:IM-13779
imex:IM-16043
imex:IM-18898
imex:IM-21967
imex:IM-22059
imex:IM-22270
imex:IM-23318
imex:IM-24272
imex:IM-25313
imex:IM-25472
imex:IM-25778
imex:IM-26452
imex:IM-26684
imex:IM-27204
imex:IM-28217
imex:IM-29278
imex:IM-29540
imex:IM-29638
imex:IM-30059
imex:IM-30119
mint:MINT-5217509
pubmed:15690043
pubmed:16429126
pubmed:16606699
pubmed:16858726
pubmed:17615063
pubmed:19455133
pubmed:20711500
pubmed:21798944
pubmed:24561554
pubmed:24852487
pubmed:25374563
pubmed:25416956
pubmed:26496610
pubmed:28514442
pubmed:29924966
pubmed:30177828
pubmed:31046837
pubmed:32296183
pubmed:32814053
pubmed:33961781
pubmed:36012204
pubmed:37070168
pubmed:37776851
pubmed:39251607";P-loop containing nucleoside triphosphate hydrolase;"<p>The P-loop NTPase fold is the most prevalent domain of the several distinct nucleotide-binding protein folds.</p>

<p>The most common reaction catalysed by enzymes of the P-loop NTPase fold is the hydrolysis of the beta-gamma phosphate bond of a bound nucleoside triphosphate (NTP). The energy from NTP hydrolysis is typically utilised to induce conformational changes in other molecules, which constitutes the basis of the biological functions of most P-loop NTPases. P-loop NTPases show substantial substrate preference for either ATP or GTP [[cite:PUB00064266]].</p>"
33;IPR036236;"doi:10.1016/j.cell.2021.04.011
doi:10.1016/j.celrep.2020.108050
doi:10.1038/nature22366
imex:IM-13779
imex:IM-17307
imex:IM-23299
imex:IM-25472
imex:IM-25778
imex:IM-28217
imex:IM-29234
imex:IM-29278
imex:IM-30059
imex:IM-30542
pubmed:20711500
pubmed:22304920
pubmed:24613396
pubmed:25203322
pubmed:28514442
pubmed:32296183
pubmed:32814053
pubmed:33961781
pubmed:35800763
pubmed:39251607";Zinc finger C2H2 superfamily;"<p>C2H2-type (classical) zinc fingers (Znf) were the first class to be characterised. They contain a short β-hairpin and an α-helix (β/β/α structure), where a single zinc atom is held in place by Cys(2)His(2) (C2H2) residues in a tetrahedral array. C2H2 Znf's can be divided into three groups based on the number and pattern of fingers: triple-C2H2 (binds single ligand), multiple-adjacent-C2H2 (binds multiple ligands), and separated paired-C2H2 [[cite:PUB00035808]]. C2H2 Znf's are the most common DNA-binding motifs found in eukaryotic transcription factors, and have also been identified in prokaryotes [[cite:PUB00035809]].  Transcription factors usually contain several Znf's (each with a conserved β/β/α structure) capable of making multiple contacts along the DNA, where the C2H2 Znf motifs recognise DNA sequences by binding to the major groove of DNA via a short α-helix in the Znf, the Znf spanning 3-4 bases of the DNA [[cite:PUB00035811]]. C2H2 zinc fingers can also bind to RNA and protein targets [[cite:PUB00043274]].</p>; <p>Zinc finger (Znf) domains are relatively small protein motifs which contain multiple finger-like protrusions that make tandem contacts with their target molecule. Some of these domains bind zinc, but many do not; instead, they bind other metals, such as iron, or no metal at all. For example, some family members form salt bridges to stabilise the finger-like folds. They were first identified as a DNA-binding motif in transcription factor TFIIIA from Xenopus laevis (African clawed frog); however, they are now recognised to bind DNA, RNA, protein and/or lipid substrates [[cite:PUB00035807], [cite:PUB00035805], [cite:PUB00035806], [cite:PUB00035804], [cite:PUB00014077]]. Their binding properties depend on the amino acid sequence of the finger domains and of the linker between fingers, as well as on the higher-order structures and the number of fingers. Znf domains are often found in clusters, where fingers can have different binding specificities. There are many superfamilies of Znf motifs, varying in both sequence and structure. They display considerable versatility in binding modes, even between members of the same class (e.g., some bind DNA, others protein), suggesting that Znf motifs are stable scaffolds that have evolved specialised functions. For example, Znf-containing proteins function in gene transcription, translation, mRNA trafficking, cytoskeleton organisation, epithelial development, cell adhesion, protein folding, chromatin remodelling and zinc sensing, to name but a few [[cite:PUB00035812]]. Zinc-binding motifs are stable structures, and they rarely undergo conformational changes upon binding their target.</p>"
32;IPR013087;"doi:10.1016/j.cell.2021.04.011
doi:10.1016/j.celrep.2020.108050
doi:10.1038/nature22366
imex:IM-13779
imex:IM-17307
imex:IM-23299
imex:IM-25472
imex:IM-25778
imex:IM-28217
imex:IM-29234
imex:IM-29278
imex:IM-30059
imex:IM-30542
pubmed:20711500
pubmed:22304920
pubmed:24613396
pubmed:25203322
pubmed:28514442
pubmed:32296183
pubmed:32814053
pubmed:33961781
pubmed:35800763
pubmed:39251607";Zinc finger C2H2-type;"<p>This entry represents the classical C2H2 zinc finger domain.</p>; <p>C2H2-type (classical) zinc fingers (Znf) were the first class to be characterised. They contain a short β-hairpin and an α-helix (β/β/α structure), where a single zinc atom is held in place by Cys(2)His(2) (C2H2) residues in a tetrahedral array. C2H2 Znf's can be divided into three groups based on the number and pattern of fingers: triple-C2H2 (binds single ligand), multiple-adjacent-C2H2 (binds multiple ligands), and separated paired-C2H2 [[cite:PUB00035808]]. C2H2 Znf's are the most common DNA-binding motifs found in eukaryotic transcription factors, and have also been identified in prokaryotes [[cite:PUB00035809]].  Transcription factors usually contain several Znf's (each with a conserved β/β/α structure) capable of making multiple contacts along the DNA, where the C2H2 Znf motifs recognise DNA sequences by binding to the major groove of DNA via a short α-helix in the Znf, the Znf spanning 3-4 bases of the DNA [[cite:PUB00035811]]. C2H2 zinc fingers can also bind to RNA and protein targets [[cite:PUB00043274]].</p>; <p>Zinc finger (Znf) domains are relatively small protein motifs which contain multiple finger-like protrusions that make tandem contacts with their target molecule. Some of these domains bind zinc, but many do not; instead, they bind other metals, such as iron, or no metal at all. For example, some family members form salt bridges to stabilise the finger-like folds. They were first identified as a DNA-binding motif in transcription factor TFIIIA from Xenopus laevis (African clawed frog); however, they are now recognised to bind DNA, RNA, protein and/or lipid substrates [[cite:PUB00035807], [cite:PUB00035805], [cite:PUB00035806], [cite:PUB00035804], [cite:PUB00014077]]. Their binding properties depend on the amino acid sequence of the finger domains and of the linker between fingers, as well as on the higher-order structures and the number of fingers. Znf domains are often found in clusters, where fingers can have different binding specificities. There are many superfamilies of Znf motifs, varying in both sequence and structure. They display considerable versatility in binding modes, even between members of the same class (e.g., some bind DNA, others protein), suggesting that Znf motifs are stable scaffolds that have evolved specialised functions. For example, Znf-containing proteins function in gene transcription, translation, mRNA trafficking, cytoskeleton organisation, epithelial development, cell adhesion, protein folding, chromatin remodelling and zinc sensing, to name but a few [[cite:PUB00035812]]. Zinc-binding motifs are stable structures, and they rarely undergo conformational changes upon binding their target.</p>"
31;IPR011009;"doi:10.1016/j.cell.2021.04.011
doi:10.1016/j.celrep.2020.108050
doi:10.1016/j.molcel.2020.07.001
doi:10.1038/nature22366
imex:IM-16043
imex:IM-16425
imex:IM-17166
imex:IM-24272
imex:IM-25329
imex:IM-25472
imex:IM-25748
imex:IM-25778
imex:IM-26434
imex:IM-26684
imex:IM-26801
imex:IM-28217
imex:IM-29257
imex:IM-29278
imex:IM-29494
imex:IM-30012
pubmed:10481074
pubmed:15657067
pubmed:20029029
pubmed:21798944
pubmed:23414517
pubmed:26496610
pubmed:27086506
pubmed:28514442
pubmed:31046837
pubmed:31413325
pubmed:31980649
pubmed:32296183
pubmed:32707033
pubmed:32814053
pubmed:33961781
pubmed:34524948
pubmed:35384245";Protein kinase-like domain superfamily;"<p>This entry represents the protein kinase domain superfamily containing the catalytic function of protein kinases. This domain is found in serine/threonine-protein kinases, tyrosine-protein kinases and dual-specificity protein kinases. Protein kinases ([interpro:IPR000719]) modify other proteins by chemically adding phosphate groups to them. This process is fundamental to most signalling and regulatory processes in the eukaryotic cell [[cite:PUB00014025]].</p>; <p>Eukaryotic protein kinases [[cite:PUB00003569], [cite:PUB00005115], [cite:PUB00015293], [cite:PUB00001530], [cite:PUB00003568]] are enzymes that belong to a very extensive family of proteins which share a conserved catalytic core common with both serine/threonine and tyrosine protein kinases. There are a number of conserved regions in the catalytic domain of protein kinases. In the N-terminal extremity of the catalytic domain there is a glycine-rich stretch of residues in the vicinity of a lysine residue, which has been shown to be involved in ATP binding. In the central part of the catalytic domain there is a conserved aspartic acid residue which is important for the catalytic activity of the enzyme [[cite:PUB00005145]].</p>; <p>Protein phosphorylation, which plays a key role in most cellular activities, is a reversible process mediated by protein kinases and phosphoprotein phosphatases. Protein kinases catalyse the transfer of the gamma phosphate from nucleotide triphosphates (often ATP) to one or more amino acid residues in a protein substrate side chain, resulting in a conformational change affecting protein function. Phosphoprotein phosphatases catalyse the reverse process. 
Protein kinases fall into three broad classes, characterised with respect to substrate specificity [[cite:PUB00005115]]:</p>

<ul>
<li>Serine/threonine-protein kinases</li>
<li>Tyrosine-protein kinases</li>
<li>Dual specificity protein kinases (e.g. MEK -phosphorylates both Thr and Tyr on target proteins)</li>
</ul>

<p>Protein kinase function is evolutionarily conserved from Escherichia coli to human [[cite:PUB00020114]]. Protein kinases play a role in a multitude of cellular processes, including division, proliferation, apoptosis, and differentiation [[cite:PUB00015362]]. Phosphorylation usually results in a functional change of the target protein by changing enzyme activity, cellular location, or association with other proteins. The catalytic subunits of protein kinases are highly conserved, and several structures have been solved [[cite:PUB00034898]], leading to large screens to develop kinase-specific inhibitors for the treatments of a number of diseases [[cite:PUB00034899]].</p>"
28;IPR000719;"doi:10.1016/j.cell.2021.04.011
doi:10.1016/j.celrep.2020.108050
doi:10.1016/j.molcel.2020.07.001
doi:10.1038/nature22366
imex:IM-16043
imex:IM-16425
imex:IM-17166
imex:IM-24272
imex:IM-25329
imex:IM-25472
imex:IM-25748
imex:IM-25778
imex:IM-26434
imex:IM-26684
imex:IM-26801
imex:IM-28217
imex:IM-29257
imex:IM-29278
imex:IM-29494
imex:IM-30012
pubmed:10481074
pubmed:15657067
pubmed:20029029
pubmed:21798944
pubmed:23414517
pubmed:26496610
pubmed:27086506
pubmed:28514442
pubmed:31046837
pubmed:31413325
pubmed:31980649
pubmed:32296183
pubmed:32707033
pubmed:32814053
pubmed:33961781
pubmed:34524948
pubmed:35384245";Protein kinase domain;"<p>This entry represents the protein kinase domain containing the catalytic function of protein kinases [[cite:PUB00003569]]. This domain is found in serine/threonine-protein kinases, tyrosine-protein kinases and dual specificity protein kinases.</p>; <p>Eukaryotic protein kinases [[cite:PUB00003569], [cite:PUB00005115], [cite:PUB00015293], [cite:PUB00001530], [cite:PUB00003568]] are enzymes that belong to a very extensive family of proteins which share a conserved catalytic core common with both serine/threonine and tyrosine protein kinases. There are a number of conserved regions in the catalytic domain of protein kinases. In the N-terminal extremity of the catalytic domain there is a glycine-rich stretch of residues in the vicinity of a lysine residue, which has been shown to be involved in ATP binding. In the central part of the catalytic domain there is a conserved aspartic acid residue which is important for the catalytic activity of the enzyme [[cite:PUB00005145]].</p>; <p>Protein phosphorylation, which plays a key role in most cellular activities, is a reversible process mediated by protein kinases and phosphoprotein phosphatases. Protein kinases catalyse the transfer of the gamma phosphate from nucleotide triphosphates (often ATP) to one or more amino acid residues in a protein substrate side chain, resulting in a conformational change affecting protein function. Phosphoprotein phosphatases catalyse the reverse process. 
Protein kinases fall into three broad classes, characterised with respect to substrate specificity [[cite:PUB00005115]]:</p>

<ul>
<li>Serine/threonine-protein kinases</li>
<li>Tyrosine-protein kinases</li>
<li>Dual specificity protein kinases (e.g. MEK -phosphorylates both Thr and Tyr on target proteins)</li>
</ul>

<p>Protein kinase function is evolutionarily conserved from Escherichia coli to human [[cite:PUB00020114]]. Protein kinases play a role in a multitude of cellular processes, including division, proliferation, apoptosis, and differentiation [[cite:PUB00015362]]. Phosphorylation usually results in a functional change of the target protein by changing enzyme activity, cellular location, or association with other proteins. The catalytic subunits of protein kinases are highly conserved, and several structures have been solved [[cite:PUB00034898]], leading to large screens to develop kinase-specific inhibitors for the treatments of a number of diseases [[cite:PUB00034899]].</p>"
23;IPR016024;"doi:10.1016/j.cell.2019.09.008
doi:10.1016/j.cell.2021.04.011
doi:10.1016/j.celrep.2020.108050
doi:10.1038/nature22366
imex:IM-15346
imex:IM-15829
imex:IM-17331
imex:IM-18714
imex:IM-23323
imex:IM-24970
imex:IM-24991
imex:IM-25313
imex:IM-25329
imex:IM-25472
imex:IM-25584
imex:IM-25748
imex:IM-25778
imex:IM-26684
imex:IM-26691
imex:IM-27097
imex:IM-27423
imex:IM-28152
imex:IM-28217
imex:IM-29278
imex:IM-29638
imex:IM-29773
imex:IM-29848
imex:IM-30012
imex:IM-30059
imex:IM-30494
imex:IM-30532
pubmed:10481074
pubmed:14690591
pubmed:16429126
pubmed:16730941
pubmed:19536198
pubmed:21734642
pubmed:22810585
pubmed:23217712
pubmed:23416715
pubmed:24852487
pubmed:25083872
pubmed:26673895
pubmed:27086506
pubmed:28169297
pubmed:28514442
pubmed:30833792
pubmed:31046837
pubmed:31470122
pubmed:31570497
pubmed:31585087
pubmed:32296183
pubmed:32814053
pubmed:33961781
pubmed:34524948
pubmed:35063084
pubmed:35709258
pubmed:35839996
pubmed:37070168
pubmed:38884001
pubmed:39251607
pubmed:unassigned1312";Armadillo-type fold;"<p>This entry represents a structural domain with an armadillo (ARM)-like fold, consisting of a multi-helical fold comprised of two curved layers of α-helices arranged in a regular right-handed superhelix, where the repeats that make up this structure are arranged about a common axis [[cite:PUB00015442]]. These superhelical structures present an extensive solvent-accessible surface that is well suited to binding large substrates such as proteins and nucleic acids.</p>

<p>The sequence similarity among these different repeats or domains is low, however they exhibit considerable structural similarity. Furthermore, the number of repeats present in the superhelical structure can vary between orthologues, indicating that rapid loss/gain of repeats has occurred frequently in evolution. A common phylogenetic origin has been proposed for the armadillo and HEAT repeats [[cite:PUB00015443]].</p>"
23;IPR017441;"doi:10.1016/j.cell.2021.04.011
doi:10.1016/j.celrep.2020.108050
doi:10.1016/j.molcel.2020.07.001
doi:10.1038/nature22366
imex:IM-16043
imex:IM-17166
imex:IM-24272
imex:IM-25329
imex:IM-25472
imex:IM-25778
imex:IM-26434
imex:IM-26684
imex:IM-26801
imex:IM-28217
imex:IM-29257
imex:IM-29278
imex:IM-29494
pubmed:10481074
pubmed:15657067
pubmed:20029029
pubmed:21798944
pubmed:26496610
pubmed:28514442
pubmed:31046837
pubmed:31413325
pubmed:31980649
pubmed:32296183
pubmed:32707033
pubmed:32814053
pubmed:33961781
pubmed:35384245";Protein kinase, ATP binding site;"<p>Eukaryotic protein kinases [[cite:PUB00015293], [cite:PUB00001530], [cite:PUB00003568], [cite:PUB00003569], [cite:PUB00005115]] are enzymes that belong to a very extensive family of proteins which share a conserved catalytic core common with both serine/threonine and tyrosine protein kinases. There are a number of conserved regions in the catalytic domain of protein kinases.</p>
<p>This entry represents a conserved site, which is located in the N-terminal extremity of the catalytic domain, where there is a glycine-rich stretch of residues in the vicinity of a lysine residue. It is this lysine residue that has been shown to be involved in ATP binding.</p>; <p>Protein phosphorylation, which plays a key role in most cellular activities, is a reversible process mediated by protein kinases and phosphoprotein phosphatases. Protein kinases catalyse the transfer of the gamma phosphate from nucleotide triphosphates (often ATP) to one or more amino acid residues in a protein substrate side chain, resulting in a conformational change affecting protein function. Phosphoprotein phosphatases catalyse the reverse process. 
Protein kinases fall into three broad classes, characterised with respect to substrate specificity [[cite:PUB00005115]]:</p>

<ul>
<li>Serine/threonine-protein kinases</li>
<li>Tyrosine-protein kinases</li>
<li>Dual specificity protein kinases (e.g. MEK -phosphorylates both Thr and Tyr on target proteins)</li>
</ul>

<p>Protein kinase function is evolutionarily conserved from Escherichia coli to human [[cite:PUB00020114]]. Protein kinases play a role in a multitude of cellular processes, including division, proliferation, apoptosis, and differentiation [[cite:PUB00015362]]. Phosphorylation usually results in a functional change of the target protein by changing enzyme activity, cellular location, or association with other proteins. The catalytic subunits of protein kinases are highly conserved, and several structures have been solved [[cite:PUB00034898]], leading to large screens to develop kinase-specific inhibitors for the treatments of a number of diseases [[cite:PUB00034899]].</p>"
19;IPR011989;"doi:10.1016/j.cell.2021.04.011
doi:10.1038/nature22366
imex:IM-24970
imex:IM-25778
imex:IM-26684
imex:IM-29278
imex:IM-30012
pubmed:14690591
pubmed:26673895
pubmed:28514442
pubmed:31046837
pubmed:33961781
pubmed:34524948";Armadillo-like helical;<p>This superfamily represents a domain consisting of a multi-helical fold comprising two curved layers of α-helices arranged in a regular right-handed superhelix, where the repeats that make up this structure are arranged about a common axis [[cite:PUB00015442]]. These superhelical structures present an extensive solvent-accessible surface that is well suited to binding large substrates such as proteins and nucleic acids. This topology has been found with a number of repeats and domains, including the armadillo repeat (found in beta-catenins and importins), the HEAT repeat (found in protein phosphatase 2a and initiation factor eIF4G), the PHAT domain (found in Smaug RNA-binding protein), the leucine-rich repeat variant, the Pumilo repeat, and in the H regulatory subunit of V-type ATPases. The sequence similarity among these different repeats or domains is low, however they exhibit considerable structural similarity. Furthermore, the number of repeats present in the superhelical structure can vary between orthologues, indicating that rapid loss/gain of repeats has occurred frequently in evolution. A common phylogenetic origin has been proposed for the armadillo and HEAT repeats [[cite:PUB00015443]].</p>
19;IPR029044;"doi:10.1016/j.cell.2010.11.017
doi:10.1016/j.cell.2016.01.029
doi:10.1016/j.cell.2019.09.008
doi:10.1016/j.cell.2021.04.011
doi:10.1016/j.celrep.2020.108050
doi:10.1038/nature03239
doi:10.1038/nature22366
doi:10.1038/s41467-019-11959-3
imex:IM-11827
imex:IM-11903
imex:IM-13779
imex:IM-15184
imex:IM-15346
imex:IM-15364
imex:IM-15829
imex:IM-16043
imex:IM-16425
imex:IM-16517
imex:IM-16520
imex:IM-17331
imex:IM-18651
imex:IM-18714
imex:IM-18898
imex:IM-20283
imex:IM-21967
imex:IM-22059
imex:IM-23318
imex:IM-23323
imex:IM-24272
imex:IM-24970
imex:IM-24991
imex:IM-25013
imex:IM-25313
imex:IM-25329
imex:IM-25472
imex:IM-25584
imex:IM-25748
imex:IM-25778
imex:IM-26434
imex:IM-26452
imex:IM-26684
imex:IM-26691
imex:IM-27097
imex:IM-27423
imex:IM-27438
imex:IM-27834
imex:IM-28152
imex:IM-28217
imex:IM-29278
imex:IM-29638
imex:IM-29773
imex:IM-29848
imex:IM-29959
imex:IM-29997
imex:IM-30012
imex:IM-30059
imex:IM-30494
imex:IM-30532
mint:MINT-5217509
mint:MINT-5217955
mint:MINT-5217968
mint:MINT-5218676
mint:MINT-8109998
pubmed:10481074
pubmed:14660704
pubmed:14690591
pubmed:15004283
pubmed:15657067
pubmed:15690043
pubmed:15879519
pubmed:16097032
pubmed:16169070
pubmed:16189514
pubmed:16429126
pubmed:16606699
pubmed:16713569
pubmed:16730941
pubmed:16858726
pubmed:17353931
pubmed:17474147
pubmed:17615063
pubmed:19536198
pubmed:20562859
pubmed:20711500
pubmed:21145461
pubmed:21734642
pubmed:21798944
pubmed:21988832
pubmed:22810585
pubmed:23217712
pubmed:23414517
pubmed:23416715
pubmed:24561554
pubmed:24852487
pubmed:25083872
pubmed:25416956
pubmed:26496610
pubmed:26673895
pubmed:26871637
pubmed:27086506
pubmed:28169297
pubmed:28514442
pubmed:30177828
pubmed:30833792
pubmed:31015422
pubmed:31046837
pubmed:31470122
pubmed:31515488
pubmed:31570497
pubmed:31585087
pubmed:31980649
pubmed:32296183
pubmed:32612234
pubmed:32814053
pubmed:33961781
pubmed:34524948
pubmed:35063084
pubmed:35709258
pubmed:35839996
pubmed:36655602
pubmed:37070168
pubmed:38884001
pubmed:39251607
pubmed:unassigned1312";Nucleotide-diphospho-sugar transferases;<p>The biosynthesis of disaccharides, oligosaccharides and polysaccharides involves the action of hundreds of different glycosyltransferases. These enzymes catalyse the transfer of sugar moieties from activated donor molecules to specific acceptor molecules, forming glycosidic bonds. A classification of glycosyltransferases using nucleotide diphospho-sugar, nucleotide monophospho-sugar and sugar phosphates ([ec:2.4.1.-]) and related proteins into distinct sequence-based families has been described [[cite:PUB00009409]]. This classification is available on the CAZy (CArbohydrate-Active EnZymes) website. The same three-dimensional fold is expected to occur within each of the families. Because 3-D structures are better conserved than sequences, several of the families defined on the basis of sequence similarities may have similar 3-D structures and therefore form 'clans'.</p>
19;IPR013083;"doi:10.1016/j.cell.2021.04.011
doi:10.1038/nature22366
imex:IM-15346
imex:IM-16043
imex:IM-16520
imex:IM-19684
imex:IM-23318
imex:IM-25472
imex:IM-25778
imex:IM-29168
imex:IM-29278
imex:IM-29638
mint:MINT-5217968
pubmed:16189514
pubmed:17098746
pubmed:21734642
pubmed:21798944
pubmed:25416956
pubmed:28514442
pubmed:32296183
pubmed:33961781
pubmed:34316702
pubmed:37070168";Zinc finger, RING/FYVE/PHD-type;"<p>This superfamily represents RING-, PHD-, and FYVE-type zinc finger domains, which share a common dimetal (zinc)-bound α/β structural fold, as well as the non-zinc-containing U-box domain, which is similar to the RING zinc finger only lacking the metal ion-binding residues (U-box associated with multi-ubiquitination).</p>; <p>Zinc finger (Znf) domains are relatively small protein motifs which contain multiple finger-like protrusions that make tandem contacts with their target molecule. Some of these domains bind zinc, but many do not; instead, they bind other metals, such as iron, or no metal at all. For example, some family members form salt bridges to stabilise the finger-like folds. They were first identified as a DNA-binding motif in transcription factor TFIIIA from Xenopus laevis (African clawed frog); however, they are now recognised to bind DNA, RNA, protein and/or lipid substrates [[cite:PUB00035807], [cite:PUB00035805], [cite:PUB00035806], [cite:PUB00035804], [cite:PUB00014077]]. Their binding properties depend on the amino acid sequence of the finger domains and of the linker between fingers, as well as on the higher-order structures and the number of fingers. Znf domains are often found in clusters, where fingers can have different binding specificities. There are many superfamilies of Znf motifs, varying in both sequence and structure. They display considerable versatility in binding modes, even between members of the same class (e.g., some bind DNA, others protein), suggesting that Znf motifs are stable scaffolds that have evolved specialised functions. For example, Znf-containing proteins function in gene transcription, translation, mRNA trafficking, cytoskeleton organisation, epithelial development, cell adhesion, protein folding, chromatin remodelling and zinc sensing, to name but a few [[cite:PUB00035812]]. Zinc-binding motifs are stable structures, and they rarely undergo conformational changes upon binding their target.</p>"
