Count;InterProID;pubmeds;Name;ShortDescription
35;IPR027417;"doi:10.1016/j.cell.2021.04.011
doi:10.1038/nature03239
doi:10.1038/nature22366
doi:10.1371/journal.pone.0002292
imex:IM-11644
imex:IM-21967
imex:IM-22059
imex:IM-22256
imex:IM-24272
imex:IM-25778
imex:IM-27204
imex:IM-29278
imex:IM-29540
imex:IM-29553
imex:IM-29638
imex:IM-30059
imex:IM-30494
imex:IM-9152
mint:MINT-5217509
pubmed:15690043
pubmed:16429126
pubmed:17615063
pubmed:18000013
pubmed:18509523
pubmed:19965468
pubmed:24561554
pubmed:24627523
pubmed:26496610
pubmed:28514442
pubmed:29924966
pubmed:33961781
pubmed:35839996
pubmed:36012204
pubmed:36581701
pubmed:37070168
pubmed:39251607";P-loop containing nucleoside triphosphate hydrolase;"<p>The P-loop NTPase fold is the most prevalent domain of the several distinct nucleotide-binding protein folds.</p>

<p>The most common reaction catalysed by enzymes of the P-loop NTPase fold is the hydrolysis of the beta-gamma phosphate bond of a bound nucleoside triphosphate (NTP). The energy from NTP hydrolysis is typically utilised to induce conformational changes in other molecules, which constitutes the basis of the biological functions of most P-loop NTPases. P-loop NTPases show substantial substrate preference for either ATP or GTP [[cite:PUB00064266]].</p>"
15;IPR013783;"doi:10.1016/j.cell.2021.04.011
doi:10.1038/nature22366
doi:10.1371/journal.pone.0002292
imex:IM-13779
imex:IM-14135
imex:IM-18681
imex:IM-25472
imex:IM-25778
imex:IM-29278
imex:IM-9152
pubmed:16606699
pubmed:17353931
pubmed:18509523
pubmed:19738201
pubmed:20711500
pubmed:23549480
pubmed:28514442
pubmed:32296183
pubmed:33961781";Immunoglobulin-like fold;"<p>This superfamily represents domains with an immunoglobulin-like (Ig-like) fold, which consists of a β-sandwich of seven or more strands in two sheets with a Greek-key topology. Ig-like domains are one of the most common protein modules found in animals, occurring in a variety of different proteins. These domains are often involved in interactions, commonly with other Ig-like domains via their β-sheets [[cite:PUB00003330], [cite:PUB00018310], [cite:PUB00015110], [cite:PUB00027656]].  Domains within this fold-family share the same structure, but can diverge with respect to their sequence. Based on sequence, Ig-like domains can be classified as V-set domains (antibody variable domain-like), C1-set domains (antibody constant domain-like), C2-set domains, and I-set domains (antibody intermediate domain-like). Proteins can contain more than one of these types of Ig-like domains. For example, in the human T-cell receptor antigen CD2, domain 1 (D1) is a V-set domain, while domain 2 (D2) is a C2-set domain, both domains having the same Ig-like fold [[cite:PUB00027700]].</p>
<p>Domains with an Ig-like fold can be found in many, diverse proteins in addition to immunoglobulin molecules. For example, Ig-like domains occur in several different types of receptors (such as various T-cell antigen receptors), several cell adhesion molecules, MHC class I and II antigens, as well as the hemolymph protein hemolin, and the muscle proteins titin, telokin and twitchin.</p>"
14;IPR012677;"doi:10.1016/j.cell.2021.04.011
doi:10.1038/nature03239
doi:10.1038/nature22366
doi:10.1074/mcp.ra118.000924
imex:IM-21967
imex:IM-24272
imex:IM-25778
imex:IM-26653
imex:IM-29278
imex:IM-30059
mint:MINT-5217509
pubmed:15690043
pubmed:17353931
pubmed:26496610
pubmed:28514442
pubmed:30021884
pubmed:33961781
pubmed:39251607";Nucleotide-binding alpha-beta plait domain superfamily;"<p>This superfamily represents nucleotide-binding domains with an α-β plait structure, which consists of either a ferredoxin-like (β-α-β)2 fold, such as that found in RNA-binding domains of various ribonucleoproteins or in viral DNA-binding domains [[cite:PUB00016352], [cite:PUB00007413]]; or a β-(α)-β-α-β(2) fold, such as that found in the ribosomal protein L23 [[cite:PUB00016354]].</p>"
14;IPR012340;"doi:10.1016/j.cell.2021.04.011
doi:10.1038/nature03239
imex:IM-21967
imex:IM-23523
imex:IM-29278
imex:IM-29638
mint:MINT-5217509
pubmed:15690043
pubmed:16606699
pubmed:18000013
pubmed:25665578
pubmed:33961781
pubmed:37070168";Nucleic acid-binding, OB-fold;"<p>A five-stranded β-barrel was first noted as a common structure among four proteins binding single-stranded nucleic acids (staphylococcal nuclease and aspartyl-tRNA synthetase) or oligosaccharides (B subunits of enterotoxin and verotoxin-1), and has been termed the oligonucleotide/oligosaccharide binding motif, or OB fold, a five-stranded β-sheet coiled to form a closed β-barrel capped by an α helix located between the third and fourth strands [[cite:PUB00016307]]. Two ribosomal proteins, S17 and S1, are members of this class and have different variations of the OB fold theme. Comparisons with other OB fold nucleic acid binding proteins suggest somewhat different mechanisms of nucleic acid recognition in each case [[cite:PUB00011768]].</p>

<p>There are many nucleic acid-binding proteins that contain domains with this OB-fold structure, including:</p>

<ul><li>Large ribosomal subunit protein uL2</li>
  <li>Small ribosomal subunit protein uS12</li>
  <li>DNA ligase</li>
  <li>Polyribonucleotide nucleotidyltransferase</li>
  <li>Phage ssDNA-binding proteins (gp32, gp2.5, gpV)</li>
  <li>Holliday junction branch migration complex subunit RuvA</li>
  <li>Elongation factor P</li></ul>"
12;IPR035979;"doi:10.1016/j.cell.2021.04.011
doi:10.1038/nature22366
doi:10.1074/mcp.ra118.000924
imex:IM-24272
imex:IM-25778
imex:IM-26653
imex:IM-29278
imex:IM-30059
pubmed:17353931
pubmed:26496610
pubmed:28514442
pubmed:30021884
pubmed:33961781
pubmed:39251607";RNA-binding domain superfamily;"<p>Many eukaryotic proteins containing one or more copies of a putative RNA-binding domain of about 90 amino acids are known to bind single-stranded RNAs [[cite:PUB00005341], [cite:PUB00034493], [cite:PUB00034494]]. The largest group of single strand RNA-binding proteins is the eukaryotic RNA recognition motif (RRM) family that contains an eight amino acid RNP-1 consensus sequence [[cite:PUB00001891], [cite:PUB00034495]]. RRM proteins have a variety of RNA binding preferences and functions, and include heterogeneous nuclear ribonucleoproteins (hnRNPs), proteins implicated in regulation of alternative splicing (SR, U2AF, Sxl), protein components of small nuclear ribonucleoproteins (U1 and U2 snRNPs), and proteins that regulate RNA stability and translation (PABP, La, Hu) [[cite:PUB00034493], [cite:PUB00034494], [cite:PUB00034495]]. The RRM in heterodimeric splicing factor U2 snRNP auxiliary factor (U2AF) appears to have two RRM-like domains with specialised features for protein recognition [[cite:PUB00016352]]. The motif also appears in a few single stranded DNA binding proteins.</p>

<p>The typical RRM consists of four anti-parallel β-strands and two α-helices arranged in a β-α-β-β-α-β fold with side chains that stack with RNA bases. Specificity of RNA binding is determined by multiple contacts with surrounding amino acids. A third helix is present during RNA binding in some cases [[cite:PUB00004440]]. The RRM is reviewed in a number of publications [[cite:PUB00034496], [cite:PUB00034497], [cite:PUB00034498]].</p>

<p>This entry also includes some bacterial putative RNA-binding proteins.</p>"
12;IPR003593;"doi:10.1038/nature03239
doi:10.1371/journal.pone.0002292
imex:IM-21967
imex:IM-22059
imex:IM-24272
imex:IM-27204
imex:IM-29540
imex:IM-9152
mint:MINT-5217509
pubmed:15690043
pubmed:17615063
pubmed:18509523
pubmed:24561554
pubmed:26496610
pubmed:29924966
pubmed:36012204";AAA+ ATPase domain;"<p>This entry represents the AAA+ ATPase domain found in a range of proteins, including Holliday junction ATP-dependent DNA helicase RuvB from Mycobacterium sp, ATP synthases, and related ATP-dependent proteins.</p>; <p>The proteins in this superfamily are characterised by the structural conservation of a central ATPase domain of about 250 amino acids called the AAA  module. Typically, the AAA  domain can be divided into two structural subdomains, an N-terminal P-loop NTPase α-β-α subdomain that is connected to a smaller C-terminal all-α subdomain. The α-β-α subdomain adopts a Rossman fold and contains several motifs involved in ATP binding and hydrolysis, including classical motifs Walker A and Walker B [[cite:PUB00057226], [cite:PUB00057227]]. The all-α subdomain [[cite:PUB00005841]], is much less conserved across AAA  proteins.</p>; <p>The AAA+ superfamily of ATPases is found in all kingdoms of living organisms where they participate in diverse cellular processes including membrane fusion, proteolysis and DNA replication. Although the terms AAA+ and AAA are often used loosely and interchangeably, the classical AAA family members are distinguished by their possession of the SRH region in the AAA module. Many AAA+ proteins are involved in similar processes to those of AAA proteins (facilitation of protein folding and unfolding, assembly or disassembly of proteins complexes, protein transport and degradation), but others function in replication, recombination, repair and transcription. For a review see [[cite:PUB00057226]].</p>"
12;IPR036390;"doi:10.1016/j.cell.2010.11.017
doi:10.1016/j.cell.2021.04.011
doi:10.1038/nature03239
doi:10.1038/nature22366
doi:10.1074/mcp.ra118.000924
imex:IM-18651
imex:IM-21967
imex:IM-22301
imex:IM-25778
imex:IM-26653
imex:IM-27626
imex:IM-29278
imex:IM-30059
mint:MINT-5217509
pubmed:15690043
pubmed:17353931
pubmed:21145461
pubmed:25036637
pubmed:28514442
pubmed:30021884
pubmed:33961781
pubmed:35914814
pubmed:39251607";Winged helix DNA-binding domain superfamily;"<p>Winged helix DNA-binding proteins share a related winged helix-turn-helix DNA-binding motif, where the ""wings"", or loops, are small β-sheets. The winged helix motif consists of two wings (W1, W2), three α-helices (H1, H2, H3) and three β-sheets (S1, S2, S3) arranged in the order H1-S1-H2-H3-S2-W1-S3-W2 [[cite:PUB00013195]]. The DNA-recognition helix makes sequence-specific DNA contacts with the major groove of DNA, while the wings make different DNA contacts, often with the minor groove or the backbone of DNA. Several winged-helix proteins display an exposed patch of hydrophobic residues thought to mediate protein-protein interactions.</p>"
11;IPR013087;"doi:10.1016/j.cell.2021.04.011
doi:10.1038/nature22366
imex:IM-13779
imex:IM-16517
imex:IM-16524
imex:IM-24272
imex:IM-24995
imex:IM-25472
imex:IM-25778
imex:IM-29278
mint:MINT-5216804
mint:MINT-5217955
pubmed:14605208
pubmed:16169070
pubmed:17259181
pubmed:20711500
pubmed:26496610
pubmed:27107014
pubmed:28514442
pubmed:32296183
pubmed:33961781";Zinc finger C2H2-type;"<p>This entry represents the classical C2H2 zinc finger domain.</p>; <p>C2H2-type (classical) zinc fingers (Znf) were the first class to be characterised. They contain a short β-hairpin and an α-helix (β/β/α structure), where a single zinc atom is held in place by Cys(2)His(2) (C2H2) residues in a tetrahedral array. C2H2 Znf's can be divided into three groups based on the number and pattern of fingers: triple-C2H2 (binds single ligand), multiple-adjacent-C2H2 (binds multiple ligands), and separated paired-C2H2 [[cite:PUB00035808]]. C2H2 Znf's are the most common DNA-binding motifs found in eukaryotic transcription factors, and have also been identified in prokaryotes [[cite:PUB00035809]].  Transcription factors usually contain several Znf's (each with a conserved β/β/α structure) capable of making multiple contacts along the DNA, where the C2H2 Znf motifs recognise DNA sequences by binding to the major groove of DNA via a short α-helix in the Znf, the Znf spanning 3-4 bases of the DNA [[cite:PUB00035811]]. C2H2 zinc fingers can also bind to RNA and protein targets [[cite:PUB00043274]].</p>; <p>Zinc finger (Znf) domains are relatively small protein motifs which contain multiple finger-like protrusions that make tandem contacts with their target molecule. Some of these domains bind zinc, but many do not; instead, they bind other metals, such as iron, or no metal at all. For example, some family members form salt bridges to stabilise the finger-like folds. They were first identified as a DNA-binding motif in transcription factor TFIIIA from Xenopus laevis (African clawed frog); however, they are now recognised to bind DNA, RNA, protein and/or lipid substrates [[cite:PUB00035807], [cite:PUB00035805], [cite:PUB00035806], [cite:PUB00035804], [cite:PUB00014077]]. Their binding properties depend on the amino acid sequence of the finger domains and of the linker between fingers, as well as on the higher-order structures and the number of fingers. Znf domains are often found in clusters, where fingers can have different binding specificities. There are many superfamilies of Znf motifs, varying in both sequence and structure. They display considerable versatility in binding modes, even between members of the same class (e.g., some bind DNA, others protein), suggesting that Znf motifs are stable scaffolds that have evolved specialised functions. For example, Znf-containing proteins function in gene transcription, translation, mRNA trafficking, cytoskeleton organisation, epithelial development, cell adhesion, protein folding, chromatin remodelling and zinc sensing, to name but a few [[cite:PUB00035812]]. Zinc-binding motifs are stable structures, and they rarely undergo conformational changes upon binding their target.</p>"
11;IPR000504;"doi:10.1016/j.cell.2021.04.011
doi:10.1038/nature22366
doi:10.1074/mcp.ra118.000924
imex:IM-24272
imex:IM-25778
imex:IM-26653
imex:IM-29278
imex:IM-30059
pubmed:17353931
pubmed:26496610
pubmed:28514442
pubmed:30021884
pubmed:33961781
pubmed:39251607";RNA recognition motif domain;"<p>Many eukaryotic proteins containing one or more copies of a putative RNA-binding domain of about 90 amino acids are known to bind single-stranded RNAs [[cite:PUB00005341], [cite:PUB00034493], [cite:PUB00034494]]. The largest group of single strand RNA-binding proteins is the eukaryotic RNA recognition motif (RRM) family that contains an eight amino acid RNP-1 consensus sequence [[cite:PUB00001891], [cite:PUB00034495]]. RRM proteins have a variety of RNA binding preferences and functions, and include heterogeneous nuclear ribonucleoproteins (hnRNPs), proteins implicated in regulation of alternative splicing (SR, U2AF, Sxl), protein components of small nuclear ribonucleoproteins (U1 and U2 snRNPs), and proteins that regulate RNA stability and translation (PABP, La, Hu) [[cite:PUB00034493], [cite:PUB00034494], [cite:PUB00034495]]. The RRM in heterodimeric splicing factor U2 snRNP auxiliary factor (U2AF) appears to have two RRM-like domains with specialised features for protein recognition [[cite:PUB00016352]]. The motif also appears in a few single stranded DNA binding proteins.</p>

<p>The typical RRM consists of four anti-parallel β-strands and two α-helices arranged in a β-α-β-β-α-β fold with side chains that stack with RNA bases. Specificity of RNA binding is determined by multiple contacts with surrounding amino acids. A third helix is present during RNA binding in some cases [[cite:PUB00004440]]. The RRM is reviewed in a number of publications [[cite:PUB00034496], [cite:PUB00034497], [cite:PUB00034498]].</p>

<p>This entry also includes some bacterial putative RNA-binding proteins.</p>"
10;IPR036236;"doi:10.1016/j.cell.2021.04.011
doi:10.1038/nature22366
imex:IM-13779
imex:IM-16517
imex:IM-16524
imex:IM-24272
imex:IM-24995
imex:IM-25472
imex:IM-25778
imex:IM-29278
mint:MINT-5216804
mint:MINT-5217955
pubmed:14605208
pubmed:16169070
pubmed:17259181
pubmed:20711500
pubmed:26496610
pubmed:27107014
pubmed:28514442
pubmed:32296183
pubmed:33961781";Zinc finger C2H2 superfamily;"<p>C2H2-type (classical) zinc fingers (Znf) were the first class to be characterised. They contain a short β-hairpin and an α-helix (β/β/α structure), where a single zinc atom is held in place by Cys(2)His(2) (C2H2) residues in a tetrahedral array. C2H2 Znf's can be divided into three groups based on the number and pattern of fingers: triple-C2H2 (binds single ligand), multiple-adjacent-C2H2 (binds multiple ligands), and separated paired-C2H2 [[cite:PUB00035808]]. C2H2 Znf's are the most common DNA-binding motifs found in eukaryotic transcription factors, and have also been identified in prokaryotes [[cite:PUB00035809]].  Transcription factors usually contain several Znf's (each with a conserved β/β/α structure) capable of making multiple contacts along the DNA, where the C2H2 Znf motifs recognise DNA sequences by binding to the major groove of DNA via a short α-helix in the Znf, the Znf spanning 3-4 bases of the DNA [[cite:PUB00035811]]. C2H2 zinc fingers can also bind to RNA and protein targets [[cite:PUB00043274]].</p>; <p>Zinc finger (Znf) domains are relatively small protein motifs which contain multiple finger-like protrusions that make tandem contacts with their target molecule. Some of these domains bind zinc, but many do not; instead, they bind other metals, such as iron, or no metal at all. For example, some family members form salt bridges to stabilise the finger-like folds. They were first identified as a DNA-binding motif in transcription factor TFIIIA from Xenopus laevis (African clawed frog); however, they are now recognised to bind DNA, RNA, protein and/or lipid substrates [[cite:PUB00035807], [cite:PUB00035805], [cite:PUB00035806], [cite:PUB00035804], [cite:PUB00014077]]. Their binding properties depend on the amino acid sequence of the finger domains and of the linker between fingers, as well as on the higher-order structures and the number of fingers. Znf domains are often found in clusters, where fingers can have different binding specificities. There are many superfamilies of Znf motifs, varying in both sequence and structure. They display considerable versatility in binding modes, even between members of the same class (e.g., some bind DNA, others protein), suggesting that Znf motifs are stable scaffolds that have evolved specialised functions. For example, Znf-containing proteins function in gene transcription, translation, mRNA trafficking, cytoskeleton organisation, epithelial development, cell adhesion, protein folding, chromatin remodelling and zinc sensing, to name but a few [[cite:PUB00035812]]. Zinc-binding motifs are stable structures, and they rarely undergo conformational changes upon binding their target.</p>"
