Count;InterProID;pubmeds;Name;ShortDescription
4;IPR027417;"doi:10.1002/pmic.201700444
doi:10.1016/j.cell.2021.04.011
imex:IM-26443
imex:IM-29278
pubmed:29513927
pubmed:33961781";P-loop containing nucleoside triphosphate hydrolase;"<p>The P-loop NTPase fold is the most prevalent domain of the several distinct nucleotide-binding protein folds.</p>

<p>The most common reaction catalysed by enzymes of the P-loop NTPase fold is the hydrolysis of the beta-gamma phosphate bond of a bound nucleoside triphosphate (NTP). The energy from NTP hydrolysis is typically utilised to induce conformational changes in other molecules, which constitutes the basis of the biological functions of most P-loop NTPases. P-loop NTPases show substantial substrate preference for either ATP or GTP [[cite:PUB00064266]].</p>"
3;IPR037103;"doi:10.1016/j.cell.2021.04.011
imex:IM-29278
pubmed:33961781";Tubulin/FtsZ-like, C-terminal domain;<p>This domain superfamily is found in the tubulin alpha, beta and gamma chains, as well as the bacterial FtsZ family of proteins and other Tubulin-like proteins. These proteins are GTPases and are involved in polymer formation. Tubulin is the major component of microtubules, while FtsZ is the polymer-forming protein of bacterial cell division, it is part of a ring in the middle of the dividing cell that is required for constriction of cell membrane and cell envelope to yield two daughter cells. FtsZ can polymerise into tubes, sheets, and rings<i>in vitro</i>and is ubiquitous in bacteria and archaea. This is the C-terminal domain.</p>
3;IPR008280;"doi:10.1016/j.cell.2021.04.011
imex:IM-29278
pubmed:33961781";Tubulin/FtsZ, C-terminal;<p>This domain superfamily is found in the tubulin alpha, beta and gamma chains, as well as the bacterial FtsZ family of proteins. These proteins are GTPases and are involved in polymer formation. Tubulin is the major component of microtubules, while FtsZ is the polymer-forming protein of bacterial cell division, it is part of a ring in the middle of the dividing cell that is required for constriction of cell membrane and cell envelope to yield two daughter cells. FtsZ can polymerise into tubes, sheets, and rings<i>in vitro</i>and is ubiquitous in bacteria and archaea. This is the C-terminal domain.</p>
3;IPR000217;"doi:10.1016/j.cell.2021.04.011
imex:IM-29278
pubmed:33961781";Tubulin;"<p>Microtubules are polymers of tubulin, a dimer of two 55kDa subunits, designated alpha and beta [[cite:PUB00000039], [cite:PUB00000978]]. Within the microtubule lattice, α-β heterodimers associate in a head-to-tail fashion, giving rise to microtubule polarity. Fluorescent labelling studies have suggested that tubulin is oriented in microtubules with beta-tubulin toward the plus end [[cite:PUB00006112]].</p>

<p>For maximal rate and extent of polymerisation into microtubules, tubulin requires GTP. Two molecules of GTP are bound at different sites, termed N and E. At the E (Exchangeable) site, GTP is hydrolysed during incorporation into the microtubule. Close to the E site is an invariant region rich in glycine residues, which is found in both chains and is thought to control access of the nucleotide to its binding site [[cite:PUB00002443]].</p>

<p>Most species, excepting simple eukaryotes, express a variety of closely-related alpha- and beta-isotypes. A third family member, gamma tubulin, has also been identified in a number of species. Gamma tubulin is found at microtubule-organising centres, such as the spindle poles or the centrosome, 
suggesting that it is involved in minus-end nucleation of microtubule assembly [[cite:PUB00000721]]. Further eukaryotic tubulins (gamma, epsilon, zeta) that are restricted to certain lineages or species have been reported [[cite:PUB00072959], [cite:PUB00099927]].</p>

<p>Bacterial and archaeal homologues of tubulin have been discovered. BtubA and BtubB, two bacterial homologues in the genus Prosthecobacter, have probably been derived by horizontal gene transfer [[cite:PUB00072957], [cite:PUB00039756]].</p>"
3;IPR018316;"doi:10.1016/j.cell.2021.04.011
imex:IM-29278
pubmed:33961781";Tubulin/FtsZ, 2-layer sandwich domain;<p>This domain is found in the tubulin alpha, beta and gamma chains, as well as the bacterial FtsZ family of proteins. These proteins are GTPases and are involved in polymer formation. Tubulin is the major component of microtubules, while FtsZ is the polymer-forming protein of bacterial cell division, it is part of a ring in the middle of the dividing cell that is required for constriction of cell membrane and cell envelope to yield two daughter cells. FtsZ can polymerise into tubes, sheets, and rings<i>in vitro</i>and is ubiquitous in bacteria and archaea. This is the C-terminal domain.</p>
3;IPR003008;"doi:10.1016/j.cell.2021.04.011
imex:IM-29278
pubmed:33961781";Tubulin/FtsZ, GTPase domain;<p>This entry represents a GTPase domain found in all tubulin chains, such as tubulin alpha, beta and gamma chains, plant ARC3 and prokaryotic FtsZ and CetZ proteins [[cite:PUB00003961], [cite:PUB00096948]]. These proteins are involved in polymer formation. Tubulin is the major component of microtubules, while FtsZ (homologue of eukaryotic tubulin) is the polymer-forming protein of bacterial cell division, it is part of a ring in the middle of the dividing cell that is required for constriction of cell membrane and cell envelope to yield two daughter cells [[cite:PUB00044363], [cite:PUB00004272]]. FtsZ can polymerise into tubes, sheets, and rings in vitro and is ubiquitous in bacteria and archaea. CetZ co-exists with FtsZ in many archaea. Cetz does not affect cell division, instead, it is involved in cell shape control [[cite:PUB00074278]]. Arabidopsis chloroplast protein ARC3 (At1g75010) is a Z-ring accessory protein involved in the initiation of plastid division and division site placement [[cite:PUB00074279], [cite:PUB00074280]].</p>
3;IPR023123;"doi:10.1016/j.cell.2021.04.011
imex:IM-29278
pubmed:33961781";Tubulin, C-terminal;"<p>Microtubules are polymers of tubulin, a dimer of two 55kDa subunits, designated alpha and beta [[cite:PUB00000039], [cite:PUB00000978]]. Within the microtubule lattice, α-β heterodimers associate in a head-to-tail fashion, giving rise to microtubule polarity. Fluorescent labelling studies have suggested that tubulin is oriented in microtubules with beta-tubulin toward the plus end [[cite:PUB00006112]].</p>

<p>For maximal rate and extent of polymerisation into microtubules, tubulin requires GTP. Two molecules of GTP are bound at different sites, termed N and E. At the E (Exchangeable) site, GTP is hydrolysed during incorporation into the microtubule. Close to the E site is an invariant region rich in glycine residues, which is found in both chains and is thought to control access of the nucleotide to its binding site [[cite:PUB00002443]].</p>

<p>Most species, excepting simple eukaryotes, express a variety of closely-related alpha- and beta-isotypes. A third family member, gamma tubulin, has also been identified in a number of species. Gamma tubulin is found at microtubule-organising centres, such as the spindle poles or the centrosome, 
suggesting that it is involved in minus-end nucleation of microtubule assembly [[cite:PUB00000721]]. Further eukaryotic tubulins (gamma, epsilon, zeta) that are restricted to certain lineages or species have been reported [[cite:PUB00072959], [cite:PUB00099927]].</p>

<p>Bacterial and archaeal homologues of tubulin have been discovered. BtubA and BtubB, two bacterial homologues in the genus Prosthecobacter, have probably been derived by horizontal gene transfer [[cite:PUB00072957], [cite:PUB00039756]].</p>; <p>This entry represents the extreme C-terminal structural domain of both alpha and beta tubulin. It forms a helix hairpin [[cite:PUB00020380]].</p>"
3;IPR002453;"doi:10.1016/j.cell.2021.04.011
imex:IM-29278
pubmed:33961781";Beta tubulin;"<p>Microtubules are polymers of tubulin, a dimer of two 55kDa subunits, designated alpha and beta [[cite:PUB00000039], [cite:PUB00000978]]. Within the microtubule lattice, α-β heterodimers associate in a head-to-tail fashion, giving rise to microtubule polarity. Fluorescent labelling studies have suggested that tubulin is oriented in microtubules with beta-tubulin toward the plus end [[cite:PUB00006112]]. For maximal rate and extent of polymerisation into microtubules, tubulin requires GTP. Two molecules of GTP are bound at different sites, termed N and E. At the E (Exchangeable) site, GTP is hydrolysed during incorporation into the microtubule. Close to the E site is an invariant region rich in glycine residues, which is found in both chains and is thought to control access of the nucleotide to its binding site [[cite:PUB00002443]].</p>

<p>Most species, excepting simple eukaryotes, express a variety of closely related alpha- and beta-isotypes. A third family member, gamma tubulin, has also been identified in a number of species [[cite:PUB00000721]].</p>

<p>British type familial amyloidosis is an autosomal dominant disease characterised by progressive dementia, spastic paralysis and ataxia. Amyloid deposits from the brain tissue of an individual who died with this disease have been characterised. Trypsin digestion and subsequent N-terminal sequence analysis yielded a number of short sequences, all of which are tryptic fragments of the C-termini of human alpha- and beta-tubulin [[cite:PUB00006090]]. Consistent with the definition of amyloid, synthetic peptides based on the sequences of these fragments formed fibrils in vitro, suggesting that the C-termini of both alpha- and beta-tubulin are closely associated with the amyloid deposits of this type of amyloidosis [[cite:PUB00006090]].</p>

<p>This entry represents beta tubulin.</p>"
3;IPR013838;"doi:10.1016/j.cell.2021.04.011
imex:IM-29278
pubmed:33961781";Beta tubulin, autoregulation binding site;"<p>The stability of beta-tubulin mRNAs are autoregulated by their own translation product [[cite:PUB00005335]]. Unpolymerised tubulin subunits bind directly (or activate a factor(s) which binds co-translationally) to the nascent N terminus of beta-tubulin. This binding is transduced through the adjacent ribosomes to activate an RNAse that degrades the polysome-bound mRNA. The recognition element has been shown to be the first four amino acids of beta-tubulin: Met-Arg-Glu-Ile. Mutations to this sequence abolish the autoregulation effect (except for the replacement of Glu by Asp); transposition of this sequence to an internal region of a polypeptide also suppresses the autoregulatory effect.</p>"
3;IPR017975;"doi:10.1016/j.cell.2021.04.011
imex:IM-29278
pubmed:33961781";Tubulin, conserved site;"<p>Microtubules are polymers of tubulin, a dimer of two 55kDa subunits, designated alpha and beta [[cite:PUB00000039], [cite:PUB00000978]]. Within the microtubule lattice, α-β heterodimers associate in a head-to-tail fashion, giving rise to microtubule polarity. Fluorescent labelling studies have suggested that tubulin is oriented in microtubules with beta-tubulin toward the plus end [[cite:PUB00006112]].</p>

<p>For maximal rate and extent of polymerisation into microtubules, tubulin requires GTP. Two molecules of GTP are bound at different sites, termed N and E. At the E (Exchangeable) site, GTP is hydrolysed during incorporation into the microtubule. Close to the E site is an invariant region rich in glycine residues, which is found in both chains and is thought to control access of the nucleotide to its binding site [[cite:PUB00002443]].</p>

<p>Most species, excepting simple eukaryotes, express a variety of closely- related alpha- and beta-isotypes. A third family member, gamma tubulin, has also been identified in a number of species. Gamma tubulin is found at microtubule-organising centres, such as the spindle poles or the centrosome, suggesting that it is involved in minus-end nucleation of microtubule assembly [[cite:PUB00000721]].</p>

<p>This entry represents the glycine-rich conserved site near the E (Exchangeable) site that controls the access of the nucleotide to its binding site.</p>"
