idA	idB	altIdsA	altIdsB	aliasesA	aliasesB	detectionMethod	firstAuthor	publicationIdentifiers	taxidA	taxidB	interactionType	sourceDatabase	interactionIdentifiers	confidence
uniprotkb:Q24247	uniprotkb:Q9VBI4	intact:EBI-187829|uniprotkb:M9PEG3|uniprotkb:M9PHG7|uniprotkb:M9PJL8|uniprotkb:Q8SY51|uniprotkb:Q9VYF6	intact:EBI-128414	psi-mi:ita1_drome(display_long)|uniprotkb:mew(gene name)|psi-mi:mew(display_short)|uniprotkb:CG1771(orf name)|uniprotkb:Position-specific antigen subunit alpha-1(gene name synonym)|uniprotkb:Protein multiple edematous wings(gene name synonym)	psi-mi:q9vbi4_drome(display_long)|uniprotkb:Exo84(gene name)|psi-mi:Exo84(display_short)|uniprotkb:exo84(gene name synonym)|uniprotkb:DExo84(gene name synonym)|uniprotkb:Dmel\CG6095(gene name synonym)|uniprotkb:Exo84p(gene name synonym)|uniprotkb:anon-WO0153538.55(gene name synonym)|uniprotkb:onr(gene name synonym)|uniprotkb:Dmel_CG6095(orf name)|uniprotkb:CG6095(orf name)	"psi-mi:""MI:0096""(pull down)"	Lowe et al. (2014)	imex:IM-16527|pubmed:25294943	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-9962522|flannotator:CPTI-001678|imex:IM-16527-272	intact-miscore:0.35
uniprotkb:Q24247	uniprotkb:Q27591	intact:EBI-187829|uniprotkb:M9PEG3|uniprotkb:M9PHG7|uniprotkb:M9PJL8|uniprotkb:Q8SY51|uniprotkb:Q9VYF6	intact:EBI-9952238|uniprotkb:Q9VIG7|uniprotkb:A9UN88	psi-mi:ita1_drome(display_long)|uniprotkb:mew(gene name)|psi-mi:mew(display_short)|uniprotkb:CG1771(orf name)|uniprotkb:Position-specific antigen subunit alpha-1(gene name synonym)|uniprotkb:Protein multiple edematous wings(gene name synonym)	psi-mi:itbn_drome(display_long)|uniprotkb:Itgbn(gene name)|psi-mi:Itgbn(display_short)|uniprotkb:Itgbetanu(gene name synonym)|uniprotkb:beta-nu(gene name synonym)|uniprotkb:betaInt-nu(gene name synonym)|uniprotkb:CG1762(orf name)	"psi-mi:""MI:0096""(pull down)"	Lowe et al. (2014)	imex:IM-16527|pubmed:25294943	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-9962522|flannotator:CPTI-001678|imex:IM-16527-272	intact-miscore:0.35
uniprotkb:Q24247	intact:EBI-9929129	intact:EBI-187829|uniprotkb:M9PEG3|uniprotkb:M9PHG7|uniprotkb:M9PJL8|uniprotkb:Q8SY51|uniprotkb:Q9VYF6	-	psi-mi:ita1_drome(display_long)|uniprotkb:mew(gene name)|psi-mi:mew(display_short)|uniprotkb:CG1771(orf name)|uniprotkb:Position-specific antigen subunit alpha-1(gene name synonym)|uniprotkb:Protein multiple edematous wings(gene name synonym)	psi-mi:q8inv1(display_short)|psi-mi:EBI-9929129(display_long)	"psi-mi:""MI:0096""(pull down)"	Lowe et al. (2014)	imex:IM-16527|pubmed:25294943	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-9962522|flannotator:CPTI-001678|imex:IM-16527-272	intact-miscore:0.35
uniprotkb:Q24247	uniprotkb:P11584	intact:EBI-187829|uniprotkb:M9PEG3|uniprotkb:M9PHG7|uniprotkb:M9PJL8|uniprotkb:Q8SY51|uniprotkb:Q9VYF6	intact:EBI-169569|uniprotkb:Q8MYX9|uniprotkb:Q9W3L2	psi-mi:ita1_drome(display_long)|uniprotkb:mew(gene name)|psi-mi:mew(display_short)|uniprotkb:CG1771(orf name)|uniprotkb:Position-specific antigen subunit alpha-1(gene name synonym)|uniprotkb:Protein multiple edematous wings(gene name synonym)	"psi-mi:itbx_drome(display_long)|uniprotkb:mys(gene name)|psi-mi:mys(display_short)|uniprotkb:""l(1)mys""(gene name synonym)|uniprotkb:olfC(gene name synonym)|uniprotkb:CG1560(orf name)|uniprotkb:Position-specific antigen beta subunit(gene name synonym)|uniprotkb:Protein myospheroid(gene name synonym)|uniprotkb:Protein olfactory C(gene name synonym)"	"psi-mi:""MI:0096""(pull down)"	Lowe et al. (2014)	imex:IM-16527|pubmed:25294943	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-9962522|flannotator:CPTI-001678|imex:IM-16527-272	intact-miscore:0.46
uniprotkb:Q24247	uniprotkb:Q8I0N3	intact:EBI-187829|uniprotkb:M9PEG3|uniprotkb:M9PHG7|uniprotkb:M9PJL8|uniprotkb:Q8SY51|uniprotkb:Q9VYF6	intact:EBI-183111	psi-mi:ita1_drome(display_long)|uniprotkb:mew(gene name)|psi-mi:mew(display_short)|uniprotkb:CG1771(orf name)|uniprotkb:Position-specific antigen subunit alpha-1(gene name synonym)|uniprotkb:Protein multiple edematous wings(gene name synonym)	psi-mi:q8i0n3_drome(display_long)|uniprotkb:TwdlL(gene name)|psi-mi:TwdlL(display_short)|uniprotkb:CG6478(gene name synonym)|uniprotkb:Dmel\CG6447(gene name synonym)|uniprotkb:TwdIL(gene name synonym)|uniprotkb:Dmel_CG6447(orf name)|uniprotkb:CG6447(orf name)	"psi-mi:""MI:0096""(pull down)"	Lowe et al. (2014)	imex:IM-16527|pubmed:25294943	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-9962522|flannotator:CPTI-001678|imex:IM-16527-272	intact-miscore:0.35
uniprotkb:Q24247	uniprotkb:Q9VZT7	intact:EBI-187829|uniprotkb:M9PEG3|uniprotkb:M9PHG7|uniprotkb:M9PJL8|uniprotkb:Q8SY51|uniprotkb:Q9VYF6	intact:EBI-153240	psi-mi:ita1_drome(display_long)|uniprotkb:mew(gene name)|psi-mi:mew(display_short)|uniprotkb:CG1771(orf name)|uniprotkb:Position-specific antigen subunit alpha-1(gene name synonym)|uniprotkb:Protein multiple edematous wings(gene name synonym)	psi-mi:q9vzt7_drome(display_long)|uniprotkb:Dmel\CG12734(gene name synonym)|uniprotkb:mecA(gene name synonym)|uniprotkb:Dmel_CG12734(orf name)|uniprotkb:Girdin(gene name)|psi-mi:Girdin(display_short)|uniprotkb:CG12734(orf name)|uniprotkb:girdin(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Lowe et al. (2014)	imex:IM-16527|pubmed:25294943	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-9936906|flannotator:CPTI-001678|imex:IM-16527-74	intact-miscore:0.35
uniprotkb:Q24247	uniprotkb:Q9VGQ1	intact:EBI-187829|uniprotkb:M9PEG3|uniprotkb:M9PHG7|uniprotkb:M9PJL8|uniprotkb:Q8SY51|uniprotkb:Q9VYF6	intact:EBI-195174	psi-mi:ita1_drome(display_long)|uniprotkb:mew(gene name)|psi-mi:mew(display_short)|uniprotkb:CG1771(orf name)|uniprotkb:Position-specific antigen subunit alpha-1(gene name synonym)|uniprotkb:Protein multiple edematous wings(gene name synonym)	psi-mi:q9vgq1_drome(display_long)|uniprotkb:Dlst(gene name)|psi-mi:Dlst(display_short)|uniprotkb:Dmel\CG5214(gene name synonym)|uniprotkb:E2K(gene name synonym)|uniprotkb:alpha-KGDHC(gene name synonym)|uniprotkb:CG5214(orf name)|uniprotkb:Dmel_CG5214(orf name)|uniprotkb:2-oxoglutarate dehydrogenase complex component E2(gene name synonym)|uniprotkb:GM01350p(gene name synonym)|uniprotkb:Q9VGQ1(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Lowe et al. (2014)	imex:IM-16527|pubmed:25294943	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-9936906|flannotator:CPTI-001678|imex:IM-16527-74	intact-miscore:0.35
uniprotkb:Q24247	uniprotkb:P11584	intact:EBI-187829|uniprotkb:M9PEG3|uniprotkb:M9PHG7|uniprotkb:M9PJL8|uniprotkb:Q8SY51|uniprotkb:Q9VYF6	intact:EBI-169569|uniprotkb:Q8MYX9|uniprotkb:Q9W3L2	psi-mi:ita1_drome(display_long)|uniprotkb:mew(gene name)|psi-mi:mew(display_short)|uniprotkb:CG1771(orf name)|uniprotkb:Position-specific antigen subunit alpha-1(gene name synonym)|uniprotkb:Protein multiple edematous wings(gene name synonym)	"psi-mi:itbx_drome(display_long)|uniprotkb:mys(gene name)|psi-mi:mys(display_short)|uniprotkb:""l(1)mys""(gene name synonym)|uniprotkb:olfC(gene name synonym)|uniprotkb:CG1560(orf name)|uniprotkb:Position-specific antigen beta subunit(gene name synonym)|uniprotkb:Protein myospheroid(gene name synonym)|uniprotkb:Protein olfactory C(gene name synonym)"	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Lowe et al. (2014)	imex:IM-16527|pubmed:25294943	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-9936906|flannotator:CPTI-001678|imex:IM-16527-74	intact-miscore:0.46
uniprotkb:Q24247	uniprotkb:Q9VMI0	intact:EBI-187829|uniprotkb:M9PEG3|uniprotkb:M9PHG7|uniprotkb:M9PJL8|uniprotkb:Q8SY51|uniprotkb:Q9VYF6	intact:EBI-3426803	psi-mi:ita1_drome(display_long)|uniprotkb:mew(gene name)|psi-mi:mew(display_short)|uniprotkb:CG1771(orf name)|uniprotkb:Position-specific antigen subunit alpha-1(gene name synonym)|uniprotkb:Protein multiple edematous wings(gene name synonym)	psi-mi:q9vmi0_drome(display_long)|uniprotkb:Dmel\CG9147(gene name)|psi-mi:Dmel\CG9147(display_short)|uniprotkb:Dmel_CG9147(orf name)|uniprotkb:CG9147(orf name)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Lowe et al. (2014)	imex:IM-16527|pubmed:25294943	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-9936906|flannotator:CPTI-001678|imex:IM-16527-74	intact-miscore:0.35
uniprotkb:Q24247	uniprotkb:P08928	intact:EBI-187829|uniprotkb:M9PEG3|uniprotkb:M9PHG7|uniprotkb:M9PJL8|uniprotkb:Q8SY51|uniprotkb:Q9VYF6	intact:EBI-188444|uniprotkb:Q9VMQ0	psi-mi:ita1_drome(display_long)|uniprotkb:mew(gene name)|psi-mi:mew(display_short)|uniprotkb:CG1771(orf name)|uniprotkb:Position-specific antigen subunit alpha-1(gene name synonym)|uniprotkb:Protein multiple edematous wings(gene name synonym)	psi-mi:lam0_drome(display_long)|uniprotkb:Lam(gene name)|psi-mi:Lam(display_short)|uniprotkb:CG6944(orf name)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Lowe et al. (2014)	imex:IM-16527|pubmed:25294943	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-9936906|flannotator:CPTI-001678|imex:IM-16527-74	intact-miscore:0.35
uniprotkb:Q24247	uniprotkb:Q7KT16	intact:EBI-187829|uniprotkb:M9PEG3|uniprotkb:M9PHG7|uniprotkb:M9PJL8|uniprotkb:Q8SY51|uniprotkb:Q9VYF6	intact:EBI-3426813	psi-mi:ita1_drome(display_long)|uniprotkb:mew(gene name)|psi-mi:mew(display_short)|uniprotkb:CG1771(orf name)|uniprotkb:Position-specific antigen subunit alpha-1(gene name synonym)|uniprotkb:Protein multiple edematous wings(gene name synonym)	"psi-mi:q7kt16_drome(display_long)|uniprotkb:vari(gene name)|psi-mi:vari(display_short)|uniprotkb:szar(gene name synonym)|uniprotkb:vari-RB(gene name synonym)|uniprotkb:Dmel_CG9326(orf name)|uniprotkb:38E.21(gene name synonym)|uniprotkb:Dmel\CG9326(gene name synonym)|uniprotkb:Vari(gene name synonym)|uniprotkb:""l(2)03953""(gene name synonym)|uniprotkb:""l(2)03953b""(gene name synonym)|uniprotkb:""l(2)38EFa""(gene name synonym)|uniprotkb:CG9326(orf name)"	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Lowe et al. (2014)	imex:IM-16527|pubmed:25294943	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-9936906|flannotator:CPTI-001678|imex:IM-16527-74	intact-miscore:0.35
uniprotkb:Q24247	uniprotkb:Q9VYC7	intact:EBI-187829|uniprotkb:M9PEG3|uniprotkb:M9PHG7|uniprotkb:M9PJL8|uniprotkb:Q8SY51|uniprotkb:Q9VYF6	intact:EBI-115520|uniprotkb:Q8SZJ8	psi-mi:ita1_drome(display_long)|uniprotkb:mew(gene name)|psi-mi:mew(display_short)|uniprotkb:CG1771(orf name)|uniprotkb:Position-specific antigen subunit alpha-1(gene name synonym)|uniprotkb:Protein multiple edematous wings(gene name synonym)	psi-mi:q9vyc7_drome(display_long)|uniprotkb:CG12727(gene name synonym)|uniprotkb:CG44328(orf name)|uniprotkb:Neto(gene name)|psi-mi:Neto(display_short)|uniprotkb:Dmel\CG44328(gene name synonym)|uniprotkb:NETO(gene name synonym)|uniprotkb:net(gene name synonym)|uniprotkb:CT36003(gene name synonym)|uniprotkb:CG15751(gene name synonym)|uniprotkb:CG15752(gene name synonym)|uniprotkb:CG15753(gene name synonym)|uniprotkb:CG32635(gene name synonym)|uniprotkb:neto(gene name synonym)|uniprotkb:tld-like(gene name synonym)|uniprotkb:Dmel_CG44328(orf name)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Lowe et al. (2014)	imex:IM-16527|pubmed:25294943	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-9936906|flannotator:CPTI-001678|imex:IM-16527-74	intact-miscore:0.35
uniprotkb:Q24247	uniprotkb:Q9VAK0	intact:EBI-187829|uniprotkb:M9PEG3|uniprotkb:M9PHG7|uniprotkb:M9PJL8|uniprotkb:Q8SY51|uniprotkb:Q9VYF6	intact:EBI-89480	psi-mi:ita1_drome(display_long)|uniprotkb:mew(gene name)|psi-mi:mew(display_short)|uniprotkb:CG1771(orf name)|uniprotkb:Position-specific antigen subunit alpha-1(gene name synonym)|uniprotkb:Protein multiple edematous wings(gene name synonym)	psi-mi:q9vak0_drome(display_long)|uniprotkb:Dmel\CG7568(gene name)|psi-mi:Dmel\CG7568(display_short)|uniprotkb:CG7568(orf name)|uniprotkb:Dmel_CG7568(orf name)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Lowe et al. (2014)	imex:IM-16527|pubmed:25294943	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-9936906|flannotator:CPTI-001678|imex:IM-16527-74	intact-miscore:0.35
