idA	idB	altIdsA	altIdsB	aliasesA	aliasesB	detectionMethod	firstAuthor	publicationIdentifiers	taxidA	taxidB	interactionType	sourceDatabase	interactionIdentifiers	confidence
uniprotkb:A0A1D6KE36	uniprotkb:A0A1D6FHW2	intact:EBI-36545111	intact:EBI-36707779	psi-mi:a0a1d6ke36_maize(display_long)|uniprotkb:LOC100304296(gene name)|psi-mi:LOC100304296(display_short)|uniprotkb:ZEAMMB73_Zm00001d030732(orf name)	psi-mi:a0a1d6fhw2_maize(display_long)|uniprotkb:ZEAMMB73_Zm00001d009146(orf name)	"psi-mi:""MI:0018""(two hybrid)"	Linqian et al. (2023)	pubmed:36581701|imex:IM-29553	"taxid:4577(maize)|taxid:4577(""Zea mays (Maize)"")"	"taxid:4577(maize)|taxid:4577(""Zea mays (Maize)"")"	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-36936336|imex:IM-29553-49389	author score:0.995862646|intact-miscore:0.37
uniprotkb:A0A1D6NC34	uniprotkb:A0A1D6FHW2	intact:EBI-36529683	intact:EBI-36707779	psi-mi:a0a1d6nc34_maize(display_long)|uniprotkb:LOC542440(gene name)|psi-mi:LOC542440(display_short)|uniprotkb:ZEAMMB73_Zm00001d043452(orf name)	psi-mi:a0a1d6fhw2_maize(display_long)|uniprotkb:ZEAMMB73_Zm00001d009146(orf name)	"psi-mi:""MI:0018""(two hybrid)"	Linqian et al. (2023)	pubmed:36581701|imex:IM-29553	"taxid:4577(maize)|taxid:4577(""Zea mays (Maize)"")"	"taxid:4577(maize)|taxid:4577(""Zea mays (Maize)"")"	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-36707795|imex:IM-29553-3817	author score:1.0|intact-miscore:0.37
uniprotkb:O17680	uniprotkb:P50306	intact:EBI-2412749	intact:EBI-2412759	psi-mi:metk1_caeel(display_long)|uniprotkb:sams-1(gene name)|psi-mi:sams-1(display_short)|uniprotkb:Methionine adenosyltransferase 1(gene name synonym)|uniprotkb:C49F5.1(orf name)	psi-mi:metk4_caeel(display_long)|uniprotkb:sams-4(gene name)|psi-mi:sams-4(display_short)|uniprotkb:Methionine adenosyltransferase 4(gene name synonym)|uniprotkb:C06E7.3(orf name)	"psi-mi:""MI:0397""(two hybrid array)"	Simonis et al. (2009)	pubmed:19123269	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2412763	intact-miscore:0.49
uniprotkb:P50306	uniprotkb:O17680	intact:EBI-2412759	intact:EBI-2412749	psi-mi:metk4_caeel(display_long)|uniprotkb:sams-4(gene name)|psi-mi:sams-4(display_short)|uniprotkb:Methionine adenosyltransferase 4(gene name synonym)|uniprotkb:C06E7.3(orf name)	psi-mi:metk1_caeel(display_long)|uniprotkb:sams-1(gene name)|psi-mi:sams-1(display_short)|uniprotkb:Methionine adenosyltransferase 1(gene name synonym)|uniprotkb:C49F5.1(orf name)	"psi-mi:""MI:0397""(two hybrid array)"	Simonis et al. (2009)	pubmed:19123269	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2412767	intact-miscore:0.49
uniprotkb:O17680	uniprotkb:P50306	intact:EBI-2412749	intact:EBI-2412759	psi-mi:metk1_caeel(display_long)|uniprotkb:sams-1(gene name)|psi-mi:sams-1(display_short)|uniprotkb:Methionine adenosyltransferase 1(gene name synonym)|uniprotkb:C49F5.1(orf name)	psi-mi:metk4_caeel(display_long)|uniprotkb:sams-4(gene name)|psi-mi:sams-4(display_short)|uniprotkb:Methionine adenosyltransferase 4(gene name synonym)|uniprotkb:C06E7.3(orf name)	"psi-mi:""MI:0398""(two hybrid pooling approach)"	Simonis et al. (2009)	pubmed:19123269	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2422595	intact-miscore:0.49
uniprotkb:P50306	uniprotkb:O17680	intact:EBI-2412759	intact:EBI-2412749	psi-mi:metk4_caeel(display_long)|uniprotkb:sams-4(gene name)|psi-mi:sams-4(display_short)|uniprotkb:Methionine adenosyltransferase 4(gene name synonym)|uniprotkb:C06E7.3(orf name)	psi-mi:metk1_caeel(display_long)|uniprotkb:sams-1(gene name)|psi-mi:sams-1(display_short)|uniprotkb:Methionine adenosyltransferase 1(gene name synonym)|uniprotkb:C49F5.1(orf name)	"psi-mi:""MI:0398""(two hybrid pooling approach)"	Simonis et al. (2009)	pubmed:19123269	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2422599	intact-miscore:0.49
uniprotkb:P50305	uniprotkb:O17680	intact:EBI-2412743	intact:EBI-2412749	psi-mi:metk3_caeel(display_long)|uniprotkb:sams-3(gene name)|psi-mi:sams-3(display_short)|uniprotkb:Methionine adenosyltransferase 3(gene name synonym)|uniprotkb:C06E7.1(orf name)	psi-mi:metk1_caeel(display_long)|uniprotkb:sams-1(gene name)|psi-mi:sams-1(display_short)|uniprotkb:Methionine adenosyltransferase 1(gene name synonym)|uniprotkb:C49F5.1(orf name)	"psi-mi:""MI:0397""(two hybrid array)"	Simonis et al. (2009)	pubmed:19123269	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2412747	intact-miscore:0.49
uniprotkb:P50305	uniprotkb:O17680	intact:EBI-2412743	intact:EBI-2412749	psi-mi:metk3_caeel(display_long)|uniprotkb:sams-3(gene name)|psi-mi:sams-3(display_short)|uniprotkb:Methionine adenosyltransferase 3(gene name synonym)|uniprotkb:C06E7.1(orf name)	psi-mi:metk1_caeel(display_long)|uniprotkb:sams-1(gene name)|psi-mi:sams-1(display_short)|uniprotkb:Methionine adenosyltransferase 1(gene name synonym)|uniprotkb:C49F5.1(orf name)	"psi-mi:""MI:0397""(two hybrid array)"	Simonis et al. (2009)	pubmed:19123269	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2412755	intact-miscore:0.49
uniprotkb:P50305	uniprotkb:O17680	intact:EBI-2412743	intact:EBI-2412749	psi-mi:metk3_caeel(display_long)|uniprotkb:sams-3(gene name)|psi-mi:sams-3(display_short)|uniprotkb:Methionine adenosyltransferase 3(gene name synonym)|uniprotkb:C06E7.1(orf name)	psi-mi:metk1_caeel(display_long)|uniprotkb:sams-1(gene name)|psi-mi:sams-1(display_short)|uniprotkb:Methionine adenosyltransferase 1(gene name synonym)|uniprotkb:C49F5.1(orf name)	"psi-mi:""MI:0398""(two hybrid pooling approach)"	Simonis et al. (2009)	pubmed:19123269	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2422591	intact-miscore:0.49
uniprotkb:P50305	uniprotkb:O17680	intact:EBI-2412743	intact:EBI-2412749	psi-mi:metk3_caeel(display_long)|uniprotkb:sams-3(gene name)|psi-mi:sams-3(display_short)|uniprotkb:Methionine adenosyltransferase 3(gene name synonym)|uniprotkb:C06E7.1(orf name)	psi-mi:metk1_caeel(display_long)|uniprotkb:sams-1(gene name)|psi-mi:sams-1(display_short)|uniprotkb:Methionine adenosyltransferase 1(gene name synonym)|uniprotkb:C49F5.1(orf name)	"psi-mi:""MI:0398""(two hybrid pooling approach)"	Simonis et al. (2009)	pubmed:19123269	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2422587	intact-miscore:0.49
