idA	idB	altIdsA	altIdsB	aliasesA	aliasesB	detectionMethod	firstAuthor	publicationIdentifiers	taxidA	taxidB	interactionType	sourceDatabase	interactionIdentifiers	confidence
uniprotkb:O25338	uniprotkb:O25766	intact:EBI-7494589|intact:MINT-162121	intact:EBI-7612675|intact:MINT-179982	psi-mi:muts2_helpy(display_long)|uniprotkb:mutS2(gene name)|psi-mi:mutS2(display_short)|uniprotkb:mutSB(gene name synonym)|uniprotkb:Ribosome-associated protein quality control-upstream factor(gene name synonym)|uniprotkb:rqcU(gene name synonym)|uniprotkb:HP_0621(locus name)	psi-mi:trmd_helpy(display_long)|uniprotkb:trmD(gene name)|psi-mi:trmD(display_short)|uniprotkb:HP_1148(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)	"psi-mi:""MI:0397""(two hybrid array)"	HÃ¤user et al. (2014)	imex:IM-22256|pubmed:24627523	taxid:85962(helpy)|taxid:85962(Helicobacter pylori)	taxid:85962(helpy)|taxid:85962(Helicobacter pylori)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-9321381|imex:IM-22256-261	author score:A|intact-miscore:0.37
uniprotkb:O25939	uniprotkb:O25766	intact:EBI-9266334	intact:EBI-7612675|intact:MINT-179982	psi-mi:o25939_helpy(display_long)|uniprotkb:HP_1389(locus name)	psi-mi:trmd_helpy(display_long)|uniprotkb:trmD(gene name)|psi-mi:trmD(display_short)|uniprotkb:HP_1148(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)	"psi-mi:""MI:0397""(two hybrid array)"	HÃ¤user et al. (2014)	imex:IM-22256|pubmed:24627523	taxid:85962(helpy)|taxid:85962(Helicobacter pylori)	taxid:85962(helpy)|taxid:85962(Helicobacter pylori)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-9326851|imex:IM-22256-564	author score:B|intact-miscore:0.37
uniprotkb:O25979	uniprotkb:O25766	intact:EBI-7493621|intact:MINT-185606	intact:EBI-7612675|intact:MINT-179982	psi-mi:o25979_helpy(display_long)|uniprotkb:HP_1438(locus name)	psi-mi:trmd_helpy(display_long)|uniprotkb:trmD(gene name)|psi-mi:trmD(display_short)|uniprotkb:HP_1148(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)	"psi-mi:""MI:0397""(two hybrid array)"	HÃ¤user et al. (2014)	imex:IM-22256|pubmed:24627523	taxid:85962(helpy)|taxid:85962(Helicobacter pylori)	taxid:85962(helpy)|taxid:85962(Helicobacter pylori)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-9327409|imex:IM-22256-595	author score:B|intact-miscore:0.37
uniprotkb:O25939	uniprotkb:O25766	intact:EBI-9266334	intact:EBI-7612675|intact:MINT-179982	psi-mi:o25939_helpy(display_long)|uniprotkb:HP_1389(locus name)	psi-mi:trmd_helpy(display_long)|uniprotkb:trmD(gene name)|psi-mi:trmD(display_short)|uniprotkb:HP_1148(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)	"psi-mi:""MI:0397""(two hybrid array)"	HÃ¤user et al. (2014)	imex:IM-22256|pubmed:24627523	taxid:85962(helpy)|taxid:85962(Helicobacter pylori)	taxid:85962(helpy)|taxid:85962(Helicobacter pylori)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-9338289|imex:IM-22256-1198	author score:B|intact-miscore:0.37
uniprotkb:O25766	uniprotkb:O25979	intact:EBI-7612675|intact:MINT-179982	intact:EBI-7493621|intact:MINT-185606	psi-mi:trmd_helpy(display_long)|uniprotkb:trmD(gene name)|psi-mi:trmD(display_short)|uniprotkb:HP_1148(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)	psi-mi:o25979_helpy(display_long)|uniprotkb:HP_1438(locus name)	"psi-mi:""MI:0397""(two hybrid array)"	HÃ¤user et al. (2014)	imex:IM-22256|pubmed:24627523	taxid:85962(helpy)|taxid:85962(Helicobacter pylori)	taxid:85962(helpy)|taxid:85962(Helicobacter pylori)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-9338505|imex:IM-22256-1210	author score:B|intact-miscore:0.37
uniprotkb:Q72C30	uniprotkb:Q72DU3	intact:EBI-10069217	intact:EBI-10069213	psi-mi:ispdf_nitv2(display_long)|uniprotkb:ispD(gene name synonym)|uniprotkb:DVU_1454(locus name)|uniprotkb:ispDF(gene name)|psi-mi:ispDF(display_short)	psi-mi:trmd_nitv2(display_long)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:DVU_0836(locus name)|uniprotkb:trmD(gene name)|psi-mi:trmD(display_short)	"psi-mi:""MI:0676""(tandem affinity purification)"	Shatsky et al. (2016)	pubmed:26873250|imex:IM-22740	"taxid:882(desvh)|taxid:882(""Desulfovibrio vulgaris (strain Hildenborough / ATCC 29579 / NCIMB 8303)"")"	"taxid:882(desvh)|taxid:882(""Desulfovibrio vulgaris (strain Hildenborough / ATCC 29579 / NCIMB 8303)"")"	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-10069221|imex:IM-22740-233	intact-miscore:0.35
uniprotkb:Q72DU3	uniprotkb:Q72C30	intact:EBI-10069213	intact:EBI-10069217	psi-mi:trmd_nitv2(display_long)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:DVU_0836(locus name)|uniprotkb:trmD(gene name)|psi-mi:trmD(display_short)	psi-mi:ispdf_nitv2(display_long)|uniprotkb:ispD(gene name synonym)|uniprotkb:DVU_1454(locus name)|uniprotkb:ispDF(gene name)|psi-mi:ispDF(display_short)	"psi-mi:""MI:0676""(tandem affinity purification)"	Shatsky et al. (2016)	pubmed:26873250|imex:IM-22740	"taxid:882(desvh)|taxid:882(""Desulfovibrio vulgaris (strain Hildenborough / ATCC 29579 / NCIMB 8303)"")"	"taxid:882(desvh)|taxid:882(""Desulfovibrio vulgaris (strain Hildenborough / ATCC 29579 / NCIMB 8303)"")"	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-10070460|imex:IM-22740-302	intact-miscore:0.35
uniprotkb:Q72DU3	uniprotkb:Q72FB7	intact:EBI-10069213	intact:EBI-10070463	psi-mi:trmd_nitv2(display_long)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:DVU_0836(locus name)|uniprotkb:trmD(gene name)|psi-mi:trmD(display_short)	psi-mi:q72fb7_nitv2(display_long)|uniprotkb:DVU_0297(locus name)	"psi-mi:""MI:0676""(tandem affinity purification)"	Shatsky et al. (2016)	pubmed:26873250|imex:IM-22740	"taxid:882(desvh)|taxid:882(""Desulfovibrio vulgaris (strain Hildenborough / ATCC 29579 / NCIMB 8303)"")"	"taxid:882(desvh)|taxid:882(""Desulfovibrio vulgaris (strain Hildenborough / ATCC 29579 / NCIMB 8303)"")"	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-10070460|imex:IM-22740-302	intact-miscore:0.50
uniprotkb:Q72C30	uniprotkb:Q72DU3	intact:EBI-10069217	intact:EBI-10069213	psi-mi:ispdf_nitv2(display_long)|uniprotkb:ispD(gene name synonym)|uniprotkb:DVU_1454(locus name)|uniprotkb:ispDF(gene name)|psi-mi:ispDF(display_short)	psi-mi:trmd_nitv2(display_long)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:DVU_0836(locus name)|uniprotkb:trmD(gene name)|psi-mi:trmD(display_short)	"psi-mi:""MI:0676""(tandem affinity purification)"	Shatsky et al. (2016)	pubmed:26873250|imex:IM-22740	"taxid:882(desvh)|taxid:882(""Desulfovibrio vulgaris (strain Hildenborough / ATCC 29579 / NCIMB 8303)"")"	"taxid:882(desvh)|taxid:882(""Desulfovibrio vulgaris (strain Hildenborough / ATCC 29579 / NCIMB 8303)"")"	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-10069238|imex:IM-22740-234	intact-miscore:0.35
uniprotkb:Q72DU3	uniprotkb:Q72FB7	intact:EBI-10069213	intact:EBI-10070463	psi-mi:trmd_nitv2(display_long)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:DVU_0836(locus name)|uniprotkb:trmD(gene name)|psi-mi:trmD(display_short)	psi-mi:q72fb7_nitv2(display_long)|uniprotkb:DVU_0297(locus name)	"psi-mi:""MI:0676""(tandem affinity purification)"	Shatsky et al. (2016)	pubmed:26873250|imex:IM-22740	"taxid:882(desvh)|taxid:882(""Desulfovibrio vulgaris (strain Hildenborough / ATCC 29579 / NCIMB 8303)"")"	"taxid:882(desvh)|taxid:882(""Desulfovibrio vulgaris (strain Hildenborough / ATCC 29579 / NCIMB 8303)"")"	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-10070480|imex:IM-22740-303	intact-miscore:0.50
