# ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:Q06287	uniprotkb:Q06287	uniprotkb:E9P8U2|uniprotkb:D6VYI9|intact:EBI-11979|uniprotkb:Q06287	uniprotkb:E9P8U2|uniprotkb:D6VYI9|intact:EBI-11979|uniprotkb:Q06287	psi-mi:nep1_yeast(display_short)|psi-mi:Ribosomal RNA small subunit methyltransferase NEP1(display_long)|uniprotkb:EMG1(gene name)|uniprotkb:Essential for mitotic growth protein 1(gene name synonym)|uniprotkb:"18S rRNA (pseudouridine(1189)-N1)-methyltransferase"(gene name synonym)|uniprotkb:Nucleolar essential protein 1(gene name synonym)|uniprotkb:L9470.5(orf name)|uniprotkb:YLR186W(locus name)|uniprotkb:NEP1(gene name synonym)	psi-mi:nep1_yeast(display_short)|psi-mi:Ribosomal RNA small subunit methyltransferase NEP1(display_long)|uniprotkb:EMG1(gene name)|uniprotkb:Essential for mitotic growth protein 1(gene name synonym)|uniprotkb:"18S rRNA (pseudouridine(1189)-N1)-methyltransferase"(gene name synonym)|uniprotkb:Nucleolar essential protein 1(gene name synonym)|uniprotkb:L9470.5(orf name)|uniprotkb:YLR186W(locus name)|uniprotkb:NEP1(gene name synonym)	psi-mi:"MI:0071"(molecular sieving)	Meyer B. et al.(2011)	intact:EBI-10903813|pubmed:20972225|imex:IM-24471	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-10903893|imex:IM-24471-1	intact-miscore:0.68
uniprotkb:Q06287	uniprotkb:Q06287	uniprotkb:E9P8U2|uniprotkb:D6VYI9|intact:EBI-11979|uniprotkb:Q06287	uniprotkb:E9P8U2|uniprotkb:D6VYI9|intact:EBI-11979|uniprotkb:Q06287	psi-mi:nep1_yeast(display_short)|psi-mi:Ribosomal RNA small subunit methyltransferase NEP1(display_long)|uniprotkb:EMG1(gene name)|uniprotkb:Essential for mitotic growth protein 1(gene name synonym)|uniprotkb:"18S rRNA (pseudouridine(1189)-N1)-methyltransferase"(gene name synonym)|uniprotkb:Nucleolar essential protein 1(gene name synonym)|uniprotkb:L9470.5(orf name)|uniprotkb:YLR186W(locus name)|uniprotkb:NEP1(gene name synonym)	psi-mi:nep1_yeast(display_short)|psi-mi:Ribosomal RNA small subunit methyltransferase NEP1(display_long)|uniprotkb:EMG1(gene name)|uniprotkb:Essential for mitotic growth protein 1(gene name synonym)|uniprotkb:"18S rRNA (pseudouridine(1189)-N1)-methyltransferase"(gene name synonym)|uniprotkb:Nucleolar essential protein 1(gene name synonym)|uniprotkb:L9470.5(orf name)|uniprotkb:YLR186W(locus name)|uniprotkb:NEP1(gene name synonym)	psi-mi:"MI:0096"(pull down)	Leulliot N. et al.(2008)	intact:EBI-11660325|pubmed:18063569|imex:IM-25684	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-11664384|imex:IM-25684-2	intact-miscore:0.68
uniprotkb:Q06287	uniprotkb:Q06287	uniprotkb:E9P8U2|uniprotkb:D6VYI9|intact:EBI-11979|uniprotkb:Q06287	uniprotkb:E9P8U2|uniprotkb:D6VYI9|intact:EBI-11979|uniprotkb:Q06287	psi-mi:nep1_yeast(display_short)|psi-mi:Ribosomal RNA small subunit methyltransferase NEP1(display_long)|uniprotkb:EMG1(gene name)|uniprotkb:Essential for mitotic growth protein 1(gene name synonym)|uniprotkb:"18S rRNA (pseudouridine(1189)-N1)-methyltransferase"(gene name synonym)|uniprotkb:Nucleolar essential protein 1(gene name synonym)|uniprotkb:L9470.5(orf name)|uniprotkb:YLR186W(locus name)|uniprotkb:NEP1(gene name synonym)	psi-mi:nep1_yeast(display_short)|psi-mi:Ribosomal RNA small subunit methyltransferase NEP1(display_long)|uniprotkb:EMG1(gene name)|uniprotkb:Essential for mitotic growth protein 1(gene name synonym)|uniprotkb:"18S rRNA (pseudouridine(1189)-N1)-methyltransferase"(gene name synonym)|uniprotkb:Nucleolar essential protein 1(gene name synonym)|uniprotkb:L9470.5(orf name)|uniprotkb:YLR186W(locus name)|uniprotkb:NEP1(gene name synonym)	psi-mi:"MI:0071"(molecular sieving)	Leulliot N. et al.(2008)	intact:EBI-11660325|pubmed:18063569|imex:IM-25684	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-11664405|imex:IM-25684-3	intact-miscore:0.68
uniprotkb:Q92979	uniprotkb:Q92979	uniprotkb:O00675|uniprotkb:O00726|ensembl:ENSP00000470560.1|intact:EBI-718638|uniprotkb:Q92979	uniprotkb:O00675|uniprotkb:O00726|ensembl:ENSP00000470560.1|intact:EBI-718638|uniprotkb:Q92979	psi-mi:nep1_human(display_short)|psi-mi:Ribosomal RNA small subunit methyltransferase NEP1(display_long)|uniprotkb:EMG1(gene name)|uniprotkb:"18S rRNA (pseudouridine(1248)-N1)-methyltransferase"(gene name synonym)|uniprotkb:Ribosome biogenesis protein NEP1(gene name synonym)|uniprotkb:18S rRNA Psi1248 methyltransferase(gene name synonym)|uniprotkb:C2F(gene name synonym)|uniprotkb:Protein C2f(gene name synonym)|uniprotkb:Nucleolar protein EMG1 homolog(gene name synonym)|IntAct:EMG1(author assigned name)|IntAct:"CCSB ORF ID: 13283"(author assigned name)	psi-mi:nep1_human(display_short)|psi-mi:Ribosomal RNA small subunit methyltransferase NEP1(display_long)|uniprotkb:EMG1(gene name)|uniprotkb:"18S rRNA (pseudouridine(1248)-N1)-methyltransferase"(gene name synonym)|uniprotkb:Ribosome biogenesis protein NEP1(gene name synonym)|uniprotkb:18S rRNA Psi1248 methyltransferase(gene name synonym)|uniprotkb:C2F(gene name synonym)|uniprotkb:Protein C2f(gene name synonym)|uniprotkb:Nucleolar protein EMG1 homolog(gene name synonym)|IntAct:EMG1(author assigned name)|IntAct:"CCSB ORF ID: 13283"(author assigned name)	psi-mi:"MI:0397"(two hybrid array)	Luck K. et al.(2017)	intact:EBI-11784632|pubmed:32296183|imex:IM-25472	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-23468825|imex:IM-25472-63920	intact-miscore:0.56|author-based confidence:0.850150837604
uniprotkb:Q92979	uniprotkb:Q92979	uniprotkb:O00675|uniprotkb:O00726|ensembl:ENSP00000470560.1|intact:EBI-718638|uniprotkb:Q92979	uniprotkb:O00675|uniprotkb:O00726|ensembl:ENSP00000470560.1|intact:EBI-718638|uniprotkb:Q92979	psi-mi:nep1_human(display_short)|psi-mi:Ribosomal RNA small subunit methyltransferase NEP1(display_long)|uniprotkb:EMG1(gene name)|uniprotkb:"18S rRNA (pseudouridine(1248)-N1)-methyltransferase"(gene name synonym)|uniprotkb:Ribosome biogenesis protein NEP1(gene name synonym)|uniprotkb:18S rRNA Psi1248 methyltransferase(gene name synonym)|uniprotkb:C2F(gene name synonym)|uniprotkb:Protein C2f(gene name synonym)|uniprotkb:Nucleolar protein EMG1 homolog(gene name synonym)|IntAct:EMG1(author assigned name)|IntAct:"CCSB ORF ID: 13283"(author assigned name)	psi-mi:nep1_human(display_short)|psi-mi:Ribosomal RNA small subunit methyltransferase NEP1(display_long)|uniprotkb:EMG1(gene name)|uniprotkb:"18S rRNA (pseudouridine(1248)-N1)-methyltransferase"(gene name synonym)|uniprotkb:Ribosome biogenesis protein NEP1(gene name synonym)|uniprotkb:18S rRNA Psi1248 methyltransferase(gene name synonym)|uniprotkb:C2F(gene name synonym)|uniprotkb:Protein C2f(gene name synonym)|uniprotkb:Nucleolar protein EMG1 homolog(gene name synonym)|IntAct:EMG1(author assigned name)|IntAct:"CCSB ORF ID: 13283"(author assigned name)	psi-mi:"MI:1112"(two hybrid prey pooling approach)	Luck K. et al.(2017)	intact:EBI-11784632|pubmed:32296183|imex:IM-25472	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-25024243|imex:IM-25472-51185	intact-miscore:0.56|author-based confidence:0.850150837604
uniprotkb:Q92979	uniprotkb:Q92979	uniprotkb:O00675|uniprotkb:O00726|ensembl:ENSP00000470560.1|intact:EBI-718638|uniprotkb:Q92979	uniprotkb:O00675|uniprotkb:O00726|ensembl:ENSP00000470560.1|intact:EBI-718638|uniprotkb:Q92979	psi-mi:nep1_human(display_short)|psi-mi:Ribosomal RNA small subunit methyltransferase NEP1(display_long)|uniprotkb:EMG1(gene name)|uniprotkb:"18S rRNA (pseudouridine(1248)-N1)-methyltransferase"(gene name synonym)|uniprotkb:Ribosome biogenesis protein NEP1(gene name synonym)|uniprotkb:18S rRNA Psi1248 methyltransferase(gene name synonym)|uniprotkb:C2F(gene name synonym)|uniprotkb:Protein C2f(gene name synonym)|uniprotkb:Nucleolar protein EMG1 homolog(gene name synonym)|IntAct:EMG1(author assigned name)|IntAct:"CCSB ORF ID: 13283"(author assigned name)	psi-mi:nep1_human(display_short)|psi-mi:Ribosomal RNA small subunit methyltransferase NEP1(display_long)|uniprotkb:EMG1(gene name)|uniprotkb:"18S rRNA (pseudouridine(1248)-N1)-methyltransferase"(gene name synonym)|uniprotkb:Ribosome biogenesis protein NEP1(gene name synonym)|uniprotkb:18S rRNA Psi1248 methyltransferase(gene name synonym)|uniprotkb:C2F(gene name synonym)|uniprotkb:Protein C2f(gene name synonym)|uniprotkb:Nucleolar protein EMG1 homolog(gene name synonym)|IntAct:EMG1(author assigned name)|IntAct:"CCSB ORF ID: 13283"(author assigned name)	psi-mi:"MI:1356"(validated two hybrid)	Luck K. et al.(2017)	intact:EBI-11784632|pubmed:32296183|imex:IM-25472	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-24544621|imex:IM-25472-136689	intact-miscore:0.56
uniprotkb:Q9W4J5	uniprotkb:Q9VUQ1	uniprotkb:Q9W4J5|intact:EBI-155658	uniprotkb:Q9VUP9|uniprotkb:Q9VUQ0|uniprotkb:Q9VUQ2|intact:EBI-162539|uniprotkb:Q9VUQ1	psi-mi:nep1_drome(display_short)|psi-mi:Ribosomal RNA small subunit methyltransferase NEP1(display_long)|uniprotkb:"18S rRNA (pseudouridine-N1)-methyltransferase"(gene name synonym)|uniprotkb:Ribosome biogenesis protein NEP1(gene name synonym)|uniprotkb:CG3527(orf name)	psi-mi:q9vuq1_drome(display_short)|uniprotkb:CG17014(gene name synonym)|uniprotkb:Dmel\CG7945(gene name synonym)|uniprotkb:CG7945(orf name)|uniprotkb:Dmel_CG7945(orf name)|uniprotkb:BAG2(gene name)	psi-mi:"MI:0018"(two hybrid)	Giot L. et al.(2003)	intact:EBI-1991975|mint:MINT-5216804|pubmed:14605208|imex:IM-16524	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-269763|imex:IM-16524-16796	intact-miscore:0.37|author-based confidence:low|author-based confidence:0.45
uniprotkb:Q06287	rnacentral:URS00005F2C2D_559292	uniprotkb:E9P8U2|uniprotkb:D6VYI9|intact:EBI-11979|uniprotkb:Q06287	intact:EBI-10821373	psi-mi:nep1_yeast(display_short)|psi-mi:Ribosomal RNA small subunit methyltransferase NEP1(display_long)|uniprotkb:EMG1(gene name)|uniprotkb:Essential for mitotic growth protein 1(gene name synonym)|uniprotkb:"18S rRNA (pseudouridine(1189)-N1)-methyltransferase"(gene name synonym)|uniprotkb:Nucleolar essential protein 1(gene name synonym)|uniprotkb:L9470.5(orf name)|uniprotkb:YLR186W(locus name)|uniprotkb:NEP1(gene name synonym)	psi-mi:rrna 18s yeast(display_short)|psi-mi:Ribosomal RNA 18S Yeast(display_long)	psi-mi:"MI:0053"(fluorescence polarization spectroscopy)	Meyer B. et al.(2011)	intact:EBI-10903813|pubmed:20972225|imex:IM-24471	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-10903990|imex:IM-24471-2	intact-miscore:0.68
uniprotkb:Q06287	rnacentral:URS00005F2C2D_559292	uniprotkb:E9P8U2|uniprotkb:D6VYI9|intact:EBI-11979|uniprotkb:Q06287	intact:EBI-10821373	psi-mi:nep1_yeast(display_short)|psi-mi:Ribosomal RNA small subunit methyltransferase NEP1(display_long)|uniprotkb:EMG1(gene name)|uniprotkb:Essential for mitotic growth protein 1(gene name synonym)|uniprotkb:"18S rRNA (pseudouridine(1189)-N1)-methyltransferase"(gene name synonym)|uniprotkb:Nucleolar essential protein 1(gene name synonym)|uniprotkb:L9470.5(orf name)|uniprotkb:YLR186W(locus name)|uniprotkb:NEP1(gene name synonym)	psi-mi:rrna 18s yeast(display_short)|psi-mi:Ribosomal RNA 18S Yeast(display_long)	psi-mi:"MI:0415"(enzymatic study)	Meyer B. et al.(2011)	intact:EBI-10903813|pubmed:20972225|imex:IM-24471	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0213"(methylation reaction)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-10916010|imex:IM-24471-3	intact-miscore:0.68
uniprotkb:Q06287	rnacentral:URS00005F2C2D_559292	uniprotkb:E9P8U2|uniprotkb:D6VYI9|intact:EBI-11979|uniprotkb:Q06287	intact:EBI-10821373	psi-mi:nep1_yeast(display_short)|psi-mi:Ribosomal RNA small subunit methyltransferase NEP1(display_long)|uniprotkb:EMG1(gene name)|uniprotkb:Essential for mitotic growth protein 1(gene name synonym)|uniprotkb:"18S rRNA (pseudouridine(1189)-N1)-methyltransferase"(gene name synonym)|uniprotkb:Nucleolar essential protein 1(gene name synonym)|uniprotkb:L9470.5(orf name)|uniprotkb:YLR186W(locus name)|uniprotkb:NEP1(gene name synonym)	psi-mi:rrna 18s yeast(display_short)|psi-mi:Ribosomal RNA 18S Yeast(display_long)	psi-mi:"MI:0096"(pull down)	Leulliot N. et al.(2008)	intact:EBI-11660325|pubmed:18063569|imex:IM-25684	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-11664376|imex:IM-25684-1	intact-miscore:0.68
