# ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:O97428	uniprotkb:Q8IRE4	intact:EBI-1630485|intact:EBI-158242|uniprotkb:O97428	uniprotkb:Q8IRE4|intact:EBI-58767210	psi-mi:o97428_drome(display_short)|uniprotkb:"EG:EG0007.11"(gene name synonym)|uniprotkb:Dmel_CG4944(orf name)|uniprotkb:CG4944(orf name)|uniprotkb:Dmel\CG4944(gene name synonym)|uniprotkb:EG0007-11(gene name synonym)|uniprotkb:cib(gene name)	psi-mi:trm5_drome(display_short)|psi-mi:"tRNA (guanine(37)-N(1))-methyltransferase"(display_long)|uniprotkb:CG32281(orf name)|uniprotkb:tRNA methyltransferase 5 homolog(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:M1G-methyltransferase(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Bhat G. et al.(2024)	intact:EBI-55567111|pubmed:38944040|imex:IM-30112	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-58767204|imex:IM-30112-1623	intact-miscore:0.35
uniprotkb:P32589	uniprotkb:P38793	uniprotkb:D6W3R1|intact:EBI-8648|uniprotkb:P32589	uniprotkb:D3DL19|intact:EBI-24581|uniprotkb:P38793	psi-mi:hsp7f_yeast(display_short)|psi-mi:Heat shock protein homolog SSE1(display_long)|uniprotkb:MSI3(gene name synonym)|uniprotkb:YPL106C(locus name)|uniprotkb:LPG3C(orf name)|uniprotkb:Chaperone protein MSI3(gene name synonym)|uniprotkb:SSE1(gene name)|IntAct:SSE1(author assigned name)	psi-mi:trm5_yeast(display_short)|psi-mi:"tRNA (guanine(37)-N(1))-methyltransferase"(display_long)|uniprotkb:YHR070W(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:tRNA methyltransferase 5(gene name synonym)|uniprotkb:TRM5(gene name)|IntAct:Trm5(author assigned name)	psi-mi:"MI:0676"(tandem affinity purification)	Gong Y. et al.(2009)	intact:EBI-3651142|pubmed:19536198	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-3730810	intact-miscore:0.35
uniprotkb:P38793	uniprotkb:P11484	uniprotkb:D3DL19|intact:EBI-24581|uniprotkb:P38793	uniprotkb:Q05834|uniprotkb:D6VRC7|intact:EBI-29890|uniprotkb:E9P9V5|intact:EBI-8627|uniprotkb:P11484	psi-mi:trm5_yeast(display_short)|psi-mi:"tRNA (guanine(37)-N(1))-methyltransferase"(display_long)|uniprotkb:YHR070W(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:tRNA methyltransferase 5(gene name synonym)|uniprotkb:TRM5(gene name)|IntAct:Trm5(author assigned name)	psi-mi:ssb1_yeast(display_short)|psi-mi:Ribosome-associated molecular chaperone SSB1(display_long)|uniprotkb:SSB1(gene name)|uniprotkb:Hsp70 chaperone Ssb(gene name synonym)|uniprotkb:Heat shock protein SSB1(gene name synonym)|uniprotkb:YDL229W(locus name)|uniprotkb:YG101(gene name synonym)|uniprotkb:Cold-inducible protein YG101(gene name synonym)|IntAct:SSB1(author assigned name)	psi-mi:"MI:0676"(tandem affinity purification)	Gong Y. et al.(2009)	intact:EBI-3651142|pubmed:19536198	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-3697347	intact-miscore:0.35
uniprotkb:P10591	uniprotkb:P38793	uniprotkb:D6VPL2|intact:EBI-8591|uniprotkb:P10591	uniprotkb:D3DL19|intact:EBI-24581|uniprotkb:P38793	psi-mi:hsp71_yeast(display_short)|psi-mi:Heat shock protein SSA1(display_long)|uniprotkb:SSA1(gene name)|uniprotkb:Heat shock protein YG100(gene name synonym)|uniprotkb:YAL005C(locus name)|IntAct:SSA1(author assigned name)	psi-mi:trm5_yeast(display_short)|psi-mi:"tRNA (guanine(37)-N(1))-methyltransferase"(display_long)|uniprotkb:YHR070W(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:tRNA methyltransferase 5(gene name synonym)|uniprotkb:TRM5(gene name)|IntAct:Trm5(author assigned name)	psi-mi:"MI:0676"(tandem affinity purification)	Gong Y. et al.(2009)	intact:EBI-3651142|pubmed:19536198	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-3678898	intact-miscore:0.35
uniprotkb:P38793	uniprotkb:P04173	uniprotkb:D3DL19|intact:EBI-24581|uniprotkb:P38793	uniprotkb:D6VQZ6|intact:MINT-4809760|intact:EBI-7452482|uniprotkb:P04173	psi-mi:trm5_yeast(display_short)|psi-mi:"tRNA (guanine(37)-N(1))-methyltransferase"(display_long)|uniprotkb:YHR070W(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:tRNA methyltransferase 5(gene name synonym)|uniprotkb:TRM5(gene name)	psi-mi:leu3_yeast(display_short)|psi-mi:3-isopropylmalate dehydrogenase(display_long)|uniprotkb:YCL018W(locus name)|uniprotkb:YCL18W(orf name)|uniprotkb:Beta-IPM dehydrogenase(gene name synonym)|uniprotkb:LEU2(gene name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Ho Y. et al.(2002)	pubmed:11805837|doi:10.1038/415180a|intact:EBI-16263388|imex:IM-8299	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0465"(Database of Interacting Proteins)	intact:EBI-16289341|dip:DIP-91501E|imex:IM-8299-558	intact-miscore:0.35
uniprotkb:P38793	uniprotkb:P40364	uniprotkb:D3DL19|intact:EBI-24581|uniprotkb:P38793	uniprotkb:D6VWB6|intact:EBI-25914|uniprotkb:P40364	psi-mi:trm5_yeast(display_short)|psi-mi:"tRNA (guanine(37)-N(1))-methyltransferase"(display_long)|uniprotkb:YHR070W(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:tRNA methyltransferase 5(gene name synonym)|uniprotkb:TRM5(gene name)	psi-mi:mpm1_yeast(display_short)|psi-mi:Mitochondrial peculiar membrane protein 1(display_long)|uniprotkb:J1111(orf name)|uniprotkb:YJL066C(locus name)|uniprotkb:HRE252(orf name)|uniprotkb:MPM1(gene name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Ho Y. et al.(2002)	pubmed:11805837|doi:10.1038/415180a|intact:EBI-16263388|imex:IM-8299	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0465"(Database of Interacting Proteins)	intact:EBI-16289341|dip:DIP-91501E|imex:IM-8299-558	intact-miscore:0.35
uniprotkb:P17555	uniprotkb:P38793	uniprotkb:D6W144|intact:EBI-4024|uniprotkb:P17555	uniprotkb:D3DL19|intact:EBI-24581|uniprotkb:P38793	psi-mi:cap_yeast(display_short)|psi-mi:Adenylyl cyclase-associated protein(display_long)|uniprotkb:CAP1(gene name synonym)|uniprotkb:YNL138W(locus name)|uniprotkb:N1210(orf name)|uniprotkb:N1838(orf name)|uniprotkb:SRV2(gene name)	psi-mi:trm5_yeast(display_short)|psi-mi:"tRNA (guanine(37)-N(1))-methyltransferase"(display_long)|uniprotkb:YHR070W(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:tRNA methyltransferase 5(gene name synonym)|uniprotkb:TRM5(gene name)	psi-mi:"MI:0018"(two hybrid)	Uetz P. et al.(2000)	intact:EBI-1992807|mint:MINT-5212268|pubmed:10688190	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-394122	intact-miscore:0.37
uniprotkb:P38793	uniprotkb:P0CS90	uniprotkb:D3DL19|intact:EBI-24581|uniprotkb:P38793	uniprotkb:D6VWL6|uniprotkb:P12398|intact:EBI-8637|uniprotkb:P0CS90	psi-mi:trm5_yeast(display_short)|psi-mi:"tRNA (guanine(37)-N(1))-methyltransferase"(display_long)|uniprotkb:YHR070W(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:tRNA methyltransferase 5(gene name synonym)|uniprotkb:TRM5(gene name)	psi-mi:hsp77_yeast(display_short)|psi-mi:Import motor subunit, mitochondrial(display_long)|uniprotkb:ssc1(gene name)|uniprotkb:Endonuclease SceI 75 kDa subunit(gene name synonym)|uniprotkb:mtHSP70(gene name synonym)|uniprotkb:J1639(orf name)|uniprotkb:YJR045C(locus name)|uniprotkb:ENS1(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Ho Y. et al.(2002)	pubmed:11805837|doi:10.1038/415180a|intact:EBI-16263388|imex:IM-8299	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0465"(Database of Interacting Proteins)	intact:EBI-16289341|dip:DIP-91501E|imex:IM-8299-558	intact-miscore:0.35
uniprotkb:P38793	uniprotkb:P60010	uniprotkb:D3DL19|intact:EBI-24581|uniprotkb:P38793	uniprotkb:P02579|uniprotkb:Q9P3X6|uniprotkb:Q9P3X7|uniprotkb:D6VTJ1|intact:EBI-2169|uniprotkb:P60010	psi-mi:trm5_yeast(display_short)|psi-mi:"tRNA (guanine(37)-N(1))-methyltransferase"(display_long)|uniprotkb:YHR070W(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:tRNA methyltransferase 5(gene name synonym)|uniprotkb:TRM5(gene name)	psi-mi:act_yeast(display_short)|psi-mi:Actin(display_long)|uniprotkb:ACT1(gene name)|uniprotkb:YFL039C(locus name)|uniprotkb:END7(gene name synonym)|uniprotkb:ABY1(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Ho Y. et al.(2002)	pubmed:11805837|doi:10.1038/415180a|intact:EBI-16263388|imex:IM-8299	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0465"(Database of Interacting Proteins)	intact:EBI-16289341|dip:DIP-91501E|imex:IM-8299-558	intact-miscore:0.35
uniprotkb:P34110	uniprotkb:P38793	uniprotkb:D6VW33|intact:EBI-20415|uniprotkb:P34110	uniprotkb:D3DL19|intact:EBI-24581|uniprotkb:P38793	psi-mi:vps35_yeast(display_short)|psi-mi:Vacuolar protein sorting-associated protein 35(display_long)|uniprotkb:Vacuolar protein-targeting protein 7(gene name synonym)|uniprotkb:VPT7(gene name synonym)|uniprotkb:J0580(orf name)|uniprotkb:YJL154C(locus name)|uniprotkb:VPS35(gene name)	psi-mi:trm5_yeast(display_short)|psi-mi:"tRNA (guanine(37)-N(1))-methyltransferase"(display_long)|uniprotkb:YHR070W(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:tRNA methyltransferase 5(gene name synonym)|uniprotkb:TRM5(gene name)	psi-mi:"MI:0676"(tandem affinity purification)	Krogan NJ et al.(2006)	intact:EBI-6933337|doi:10.1038/nature04670|mint:MINT-1978243|mint:MINT-5218454|pubmed:16554755|imex:IM-15332	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-7094344|mint:MINT-2048823|imex:IM-15332-7710	intact-miscore:0.4
uniprotkb:P02829	uniprotkb:P38793	uniprotkb:D6W3D1|intact:EBI-8659|uniprotkb:P02829	uniprotkb:D3DL19|intact:EBI-24581|uniprotkb:P38793	psi-mi:hsp82_yeast(display_short)|psi-mi:ATP-dependent molecular chaperone HSP82(display_long)|uniprotkb:HSP82(gene name)|uniprotkb:82 kDa heat shock protein(gene name synonym)|uniprotkb:Heat shock protein Hsp90 heat-inducible isoform(gene name synonym)|uniprotkb:YPL240C(locus name)|uniprotkb:HSP90(gene name synonym)	psi-mi:trm5_yeast(display_short)|psi-mi:"tRNA (guanine(37)-N(1))-methyltransferase"(display_long)|uniprotkb:YHR070W(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:tRNA methyltransferase 5(gene name synonym)|uniprotkb:TRM5(gene name)	psi-mi:"MI:0397"(two hybrid array)	Zhao R. et al.(2005)	intact:EBI-1992186|pubmed:15766533	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-762931	intact-miscore:0.37
