idA	idB	altIdsA	altIdsB	aliasesA	aliasesB	detectionMethod	firstAuthor	publicationIdentifiers	taxidA	taxidB	interactionType	sourceDatabase	interactionIdentifiers	confidence
uniprotkb:Q42588	uniprotkb:Q42588	intact:EBI-1633480|uniprotkb:Q43297|uniprotkb:Q0WT70	intact:EBI-1633480|uniprotkb:Q43297|uniprotkb:Q0WT70	psi-mi:sat1_arath(display_long)|uniprotkb:SAT1(gene name)|psi-mi:SAT1(display_short)|uniprotkb:SAT5(gene name synonym)|uniprotkb:F14J16.18(orf name)|uniprotkb:At1g55920(locus name)|uniprotkb:SAT-p(gene name synonym)|uniprotkb:AtSERAT2;1(gene name synonym)	psi-mi:sat1_arath(display_long)|uniprotkb:SAT1(gene name)|psi-mi:SAT1(display_short)|uniprotkb:SAT5(gene name synonym)|uniprotkb:F14J16.18(orf name)|uniprotkb:At1g55920(locus name)|uniprotkb:SAT-p(gene name synonym)|uniprotkb:AtSERAT2;1(gene name synonym)	"psi-mi:""MI:0018""(two hybrid)"	Bogdanova et al. (1997)	pubmed:9076992	"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")"	"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")"	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1633502	intact-miscore:0.37
uniprotkb:P47998	uniprotkb:Q42588	intact:EBI-1633418|intact:EBI-2356770|uniprotkb:O23343|uniprotkb:Q1EC56|uniprotkb:Q42570|uniprotkb:Q94AS7	intact:EBI-1633480|uniprotkb:Q43297|uniprotkb:Q0WT70	"psi-mi:cysk1_arath(display_long)|uniprotkb:OASA1(gene name)|psi-mi:OASA1(display_short)|uniprotkb:OAS1(gene name synonym)|uniprotkb:OASS(gene name synonym)|uniprotkb:At.OAS.5-8(gene name synonym)|uniprotkb:CSase A(gene name synonym)|uniprotkb:Cys-3A(gene name synonym)|uniprotkb:O-acetylserine sulfhydrylase(gene name synonym)|uniprotkb:Beta-substituted Ala synthase 1;1(gene name synonym)|uniprotkb:""O-acetylserine (thiol)-lyase 1""(gene name synonym)|uniprotkb:OLD3(gene name synonym)|uniprotkb:Protein ONSET OF LEAF DEATH 3(gene name synonym)|uniprotkb:dl3480c(orf name)|uniprotkb:At4g14880(locus name)"	psi-mi:sat1_arath(display_long)|uniprotkb:SAT1(gene name)|psi-mi:SAT1(display_short)|uniprotkb:SAT5(gene name synonym)|uniprotkb:F14J16.18(orf name)|uniprotkb:At1g55920(locus name)|uniprotkb:SAT-p(gene name synonym)|uniprotkb:AtSERAT2;1(gene name synonym)	"psi-mi:""MI:0018""(two hybrid)"	Bogdanova et al. (1997)	pubmed:9076992	"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")"	"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")"	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1633492	intact-miscore:0.37
uniprotkb:P47998	uniprotkb:Q42588	intact:EBI-1633418|intact:EBI-2356770|uniprotkb:O23343|uniprotkb:Q1EC56|uniprotkb:Q42570|uniprotkb:Q94AS7	intact:EBI-1633480|uniprotkb:Q43297|uniprotkb:Q0WT70	"psi-mi:cysk1_arath(display_long)|uniprotkb:OASA1(gene name)|psi-mi:OASA1(display_short)|uniprotkb:OAS1(gene name synonym)|uniprotkb:OASS(gene name synonym)|uniprotkb:At.OAS.5-8(gene name synonym)|uniprotkb:CSase A(gene name synonym)|uniprotkb:Cys-3A(gene name synonym)|uniprotkb:O-acetylserine sulfhydrylase(gene name synonym)|uniprotkb:Beta-substituted Ala synthase 1;1(gene name synonym)|uniprotkb:""O-acetylserine (thiol)-lyase 1""(gene name synonym)|uniprotkb:OLD3(gene name synonym)|uniprotkb:Protein ONSET OF LEAF DEATH 3(gene name synonym)|uniprotkb:dl3480c(orf name)|uniprotkb:At4g14880(locus name)"	psi-mi:sat1_arath(display_long)|uniprotkb:SAT1(gene name)|psi-mi:SAT1(display_short)|uniprotkb:SAT5(gene name synonym)|uniprotkb:F14J16.18(orf name)|uniprotkb:At1g55920(locus name)|uniprotkb:SAT-p(gene name synonym)|uniprotkb:AtSERAT2;1(gene name synonym)	"psi-mi:""MI:0018""(two hybrid)"	Bogdanova et al. (1997)	pubmed:9076992	"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")"	"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")"	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1633496	intact-miscore:0.37
intact:EBI-1633458	uniprotkb:Q42588	-	intact:EBI-1633480|uniprotkb:Q43297|uniprotkb:Q0WT70	psi-mi:q39218-2(display_short)|psi-mi:EBI-1633458(display_long)	psi-mi:sat1_arath(display_long)|uniprotkb:SAT1(gene name)|psi-mi:SAT1(display_short)|uniprotkb:SAT5(gene name synonym)|uniprotkb:F14J16.18(orf name)|uniprotkb:At1g55920(locus name)|uniprotkb:SAT-p(gene name synonym)|uniprotkb:AtSERAT2;1(gene name synonym)	"psi-mi:""MI:0018""(two hybrid)"	Bogdanova et al. (1997)	pubmed:9076992	"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")"	"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")"	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1639914	intact-miscore:0.37
uniprotkb:Q7L273	uniprotkb:Q7L273	intact:EBI-4397613|uniprotkb:Q6NUM8|uniprotkb:Q9NXV4|ensembl:ENSP00000221200.4	intact:EBI-4397613|uniprotkb:Q6NUM8|uniprotkb:Q9NXV4|ensembl:ENSP00000221200.4	psi-mi:kctd9_human(display_long)|uniprotkb:KCTD9(gene name)|psi-mi:KCTD9(display_short)	psi-mi:kctd9_human(display_long)|uniprotkb:KCTD9(gene name)|psi-mi:KCTD9(display_short)	"psi-mi:""MI:0397""(two hybrid array)"	Luck et al. (2017)	pubmed:32296183|imex:IM-25472	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-23126073|imex:IM-25472-44551	author score:0.930643799639|intact-miscore:0.67
uniprotkb:Q7L273	uniprotkb:Q7L273	intact:EBI-4397613|uniprotkb:Q6NUM8|uniprotkb:Q9NXV4|ensembl:ENSP00000221200.4	intact:EBI-4397613|uniprotkb:Q6NUM8|uniprotkb:Q9NXV4|ensembl:ENSP00000221200.4	psi-mi:kctd9_human(display_long)|uniprotkb:KCTD9(gene name)|psi-mi:KCTD9(display_short)	psi-mi:kctd9_human(display_long)|uniprotkb:KCTD9(gene name)|psi-mi:KCTD9(display_short)	"psi-mi:""MI:1356""(validated two hybrid)"	Luck et al. (2017)	pubmed:32296183|imex:IM-25472	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-24474194|imex:IM-25472-130331	intact-miscore:0.67
uniprotkb:Q7L273	uniprotkb:Q7L273	intact:EBI-4397613|uniprotkb:Q6NUM8|uniprotkb:Q9NXV4|ensembl:ENSP00000221200.4	intact:EBI-4397613|uniprotkb:Q6NUM8|uniprotkb:Q9NXV4|ensembl:ENSP00000221200.4	psi-mi:kctd9_human(display_long)|uniprotkb:KCTD9(gene name)|psi-mi:KCTD9(display_short)	psi-mi:kctd9_human(display_long)|uniprotkb:KCTD9(gene name)|psi-mi:KCTD9(display_short)	"psi-mi:""MI:1112""(two hybrid prey pooling approach)"	Luck et al. (2017)	pubmed:32296183|imex:IM-25472	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-24994748|imex:IM-25472-19704	author score:0.930643799639|intact-miscore:0.67
uniprotkb:P00533	uniprotkb:Q7L273	intact:EBI-297353|uniprotkb:Q9BZS2|uniprotkb:Q9GZX1|uniprotkb:Q9H2C9|uniprotkb:Q9H3C9|uniprotkb:Q9UMD7|uniprotkb:Q9UMD8|uniprotkb:Q9UMG5|uniprotkb:O00688|uniprotkb:O00732|uniprotkb:P06268|uniprotkb:Q14225|uniprotkb:Q92795|intact:EBI-28985169|uniprotkb:Q68GS5|ensembl:ENSP00000275493.2	intact:EBI-4397613|uniprotkb:Q6NUM8|uniprotkb:Q9NXV4|ensembl:ENSP00000221200.4	psi-mi:egfr_human(display_long)|uniprotkb:ERBB1(gene name synonym)|uniprotkb:EGFR(gene name)|psi-mi:EGFR(display_short)|uniprotkb:Receptor tyrosine-protein kinase erbB-1(gene name synonym)|uniprotkb:Proto-oncogene c-ErbB-1(gene name synonym)|uniprotkb:ERBB(gene name synonym)|uniprotkb:HER1(gene name synonym)	psi-mi:kctd9_human(display_long)|uniprotkb:KCTD9(gene name)|psi-mi:KCTD9(display_short)	"psi-mi:""MI:0112""(ubiquitin reconstruction)"	Deribe et al. (2009)	pubmed:20029029|imex:IM-17166	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-4397611|imex:IM-17166-57	intact-miscore:0.55
uniprotkb:P12792	uniprotkb:Q7L273	intact:EBI-6152249	intact:EBI-4397613|uniprotkb:Q6NUM8|uniprotkb:Q9NXV4|ensembl:ENSP00000221200.4	psi-mi:nss_sfsv(display_long)|uniprotkb:NSS(gene name)|psi-mi:NSS(display_short)	psi-mi:kctd9_human(display_long)|uniprotkb:KCTD9(gene name)|psi-mi:KCTD9(display_short)	"psi-mi:""MI:0676""(tandem affinity purification)"	Pichlmair et al. (2012)	pubmed:22810585|imex:IM-17331	taxid:28292(sfsv)|taxid:28292(Sandfly fever sicilian virus)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-6159029|imex:IM-17331-59	intact-miscore:0.35
uniprotkb:Q13618	uniprotkb:Q7L273	intact:EBI-456129|uniprotkb:O75415|uniprotkb:Q569L3|uniprotkb:Q9UBI8|uniprotkb:B8ZZC3|uniprotkb:Q9UET7|uniprotkb:A8K536|ensembl:ENSP00000264414.4	intact:EBI-4397613|uniprotkb:Q6NUM8|uniprotkb:Q9NXV4|ensembl:ENSP00000221200.4	psi-mi:cul3_human(display_long)|uniprotkb:CUL3(gene name)|psi-mi:CUL3(display_short)|uniprotkb:KIAA0617(gene name synonym)	psi-mi:kctd9_human(display_long)|uniprotkb:KCTD9(gene name)|psi-mi:KCTD9(display_short)	"psi-mi:""MI:0676""(tandem affinity purification)"	Bennett et al. (2010)	pubmed:21145461|imex:IM-18651|doi:10.1016/j.cell.2010.11.017	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-21332362|imex:IM-18651-53	intact-miscore:0.87
