idA	idB	altIdsA	altIdsB	aliasesA	aliasesB	detectionMethod	firstAuthor	publicationIdentifiers	taxidA	taxidB	interactionType	sourceDatabase	interactionIdentifiers	confidence
uniprotkb:Q9LZP8	uniprotkb:F4KFG2	intact:EBI-942845	intact:EBI-67176508	psi-mi:bzp53_arath(display_long)|uniprotkb:BZIP53(gene name)|psi-mi:BZIP53(display_short)|uniprotkb:T12C14.120(orf name)|uniprotkb:At3g62420(locus name)	psi-mi:f4kfg2_arath(display_long)|uniprotkb:T31P16.60(orf name)|uniprotkb:T31P16_60(orf name)|uniprotkb:At5g10070(locus name)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Yazaki et al. (2023)	pubmed:38884001|imex:IM-30532	"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")"	"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")"	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-67174949|imex:IM-30532-1	intact-miscore:0.35
uniprotkb:B9DGI8	uniprotkb:F4KFG2	intact:EBI-942713|intact:EBI-2311748|uniprotkb:F4KA11|uniprotkb:Q712P1|uniprotkb:Q940U4|uniprotkb:Q9FUD2|uniprotkb:Q9LKT9	intact:EBI-67176508	psi-mi:bzp63_arath(display_long)|uniprotkb:BZIP63(gene name)|psi-mi:BZIP63(display_short)|uniprotkb:BZO2H3(gene name synonym)|uniprotkb:Basic leucine zipper OPAQUE 2 homolog 3(gene name synonym)|uniprotkb:T32B20.4(orf name)|uniprotkb:At5g28770(locus name)	psi-mi:f4kfg2_arath(display_long)|uniprotkb:T31P16.60(orf name)|uniprotkb:T31P16_60(orf name)|uniprotkb:At5g10070(locus name)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Yazaki et al. (2023)	pubmed:38884001|imex:IM-30532	"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")"	"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")"	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-67177094|imex:IM-30532-3	intact-miscore:0.35
uniprotkb:Q39204	uniprotkb:F4KFG2	intact:EBI-1792336|uniprotkb:O48644|uniprotkb:Q8W2F4|uniprotkb:Q9LPJ8|uniprotkb:Q5K1L7	intact:EBI-67176508	psi-mi:myc2_arath(display_long)|uniprotkb:MYC2(gene name)|psi-mi:MYC2(display_short)|uniprotkb:BHLH6(gene name synonym)|uniprotkb:Basic helix-loop-helix protein 6(gene name synonym)|uniprotkb:EN38(gene name synonym)|uniprotkb:JAI1(gene name synonym)|uniprotkb:JIN1(gene name synonym)|uniprotkb:Protein JASMONATE INSENSITIVE 1(gene name synonym)|uniprotkb:R-homologous Arabidopsis protein 1(gene name synonym)|uniprotkb:RAP1(gene name synonym)|uniprotkb:RD22BP1(gene name synonym)|uniprotkb:Transcription factor EN 38(gene name synonym)|uniprotkb:Z-box binding factor 1 protein(gene name synonym)|uniprotkb:ZBF1(gene name synonym)|uniprotkb:bHLH transcription factor bHLH006(gene name synonym)|uniprotkb:rd22BP1(gene name synonym)|uniprotkb:F6N18.4(orf name)|uniprotkb:At1g32640(locus name)	psi-mi:f4kfg2_arath(display_long)|uniprotkb:T31P16.60(orf name)|uniprotkb:T31P16_60(orf name)|uniprotkb:At5g10070(locus name)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Yazaki et al. (2023)	pubmed:38884001|imex:IM-30532	"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")"	"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")"	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-67177660|imex:IM-30532-5	intact-miscore:0.35
uniprotkb:Q9C8W9	uniprotkb:F4KFG2	intact:EBI-1793250	intact:EBI-67176508	psi-mi:nac30_arath(display_long)|uniprotkb:NAC030(gene name)|psi-mi:NAC030(display_short)|uniprotkb:Protein VASCULAR RELATED NAC-DOMAIN 7(gene name synonym)|uniprotkb:VND7(gene name synonym)|uniprotkb:F17M19.8(orf name)|uniprotkb:At1g71930(locus name)	psi-mi:f4kfg2_arath(display_long)|uniprotkb:T31P16.60(orf name)|uniprotkb:T31P16_60(orf name)|uniprotkb:At5g10070(locus name)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Yazaki et al. (2023)	pubmed:38884001|imex:IM-30532	"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")"	"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")"	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-67178540|imex:IM-30532-9	intact-miscore:0.35
uniprotkb:Q9NX31	uniprotkb:Q9UJK0	intact:EBI-2872222|uniprotkb:Q9P0R8|uniprotkb:B2RCK4|uniprotkb:O95912|uniprotkb:Q9NZ84|ensembl:ENSP00000255174.2|ensembl:ENSP00000362061.1	intact:EBI-11035689|uniprotkb:Q6PJT8|ensembl:ENSP00000007390.2	psi-mi:oser1_human(display_long)|uniprotkb:OSER1(gene name)|psi-mi:OSER1(display_short)|uniprotkb:C20orf111(gene name synonym)|uniprotkb:Oxidative stress-responsive protein 1(gene name synonym)|uniprotkb:Peroxide-inducible transcript 1 protein(gene name synonym)|uniprotkb:BM-038(orf name)|uniprotkb:HSPC168(orf name)|uniprotkb:HSPC207(orf name)	psi-mi:tsr3_human(display_long)|uniprotkb:TSR3(gene name)|psi-mi:TSR3(display_short)|uniprotkb:C16orf42(gene name synonym)|uniprotkb:UND313L(gene name synonym)|uniprotkb:20S S rRNA accumulation protein 3 homolog(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2017)	pubmed:28514442|doi:10.1038/nature22366|imex:IM-25778	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-21894669|imex:IM-25778-5657	intact-miscore:0.53
uniprotkb:Q9H4A6	uniprotkb:Q9UJK0	intact:EBI-2465479|uniprotkb:Q9UIW5|ensembl:ENSP00000265070.6	intact:EBI-11035689|uniprotkb:Q6PJT8|ensembl:ENSP00000007390.2	psi-mi:golp3_human(display_long)|uniprotkb:GOLPH3(gene name)|psi-mi:GOLPH3(display_short)|uniprotkb:GPP34(gene name synonym)|uniprotkb:Coat protein GPP34(gene name synonym)|uniprotkb:Mitochondrial DNA absence factor(gene name synonym)	psi-mi:tsr3_human(display_long)|uniprotkb:TSR3(gene name)|psi-mi:TSR3(display_short)|uniprotkb:C16orf42(gene name synonym)|uniprotkb:UND313L(gene name synonym)|uniprotkb:20S S rRNA accumulation protein 3 homolog(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2017)	pubmed:28514442|doi:10.1038/nature22366|imex:IM-25778	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-21898190|imex:IM-25778-8411	intact-miscore:0.53
uniprotkb:Q02078-4	uniprotkb:Q9UJK0	intact:EBI-21880438	intact:EBI-11035689|uniprotkb:Q6PJT8|ensembl:ENSP00000007390.2	psi-mi:q02078-4(display_long)|uniprotkb:Serum response factor-like protein 1(gene name synonym)|uniprotkb:MEF2A(gene name)|psi-mi:MEF2A(display_short)|uniprotkb:MEF2(gene name synonym)	psi-mi:tsr3_human(display_long)|uniprotkb:TSR3(gene name)|psi-mi:TSR3(display_short)|uniprotkb:C16orf42(gene name synonym)|uniprotkb:UND313L(gene name synonym)|uniprotkb:20S S rRNA accumulation protein 3 homolog(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2017)	pubmed:28514442|doi:10.1038/nature22366|imex:IM-25778	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-21901160|imex:IM-25778-3273	intact-miscore:0.40
uniprotkb:Q04864	uniprotkb:Q9UJK0	intact:EBI-307352|uniprotkb:Q2PNZ7|uniprotkb:Q6LDY0|intact:EBI-11133860|uniprotkb:Q17RU2|ensembl:ENSP00000295025.7	intact:EBI-11035689|uniprotkb:Q6PJT8|ensembl:ENSP00000007390.2	psi-mi:rel_human(display_long)|uniprotkb:REL(gene name)|psi-mi:REL(display_short)	psi-mi:tsr3_human(display_long)|uniprotkb:TSR3(gene name)|psi-mi:TSR3(display_short)|uniprotkb:C16orf42(gene name synonym)|uniprotkb:UND313L(gene name synonym)|uniprotkb:20S S rRNA accumulation protein 3 homolog(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2017)	pubmed:28514442|doi:10.1038/nature22366|imex:IM-25778	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-21654540|imex:IM-25778-6471	intact-miscore:0.53
uniprotkb:O43900	uniprotkb:Q9UJK0	intact:EBI-1751761|uniprotkb:O76007|uniprotkb:Q53XR5|uniprotkb:B7Z8F2|intact:EBI-11047712|ensembl:ENSP00000470248.1	intact:EBI-11035689|uniprotkb:Q6PJT8|ensembl:ENSP00000007390.2	psi-mi:pric3_human(display_long)|uniprotkb:Prickle-like protein 3(gene name synonym)|uniprotkb:PRICKLE3(gene name)|psi-mi:PRICKLE3(display_short)|uniprotkb:LMO6(gene name synonym)|uniprotkb:LIM domain only protein 6(gene name synonym)|uniprotkb:Triple LIM domain protein 6(gene name synonym)	psi-mi:tsr3_human(display_long)|uniprotkb:TSR3(gene name)|psi-mi:TSR3(display_short)|uniprotkb:C16orf42(gene name synonym)|uniprotkb:UND313L(gene name synonym)|uniprotkb:20S S rRNA accumulation protein 3 homolog(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2017)	pubmed:28514442|doi:10.1038/nature22366|imex:IM-25778	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-21747441|imex:IM-25778-8161	intact-miscore:0.53
uniprotkb:Q9H063	uniprotkb:Q9UJK0	intact:EBI-720354|uniprotkb:D3DWL4|ensembl:ENSP00000318604.5|ensembl:ENSP00000436720.1|ensembl:ENSP00000520454.1	intact:EBI-11035689|uniprotkb:Q6PJT8|ensembl:ENSP00000007390.2	psi-mi:maf1_human(display_long)|uniprotkb:MAF1(gene name)|psi-mi:MAF1(display_short)	psi-mi:tsr3_human(display_long)|uniprotkb:TSR3(gene name)|psi-mi:TSR3(display_short)|uniprotkb:C16orf42(gene name synonym)|uniprotkb:UND313L(gene name synonym)|uniprotkb:20S S rRNA accumulation protein 3 homolog(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2017)	pubmed:28514442|doi:10.1038/nature22366|imex:IM-25778	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-21704986|imex:IM-25778-1563	intact-miscore:0.53
