idA	idB	altIdsA	altIdsB	aliasesA	aliasesB	detectionMethod	firstAuthor	publicationIdentifiers	taxidA	taxidB	interactionType	sourceDatabase	interactionIdentifiers	confidence
uniprotkb:P48039	uniprotkb:Q9WUP7	intact:EBI-1188238|uniprotkb:B0M0L2|uniprotkb:A0AVC5|ensembl:ENSP00000302811.5|ensembl:ENSP00000515216.1	intact:EBI-8820873|uniprotkb:Q9CVJ4|uniprotkb:Q9CXZ3|uniprotkb:Q9R107|ensembl:ENSMUSP00000140106.2	psi-mi:mtr1a_human(display_long)|uniprotkb:MTNR1A(gene name)|psi-mi:MTNR1A(display_short)	psi-mi:uchl5_mouse(display_long)|uniprotkb:Uchl5(gene name)|psi-mi:Uchl5(display_short)|uniprotkb:Uch37(gene name synonym)|uniprotkb:Ubiquitin C-terminal hydrolase UCH37(gene name synonym)|uniprotkb:Ubiquitin thioesterase L5(gene name synonym)	"psi-mi:""MI:0096""(pull down)"	Benleulmi-Chaachoua et al. (2015)	pubmed:26514267|imex:IM-24624	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:10090(mouse)|taxid:10090(Mus musculus)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-11576452|imex:IM-24624-75	intact-miscore:0.35
uniprotkb:Q5S007	uniprotkb:Q5LJA9	intact:EBI-5323863|uniprotkb:A6NJU2|uniprotkb:Q6ZS50|uniprotkb:Q8NCX9|intact:EBI-28978369|ensembl:ENSP00000298910.7	intact:EBI-21356306|ensembl:ENSP00000356420.3	psi-mi:lrrk2_human(display_long)|uniprotkb:LRRK2(gene name)|psi-mi:LRRK2(display_short)|uniprotkb:PARK8(gene name synonym)|uniprotkb:Dardarin(gene name synonym)	psi-mi:q5lja9_human(display_long)|uniprotkb:UCHL5(gene name)|psi-mi:UCHL5(display_short)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Lee et al. (2019)	pubmed:31046837|imex:IM-26684	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-21360986|imex:IM-26684-48	intact-miscore:0.35
uniprotkb:Q5S007	uniprotkb:Q5LJA9	intact:EBI-5323863|uniprotkb:A6NJU2|uniprotkb:Q6ZS50|uniprotkb:Q8NCX9|intact:EBI-28978369|ensembl:ENSP00000298910.7	intact:EBI-21356306|ensembl:ENSP00000356420.3	psi-mi:lrrk2_human(display_long)|uniprotkb:LRRK2(gene name)|psi-mi:LRRK2(display_short)|uniprotkb:PARK8(gene name synonym)|uniprotkb:Dardarin(gene name synonym)	psi-mi:q5lja9_human(display_long)|uniprotkb:UCHL5(gene name)|psi-mi:UCHL5(display_short)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Lee et al. (2019)	pubmed:31046837|imex:IM-26684	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-21364596|imex:IM-26684-50	intact-miscore:0.35
uniprotkb:Q9W325	uniprotkb:P35122	intact:EBI-173625|intact:EBI-1628862	intact:EBI-172927|uniprotkb:Q4PIX7|uniprotkb:Q9TWA0|uniprotkb:Q9V417	psi-mi:q9w325_drome(display_long)|uniprotkb:Hecw(gene name)|psi-mi:Hecw(display_short)|uniprotkb:BT058014.1(gene name synonym)|uniprotkb:CG3003(gene name synonym)|uniprotkb:CG3099(gene name synonym)|uniprotkb:Dmel\CG42797(gene name synonym)|uniprotkb:CG42797(orf name)|uniprotkb:Dmel_CG42797(orf name)	psi-mi:uchl_drome(display_long)|uniprotkb:Uch(gene name)|psi-mi:Uch(display_short)|uniprotkb:CG4265(orf name)|uniprotkb:Ubiquitin thioesterase(gene name synonym)|uniprotkb:ubc-D(gene name synonym)	"psi-mi:""MI:0018""(two hybrid)"	Giot et al. (2003)	pubmed:14605208|imex:IM-16524|mint:MINT-5216804	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-262122|imex:IM-16524-15017	author score:0.49|author score:low|intact-miscore:0.37
intact:EBI-54345058	intact:EBI-21019856	ensembl:ENST00000284440	"intact:""INTACT:URS00003768C5_9606""|refseq:NR_029508|refseq:NR_029509|mirbase:MIMAT0000092|rnacentral:URS00003768C5_9606"	psi-mi:mrna_uchl1(display_short)|psi-mi:EBI-54345058(display_long)|uniprotkb:UCHL1(gene name)	psi-mi:hsa-mir-92a-3p(display_short)|psi-mi:EBI-21019856(display_long)	"psi-mi:""MI:2195""(clash)"	Helwak et al. (2013)	pubmed:23622248|imex:IM-30030|doi:10.1016/j.cell.2013.03.043	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54345078|imex:IM-30030-22285	intact-miscore:0.40
intact:EBI-54345058	intact:EBI-54262088	ensembl:ENST00000284440	rnacentral:URS00005240FD_9606|refseq:NR_030615|mirbase:MIMAT0004949	psi-mi:mrna_uchl1(display_short)|psi-mi:EBI-54345058(display_long)|uniprotkb:UCHL1(gene name)	psi-mi:hsa-mir-877-5p(display_short)|psi-mi:EBI-54262088(display_long)	"psi-mi:""MI:2195""(clash)"	Helwak et al. (2013)	pubmed:23622248|imex:IM-30030|doi:10.1016/j.cell.2013.03.043	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54345074|imex:IM-30030-22283	intact-miscore:0.40
intact:EBI-54345058	intact:EBI-40202355	ensembl:ENST00000284440	"rnacentral:URS00000AA464_9606|intact:""INTACT:URS00000AA464_9606""|refseq:NR_030177|mirbase:MIMAT0002819"	psi-mi:mrna_uchl1(display_short)|psi-mi:EBI-54345058(display_long)|uniprotkb:UCHL1(gene name)	psi-mi:hsa-mir-193b-3p(display_short)|psi-mi:EBI-40202355(display_long)	"psi-mi:""MI:2195""(clash)"	Helwak et al. (2013)	pubmed:23622248|imex:IM-30030|doi:10.1016/j.cell.2013.03.043	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54345070|imex:IM-30030-22281	intact-miscore:0.40
intact:EBI-54345058	intact:EBI-25297777	ensembl:ENST00000284440	"rnacentral:URS00003DA300_9606|intact:""INTACT:URS00003DA300_9606""|refseq:NR_029626|refseq:NR_029611|mirbase:MIMAT0000256"	psi-mi:mrna_uchl1(display_short)|psi-mi:EBI-54345058(display_long)|uniprotkb:UCHL1(gene name)	psi-mi:hsa-mir-181a-5p(display_short)|psi-mi:EBI-25297777(display_long)	"psi-mi:""MI:2195""(clash)"	Helwak et al. (2013)	pubmed:23622248|imex:IM-30030|doi:10.1016/j.cell.2013.03.043	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54345066|imex:IM-30030-22279	intact-miscore:0.40
uniprotkb:Q5S007	uniprotkb:Q00981	intact:EBI-5323863|uniprotkb:A6NJU2|uniprotkb:Q6ZS50|uniprotkb:Q8NCX9|intact:EBI-28978369|ensembl:ENSP00000298910.7	intact:EBI-8848346|uniprotkb:Q6P9V8|ensembl:ENSRNOP00000086461.1	psi-mi:lrrk2_human(display_long)|uniprotkb:LRRK2(gene name)|psi-mi:LRRK2(display_short)|uniprotkb:PARK8(gene name synonym)|uniprotkb:Dardarin(gene name synonym)	psi-mi:uchl1_rat(display_long)|uniprotkb:Uchl1(gene name)|psi-mi:Uchl1(display_short)|uniprotkb:Neuron cytoplasmic protein 9.5(gene name synonym)|uniprotkb:PGP 9.5(gene name synonym)|uniprotkb:Ubiquitin thioesterase L1(gene name synonym)	"psi-mi:""MI:0096""(pull down)"	Piccoli et al. (2014)	imex:IM-20537|pubmed:24687852	taxid:9606(human)|taxid:9606(Homo sapiens)	"taxid:10116(rat)|taxid:10116(""Rattus norvegicus (Rat)"")"	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-6665350|imex:IM-20537-1	intact-miscore:0.35
uniprotkb:P53919	uniprotkb:P35127	intact:EBI-28887|uniprotkb:B0KZR2|uniprotkb:B0KZS1|uniprotkb:B0KZT9|uniprotkb:B0KZZ3|uniprotkb:B0L002|uniprotkb:D6W159	intact:EBI-19814|uniprotkb:D6VWR8	psi-mi:naf1_yeast(display_long)|uniprotkb:YNL124W(locus name)|uniprotkb:N1888(orf name)|uniprotkb:NAF1(gene name)|psi-mi:NAF1(display_short)|uniprotkb:Nuclear assembly factor 1(gene name synonym)	psi-mi:ubl1_yeast(display_long)|uniprotkb:YUH1(gene name)|psi-mi:YUH1(display_short)|uniprotkb:YJR099W(locus name)|uniprotkb:J1941(orf name)|uniprotkb:Ubiquitin thioesterase(gene name synonym)	"psi-mi:""MI:0397""(two hybrid array)"	Hazbun et al. (2003)	pubmed:14690591	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-858754	author score:1|author score:low|intact-miscore:0.37
