idA	idB	altIdsA	altIdsB	aliasesA	aliasesB	detectionMethod	firstAuthor	publicationIdentifiers	taxidA	taxidB	interactionType	sourceDatabase	interactionIdentifiers	confidence
uniprotkb:P27178	uniprotkb:P72667	intact:EBI-1607939	intact:EBI-1609502	psi-mi:atp6_syny3(display_long)|uniprotkb:atpB(gene name)|psi-mi:atpB(display_short)|uniprotkb:atpI(gene name synonym)|uniprotkb:ATP synthase F0 sector subunit a(gene name synonym)|uniprotkb:F-ATPase subunit 6(gene name synonym)|uniprotkb:sll1322(locus name)	psi-mi:rsme_syny3(display_long)|uniprotkb:rsmE(gene name)|psi-mi:rsmE(display_short)|uniprotkb:16S rRNA m3U1498 methyltransferase(gene name synonym)|uniprotkb:slr0722(locus name)	"psi-mi:""MI:0018""(two hybrid)"	Sato et al. (2007)	pubmed:18000013	"taxid:1111708(syny3)|taxid:1111708(""Synechocystis sp. (strain PCC 6803 / Kazusa)"")"	"taxid:1111708(syny3)|taxid:1111708(""Synechocystis sp. (strain PCC 6803 / Kazusa)"")"	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1609500	author score:C|intact-miscore:0.37
uniprotkb:Q55633	uniprotkb:P72667	intact:EBI-1607766	intact:EBI-1609502	psi-mi:q55633_syny3(display_long)|uniprotkb:slr0341(locus name)	psi-mi:rsme_syny3(display_long)|uniprotkb:rsmE(gene name)|psi-mi:rsmE(display_short)|uniprotkb:16S rRNA m3U1498 methyltransferase(gene name synonym)|uniprotkb:slr0722(locus name)	"psi-mi:""MI:0018""(two hybrid)"	Sato et al. (2007)	pubmed:18000013	"taxid:1111708(syny3)|taxid:1111708(""Synechocystis sp. (strain PCC 6803 / Kazusa)"")"	"taxid:1111708(syny3)|taxid:1111708(""Synechocystis sp. (strain PCC 6803 / Kazusa)"")"	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1609511	author score:B|intact-miscore:0.37
uniprotkb:P72667	uniprotkb:P73304	intact:EBI-1609502	intact:EBI-1608075	psi-mi:rsme_syny3(display_long)|uniprotkb:rsmE(gene name)|psi-mi:rsmE(display_short)|uniprotkb:16S rRNA m3U1498 methyltransferase(gene name synonym)|uniprotkb:slr0722(locus name)	psi-mi:rs5_syny3(display_long)|uniprotkb:rpsE(gene name)|psi-mi:rpsE(display_short)|uniprotkb:rps5(gene name synonym)|uniprotkb:sll1812(locus name)|uniprotkb:30S ribosomal protein S5(gene name synonym)	"psi-mi:""MI:0018""(two hybrid)"	Sato et al. (2007)	pubmed:18000013	"taxid:1111708(syny3)|taxid:1111708(""Synechocystis sp. (strain PCC 6803 / Kazusa)"")"	"taxid:1111708(syny3)|taxid:1111708(""Synechocystis sp. (strain PCC 6803 / Kazusa)"")"	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1609507	author score:A|intact-miscore:0.37
uniprotkb:O83532	uniprotkb:O83075	intact:EBI-1584241	intact:EBI-1592113	psi-mi:o83532_trepa(display_long)|uniprotkb:TP_0519(locus name)	psi-mi:rsme_trepa(display_long)|uniprotkb:rsmE(gene name)|psi-mi:rsmE(display_short)|uniprotkb:16S rRNA m3U1498 methyltransferase(gene name synonym)|uniprotkb:TP_0032(locus name)	"psi-mi:""MI:0397""(two hybrid array)"	Titz et al.	imex:IM-9152|doi:10.1371/journal.pone.0002292|pubmed:18509523	"taxid:243276(trepa)|taxid:243276(""Treponema pallidum (strain Nichols)"")"	"taxid:243276(trepa)|taxid:243276(""Treponema pallidum (strain Nichols)"")"	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1592116|imex:IM-9152-21	author score:0.673327256|intact-miscore:0.37
uniprotkb:Q92731	uniprotkb:Q5T280	intact:EBI-78505|uniprotkb:A8K8K5|uniprotkb:O60608|uniprotkb:O60685|uniprotkb:O60702|uniprotkb:O60703|uniprotkb:O75583|uniprotkb:O75584|uniprotkb:Q86Z31|uniprotkb:Q9UEV6|uniprotkb:Q9UHD3|uniprotkb:Q9UQK9|uniprotkb:Q0MWT5|uniprotkb:Q0MWT6|uniprotkb:G3V5M5|ensembl:ENSP00000343925.4	intact:EBI-2880213|uniprotkb:Q6PIJ1|uniprotkb:Q6PJV9|uniprotkb:Q6P469|uniprotkb:Q6PGP9|uniprotkb:Q0D2P6|ensembl:ENSP00000354812.5	psi-mi:esr2_human(display_long)|uniprotkb:ESR2(gene name)|psi-mi:ESR2(display_short)|uniprotkb:ESTRB(gene name synonym)|uniprotkb:NR3A2(gene name synonym)|uniprotkb:Nuclear receptor subfamily 3 group A member 2(gene name synonym)	psi-mi:spout_human(display_long)|uniprotkb:SPOUT1(gene name)|psi-mi:SPOUT1(display_short)|uniprotkb:C9orf114(gene name synonym)|uniprotkb:Centromere protein 32(gene name synonym)|uniprotkb:Kinetochore-associated protein(gene name synonym)|uniprotkb:SPOUT domain-containing methyltransferase 1(gene name synonym)|uniprotkb:Methyltransferase C9orf114(gene name synonym)|uniprotkb:Ribosomal RNA methyltransferase SPOUT1(gene name synonym)	"psi-mi:""MI:0029""(cosedimentation through density gradient)"	Nassa et al. (2010)	imex:IM-13781|pubmed:21182203	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2880211|imex:IM-13781-2	intact-miscore:0.35
uniprotkb:Q0VD86	uniprotkb:Q5T280	intact:EBI-6509505|ensembl:ENSP00000458316.1|ensembl:ENSP00000460673.1|ensembl:ENSP00000511805.1|uniprotkb:Q6J273|uniprotkb:Q6PKN9	intact:EBI-2880213|uniprotkb:Q6PIJ1|uniprotkb:Q6PJV9|uniprotkb:Q6P469|uniprotkb:Q6PGP9|uniprotkb:Q0D2P6|ensembl:ENSP00000354812.5	psi-mi:inca1_human(display_long)|uniprotkb:INCA1(gene name)|psi-mi:INCA1(display_short)|uniprotkb:Inhibitor of CDK interacting with cyclin A1(gene name synonym)|uniprotkb:HSD45(orf name)	psi-mi:spout_human(display_long)|uniprotkb:SPOUT1(gene name)|psi-mi:SPOUT1(display_short)|uniprotkb:C9orf114(gene name synonym)|uniprotkb:Centromere protein 32(gene name synonym)|uniprotkb:Kinetochore-associated protein(gene name synonym)|uniprotkb:SPOUT domain-containing methyltransferase 1(gene name synonym)|uniprotkb:Methyltransferase C9orf114(gene name synonym)|uniprotkb:Ribosomal RNA methyltransferase SPOUT1(gene name synonym)	"psi-mi:""MI:0018""(two hybrid)"	Zhang et al. (2010)	imex:IM-26469|pubmed:21750715	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-20620643|imex:IM-26469-7	intact-miscore:0.51
uniprotkb:Q0VD86	uniprotkb:Q5T280	intact:EBI-6509505|ensembl:ENSP00000458316.1|ensembl:ENSP00000460673.1|ensembl:ENSP00000511805.1|uniprotkb:Q6J273|uniprotkb:Q6PKN9	intact:EBI-2880213|uniprotkb:Q6PIJ1|uniprotkb:Q6PJV9|uniprotkb:Q6P469|uniprotkb:Q6PGP9|uniprotkb:Q0D2P6|ensembl:ENSP00000354812.5	psi-mi:inca1_human(display_long)|uniprotkb:INCA1(gene name)|psi-mi:INCA1(display_short)|uniprotkb:Inhibitor of CDK interacting with cyclin A1(gene name synonym)|uniprotkb:HSD45(orf name)	psi-mi:spout_human(display_long)|uniprotkb:SPOUT1(gene name)|psi-mi:SPOUT1(display_short)|uniprotkb:C9orf114(gene name synonym)|uniprotkb:Centromere protein 32(gene name synonym)|uniprotkb:Kinetochore-associated protein(gene name synonym)|uniprotkb:SPOUT domain-containing methyltransferase 1(gene name synonym)|uniprotkb:Methyltransferase C9orf114(gene name synonym)|uniprotkb:Ribosomal RNA methyltransferase SPOUT1(gene name synonym)	"psi-mi:""MI:0096""(pull down)"	Zhang et al. (2010)	imex:IM-26469|pubmed:21750715	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-20620731|imex:IM-26469-35	intact-miscore:0.51
uniprotkb:Q5T280	uniprotkb:Q93079	intact:EBI-2880213|uniprotkb:Q6PIJ1|uniprotkb:Q6PJV9|uniprotkb:Q6P469|uniprotkb:Q6PGP9|uniprotkb:Q0D2P6|ensembl:ENSP00000354812.5	intact:EBI-352469|uniprotkb:Q4VB74|uniprotkb:B2R541|ensembl:ENSP00000479169.1	psi-mi:spout_human(display_long)|uniprotkb:SPOUT1(gene name)|psi-mi:SPOUT1(display_short)|uniprotkb:C9orf114(gene name synonym)|uniprotkb:Centromere protein 32(gene name synonym)|uniprotkb:Kinetochore-associated protein(gene name synonym)|uniprotkb:SPOUT domain-containing methyltransferase 1(gene name synonym)|uniprotkb:Methyltransferase C9orf114(gene name synonym)|uniprotkb:Ribosomal RNA methyltransferase SPOUT1(gene name synonym)	psi-mi:h2b1h_human(display_long)|uniprotkb:H2BC9(gene name)|psi-mi:H2BC9(display_short)|uniprotkb:H2B-clustered histone 9(gene name synonym)|uniprotkb:H2BFJ(gene name synonym)|uniprotkb:HIST1H2BH(gene name synonym)|uniprotkb:Histone H2B.j(gene name synonym)	"psi-mi:""MI:0030""(cross-linking study)"	Fasci et al. (2018)	pubmed:30021884|imex:IM-26653|doi:10.1074/mcp.ra118.000924	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-20937284|imex:IM-26653-5941	intact-miscore:0.40
uniprotkb:P13569	uniprotkb:Q5T280	intact:EBI-349854|uniprotkb:Q20BG8|uniprotkb:Q20BH2|uniprotkb:Q2I0A1|uniprotkb:Q2I102|ensembl:ENSP00000003084.6	intact:EBI-2880213|uniprotkb:Q6PIJ1|uniprotkb:Q6PJV9|uniprotkb:Q6P469|uniprotkb:Q6PGP9|uniprotkb:Q0D2P6|ensembl:ENSP00000354812.5	psi-mi:cftr_human(display_long)|uniprotkb:CFTR(gene name)|psi-mi:CFTR(display_short)|uniprotkb:ABCC7(gene name synonym)|uniprotkb:cAMP-dependent chloride channel(gene name synonym)|uniprotkb:ATP-binding cassette sub-family C member 7(gene name synonym)|uniprotkb:Channel conductance-controlling ATPase(gene name synonym)	psi-mi:spout_human(display_long)|uniprotkb:SPOUT1(gene name)|psi-mi:SPOUT1(display_short)|uniprotkb:C9orf114(gene name synonym)|uniprotkb:Centromere protein 32(gene name synonym)|uniprotkb:Kinetochore-associated protein(gene name synonym)|uniprotkb:SPOUT domain-containing methyltransferase 1(gene name synonym)|uniprotkb:Methyltransferase C9orf114(gene name synonym)|uniprotkb:Ribosomal RNA methyltransferase SPOUT1(gene name synonym)	"psi-mi:""MI:0096""(pull down)"	Hutt et al. (2018)	pubmed:29924966|imex:IM-27204	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-25418659|imex:IM-27204-11	intact-miscore:0.35
uniprotkb:P13569	uniprotkb:Q5T280	intact:EBI-349854|uniprotkb:Q20BG8|uniprotkb:Q20BH2|uniprotkb:Q2I0A1|uniprotkb:Q2I102|ensembl:ENSP00000003084.6	intact:EBI-2880213|uniprotkb:Q6PIJ1|uniprotkb:Q6PJV9|uniprotkb:Q6P469|uniprotkb:Q6PGP9|uniprotkb:Q0D2P6|ensembl:ENSP00000354812.5	psi-mi:cftr_human(display_long)|uniprotkb:CFTR(gene name)|psi-mi:CFTR(display_short)|uniprotkb:ABCC7(gene name synonym)|uniprotkb:cAMP-dependent chloride channel(gene name synonym)|uniprotkb:ATP-binding cassette sub-family C member 7(gene name synonym)|uniprotkb:Channel conductance-controlling ATPase(gene name synonym)	psi-mi:spout_human(display_long)|uniprotkb:SPOUT1(gene name)|psi-mi:SPOUT1(display_short)|uniprotkb:C9orf114(gene name synonym)|uniprotkb:Centromere protein 32(gene name synonym)|uniprotkb:Kinetochore-associated protein(gene name synonym)|uniprotkb:SPOUT domain-containing methyltransferase 1(gene name synonym)|uniprotkb:Methyltransferase C9orf114(gene name synonym)|uniprotkb:Ribosomal RNA methyltransferase SPOUT1(gene name synonym)	"psi-mi:""MI:0096""(pull down)"	Hutt et al. (2018)	pubmed:29924966|imex:IM-27204	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-25433451|imex:IM-27204-12	intact-miscore:0.35
