idA	idB	altIdsA	altIdsB	aliasesA	aliasesB	detectionMethod	firstAuthor	publicationIdentifiers	taxidA	taxidB	interactionType	sourceDatabase	interactionIdentifiers	confidence
intact:EBI-54289577	intact:EBI-25591914	ensembl:ENST00000318636	"intact:""INTACT:URS000000B1C9_9606""|refseq:NR_029482|mirbase:MIMAT0000066|rnacentral:URS000000B1C9_9606"	psi-mi:mrna_ca5b(display_short)|psi-mi:EBI-54289577(display_long)|uniprotkb:CA5B(gene name)	psi-mi:hsa-let-7e-5p(display_short)|psi-mi:EBI-25591914(display_long)	"psi-mi:""MI:2195""(clash)"	Helwak et al. (2013)	pubmed:23622248|imex:IM-30030|doi:10.1016/j.cell.2013.03.043	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54289590|imex:IM-30030-8131	intact-miscore:0.40
intact:EBI-54289577	intact:EBI-21019856	ensembl:ENST00000318636	"intact:""INTACT:URS00003768C5_9606""|refseq:NR_029508|refseq:NR_029509|mirbase:MIMAT0000092|rnacentral:URS00003768C5_9606"	psi-mi:mrna_ca5b(display_short)|psi-mi:EBI-54289577(display_long)|uniprotkb:CA5B(gene name)	psi-mi:hsa-mir-92a-3p(display_short)|psi-mi:EBI-21019856(display_long)	"psi-mi:""MI:2195""(clash)"	Helwak et al. (2013)	pubmed:23622248|imex:IM-30030|doi:10.1016/j.cell.2013.03.043	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54289594|imex:IM-30030-8133	intact-miscore:0.40
uniprotkb:Q9Y2D0	uniprotkb:P11182	intact:EBI-21848083|uniprotkb:A8K4T5|ensembl:ENSP00000314099.3	intact:EBI-359002|uniprotkb:Q5VVL8|uniprotkb:B2R811|intact:EBI-1058407|ensembl:ENSP00000359151.3	psi-mi:cah5b_human(display_long)|uniprotkb:Carbonate dehydratase VB(gene name synonym)|uniprotkb:Carbonic anhydrase VB(gene name synonym)|uniprotkb:CA5B(gene name)|psi-mi:CA5B(display_short)	"psi-mi:odb2_human(display_long)|uniprotkb:DBT(gene name)|psi-mi:DBT(display_short)|uniprotkb:BCATE2(gene name synonym)|uniprotkb:""Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase""(gene name synonym)|uniprotkb:Dihydrolipoamide branched chain transacylase(gene name synonym)|uniprotkb:Dihydrolipoamide acetyltransferase component of branched-chain alpha-keto acid dehydrogenase complex(gene name synonym)|uniprotkb:Branched-chain alpha-keto acid dehydrogenase complex component E2(gene name synonym)|uniprotkb:52 kDa mitochondrial autoantigen of primary biliary cirrhosis(gene name synonym)|uniprotkb:Branched chain 2-oxo-acid dehydrogenase complex component E2(gene name synonym)|uniprotkb:BCKDHE2(gene name synonym)"	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2017)	pubmed:28514442|doi:10.1038/nature22366|imex:IM-25778	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-21848107|imex:IM-25778-8887	intact-miscore:0.56
uniprotkb:Q9Y2D0	uniprotkb:P11182	intact:EBI-21848083|uniprotkb:A8K4T5|ensembl:ENSP00000314099.3	intact:EBI-359002|uniprotkb:Q5VVL8|uniprotkb:B2R811|intact:EBI-1058407|ensembl:ENSP00000359151.3	psi-mi:cah5b_human(display_long)|uniprotkb:Carbonate dehydratase VB(gene name synonym)|uniprotkb:Carbonic anhydrase VB(gene name synonym)|uniprotkb:CA5B(gene name)|psi-mi:CA5B(display_short)	"psi-mi:odb2_human(display_long)|uniprotkb:DBT(gene name)|psi-mi:DBT(display_short)|uniprotkb:BCATE2(gene name synonym)|uniprotkb:""Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase""(gene name synonym)|uniprotkb:Dihydrolipoamide branched chain transacylase(gene name synonym)|uniprotkb:Dihydrolipoamide acetyltransferase component of branched-chain alpha-keto acid dehydrogenase complex(gene name synonym)|uniprotkb:Branched-chain alpha-keto acid dehydrogenase complex component E2(gene name synonym)|uniprotkb:52 kDa mitochondrial autoantigen of primary biliary cirrhosis(gene name synonym)|uniprotkb:Branched chain 2-oxo-acid dehydrogenase complex component E2(gene name synonym)|uniprotkb:BCKDHE2(gene name synonym)"	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2021)	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54752788|imex:IM-29278-11515	intact-miscore:0.56
uniprotkb:Q9Y2D0	uniprotkb:P22090	intact:EBI-21848083|uniprotkb:A8K4T5|ensembl:ENSP00000314099.3	intact:EBI-34576701|uniprotkb:A8K9V4|ensembl:ENSP00000250784.7	psi-mi:cah5b_human(display_long)|uniprotkb:Carbonate dehydratase VB(gene name synonym)|uniprotkb:Carbonic anhydrase VB(gene name synonym)|uniprotkb:CA5B(gene name)|psi-mi:CA5B(display_short)	psi-mi:rs4y1_human(display_long)|uniprotkb:RPS4Y1(gene name)|psi-mi:RPS4Y1(display_short)|uniprotkb:RPS4Y(gene name synonym)|uniprotkb:PRO2646(orf name)|uniprotkb:40S ribosomal protein S4(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2021)	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54752788|imex:IM-29278-11515	intact-miscore:0.35
uniprotkb:A2VD39	uniprotkb:A9XP97	intact:EBI-42472786	intact:EBI-9556143	"psi-mi:a2vd39_danre(display_long)|uniprotkb:ca15a(gene name)|psi-mi:ca15a(display_short)|uniprotkb:""zgc:158584""(gene name synonym)"	"psi-mi:a9xp97_danre(display_long)|uniprotkb:slc9a3.2(gene name)|psi-mi:slc9a3.2(display_short)|uniprotkb:NHE3b(gene name synonym)|uniprotkb:nhe3b(gene name synonym)|uniprotkb:""si:dkey-3n22.6""(gene name synonym)"	"psi-mi:""MI:0813""(proximity ligation assay)"	Ito et al. (2013)	pubmed:23565095|imex:IM-23003	"taxid:7955(danre)|taxid:7955(""Danio rerio (Zebrafish)"")"	"taxid:7955(danre)|taxid:7955(""Danio rerio (Zebrafish)"")"	"psi-mi:""MI:2364""(proximity)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-9556262|imex:IM-23003-2	intact-miscore:0.27
uniprotkb:O76003	uniprotkb:Q16790	intact:EBI-374781|uniprotkb:Q96CE0|uniprotkb:Q9P1B0|uniprotkb:Q9P1B1|uniprotkb:B3KMP7|uniprotkb:B3KMQ5|uniprotkb:Q5JV01|uniprotkb:D3DRG2|ensembl:ENSP00000330836.5|ensembl:ENSP00000357633.1|ensembl:ENSP00000435445.1	intact:EBI-12259996|uniprotkb:Q5T4R1|ensembl:ENSP00000367608.4	psi-mi:glrx3_human(display_long)|uniprotkb:GLRX3(gene name)|psi-mi:GLRX3(display_short)|uniprotkb:Thioredoxin-like protein 2(gene name synonym)|uniprotkb:PKC-interacting cousin of thioredoxin(gene name synonym)|uniprotkb:PKC-theta-interacting protein(gene name synonym)|uniprotkb:PICOT(gene name synonym)|uniprotkb:HUSSY-22(orf name)|uniprotkb:TXNL2(gene name synonym)	psi-mi:cah9_human(display_long)|uniprotkb:CA9(gene name)|psi-mi:CA9(display_short)|uniprotkb:Carbonate dehydratase IX(gene name synonym)|uniprotkb:Carbonic anhydrase IX(gene name synonym)|uniprotkb:G250(gene name synonym)|uniprotkb:MN(gene name synonym)|uniprotkb:Membrane antigen MN(gene name synonym)|uniprotkb:P54/58N(gene name synonym)|uniprotkb:Renal cell carcinoma-associated antigen G250(gene name synonym)|uniprotkb:pMW1(gene name synonym)	"psi-mi:""MI:1356""(validated two hybrid)"	Luck et al. (2017)	pubmed:32296183|imex:IM-25472	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-24307839|imex:IM-25472-113885	intact-miscore:0.74
uniprotkb:P21291	uniprotkb:Q16790	intact:EBI-3959636|uniprotkb:A8K268|uniprotkb:Q5U0J2|ensembl:ENSP00000345079.2|ensembl:ENSP00000356275.1|ensembl:ENSP00000434147.1|ensembl:ENSP00000436792.1	intact:EBI-12259996|uniprotkb:Q5T4R1|ensembl:ENSP00000367608.4	psi-mi:csrp1_human(display_long)|uniprotkb:CSRP1(gene name)|psi-mi:CSRP1(display_short)|uniprotkb:CSRP(gene name synonym)|uniprotkb:CYRP(gene name synonym)|uniprotkb:Cysteine-rich protein 1(gene name synonym)|uniprotkb:Epididymis luminal protein 141(gene name synonym)	psi-mi:cah9_human(display_long)|uniprotkb:CA9(gene name)|psi-mi:CA9(display_short)|uniprotkb:Carbonate dehydratase IX(gene name synonym)|uniprotkb:Carbonic anhydrase IX(gene name synonym)|uniprotkb:G250(gene name synonym)|uniprotkb:MN(gene name synonym)|uniprotkb:Membrane antigen MN(gene name synonym)|uniprotkb:P54/58N(gene name synonym)|uniprotkb:Renal cell carcinoma-associated antigen G250(gene name synonym)|uniprotkb:pMW1(gene name synonym)	"psi-mi:""MI:1356""(validated two hybrid)"	Luck et al. (2017)	pubmed:32296183|imex:IM-25472	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-24644369|imex:IM-25472-145494	intact-miscore:0.56
uniprotkb:Q16790	uniprotkb:O76003	intact:EBI-12259996|uniprotkb:Q5T4R1|ensembl:ENSP00000367608.4	intact:EBI-374781|uniprotkb:Q96CE0|uniprotkb:Q9P1B0|uniprotkb:Q9P1B1|uniprotkb:B3KMP7|uniprotkb:B3KMQ5|uniprotkb:Q5JV01|uniprotkb:D3DRG2|ensembl:ENSP00000330836.5|ensembl:ENSP00000357633.1|ensembl:ENSP00000435445.1	psi-mi:cah9_human(display_long)|uniprotkb:CA9(gene name)|psi-mi:CA9(display_short)|uniprotkb:Carbonate dehydratase IX(gene name synonym)|uniprotkb:Carbonic anhydrase IX(gene name synonym)|uniprotkb:G250(gene name synonym)|uniprotkb:MN(gene name synonym)|uniprotkb:Membrane antigen MN(gene name synonym)|uniprotkb:P54/58N(gene name synonym)|uniprotkb:Renal cell carcinoma-associated antigen G250(gene name synonym)|uniprotkb:pMW1(gene name synonym)	psi-mi:glrx3_human(display_long)|uniprotkb:GLRX3(gene name)|psi-mi:GLRX3(display_short)|uniprotkb:Thioredoxin-like protein 2(gene name synonym)|uniprotkb:PKC-interacting cousin of thioredoxin(gene name synonym)|uniprotkb:PKC-theta-interacting protein(gene name synonym)|uniprotkb:PICOT(gene name synonym)|uniprotkb:HUSSY-22(orf name)|uniprotkb:TXNL2(gene name synonym)	"psi-mi:""MI:0397""(two hybrid array)"	Luck et al. (2017)	pubmed:32296183|imex:IM-25472	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-23934204|imex:IM-25472-91589	author score:0.906204419621|intact-miscore:0.74
uniprotkb:P21291	uniprotkb:Q16790	intact:EBI-3959636|uniprotkb:A8K268|uniprotkb:Q5U0J2|ensembl:ENSP00000345079.2|ensembl:ENSP00000356275.1|ensembl:ENSP00000434147.1|ensembl:ENSP00000436792.1	intact:EBI-12259996|uniprotkb:Q5T4R1|ensembl:ENSP00000367608.4	psi-mi:csrp1_human(display_long)|uniprotkb:CSRP1(gene name)|psi-mi:CSRP1(display_short)|uniprotkb:CSRP(gene name synonym)|uniprotkb:CYRP(gene name synonym)|uniprotkb:Cysteine-rich protein 1(gene name synonym)|uniprotkb:Epididymis luminal protein 141(gene name synonym)	psi-mi:cah9_human(display_long)|uniprotkb:CA9(gene name)|psi-mi:CA9(display_short)|uniprotkb:Carbonate dehydratase IX(gene name synonym)|uniprotkb:Carbonic anhydrase IX(gene name synonym)|uniprotkb:G250(gene name synonym)|uniprotkb:MN(gene name synonym)|uniprotkb:Membrane antigen MN(gene name synonym)|uniprotkb:P54/58N(gene name synonym)|uniprotkb:Renal cell carcinoma-associated antigen G250(gene name synonym)|uniprotkb:pMW1(gene name synonym)	"psi-mi:""MI:0397""(two hybrid array)"	Luck et al. (2017)	pubmed:32296183|imex:IM-25472	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-23936694|imex:IM-25472-91726	author score:0.745430293352|intact-miscore:0.56
