idA	idB	altIdsA	altIdsB	aliasesA	aliasesB	detectionMethod	firstAuthor	publicationIdentifiers	taxidA	taxidB	interactionType	sourceDatabase	interactionIdentifiers	confidence
uniprotkb:E3UJZ1	uniprotkb:A0A1D6I6L9	intact:EBI-36567781	intact:EBI-36567793	psi-mi:e3ujz1_maize(display_long)|uniprotkb:LOC100526748(gene name synonym)|uniprotkb:ZEAMMB73_Zm00001d025888(orf name)|uniprotkb:ysl11(gene name)|psi-mi:ysl11(display_short)	psi-mi:a0a1d6i6l9_maize(display_long)|uniprotkb:ZEAMMB73_Zm00001d020843(orf name)	"psi-mi:""MI:0018""(two hybrid)"	Linqian et al. (2023)	pubmed:36581701|imex:IM-29553	"taxid:4577(maize)|taxid:4577(""Zea mays (Maize)"")"	"taxid:4577(maize)|taxid:4577(""Zea mays (Maize)"")"	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-36567798|imex:IM-29553-65775	author score:1.0|intact-miscore:0.37
uniprotkb:B6TE60	uniprotkb:A0A1D6HET4	intact:EBI-36553592	intact:EBI-36691899	psi-mi:b6te60_maize(display_long)|uniprotkb:LOC100276561(gene name)|psi-mi:LOC100276561(display_short)|uniprotkb:ZEAMMB73_Zm00001d021719(orf name)	psi-mi:a0a1d6het4_maize(display_long)|uniprotkb:LOC541800(gene name)|psi-mi:LOC541800(display_short)|uniprotkb:ZEAMMB73_Zm00001d017429(orf name)	"psi-mi:""MI:0018""(two hybrid)"	Linqian et al. (2023)	pubmed:36581701|imex:IM-29553	"taxid:4577(maize)|taxid:4577(""Zea mays (Maize)"")"	"taxid:4577(maize)|taxid:4577(""Zea mays (Maize)"")"	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-36691915|imex:IM-29553-43657	author score:0.999171156|intact-miscore:0.37
uniprotkb:P53134	uniprotkb:P10591	intact:EBI-3774374|uniprotkb:D6VU33	intact:EBI-8591|uniprotkb:D6VPL2	psi-mi:ygl4_yeast(display_long)|uniprotkb:YGL114W(locus name)	psi-mi:hsp71_yeast(display_long)|uniprotkb:YAL005C(locus name)|uniprotkb:SSA1(gene name)|psi-mi:SSA1(display_short)|uniprotkb:Heat shock protein YG100(gene name synonym)	"psi-mi:""MI:0676""(tandem affinity purification)"	Gong et al. (2009)	pubmed:19536198	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-3774378	intact-miscore:0.35
uniprotkb:P02829	uniprotkb:P53134	intact:EBI-8659|uniprotkb:D6W3D1	intact:EBI-3774374|uniprotkb:D6VU33	psi-mi:hsp82_yeast(display_long)|uniprotkb:HSP90(gene name synonym)|uniprotkb:YPL240C(locus name)|uniprotkb:HSP82(gene name)|psi-mi:HSP82(display_short)|uniprotkb:Heat shock protein Hsp90 heat-inducible isoform(gene name synonym)|uniprotkb:82 kDa heat shock protein(gene name synonym)	psi-mi:ygl4_yeast(display_long)|uniprotkb:YGL114W(locus name)	"psi-mi:""MI:0676""(tandem affinity purification)"	Gong et al. (2009)	pubmed:19536198	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-3815532	intact-miscore:0.35
uniprotkb:P32589	uniprotkb:P53134	intact:EBI-8648|uniprotkb:D6W3R1	intact:EBI-3774374|uniprotkb:D6VU33	psi-mi:hsp7f_yeast(display_long)|uniprotkb:SSE1(gene name)|psi-mi:SSE1(display_short)|uniprotkb:MSI3(gene name synonym)|uniprotkb:YPL106C(locus name)|uniprotkb:LPG3C(orf name)|uniprotkb:Chaperone protein MSI3(gene name synonym)	psi-mi:ygl4_yeast(display_long)|uniprotkb:YGL114W(locus name)	"psi-mi:""MI:0676""(tandem affinity purification)"	Gong et al. (2009)	pubmed:19536198	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-3808653	intact-miscore:0.35
uniprotkb:A0A1D6HZ94	uniprotkb:A0A1D6FNU9	intact:EBI-36521407	intact:EBI-36858835	"psi-mi:a0a1d6hz94_maize(display_long)|uniprotkb:""NAD(P)H dehydrogenase subunit 6""(gene name synonym)|uniprotkb:NADH-plastoquinone oxidoreductase subunit 6(gene name synonym)|uniprotkb:ZEAMMB73_Zm00001d019605(orf name)|uniprotkb:""NAD(P)H dehydrogenase subunit 5""(gene name synonym)|uniprotkb:""NAD(P)H-quinone oxidoreductase subunit 6, chloroplastic""(gene name synonym)|uniprotkb:NADH-plastoquinone oxidoreductase subunit 5(gene name synonym)"	psi-mi:a0a1d6fnu9_maize(display_long)|uniprotkb:ZEAMMB73_Zm00001d010036(orf name)	"psi-mi:""MI:0018""(two hybrid)"	Linqian et al. (2023)	pubmed:36581701|imex:IM-29553	"taxid:4577(maize)|taxid:4577(""Zea mays (Maize)"")"	"taxid:4577(maize)|taxid:4577(""Zea mays (Maize)"")"	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-36915058|imex:IM-29553-23643	author score:1.0|intact-miscore:0.37
uniprotkb:B6T9F9	uniprotkb:A0A1D6FNU9	intact:EBI-36642183	intact:EBI-36858835	psi-mi:b6t9f9_maize(display_long)|uniprotkb:LOC100276366(gene name)|psi-mi:LOC100276366(display_short)|uniprotkb:ZEAMMB73_Zm00001d018796(orf name)	psi-mi:a0a1d6fnu9_maize(display_long)|uniprotkb:ZEAMMB73_Zm00001d010036(orf name)	"psi-mi:""MI:0018""(two hybrid)"	Linqian et al. (2023)	pubmed:36581701|imex:IM-29553	"taxid:4577(maize)|taxid:4577(""Zea mays (Maize)"")"	"taxid:4577(maize)|taxid:4577(""Zea mays (Maize)"")"	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-36858844|imex:IM-29553-96983	author score:1.0|intact-miscore:0.37
uniprotkb:Q0P961	uniprotkb:Q0PBT5	intact:EBI-1326716	intact:EBI-1330443	psi-mi:q0p961_camje(display_long)|uniprotkb:pyrC2(gene name)|psi-mi:pyrC2(display_short)|uniprotkb:Cj1195c(locus name)	psi-mi:q0pbt5_camje(display_long)|uniprotkb:Cj0204(locus name)	"psi-mi:""MI:0397""(two hybrid array)"	Parrish et al. (2007)	pubmed:17615063	"taxid:192222(camje)|taxid:192222(""Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)"")"	"taxid:192222(camje)|taxid:192222(""Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)"")"	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1364984	author score:0.14|intact-miscore:0.37
uniprotkb:Q0PBZ0	uniprotkb:Q0PBT5	intact:EBI-1192397	intact:EBI-1330443	psi-mi:q0pbz0_camje(display_long)|uniprotkb:trxA(gene name)|psi-mi:trxA(display_short)|uniprotkb:Cj0147c(locus name)	psi-mi:q0pbt5_camje(display_long)|uniprotkb:Cj0204(locus name)	"psi-mi:""MI:0397""(two hybrid array)"	Parrish et al. (2007)	pubmed:17615063	"taxid:192222(camje)|taxid:192222(""Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)"")"	"taxid:192222(camje)|taxid:192222(""Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)"")"	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1365224	author score:0.18|intact-miscore:0.37
uniprotkb:Q9PM41	uniprotkb:Q0PBT5	intact:EBI-1329003|uniprotkb:Q0P7Z4	intact:EBI-1330443	psi-mi:aroc_camje(display_long)|uniprotkb:aroC(gene name)|psi-mi:aroC(display_short)|uniprotkb:Cj1634c(locus name)|uniprotkb:5-enolpyruvylshikimate-3-phosphate phospholyase(gene name synonym)	psi-mi:q0pbt5_camje(display_long)|uniprotkb:Cj0204(locus name)	"psi-mi:""MI:0397""(two hybrid array)"	Parrish et al. (2007)	pubmed:17615063	"taxid:192222(camje)|taxid:192222(""Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)"")"	"taxid:192222(camje)|taxid:192222(""Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)"")"	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1350341	author score:0.10|intact-miscore:0.37
