idA	idB	altIdsA	altIdsB	aliasesA	aliasesB	detectionMethod	firstAuthor	publicationIdentifiers	taxidA	taxidB	interactionType	sourceDatabase	interactionIdentifiers	confidence
uniprotkb:P10809	uniprotkb:Q9NP92	intact:EBI-352528|uniprotkb:Q38L19|uniprotkb:B2R5M6|uniprotkb:Q9UCR6|uniprotkb:B7Z712|ensembl:ENSP00000340019.2|ensembl:ENSP00000373620.3|ensembl:ENSP00000396460.2|ensembl:ENSP00000402478.2|ensembl:ENSP00000412227.2|ensembl:ENSP00000412717.2|ensembl:ENSP00000414446.2|ensembl:ENSP00000503139.1|ensembl:ENSP00000503894.1	intact:EBI-6393499|uniprotkb:Q96I91|uniprotkb:Q96Q19|uniprotkb:Q9H0P8|uniprotkb:Q9NSF9|uniprotkb:Q9NZ76|ensembl:ENSP00000424328.1	psi-mi:ch60_human(display_long)|uniprotkb:HSPD1(gene name)|psi-mi:HSPD1(display_short)|uniprotkb:HSP60(gene name synonym)|uniprotkb:Heat shock protein 60(gene name synonym)|uniprotkb:60 kDa chaperonin(gene name synonym)|uniprotkb:Chaperonin 60(gene name synonym)|uniprotkb:Mitochondrial matrix protein P1(gene name synonym)|uniprotkb:P60 lymphocyte protein(gene name synonym)|uniprotkb:HuCHA60(gene name synonym)|uniprotkb:Heat shock protein family D member 1(gene name synonym)	psi-mi:rt30_human(display_long)|uniprotkb:MRPS30(gene name)|psi-mi:MRPS30(display_short)|uniprotkb:PDCD9(gene name synonym)|uniprotkb:Programmed cell death protein 9(gene name synonym)|uniprotkb:BM-047(orf name)|uniprotkb:39S ribosomal protein S30, mitochondrial(gene name synonym)|uniprotkb:Large ribosomal subunit protein mS30(gene name synonym)	"psi-mi:""MI:1314""(proximity-dependent biotin identification)"	Liu et al. (2018)	pubmed:29568061|imex:IM-26301	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:2364""(proximity)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-16790769|imex:IM-26301-9	intact-miscore:0.48
uniprotkb:Q15118	uniprotkb:Q9NP92	intact:EBI-7016221|uniprotkb:B7Z937|uniprotkb:E9PD65|uniprotkb:Q308M4|uniprotkb:B2R6T1|intact:MINT-2881420|uniprotkb:D3DPD8|ensembl:ENSP00000282077.3|ensembl:ENSP00000386985.1	intact:EBI-6393499|uniprotkb:Q96I91|uniprotkb:Q96Q19|uniprotkb:Q9H0P8|uniprotkb:Q9NSF9|uniprotkb:Q9NZ76|ensembl:ENSP00000424328.1	psi-mi:pdk1_human(display_long)|uniprotkb:PDK1(gene name)|psi-mi:PDK1(display_short)|uniprotkb:PDHK1(gene name synonym)|uniprotkb:Pyruvate dehydrogenase kinase isoform 1(gene name synonym)	psi-mi:rt30_human(display_long)|uniprotkb:MRPS30(gene name)|psi-mi:MRPS30(display_short)|uniprotkb:PDCD9(gene name synonym)|uniprotkb:Programmed cell death protein 9(gene name synonym)|uniprotkb:BM-047(orf name)|uniprotkb:39S ribosomal protein S30, mitochondrial(gene name synonym)|uniprotkb:Large ribosomal subunit protein mS30(gene name synonym)	"psi-mi:""MI:1314""(proximity-dependent biotin identification)"	Liu et al. (2018)	pubmed:29568061|imex:IM-26301	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:2364""(proximity)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-16796954|imex:IM-26301-31	intact-miscore:0.27
uniprotkb:Q9BVS5	uniprotkb:Q9NP92	intact:EBI-3197877|uniprotkb:Q9H0Q9|uniprotkb:Q9NWS7|ensembl:ENSP00000302801.5	intact:EBI-6393499|uniprotkb:Q96I91|uniprotkb:Q96Q19|uniprotkb:Q9H0P8|uniprotkb:Q9NSF9|uniprotkb:Q9NZ76|ensembl:ENSP00000424328.1	"psi-mi:tr61b_human(display_long)|uniprotkb:TRMT61B(gene name)|psi-mi:TRMT61B(display_short)|uniprotkb:""mRNA methyladenosine-N(1)-methyltransferase""(gene name synonym)"	psi-mi:rt30_human(display_long)|uniprotkb:MRPS30(gene name)|psi-mi:MRPS30(display_short)|uniprotkb:PDCD9(gene name synonym)|uniprotkb:Programmed cell death protein 9(gene name synonym)|uniprotkb:BM-047(orf name)|uniprotkb:39S ribosomal protein S30, mitochondrial(gene name synonym)|uniprotkb:Large ribosomal subunit protein mS30(gene name synonym)	"psi-mi:""MI:1314""(proximity-dependent biotin identification)"	Liu et al. (2018)	pubmed:29568061|imex:IM-26301	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:2364""(proximity)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-16802257|imex:IM-26301-39	intact-miscore:0.27
uniprotkb:A0A142I5B9	uniprotkb:Q9NP92	intact:EBI-20625235|uniprotkb:H9A910	intact:EBI-6393499|uniprotkb:Q96I91|uniprotkb:Q96Q19|uniprotkb:Q9H0P8|uniprotkb:Q9NSF9|uniprotkb:Q9NZ76|ensembl:ENSP00000424328.1	psi-mi:polg_zikvk(display_long)	psi-mi:rt30_human(display_long)|uniprotkb:MRPS30(gene name)|psi-mi:MRPS30(display_short)|uniprotkb:PDCD9(gene name synonym)|uniprotkb:Programmed cell death protein 9(gene name synonym)|uniprotkb:BM-047(orf name)|uniprotkb:39S ribosomal protein S30, mitochondrial(gene name synonym)|uniprotkb:Large ribosomal subunit protein mS30(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Scaturro et al. (2018)	pubmed:30177828|imex:IM-26452	"taxid:2316109(ZIKVK)|taxid:2316109(""Zika virus (isolate ZIKV/Human/Cambodia/FSS13025/2010)"")"	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-20625330|imex:IM-26452-1	intact-miscore:0.35
uniprotkb:P55075-2	uniprotkb:Q9NP92	intact:EBI-21635150|ensembl:ENSP00000344306.3	intact:EBI-6393499|uniprotkb:Q96I91|uniprotkb:Q96Q19|uniprotkb:Q9H0P8|uniprotkb:Q9NSF9|uniprotkb:Q9NZ76|ensembl:ENSP00000424328.1	psi-mi:p55075-2(display_long)|uniprotkb:Androgen-induced growth factor(gene name synonym)|uniprotkb:Heparin-binding growth factor 8(gene name synonym)|uniprotkb:FGF8(gene name)|psi-mi:FGF8(display_short)|uniprotkb:AIGF(gene name synonym)	psi-mi:rt30_human(display_long)|uniprotkb:MRPS30(gene name)|psi-mi:MRPS30(display_short)|uniprotkb:PDCD9(gene name synonym)|uniprotkb:Programmed cell death protein 9(gene name synonym)|uniprotkb:BM-047(orf name)|uniprotkb:39S ribosomal protein S30, mitochondrial(gene name synonym)|uniprotkb:Large ribosomal subunit protein mS30(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2017)	pubmed:28514442|doi:10.1038/nature22366|imex:IM-25778	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-21635166|imex:IM-25778-6365	intact-miscore:0.35
uniprotkb:O14880	uniprotkb:Q9NP92	intact:EBI-724754|uniprotkb:Q6ICN4|uniprotkb:B2R592|ensembl:ENSP00000356859.1|ensembl:ENSP00000356864.3	intact:EBI-6393499|uniprotkb:Q96I91|uniprotkb:Q96Q19|uniprotkb:Q9H0P8|uniprotkb:Q9NSF9|uniprotkb:Q9NZ76|ensembl:ENSP00000424328.1	psi-mi:mgst3_human(display_long)|uniprotkb:MGST3(gene name)|psi-mi:MGST3(display_short)|uniprotkb:Glutathione peroxidase MGST3(gene name synonym)|uniprotkb:LTC4 synthase MGST3(gene name synonym)	psi-mi:rt30_human(display_long)|uniprotkb:MRPS30(gene name)|psi-mi:MRPS30(display_short)|uniprotkb:PDCD9(gene name synonym)|uniprotkb:Programmed cell death protein 9(gene name synonym)|uniprotkb:BM-047(orf name)|uniprotkb:39S ribosomal protein S30, mitochondrial(gene name synonym)|uniprotkb:Large ribosomal subunit protein mS30(gene name synonym)	"psi-mi:""MI:1314""(proximity-dependent biotin identification)"	Liu et al. (2018)	pubmed:29568061|imex:IM-26301	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:2364""(proximity)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-16796475|imex:IM-26301-131	intact-miscore:0.27
uniprotkb:Q8IWL3	uniprotkb:Q9NP92	intact:EBI-1805738|uniprotkb:Q9BWS7|ensembl:ENSP00000216027.3	intact:EBI-6393499|uniprotkb:Q96I91|uniprotkb:Q96Q19|uniprotkb:Q9H0P8|uniprotkb:Q9NSF9|uniprotkb:Q9NZ76|ensembl:ENSP00000424328.1	psi-mi:hsc20_human(display_long)|uniprotkb:HSCB(gene name)|psi-mi:HSCB(display_short)|uniprotkb:DNAJC20(gene name synonym)|uniprotkb:HSC20(gene name synonym)|uniprotkb:DnaJ homolog subfamily C member 20(gene name synonym)	psi-mi:rt30_human(display_long)|uniprotkb:MRPS30(gene name)|psi-mi:MRPS30(display_short)|uniprotkb:PDCD9(gene name synonym)|uniprotkb:Programmed cell death protein 9(gene name synonym)|uniprotkb:BM-047(orf name)|uniprotkb:39S ribosomal protein S30, mitochondrial(gene name synonym)|uniprotkb:Large ribosomal subunit protein mS30(gene name synonym)	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	Maio et al. (2017)	pubmed:28380382|imex:IM-25655	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-13943458|imex:IM-25655-3	intact-miscore:0.35
uniprotkb:P03466	uniprotkb:Q9NP92	intact:EBI-2547640|uniprotkb:Q20N34|uniprotkb:Q58NB3|uniprotkb:Q67228|uniprotkb:Q80AB4	intact:EBI-6393499|uniprotkb:Q96I91|uniprotkb:Q96Q19|uniprotkb:Q9H0P8|uniprotkb:Q9NSF9|uniprotkb:Q9NZ76|ensembl:ENSP00000424328.1	psi-mi:ncap_i34a1(display_long)|uniprotkb:NP(gene name)|psi-mi:NP(display_short)|uniprotkb:Nucleocapsid protein(gene name synonym)	psi-mi:rt30_human(display_long)|uniprotkb:MRPS30(gene name)|psi-mi:MRPS30(display_short)|uniprotkb:PDCD9(gene name synonym)|uniprotkb:Programmed cell death protein 9(gene name synonym)|uniprotkb:BM-047(orf name)|uniprotkb:39S ribosomal protein S30, mitochondrial(gene name synonym)|uniprotkb:Large ribosomal subunit protein mS30(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Wang et al. (2017)	pubmed:28169297|imex:IM-25584	"taxid:211044(i34a1)|taxid:211044(""Influenza A virus (strain A/Puerto Rico/8/1934 H1N1)"")"	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-12577908|imex:IM-25584-20	intact-miscore:0.35
uniprotkb:Q7Z2W9	uniprotkb:Q9NP92	intact:EBI-6393520|uniprotkb:C9JPR2|uniprotkb:A6NKU0|ensembl:ENSP00000354580.2	intact:EBI-6393499|uniprotkb:Q96I91|uniprotkb:Q96Q19|uniprotkb:Q9H0P8|uniprotkb:Q9NSF9|uniprotkb:Q9NZ76|ensembl:ENSP00000424328.1	psi-mi:rm21_human(display_long)|uniprotkb:MRPL21(gene name)|psi-mi:MRPL21(display_short)|uniprotkb:39S ribosomal protein L21, mitochondrial(gene name synonym)	psi-mi:rt30_human(display_long)|uniprotkb:MRPS30(gene name)|psi-mi:MRPS30(display_short)|uniprotkb:PDCD9(gene name synonym)|uniprotkb:Programmed cell death protein 9(gene name synonym)|uniprotkb:BM-047(orf name)|uniprotkb:39S ribosomal protein S30, mitochondrial(gene name synonym)|uniprotkb:Large ribosomal subunit protein mS30(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2017)	pubmed:28514442|doi:10.1038/nature22366|imex:IM-25778	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-21609376|imex:IM-25778-3627	intact-miscore:0.64
uniprotkb:Q9NZE8	uniprotkb:Q9NP92	intact:EBI-2809397|uniprotkb:Q8WWA2|uniprotkb:Q658U7|uniprotkb:B2RB93|uniprotkb:A6NKV6|ensembl:ENSP00000338389.4	intact:EBI-6393499|uniprotkb:Q96I91|uniprotkb:Q96Q19|uniprotkb:Q9H0P8|uniprotkb:Q9NSF9|uniprotkb:Q9NZ76|ensembl:ENSP00000424328.1	psi-mi:rm35_human(display_long)|uniprotkb:MRPL35(gene name)|psi-mi:MRPL35(display_short)|uniprotkb:39S ribosomal protein L35, mitochondrial(gene name synonym)|uniprotkb:BM-007(orf name)	psi-mi:rt30_human(display_long)|uniprotkb:MRPS30(gene name)|psi-mi:MRPS30(display_short)|uniprotkb:PDCD9(gene name synonym)|uniprotkb:Programmed cell death protein 9(gene name synonym)|uniprotkb:BM-047(orf name)|uniprotkb:39S ribosomal protein S30, mitochondrial(gene name synonym)|uniprotkb:Large ribosomal subunit protein mS30(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2017)	pubmed:28514442|doi:10.1038/nature22366|imex:IM-25778	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-21664262|imex:IM-25778-7795	intact-miscore:0.64
