idA	idB	altIdsA	altIdsB	aliasesA	aliasesB	detectionMethod	firstAuthor	publicationIdentifiers	taxidA	taxidB	interactionType	sourceDatabase	interactionIdentifiers	confidence
uniprotkb:O17680	uniprotkb:O17680	intact:EBI-2412749	intact:EBI-2412749	psi-mi:metk1_caeel(display_long)|uniprotkb:sams-1(gene name)|psi-mi:sams-1(display_short)|uniprotkb:Methionine adenosyltransferase 1(gene name synonym)|uniprotkb:C49F5.1(orf name)	psi-mi:metk1_caeel(display_long)|uniprotkb:sams-1(gene name)|psi-mi:sams-1(display_short)|uniprotkb:Methionine adenosyltransferase 1(gene name synonym)|uniprotkb:C49F5.1(orf name)	"psi-mi:""MI:0398""(two hybrid pooling approach)"	Simonis et al. (2009)	pubmed:19123269	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2424137	intact-miscore:0.49
uniprotkb:O17680	uniprotkb:O17680	intact:EBI-2412749	intact:EBI-2412749	psi-mi:metk1_caeel(display_long)|uniprotkb:sams-1(gene name)|psi-mi:sams-1(display_short)|uniprotkb:Methionine adenosyltransferase 1(gene name synonym)|uniprotkb:C49F5.1(orf name)	psi-mi:metk1_caeel(display_long)|uniprotkb:sams-1(gene name)|psi-mi:sams-1(display_short)|uniprotkb:Methionine adenosyltransferase 1(gene name synonym)|uniprotkb:C49F5.1(orf name)	"psi-mi:""MI:0397""(two hybrid array)"	Simonis et al. (2009)	pubmed:19123269	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2414950	intact-miscore:0.49
uniprotkb:O17680	uniprotkb:Q27522	intact:EBI-2412749	intact:EBI-2414956	psi-mi:metk1_caeel(display_long)|uniprotkb:sams-1(gene name)|psi-mi:sams-1(display_short)|uniprotkb:Methionine adenosyltransferase 1(gene name synonym)|uniprotkb:C49F5.1(orf name)	psi-mi:metk5_caeel(display_long)|uniprotkb:T13A10.11(orf name)|uniprotkb:tag-32(gene name synonym)|uniprotkb:Methionine adenosyltransferase 5(gene name synonym)|uniprotkb:sams-5(gene name)|psi-mi:sams-5(display_short)	"psi-mi:""MI:0398""(two hybrid pooling approach)"	Simonis et al. (2009)	pubmed:19123269	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2424141	intact-miscore:0.49
uniprotkb:O17680	uniprotkb:Q27522	intact:EBI-2412749	intact:EBI-2414956	psi-mi:metk1_caeel(display_long)|uniprotkb:sams-1(gene name)|psi-mi:sams-1(display_short)|uniprotkb:Methionine adenosyltransferase 1(gene name synonym)|uniprotkb:C49F5.1(orf name)	psi-mi:metk5_caeel(display_long)|uniprotkb:T13A10.11(orf name)|uniprotkb:tag-32(gene name synonym)|uniprotkb:Methionine adenosyltransferase 5(gene name synonym)|uniprotkb:sams-5(gene name)|psi-mi:sams-5(display_short)	"psi-mi:""MI:0397""(two hybrid array)"	Simonis et al. (2009)	pubmed:19123269	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2414954	intact-miscore:0.49
uniprotkb:P50305	uniprotkb:O17680	intact:EBI-2412743	intact:EBI-2412749	psi-mi:metk3_caeel(display_long)|uniprotkb:sams-3(gene name)|psi-mi:sams-3(display_short)|uniprotkb:Methionine adenosyltransferase 3(gene name synonym)|uniprotkb:C06E7.1(orf name)	psi-mi:metk1_caeel(display_long)|uniprotkb:sams-1(gene name)|psi-mi:sams-1(display_short)|uniprotkb:Methionine adenosyltransferase 1(gene name synonym)|uniprotkb:C49F5.1(orf name)	"psi-mi:""MI:0397""(two hybrid array)"	Simonis et al. (2009)	pubmed:19123269	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2412747	intact-miscore:0.49
uniprotkb:P50305	uniprotkb:O17680	intact:EBI-2412743	intact:EBI-2412749	psi-mi:metk3_caeel(display_long)|uniprotkb:sams-3(gene name)|psi-mi:sams-3(display_short)|uniprotkb:Methionine adenosyltransferase 3(gene name synonym)|uniprotkb:C06E7.1(orf name)	psi-mi:metk1_caeel(display_long)|uniprotkb:sams-1(gene name)|psi-mi:sams-1(display_short)|uniprotkb:Methionine adenosyltransferase 1(gene name synonym)|uniprotkb:C49F5.1(orf name)	"psi-mi:""MI:0397""(two hybrid array)"	Simonis et al. (2009)	pubmed:19123269	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2412755	intact-miscore:0.49
uniprotkb:O17680	uniprotkb:P50306	intact:EBI-2412749	intact:EBI-2412759	psi-mi:metk1_caeel(display_long)|uniprotkb:sams-1(gene name)|psi-mi:sams-1(display_short)|uniprotkb:Methionine adenosyltransferase 1(gene name synonym)|uniprotkb:C49F5.1(orf name)	psi-mi:metk4_caeel(display_long)|uniprotkb:sams-4(gene name)|psi-mi:sams-4(display_short)|uniprotkb:Methionine adenosyltransferase 4(gene name synonym)|uniprotkb:C06E7.3(orf name)	"psi-mi:""MI:0397""(two hybrid array)"	Simonis et al. (2009)	pubmed:19123269	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2412763	intact-miscore:0.49
uniprotkb:P50306	uniprotkb:O17680	intact:EBI-2412759	intact:EBI-2412749	psi-mi:metk4_caeel(display_long)|uniprotkb:sams-4(gene name)|psi-mi:sams-4(display_short)|uniprotkb:Methionine adenosyltransferase 4(gene name synonym)|uniprotkb:C06E7.3(orf name)	psi-mi:metk1_caeel(display_long)|uniprotkb:sams-1(gene name)|psi-mi:sams-1(display_short)|uniprotkb:Methionine adenosyltransferase 1(gene name synonym)|uniprotkb:C49F5.1(orf name)	"psi-mi:""MI:0397""(two hybrid array)"	Simonis et al. (2009)	pubmed:19123269	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2412767	intact-miscore:0.49
uniprotkb:O17680	uniprotkb:P50306	intact:EBI-2412749	intact:EBI-2412759	psi-mi:metk1_caeel(display_long)|uniprotkb:sams-1(gene name)|psi-mi:sams-1(display_short)|uniprotkb:Methionine adenosyltransferase 1(gene name synonym)|uniprotkb:C49F5.1(orf name)	psi-mi:metk4_caeel(display_long)|uniprotkb:sams-4(gene name)|psi-mi:sams-4(display_short)|uniprotkb:Methionine adenosyltransferase 4(gene name synonym)|uniprotkb:C06E7.3(orf name)	"psi-mi:""MI:0398""(two hybrid pooling approach)"	Simonis et al. (2009)	pubmed:19123269	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2422595	intact-miscore:0.49
uniprotkb:P50305	uniprotkb:O17680	intact:EBI-2412743	intact:EBI-2412749	psi-mi:metk3_caeel(display_long)|uniprotkb:sams-3(gene name)|psi-mi:sams-3(display_short)|uniprotkb:Methionine adenosyltransferase 3(gene name synonym)|uniprotkb:C06E7.1(orf name)	psi-mi:metk1_caeel(display_long)|uniprotkb:sams-1(gene name)|psi-mi:sams-1(display_short)|uniprotkb:Methionine adenosyltransferase 1(gene name synonym)|uniprotkb:C49F5.1(orf name)	"psi-mi:""MI:0398""(two hybrid pooling approach)"	Simonis et al. (2009)	pubmed:19123269	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2422591	intact-miscore:0.49
