idA	idB	altIdsA	altIdsB	aliasesA	aliasesB	detectionMethod	firstAuthor	publicationIdentifiers	taxidA	taxidB	interactionType	sourceDatabase	interactionIdentifiers	confidence
uniprotkb:P10659	uniprotkb:P10659	intact:EBI-10789|uniprotkb:D6VYI4	intact:EBI-10789|uniprotkb:D6VYI4	psi-mi:metk1_yeast(display_long)|uniprotkb:SAM1(gene name)|psi-mi:SAM1(display_short)|uniprotkb:ETH10(gene name synonym)|uniprotkb:YLR180W(locus name)|uniprotkb:L9470.9(orf name)|uniprotkb:Methionine adenosyltransferase 1(gene name synonym)	psi-mi:metk1_yeast(display_long)|uniprotkb:SAM1(gene name)|psi-mi:SAM1(display_short)|uniprotkb:ETH10(gene name synonym)|uniprotkb:YLR180W(locus name)|uniprotkb:L9470.9(orf name)|uniprotkb:Methionine adenosyltransferase 1(gene name synonym)	"psi-mi:""MI:0018""(two hybrid)"	Yu et al. (2008)	pubmed:18719252	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2343943	intact-miscore:0.55
uniprotkb:P10659	uniprotkb:P10659	intact:EBI-10789|uniprotkb:D6VYI4	intact:EBI-10789|uniprotkb:D6VYI4	psi-mi:metk1_yeast(display_long)|uniprotkb:SAM1(gene name)|psi-mi:SAM1(display_short)|uniprotkb:ETH10(gene name synonym)|uniprotkb:YLR180W(locus name)|uniprotkb:L9470.9(orf name)|uniprotkb:Methionine adenosyltransferase 1(gene name synonym)	psi-mi:metk1_yeast(display_long)|uniprotkb:SAM1(gene name)|psi-mi:SAM1(display_short)|uniprotkb:ETH10(gene name synonym)|uniprotkb:YLR180W(locus name)|uniprotkb:L9470.9(orf name)|uniprotkb:Methionine adenosyltransferase 1(gene name synonym)	"psi-mi:""MI:0111""(dihydrofolate reductase reconstruction)"	Marchant et al. (2019)	pubmed:31454312|imex:IM-26944	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-21321855|imex:IM-26944-413	intact-miscore:0.55
uniprotkb:P19262	uniprotkb:P10659	intact:EBI-12464|uniprotkb:D6VSD1	intact:EBI-10789|uniprotkb:D6VYI4	psi-mi:odo2_yeast(display_long)|uniprotkb:KGD2(gene name)|psi-mi:KGD2(display_short)|uniprotkb:YDR148C(locus name)|uniprotkb:YD8358.05C(orf name)|uniprotkb:Dihydrolipoamide succinyltransferase component of 2-oxoglutarate dehydrogenase complex(gene name synonym)|uniprotkb:2-oxoglutarate dehydrogenase complex component E2(gene name synonym)|uniprotkb:Alpha-ketoglutarate dehydrogenase subunit E2(gene name synonym)	psi-mi:metk1_yeast(display_long)|uniprotkb:SAM1(gene name)|psi-mi:SAM1(display_short)|uniprotkb:ETH10(gene name synonym)|uniprotkb:YLR180W(locus name)|uniprotkb:L9470.9(orf name)|uniprotkb:Methionine adenosyltransferase 1(gene name synonym)	"psi-mi:""MI:0676""(tandem affinity purification)"	Gavin et al. (2006)	pubmed:16429126	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-812031	intact-miscore:0.35
uniprotkb:P30822	uniprotkb:P10659	intact:EBI-20589|uniprotkb:D6VV01	intact:EBI-10789|uniprotkb:D6VYI4	psi-mi:xpo1_yeast(display_long)|uniprotkb:CRM1(gene name)|psi-mi:CRM1(display_short)|uniprotkb:KAP124(gene name synonym)|uniprotkb:YGR218W(locus name)|uniprotkb:G8514(orf name)|uniprotkb:XPO1(gene name synonym)|uniprotkb:Chromosome region maintenance protein 1(gene name synonym)|uniprotkb:Karyopherin-124(gene name synonym)	psi-mi:metk1_yeast(display_long)|uniprotkb:SAM1(gene name)|psi-mi:SAM1(display_short)|uniprotkb:ETH10(gene name synonym)|uniprotkb:YLR180W(locus name)|uniprotkb:L9470.9(orf name)|uniprotkb:Methionine adenosyltransferase 1(gene name synonym)	"psi-mi:""MI:0676""(tandem affinity purification)"	Gavin et al. (2006)	pubmed:16429126	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-810584	intact-miscore:0.35
uniprotkb:P52910	uniprotkb:P10659	intact:EBI-2136|uniprotkb:D6VYE8	intact:EBI-10789|uniprotkb:D6VYI4	psi-mi:acs2_yeast(display_long)|uniprotkb:ACS2(gene name)|psi-mi:ACS2(display_short)|uniprotkb:YLR153C(locus name)|uniprotkb:L9634.10(orf name)|uniprotkb:Acetate--CoA ligase 2(gene name synonym)|uniprotkb:Acyl-activating enzyme 2(gene name synonym)	psi-mi:metk1_yeast(display_long)|uniprotkb:SAM1(gene name)|psi-mi:SAM1(display_short)|uniprotkb:ETH10(gene name synonym)|uniprotkb:YLR180W(locus name)|uniprotkb:L9470.9(orf name)|uniprotkb:Methionine adenosyltransferase 1(gene name synonym)	"psi-mi:""MI:0363""(inferred by author)"	Gavin et al. (2006)	pubmed:16429126	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-815155	intact-miscore:0.44
uniprotkb:Q00955	uniprotkb:P10659	intact:EBI-4814|uniprotkb:D6W1J1	intact:EBI-10789|uniprotkb:D6VYI4	psi-mi:acac_yeast(display_long)|uniprotkb:MTR7(gene name synonym)|uniprotkb:N3175(orf name)|uniprotkb:YNR016C(locus name)|uniprotkb:ACC1(gene name)|psi-mi:ACC1(display_short)|uniprotkb:ABP2(gene name synonym)|uniprotkb:FAS3(gene name synonym)|uniprotkb:Fatty acid synthetase 3(gene name synonym)|uniprotkb:mRNA transport-defective protein 7(gene name synonym)	psi-mi:metk1_yeast(display_long)|uniprotkb:SAM1(gene name)|psi-mi:SAM1(display_short)|uniprotkb:ETH10(gene name synonym)|uniprotkb:YLR180W(locus name)|uniprotkb:L9470.9(orf name)|uniprotkb:Methionine adenosyltransferase 1(gene name synonym)	"psi-mi:""MI:0363""(inferred by author)"	Gavin et al. (2006)	pubmed:16429126	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-816484	intact-miscore:0.27
uniprotkb:P00937	uniprotkb:P10659	intact:EBI-19585|uniprotkb:D6VWZ2	intact:EBI-10789|uniprotkb:D6VYI4	psi-mi:trpg_yeast(display_long)|uniprotkb:TRP3(gene name)|psi-mi:TRP3(display_short)|uniprotkb:YKL211C(locus name)	psi-mi:metk1_yeast(display_long)|uniprotkb:SAM1(gene name)|psi-mi:SAM1(display_short)|uniprotkb:ETH10(gene name synonym)|uniprotkb:YLR180W(locus name)|uniprotkb:L9470.9(orf name)|uniprotkb:Methionine adenosyltransferase 1(gene name synonym)	"psi-mi:""MI:0676""(tandem affinity purification)"	Gavin et al. (2006)	pubmed:16429126	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-805630	intact-miscore:0.35
uniprotkb:P40970	uniprotkb:P10659	intact:EBI-10067|uniprotkb:Q66RG8|uniprotkb:D6VS48	intact:EBI-10789|uniprotkb:D6VYI4	psi-mi:lcb2_yeast(display_long)|uniprotkb:LCB2(gene name)|psi-mi:LCB2(display_short)|uniprotkb:SCS1(gene name synonym)|uniprotkb:YDR062W(locus name)|uniprotkb:YD9609.16(orf name)|uniprotkb:D4246(orf name)|uniprotkb:TSC1(gene name synonym)|uniprotkb:Long chain base biosynthesis protein 2(gene name synonym)	psi-mi:metk1_yeast(display_long)|uniprotkb:SAM1(gene name)|psi-mi:SAM1(display_short)|uniprotkb:ETH10(gene name synonym)|uniprotkb:YLR180W(locus name)|uniprotkb:L9470.9(orf name)|uniprotkb:Methionine adenosyltransferase 1(gene name synonym)	"psi-mi:""MI:0676""(tandem affinity purification)"	Gavin et al. (2006)	pubmed:16429126	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-805812	intact-miscore:0.35
uniprotkb:P53115	uniprotkb:P10659	intact:EBI-24019|uniprotkb:D6VU00	intact:EBI-10789|uniprotkb:D6VYI4	psi-mi:ino80_yeast(display_long)|uniprotkb:YGL150C(locus name)|uniprotkb:G1880(orf name)|uniprotkb:INO80(gene name)|psi-mi:INO80(display_short)|uniprotkb:Inositol-requiring protein 80(gene name synonym)	psi-mi:metk1_yeast(display_long)|uniprotkb:SAM1(gene name)|psi-mi:SAM1(display_short)|uniprotkb:ETH10(gene name synonym)|uniprotkb:YLR180W(locus name)|uniprotkb:L9470.9(orf name)|uniprotkb:Methionine adenosyltransferase 1(gene name synonym)	"psi-mi:""MI:0676""(tandem affinity purification)"	Gavin et al. (2006)	pubmed:16429126	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-806399	intact-miscore:0.35
uniprotkb:P40035	uniprotkb:P10659	intact:EBI-22551|uniprotkb:D3DLV5	intact:EBI-10789|uniprotkb:D6VYI4	psi-mi:pic2_yeast(display_long)|uniprotkb:Phosphate transport protein 2(gene name synonym)|uniprotkb:Pi carrier isoform 2(gene name synonym)|uniprotkb:YER053C(locus name)|uniprotkb:PIC2(gene name)|psi-mi:PIC2(display_short)|uniprotkb:mPic 2(gene name synonym)	psi-mi:metk1_yeast(display_long)|uniprotkb:SAM1(gene name)|psi-mi:SAM1(display_short)|uniprotkb:ETH10(gene name synonym)|uniprotkb:YLR180W(locus name)|uniprotkb:L9470.9(orf name)|uniprotkb:Methionine adenosyltransferase 1(gene name synonym)	"psi-mi:""MI:0676""(tandem affinity purification)"	Gavin et al. (2006)	pubmed:16429126	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-805054	intact-miscore:0.35
