idA	idB	altIdsA	altIdsB	aliasesA	aliasesB	detectionMethod	firstAuthor	publicationIdentifiers	taxidA	taxidB	interactionType	sourceDatabase	interactionIdentifiers	confidence
uniprotkb:Q0P9F8	uniprotkb:Q0P9F8	intact:EBI-1192344	intact:EBI-1192344	psi-mi:q0p9f8_camje(display_long)|uniprotkb:metK(gene name)|psi-mi:metK(display_short)|uniprotkb:Cj1096c(locus name)	psi-mi:q0p9f8_camje(display_long)|uniprotkb:metK(gene name)|psi-mi:metK(display_short)|uniprotkb:Cj1096c(locus name)	"psi-mi:""MI:0397""(two hybrid array)"	Parrish et al. (2007)	pubmed:17615063	"taxid:192222(camje)|taxid:192222(""Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)"")"	"taxid:192222(camje)|taxid:192222(""Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)"")"	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1333826	author score:0.99|intact-miscore:0.37
uniprotkb:Q0P8A0	uniprotkb:Q0P9F8	intact:EBI-1326764	intact:EBI-1192344	psi-mi:q0p8a0_camje(display_long)|uniprotkb:moeA2(gene name)|psi-mi:moeA2(display_short)|uniprotkb:Cj1519(locus name)	psi-mi:q0p9f8_camje(display_long)|uniprotkb:metK(gene name)|psi-mi:metK(display_short)|uniprotkb:Cj1096c(locus name)	"psi-mi:""MI:0397""(two hybrid array)"	Parrish et al. (2007)	pubmed:17615063	"taxid:192222(camje)|taxid:192222(""Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)"")"	"taxid:192222(camje)|taxid:192222(""Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)"")"	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1342334	author score:0.14|intact-miscore:0.37
uniprotkb:Q9PMQ5	uniprotkb:Q0P9F8	intact:EBI-1194114|uniprotkb:Q0P8L2	intact:EBI-1192344	psi-mi:pgk_camje(display_long)|uniprotkb:pgk(gene name)|psi-mi:pgk(display_short)|uniprotkb:Cj1402c(locus name)	psi-mi:q0p9f8_camje(display_long)|uniprotkb:metK(gene name)|psi-mi:metK(display_short)|uniprotkb:Cj1096c(locus name)	"psi-mi:""MI:0397""(two hybrid array)"	Parrish et al. (2007)	pubmed:17615063	"taxid:192222(camje)|taxid:192222(""Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)"")"	"taxid:192222(camje)|taxid:192222(""Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)"")"	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1342382	author score:0.10|intact-miscore:0.37
uniprotkb:Q9PHK7	uniprotkb:Q0P9F8	intact:EBI-1195029|uniprotkb:Q0PAK8	intact:EBI-1192344	psi-mi:assy_camje(display_long)|uniprotkb:argG(gene name)|psi-mi:argG(display_short)|uniprotkb:Cj0665c(locus name)|uniprotkb:Citrulline--aspartate ligase(gene name synonym)	psi-mi:q0p9f8_camje(display_long)|uniprotkb:metK(gene name)|psi-mi:metK(display_short)|uniprotkb:Cj1096c(locus name)	"psi-mi:""MI:0397""(two hybrid array)"	Parrish et al. (2007)	pubmed:17615063	"taxid:192222(camje)|taxid:192222(""Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)"")"	"taxid:192222(camje)|taxid:192222(""Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)"")"	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1342439	author score:0.09|intact-miscore:0.37
uniprotkb:Q0PBB8	uniprotkb:Q0P9F8	intact:EBI-1191902	intact:EBI-1192344	psi-mi:q0pbb8_camje(display_long)|uniprotkb:pyk(gene name)|psi-mi:pyk(display_short)|uniprotkb:Cj0392c(locus name)	psi-mi:q0p9f8_camje(display_long)|uniprotkb:metK(gene name)|psi-mi:metK(display_short)|uniprotkb:Cj1096c(locus name)	"psi-mi:""MI:0397""(two hybrid array)"	Parrish et al. (2007)	pubmed:17615063	"taxid:192222(camje)|taxid:192222(""Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)"")"	"taxid:192222(camje)|taxid:192222(""Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)"")"	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1342514	author score:0.33|intact-miscore:0.37
uniprotkb:Q0P9S2	uniprotkb:Q0P9F8	intact:EBI-1192100	intact:EBI-1192344	psi-mi:q0p9s2_camje(display_long)|uniprotkb:Cj0980(locus name)	psi-mi:q0p9f8_camje(display_long)|uniprotkb:metK(gene name)|psi-mi:metK(display_short)|uniprotkb:Cj1096c(locus name)	"psi-mi:""MI:0397""(two hybrid array)"	Parrish et al. (2007)	pubmed:17615063	"taxid:192222(camje)|taxid:192222(""Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)"")"	"taxid:192222(camje)|taxid:192222(""Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)"")"	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1342553	author score:0.54|intact-miscore:0.37
uniprotkb:Q0P9F5	uniprotkb:Q0P9F8	intact:EBI-1195383	intact:EBI-1192344	psi-mi:q0p9f5_camje(display_long)|uniprotkb:Cj1099(locus name)	psi-mi:q0p9f8_camje(display_long)|uniprotkb:metK(gene name)|psi-mi:metK(display_short)|uniprotkb:Cj1096c(locus name)	"psi-mi:""MI:0397""(two hybrid array)"	Parrish et al. (2007)	pubmed:17615063	"taxid:192222(camje)|taxid:192222(""Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)"")"	"taxid:192222(camje)|taxid:192222(""Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)"")"	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1342625	author score:0.09|intact-miscore:0.37
uniprotkb:Q0P7Z6	uniprotkb:Q0P9F8	intact:EBI-1191603	intact:EBI-1192344	psi-mi:q0p7z6_camje(display_long)|uniprotkb:Cj1632c(locus name)	psi-mi:q0p9f8_camje(display_long)|uniprotkb:metK(gene name)|psi-mi:metK(display_short)|uniprotkb:Cj1096c(locus name)	"psi-mi:""MI:0397""(two hybrid array)"	Parrish et al. (2007)	pubmed:17615063	"taxid:192222(camje)|taxid:192222(""Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)"")"	"taxid:192222(camje)|taxid:192222(""Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)"")"	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1337285	author score:0.10|intact-miscore:0.37
uniprotkb:Q0P9G0	uniprotkb:Q0P9F8	intact:EBI-1191651	intact:EBI-1192344	psi-mi:q0p9g0_camje(display_long)|uniprotkb:Cj1094c(locus name)	psi-mi:q0p9f8_camje(display_long)|uniprotkb:metK(gene name)|psi-mi:metK(display_short)|uniprotkb:Cj1096c(locus name)	"psi-mi:""MI:0397""(two hybrid array)"	Parrish et al. (2007)	pubmed:17615063	"taxid:192222(camje)|taxid:192222(""Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)"")"	"taxid:192222(camje)|taxid:192222(""Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)"")"	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1337333	author score:0.08|intact-miscore:0.37
uniprotkb:Q0PAF4	uniprotkb:Q0P9F8	intact:EBI-1328646	intact:EBI-1192344	psi-mi:q0paf4_camje(display_long)|uniprotkb:Cj0725c(locus name)	psi-mi:q0p9f8_camje(display_long)|uniprotkb:metK(gene name)|psi-mi:metK(display_short)|uniprotkb:Cj1096c(locus name)	"psi-mi:""MI:0397""(two hybrid array)"	Parrish et al. (2007)	pubmed:17615063	"taxid:192222(camje)|taxid:192222(""Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)"")"	"taxid:192222(camje)|taxid:192222(""Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)"")"	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1337417	author score:0.27|intact-miscore:0.37
