idA	idB	altIdsA	altIdsB	aliasesA	aliasesB	detectionMethod	firstAuthor	publicationIdentifiers	taxidA	taxidB	interactionType	sourceDatabase	interactionIdentifiers	confidence
uniprotkb:Q9XX15	uniprotkb:Q9N415	intact:EBI-6538212	intact:EBI-6538150	"psi-mi:nep1_caeel(display_long)|uniprotkb:emg-1(gene name)|psi-mi:emg-1(display_short)|uniprotkb:""18S rRNA (pseudouridine-N1)-methyltransferase""(gene name synonym)|uniprotkb:EMG1 N1-specific pseudouridine methyltransferase(gene name synonym)|uniprotkb:Ribosome biogenesis protein nep-1(gene name synonym)|uniprotkb:Y39A1A.14(orf name)"	psi-mi:q9n415_caeel(display_long)|uniprotkb:rimb-1(gene name)|psi-mi:rimb-1(display_short)|uniprotkb:tag-168(gene name synonym)|uniprotkb:CELE_Y39A3CL.2(orf name)|uniprotkb:Y39A3CL.2(orf name)	"psi-mi:""MI:0018""(two hybrid)"	Xin et al. (2013)	imex:IM-18681|pubmed:23549480	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-6538214|imex:IM-18681-498	intact-miscore:0.37
uniprotkb:Q06287	uniprotkb:Q06287	intact:EBI-11979|uniprotkb:E9P8U2|uniprotkb:D6VYI9	intact:EBI-11979|uniprotkb:E9P8U2|uniprotkb:D6VYI9	"psi-mi:nep1_yeast(display_long)|uniprotkb:EMG1(gene name)|psi-mi:EMG1(display_short)|uniprotkb:NEP1(gene name synonym)|uniprotkb:YLR186W(locus name)|uniprotkb:L9470.5(orf name)|uniprotkb:Nucleolar essential protein 1(gene name synonym)|uniprotkb:""18S rRNA (pseudouridine(1189)-N1)-methyltransferase""(gene name synonym)|uniprotkb:Essential for mitotic growth protein 1(gene name synonym)"	"psi-mi:nep1_yeast(display_long)|uniprotkb:EMG1(gene name)|psi-mi:EMG1(display_short)|uniprotkb:NEP1(gene name synonym)|uniprotkb:YLR186W(locus name)|uniprotkb:L9470.5(orf name)|uniprotkb:Nucleolar essential protein 1(gene name synonym)|uniprotkb:""18S rRNA (pseudouridine(1189)-N1)-methyltransferase""(gene name synonym)|uniprotkb:Essential for mitotic growth protein 1(gene name synonym)"	"psi-mi:""MI:0096""(pull down)"	Leulliot et al. (2008)	pubmed:18063569|imex:IM-25684	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	"psi-mi:""MI:0407""(direct interaction)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-11664384|imex:IM-25684-2	intact-miscore:0.68
uniprotkb:Q06287	uniprotkb:Q06287	intact:EBI-11979|uniprotkb:E9P8U2|uniprotkb:D6VYI9	intact:EBI-11979|uniprotkb:E9P8U2|uniprotkb:D6VYI9	"psi-mi:nep1_yeast(display_long)|uniprotkb:EMG1(gene name)|psi-mi:EMG1(display_short)|uniprotkb:NEP1(gene name synonym)|uniprotkb:YLR186W(locus name)|uniprotkb:L9470.5(orf name)|uniprotkb:Nucleolar essential protein 1(gene name synonym)|uniprotkb:""18S rRNA (pseudouridine(1189)-N1)-methyltransferase""(gene name synonym)|uniprotkb:Essential for mitotic growth protein 1(gene name synonym)"	"psi-mi:nep1_yeast(display_long)|uniprotkb:EMG1(gene name)|psi-mi:EMG1(display_short)|uniprotkb:NEP1(gene name synonym)|uniprotkb:YLR186W(locus name)|uniprotkb:L9470.5(orf name)|uniprotkb:Nucleolar essential protein 1(gene name synonym)|uniprotkb:""18S rRNA (pseudouridine(1189)-N1)-methyltransferase""(gene name synonym)|uniprotkb:Essential for mitotic growth protein 1(gene name synonym)"	"psi-mi:""MI:0071""(molecular sieving)"	Leulliot et al. (2008)	pubmed:18063569|imex:IM-25684	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	"psi-mi:""MI:0407""(direct interaction)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-11664405|imex:IM-25684-3	intact-miscore:0.68
uniprotkb:Q06287	uniprotkb:Q06287	intact:EBI-11979|uniprotkb:E9P8U2|uniprotkb:D6VYI9	intact:EBI-11979|uniprotkb:E9P8U2|uniprotkb:D6VYI9	"psi-mi:nep1_yeast(display_long)|uniprotkb:EMG1(gene name)|psi-mi:EMG1(display_short)|uniprotkb:NEP1(gene name synonym)|uniprotkb:YLR186W(locus name)|uniprotkb:L9470.5(orf name)|uniprotkb:Nucleolar essential protein 1(gene name synonym)|uniprotkb:""18S rRNA (pseudouridine(1189)-N1)-methyltransferase""(gene name synonym)|uniprotkb:Essential for mitotic growth protein 1(gene name synonym)"	"psi-mi:nep1_yeast(display_long)|uniprotkb:EMG1(gene name)|psi-mi:EMG1(display_short)|uniprotkb:NEP1(gene name synonym)|uniprotkb:YLR186W(locus name)|uniprotkb:L9470.5(orf name)|uniprotkb:Nucleolar essential protein 1(gene name synonym)|uniprotkb:""18S rRNA (pseudouridine(1189)-N1)-methyltransferase""(gene name synonym)|uniprotkb:Essential for mitotic growth protein 1(gene name synonym)"	"psi-mi:""MI:0071""(molecular sieving)"	Meyer et al. (2011)	imex:IM-24471|pubmed:20972225	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	"psi-mi:""MI:0407""(direct interaction)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-10903893|imex:IM-24471-1	intact-miscore:0.68
uniprotkb:P25586	uniprotkb:Q06287	intact:EBI-21773|uniprotkb:D6VQV7	intact:EBI-11979|uniprotkb:E9P8U2|uniprotkb:D6VYI9	psi-mi:krr1_yeast(display_long)|uniprotkb:KRR1(gene name)|psi-mi:KRR1(display_short)|uniprotkb:KRR-R motif-containing protein 1(gene name synonym)|uniprotkb:Ribosomal RNA assembly protein KRR1(gene name synonym)|uniprotkb:YCL59C(orf name)|uniprotkb:YCL059C(locus name)	"psi-mi:nep1_yeast(display_long)|uniprotkb:EMG1(gene name)|psi-mi:EMG1(display_short)|uniprotkb:NEP1(gene name synonym)|uniprotkb:YLR186W(locus name)|uniprotkb:L9470.5(orf name)|uniprotkb:Nucleolar essential protein 1(gene name synonym)|uniprotkb:""18S rRNA (pseudouridine(1189)-N1)-methyltransferase""(gene name synonym)|uniprotkb:Essential for mitotic growth protein 1(gene name synonym)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Gavin et al. (2006)	pubmed:16429126	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-809983	intact-miscore:0.64
uniprotkb:Q06631	uniprotkb:Q06287	intact:EBI-36432|uniprotkb:Q66RD8|uniprotkb:D6VSS8	intact:EBI-11979|uniprotkb:E9P8U2|uniprotkb:D6VYI9	psi-mi:bfr2_yeast(display_long)|uniprotkb:BFR2(gene name)|psi-mi:BFR2(display_short)|uniprotkb:Brefeldin A resistance protein 2(gene name synonym)|uniprotkb:YDR299W(locus name)	"psi-mi:nep1_yeast(display_long)|uniprotkb:EMG1(gene name)|psi-mi:EMG1(display_short)|uniprotkb:NEP1(gene name synonym)|uniprotkb:YLR186W(locus name)|uniprotkb:L9470.5(orf name)|uniprotkb:Nucleolar essential protein 1(gene name synonym)|uniprotkb:""18S rRNA (pseudouridine(1189)-N1)-methyltransferase""(gene name synonym)|uniprotkb:Essential for mitotic growth protein 1(gene name synonym)"	"psi-mi:""MI:0363""(inferred by author)"	Gavin et al. (2006)	pubmed:16429126	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-816238	intact-miscore:0.62
uniprotkb:P42945	uniprotkb:Q06287	intact:EBI-1884|uniprotkb:D6VW75	intact:EBI-11979|uniprotkb:E9P8U2|uniprotkb:D6VYI9	psi-mi:utp10_yeast(display_long)|uniprotkb:UTP10(gene name)|psi-mi:UTP10(display_short)|uniprotkb:t-UTP10(gene name synonym)|uniprotkb:U three protein 10(gene name synonym)|uniprotkb:U3 protein 10 required for transcription(gene name synonym)|uniprotkb:J0808(orf name)|uniprotkb:YJL109C(locus name)	"psi-mi:nep1_yeast(display_long)|uniprotkb:EMG1(gene name)|psi-mi:EMG1(display_short)|uniprotkb:NEP1(gene name synonym)|uniprotkb:YLR186W(locus name)|uniprotkb:L9470.5(orf name)|uniprotkb:Nucleolar essential protein 1(gene name synonym)|uniprotkb:""18S rRNA (pseudouridine(1189)-N1)-methyltransferase""(gene name synonym)|uniprotkb:Essential for mitotic growth protein 1(gene name synonym)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Gavin et al. (2006)	pubmed:16429126	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-804743	intact-miscore:0.64
uniprotkb:Q06512	uniprotkb:Q06287	intact:EBI-36459|uniprotkb:D6W4E1	intact:EBI-11979|uniprotkb:E9P8U2|uniprotkb:D6VYI9	psi-mi:noc4_yeast(display_long)|uniprotkb:NOC4(gene name)|psi-mi:NOC4(display_short)|uniprotkb:UTP19(gene name synonym)|uniprotkb:U3 small nucleolar RNA-associated protein 19(gene name synonym)|uniprotkb:U three protein 19(gene name synonym)|uniprotkb:YPR144C(locus name)	"psi-mi:nep1_yeast(display_long)|uniprotkb:EMG1(gene name)|psi-mi:EMG1(display_short)|uniprotkb:NEP1(gene name synonym)|uniprotkb:YLR186W(locus name)|uniprotkb:L9470.5(orf name)|uniprotkb:Nucleolar essential protein 1(gene name synonym)|uniprotkb:""18S rRNA (pseudouridine(1189)-N1)-methyltransferase""(gene name synonym)|uniprotkb:Essential for mitotic growth protein 1(gene name synonym)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Gavin et al. (2006)	pubmed:16429126	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-805211	intact-miscore:0.64
uniprotkb:Q06631	uniprotkb:Q06287	intact:EBI-36432|uniprotkb:Q66RD8|uniprotkb:D6VSS8	intact:EBI-11979|uniprotkb:E9P8U2|uniprotkb:D6VYI9	psi-mi:bfr2_yeast(display_long)|uniprotkb:BFR2(gene name)|psi-mi:BFR2(display_short)|uniprotkb:Brefeldin A resistance protein 2(gene name synonym)|uniprotkb:YDR299W(locus name)	"psi-mi:nep1_yeast(display_long)|uniprotkb:EMG1(gene name)|psi-mi:EMG1(display_short)|uniprotkb:NEP1(gene name synonym)|uniprotkb:YLR186W(locus name)|uniprotkb:L9470.5(orf name)|uniprotkb:Nucleolar essential protein 1(gene name synonym)|uniprotkb:""18S rRNA (pseudouridine(1189)-N1)-methyltransferase""(gene name synonym)|uniprotkb:Essential for mitotic growth protein 1(gene name synonym)"	"psi-mi:""MI:0363""(inferred by author)"	Gavin et al. (2006)	pubmed:16429126	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-813918	intact-miscore:0.62
uniprotkb:Q08965	uniprotkb:Q06287	intact:EBI-3683|uniprotkb:D6W3F3	intact:EBI-11979|uniprotkb:E9P8U2|uniprotkb:D6VYI9	psi-mi:bms1_yeast(display_long)|uniprotkb:YPL217C(locus name)|uniprotkb:BMS1(gene name)|psi-mi:BMS1(display_short)	"psi-mi:nep1_yeast(display_long)|uniprotkb:EMG1(gene name)|psi-mi:EMG1(display_short)|uniprotkb:NEP1(gene name synonym)|uniprotkb:YLR186W(locus name)|uniprotkb:L9470.5(orf name)|uniprotkb:Nucleolar essential protein 1(gene name synonym)|uniprotkb:""18S rRNA (pseudouridine(1189)-N1)-methyltransferase""(gene name synonym)|uniprotkb:Essential for mitotic growth protein 1(gene name synonym)"	"psi-mi:""MI:0363""(inferred by author)"	Gavin et al. (2006)	pubmed:16429126	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-814925	intact-miscore:0.70
