idA	idB	altIdsA	altIdsB	aliasesA	aliasesB	detectionMethod	firstAuthor	publicationIdentifiers	taxidA	taxidB	interactionType	sourceDatabase	interactionIdentifiers	confidence
uniprotkb:P0AFF6	uniprotkb:Q47319	intact:EBI-551571|uniprotkb:P03003|uniprotkb:Q2M941	intact:EBI-558924|uniprotkb:Q2MAF3	psi-mi:nusa_ecoli(display_long)|uniprotkb:N utilization substance protein A(gene name synonym)|uniprotkb:Transcription termination/antitermination L factor(gene name synonym)|uniprotkb:JW3138(locus name)|uniprotkb:b3169(locus name)|uniprotkb:nusA(gene name)|psi-mi:nusA(display_short)	psi-mi:tapt_ecoli(display_long)|uniprotkb:tapT(gene name)|psi-mi:tapT(display_short)|uniprotkb:SAM-dependent 3-amino-3-carboxypropyl transferase(gene name synonym)|uniprotkb:tRNA U47 acp transferase A(gene name synonym)|uniprotkb:tRNA aminocarboxypropyltransferase(gene name synonym)|uniprotkb:tuaA(gene name synonym)|uniprotkb:yfiP(gene name synonym)|uniprotkb:JW5409(locus name)|uniprotkb:b2583(locus name)	"psi-mi:""MI:0397""(two hybrid array)"	Rajagopala et al. (2014)	pubmed:24561554|imex:IM-22059	"taxid:83333(ecoli)|taxid:83333(""Escherichia coli (strain K12)"")"	"taxid:83333(ecoli)|taxid:83333(""Escherichia coli (strain K12)"")"	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-9199051|imex:IM-22059-2389	intact-miscore:0.37
uniprotkb:P0A850	uniprotkb:Q47319	intact:EBI-544862|uniprotkb:P15299|uniprotkb:P22257|uniprotkb:P77603|uniprotkb:Q2MBZ0	intact:EBI-558924|uniprotkb:Q2MAF3	psi-mi:tig_ecoli(display_long)|uniprotkb:tig(gene name)|psi-mi:tig(display_short)|uniprotkb:PPIase(gene name synonym)|uniprotkb:JW0426(locus name)|uniprotkb:b0436(locus name)	psi-mi:tapt_ecoli(display_long)|uniprotkb:tapT(gene name)|psi-mi:tapT(display_short)|uniprotkb:SAM-dependent 3-amino-3-carboxypropyl transferase(gene name synonym)|uniprotkb:tRNA U47 acp transferase A(gene name synonym)|uniprotkb:tRNA aminocarboxypropyltransferase(gene name synonym)|uniprotkb:tuaA(gene name synonym)|uniprotkb:yfiP(gene name synonym)|uniprotkb:JW5409(locus name)|uniprotkb:b2583(locus name)	"psi-mi:""MI:0096""(pull down)"	Butland et al. (2005)	pubmed:15690043|mint:MINT-5217509|imex:IM-21967|doi:10.1038/nature03239	"taxid:83333(ecoli)|taxid:83333(""Escherichia coli (strain K12)"")"	"taxid:83333(ecoli)|taxid:83333(""Escherichia coli (strain K12)"")"	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-895036|imex:IM-21967-1360	intact-miscore:0.46
uniprotkb:P0A850	uniprotkb:Q47319	intact:EBI-544862|uniprotkb:P15299|uniprotkb:P22257|uniprotkb:P77603|uniprotkb:Q2MBZ0	intact:EBI-558924|uniprotkb:Q2MAF3	psi-mi:tig_ecoli(display_long)|uniprotkb:tig(gene name)|psi-mi:tig(display_short)|uniprotkb:PPIase(gene name synonym)|uniprotkb:JW0426(locus name)|uniprotkb:b0436(locus name)	psi-mi:tapt_ecoli(display_long)|uniprotkb:tapT(gene name)|psi-mi:tapT(display_short)|uniprotkb:SAM-dependent 3-amino-3-carboxypropyl transferase(gene name synonym)|uniprotkb:tRNA U47 acp transferase A(gene name synonym)|uniprotkb:tRNA aminocarboxypropyltransferase(gene name synonym)|uniprotkb:tuaA(gene name synonym)|uniprotkb:yfiP(gene name synonym)|uniprotkb:JW5409(locus name)|uniprotkb:b2583(locus name)	"psi-mi:""MI:0676""(tandem affinity purification)"	Butland et al. (2005)	pubmed:15690043|mint:MINT-5217509|imex:IM-21967|doi:10.1038/nature03239	"taxid:83333(ecoli)|taxid:83333(""Escherichia coli (strain K12)"")"	"taxid:83333(ecoli)|taxid:83333(""Escherichia coli (strain K12)"")"	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-15545625|imex:IM-21967-372|dip:DIP-51783E	intact-miscore:0.46
uniprotkb:O95711	uniprotkb:Q8N5C7	intact:EBI-12203791|uniprotkb:Q9UQC4|ensembl:ENSP00000230568.3|ensembl:ENSP00000369286.1	intact:EBI-20219322|ensembl:ENSP00000251250.6|ensembl:ENSP00000385399.3|ensembl:ENSP00000453529.1|uniprotkb:Q567Q3|uniprotkb:Q8WVG9|uniprotkb:Q9NRU6	psi-mi:ly86_human(display_long)|uniprotkb:LY86(gene name)|psi-mi:LY86(display_short)|uniprotkb:MD1(gene name synonym)|uniprotkb:Protein MD-1(gene name synonym)	psi-mi:dtwd1_human(display_long)|uniprotkb:DTWD1(gene name)|psi-mi:DTWD1(display_short)|uniprotkb:DTW domain-containing protein 1(gene name synonym)|uniprotkb:MDS009(orf name)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2021)	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54824784|imex:IM-29278-18271	intact-miscore:0.35
uniprotkb:Q8N5C7	uniprotkb:P62736	intact:EBI-20219322|ensembl:ENSP00000251250.6|ensembl:ENSP00000385399.3|ensembl:ENSP00000453529.1|uniprotkb:Q567Q3|uniprotkb:Q8WVG9|uniprotkb:Q9NRU6	intact:EBI-698810|uniprotkb:P03996|uniprotkb:P04108|uniprotkb:Q6FI19|uniprotkb:B2R8A4|ensembl:ENSP00000224784.6|ensembl:ENSP00000396730.2|ensembl:ENSP00000398239.2|ensembl:ENSP00000518893.1|ensembl:ENSP00000518895.1|ensembl:ENSP00000518898.1	psi-mi:dtwd1_human(display_long)|uniprotkb:DTWD1(gene name)|psi-mi:DTWD1(display_short)|uniprotkb:DTW domain-containing protein 1(gene name synonym)|uniprotkb:MDS009(orf name)	psi-mi:acta_human(display_long)|uniprotkb:Alpha-actin-2(gene name synonym)|uniprotkb:Cell growth-inhibiting gene 46 protein(gene name synonym)|uniprotkb:ACTA2(gene name)|psi-mi:ACTA2(display_short)|uniprotkb:ACTSA(gene name synonym)|uniprotkb:ACTVS(gene name synonym)|uniprotkb:GIG46(orf name)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2021)	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54779222|imex:IM-29278-14385	intact-miscore:0.35
uniprotkb:Q8N5C7	uniprotkb:Q96C23	intact:EBI-20219322|ensembl:ENSP00000251250.6|ensembl:ENSP00000385399.3|ensembl:ENSP00000453529.1|uniprotkb:Q567Q3|uniprotkb:Q8WVG9|uniprotkb:Q9NRU6	intact:EBI-2339935|uniprotkb:Q8NIA2|uniprotkb:V9HWA8|uniprotkb:Q53RY1|ensembl:ENSP00000272252.5	psi-mi:dtwd1_human(display_long)|uniprotkb:DTWD1(gene name)|psi-mi:DTWD1(display_short)|uniprotkb:DTW domain-containing protein 1(gene name synonym)|uniprotkb:MDS009(orf name)	psi-mi:galm_human(display_long)|uniprotkb:GALM(gene name)|psi-mi:GALM(display_short)|uniprotkb:Aldose 1-epimerase(gene name synonym)|uniprotkb:BLOCK25(orf name)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2021)	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54779222|imex:IM-29278-14385	intact-miscore:0.35
uniprotkb:Q8N5C7	uniprotkb:Q96N06	intact:EBI-20219322|ensembl:ENSP00000251250.6|ensembl:ENSP00000385399.3|ensembl:ENSP00000453529.1|uniprotkb:Q567Q3|uniprotkb:Q8WVG9|uniprotkb:Q9NRU6	intact:EBI-17572815|ensembl:ENSP00000301031.4|uniprotkb:A8WFL2|uniprotkb:B4DZN8	psi-mi:dtwd1_human(display_long)|uniprotkb:DTWD1(gene name)|psi-mi:DTWD1(display_short)|uniprotkb:DTW domain-containing protein 1(gene name synonym)|uniprotkb:MDS009(orf name)	psi-mi:spt33_human(display_long)|uniprotkb:SPATA33(gene name)|psi-mi:SPATA33(display_short)|uniprotkb:C16orf55(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2021)	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54779222|imex:IM-29278-14385	intact-miscore:0.35
uniprotkb:O15431	uniprotkb:Q8N5C7	intact:EBI-15571835|uniprotkb:A8K8Z6|uniprotkb:Q53GR5|uniprotkb:Q5T1M4|ensembl:ENSP00000363329.4	intact:EBI-20219322|ensembl:ENSP00000251250.6|ensembl:ENSP00000385399.3|ensembl:ENSP00000453529.1|uniprotkb:Q567Q3|uniprotkb:Q8WVG9|uniprotkb:Q9NRU6	psi-mi:copt1_human(display_long)|uniprotkb:SLC31A1(gene name)|psi-mi:SLC31A1(display_short)|uniprotkb:COPT1(gene name synonym)|uniprotkb:CTR1(gene name synonym)|uniprotkb:Copper transporter 1(gene name synonym)|uniprotkb:Solute carrier family 31 member 1(gene name synonym)	psi-mi:dtwd1_human(display_long)|uniprotkb:DTWD1(gene name)|psi-mi:DTWD1(display_short)|uniprotkb:DTW domain-containing protein 1(gene name synonym)|uniprotkb:MDS009(orf name)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2021)	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54528982|imex:IM-29278-1321	intact-miscore:0.53
uniprotkb:Q8N5C7	uniprotkb:P00738	intact:EBI-20219322|ensembl:ENSP00000251250.6|ensembl:ENSP00000385399.3|ensembl:ENSP00000453529.1|uniprotkb:Q567Q3|uniprotkb:Q8WVG9|uniprotkb:Q9NRU6	intact:EBI-1220767|uniprotkb:P00737|uniprotkb:Q0VAC4|uniprotkb:Q2PP15|uniprotkb:Q3B7J0|uniprotkb:Q6LBY9|uniprotkb:B0AZL5|uniprotkb:Q9UC67|uniprotkb:Q0VAC5|ensembl:ENSP00000348170.5	psi-mi:dtwd1_human(display_long)|uniprotkb:DTWD1(gene name)|psi-mi:DTWD1(display_short)|uniprotkb:DTW domain-containing protein 1(gene name synonym)|uniprotkb:MDS009(orf name)	psi-mi:hpt_human(display_long)|uniprotkb:HP(gene name)|psi-mi:HP(display_short)|uniprotkb:Zonulin(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2021)	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54975184|imex:IM-29278-26871	intact-miscore:0.35
uniprotkb:Q8N5C7	uniprotkb:P02647	intact:EBI-20219322|ensembl:ENSP00000251250.6|ensembl:ENSP00000385399.3|ensembl:ENSP00000453529.1|uniprotkb:Q567Q3|uniprotkb:Q8WVG9|uniprotkb:Q9NRU6	intact:EBI-701692|uniprotkb:Q6LDN9|uniprotkb:Q6Q785|uniprotkb:A8K866|uniprotkb:Q9UCS8|uniprotkb:Q9UCT8|ensembl:ENSP00000236850.3|ensembl:ENSP00000352471.2|ensembl:ENSP00000364469.1|ensembl:ENSP00000364472.1	psi-mi:dtwd1_human(display_long)|uniprotkb:DTWD1(gene name)|psi-mi:DTWD1(display_short)|uniprotkb:DTW domain-containing protein 1(gene name synonym)|uniprotkb:MDS009(orf name)	psi-mi:apoa1_human(display_long)|uniprotkb:APOA1(gene name)|psi-mi:APOA1(display_short)|uniprotkb:Apolipoprotein A1(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2021)	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54975184|imex:IM-29278-26871	intact-miscore:0.35
