idA	idB	altIdsA	altIdsB	aliasesA	aliasesB	detectionMethod	firstAuthor	publicationIdentifiers	taxidA	taxidB	interactionType	sourceDatabase	interactionIdentifiers	confidence
uniprotkb:Q96RT1	uniprotkb:D3ZZT9	intact:EBI-993903|uniprotkb:Q86W38|uniprotkb:Q9NR18|uniprotkb:Q9NW48|uniprotkb:Q9ULJ5|uniprotkb:A0AVR1|uniprotkb:B4E3F1|uniprotkb:B7ZLV9|uniprotkb:E9PCR8|uniprotkb:Q1RMD0|uniprotkb:E7EQW9|ensembl:ENSP00000284037.4	intact:EBI-22252032|ensembl:ENSRNOP00000063778.4	psi-mi:erbin_human(display_long)|uniprotkb:ERBIN(gene name)|psi-mi:ERBIN(display_short)|uniprotkb:Densin-180-like protein(gene name synonym)|uniprotkb:ERBB2IP(gene name synonym)|uniprotkb:Erbb2-interacting protein(gene name synonym)|uniprotkb:KIAA1225(gene name synonym)|uniprotkb:LAP2(gene name synonym)|uniprotkb:Protein LAP2(gene name synonym)	psi-mi:d3zzt9_rat(display_long)|uniprotkb:Col14a1(gene name)|psi-mi:Col14a1(display_short)	"psi-mi:""MI:0096""(pull down)"	Lundby et al. (2019)	doi:10.1016/j.cell.2019.09.008|pubmed:31585087|imex:IM-27423	taxid:9606(human)|taxid:9606(Homo sapiens)	"taxid:10116(rat)|taxid:10116(""Rattus norvegicus (Rat)"")"	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-22258042|imex:IM-27423-844	intact-miscore:0.35
uniprotkb:P35968	uniprotkb:D3ZZT9	intact:EBI-1005487|uniprotkb:O60723|uniprotkb:Q14178|intact:EBI-28976571|uniprotkb:A2RRS0|uniprotkb:B5A925|uniprotkb:C5IFA0|ensembl:ENSP00000263923.4	intact:EBI-22252032|ensembl:ENSRNOP00000063778.4	psi-mi:vgfr2_human(display_long)|uniprotkb:Kinase insert domain receptor(gene name synonym)|uniprotkb:Protein-tyrosine kinase receptor flk-1(gene name synonym)|uniprotkb:KDR(gene name)|psi-mi:KDR(display_short)|uniprotkb:FLK1(gene name synonym)|uniprotkb:Fetal liver kinase 1(gene name synonym)|uniprotkb:VEGFR2(gene name synonym)	psi-mi:d3zzt9_rat(display_long)|uniprotkb:Col14a1(gene name)|psi-mi:Col14a1(display_short)	"psi-mi:""MI:0096""(pull down)"	Lundby et al. (2019)	doi:10.1016/j.cell.2019.09.008|pubmed:31585087|imex:IM-27423	taxid:9606(human)|taxid:9606(Homo sapiens)	"taxid:10116(rat)|taxid:10116(""Rattus norvegicus (Rat)"")"	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-22252438|imex:IM-27423-690	intact-miscore:0.35
intact:EBI-54281284	intact:EBI-25591227	ensembl:ENST00000370565	"rnacentral:URS0000324096_9606|intact:""INTACT:URS0000324096_9606""|refseq:NR_029479|mirbase:MIMAT0000063"	psi-mi:mrna_clca2(display_short)|psi-mi:EBI-54281284(display_long)|uniprotkb:CLCA2(gene name)	psi-mi:hsa-let-7b-5p(display_short)|psi-mi:EBI-25591227(display_long)	"psi-mi:""MI:2195""(clash)"	Helwak et al. (2013)	pubmed:23622248|imex:IM-30030|doi:10.1016/j.cell.2013.03.043	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54281293|imex:IM-30030-5741	intact-miscore:0.40
uniprotkb:P02768	uniprotkb:Q9UQC9	intact:EBI-714423|uniprotkb:Q645G4|uniprotkb:O95574|uniprotkb:P04277|uniprotkb:Q13140|uniprotkb:Q68DN5|uniprotkb:Q6UXK4|uniprotkb:Q86YG0|uniprotkb:Q9P157|uniprotkb:Q9P1I7|uniprotkb:Q9UHS3|uniprotkb:Q9UJZ0|intact:EBI-7301844|intact:MINT-1161169|uniprotkb:E7ESS9|uniprotkb:Q8IUK7|ensembl:ENSP00000295897.4	intact:EBI-1222573|uniprotkb:A8K2T3|uniprotkb:Q9Y6N2|ensembl:ENSP00000359596.4	psi-mi:albu_human(display_long)|uniprotkb:GIG42(orf name)|uniprotkb:ALB(gene name)|psi-mi:ALB(display_short)|uniprotkb:PRO0903(orf name)|uniprotkb:PRO1708(orf name)|uniprotkb:PRO2044(orf name)|uniprotkb:PRO2619(orf name)|uniprotkb:PRO2675(orf name)|uniprotkb:UNQ696/PRO1341(orf name)|uniprotkb:GIG20(orf name)	psi-mi:clca2_human(display_long)|uniprotkb:CLCA2(gene name)|psi-mi:CLCA2(display_short)|uniprotkb:CACC3(gene name synonym)|uniprotkb:Calcium-activated chloride channel family member 2(gene name synonym)|uniprotkb:Calcium-activated chloride channel protein 3(gene name synonym)	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	Zhou et al. (2004)	pubmed:15174051|imex:IM-19123	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1222961|imex:IM-19123-7	intact-miscore:0.35
uniprotkb:Q9UQC9	uniprotkb:Q9BTX1-2	intact:EBI-1222573|uniprotkb:A8K2T3|uniprotkb:Q9Y6N2|ensembl:ENSP00000359596.4	intact:EBI-10966386	psi-mi:clca2_human(display_long)|uniprotkb:CLCA2(gene name)|psi-mi:CLCA2(display_short)|uniprotkb:CACC3(gene name synonym)|uniprotkb:Calcium-activated chloride channel family member 2(gene name synonym)|uniprotkb:Calcium-activated chloride channel protein 3(gene name synonym)	psi-mi:q9btx1-2(display_long)|uniprotkb:TMEM48(gene name synonym)|uniprotkb:Transmembrane protein 48(gene name synonym)|uniprotkb:NDC1(gene name)|psi-mi:NDC1(display_short)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2017)	pubmed:28514442|doi:10.1038/nature22366|imex:IM-25778	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-21899358|imex:IM-25778-7109	intact-miscore:0.40
uniprotkb:Q9UQC9	uniprotkb:P57053	intact:EBI-1222573|uniprotkb:A8K2T3|uniprotkb:Q9Y6N2|ensembl:ENSP00000359596.4	intact:EBI-2880265|uniprotkb:A0AVF9|uniprotkb:Q5R2W0|ensembl:ENSP00000481622.1	psi-mi:clca2_human(display_long)|uniprotkb:CLCA2(gene name)|psi-mi:CLCA2(display_short)|uniprotkb:CACC3(gene name synonym)|uniprotkb:Calcium-activated chloride channel family member 2(gene name synonym)|uniprotkb:Calcium-activated chloride channel protein 3(gene name synonym)	psi-mi:h2bfs_human(display_long)|uniprotkb:H2BC12L(gene name)|psi-mi:H2BC12L(display_short)|uniprotkb:H2B-clustered histone 12 like(gene name synonym)|uniprotkb:H2B.S histone 1(gene name synonym)|uniprotkb:H2BFS(gene name synonym)|uniprotkb:H2BS1(gene name synonym)|uniprotkb:Histone H2B.s(gene name synonym)	"psi-mi:""MI:0030""(cross-linking study)"	Fasci et al. (2018)	pubmed:30021884|imex:IM-26653|doi:10.1074/mcp.ra118.000924	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-20935036|imex:IM-26653-885	intact-miscore:0.40
"chebi:""CHEBI:16024"""	uniprotkb:A6NMZ7	intact:EBI-2679332	intact:EBI-6677488|uniprotkb:A7DZQ0|uniprotkb:A7DZQ1|uniprotkb:A7DZQ2|uniprotkb:Q69YT0|ensembl:ENSP00000351310.6	"psi-mi:d-mannose(display_short)|psi-mi:""CHEBI:16024""(display_long)"	psi-mi:co6a6_human(display_long)|uniprotkb:COL6A6(gene name)|psi-mi:COL6A6(display_short)	"psi-mi:""MI:0400""(affinity technology)"	Yang et al. (2013)	pubmed:23300094|imex:IM-20862	"taxid:-2(chemical synthesis)|taxid:-2(""Chemical synthesis (Chemical synthesis)"")"	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-6677072|imex:IM-20862-1	intact-miscore:0.35
"chebi:""CHEBI:16024"""	uniprotkb:A6NMZ7	intact:EBI-2679332	intact:EBI-6677488|uniprotkb:A7DZQ0|uniprotkb:A7DZQ1|uniprotkb:A7DZQ2|uniprotkb:Q69YT0|ensembl:ENSP00000351310.6	"psi-mi:d-mannose(display_short)|psi-mi:""CHEBI:16024""(display_long)"	psi-mi:co6a6_human(display_long)|uniprotkb:COL6A6(gene name)|psi-mi:COL6A6(display_short)	"psi-mi:""MI:0400""(affinity technology)"	Yang et al. (2013)	pubmed:23300094|imex:IM-20862	"taxid:-2(chemical synthesis)|taxid:-2(""Chemical synthesis (Chemical synthesis)"")"	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-6677594|omim:114550|imex:IM-20862-2	intact-miscore:0.35
uniprotkb:A6NMZ7	uniprotkb:P30837	intact:EBI-6677488|uniprotkb:A7DZQ0|uniprotkb:A7DZQ1|uniprotkb:A7DZQ2|uniprotkb:Q69YT0|ensembl:ENSP00000351310.6	intact:EBI-1237410|uniprotkb:Q8WX76|uniprotkb:Q9BV45|uniprotkb:B2R8F0|ensembl:ENSP00000366927.3	psi-mi:co6a6_human(display_long)|uniprotkb:COL6A6(gene name)|psi-mi:COL6A6(display_short)	psi-mi:al1b1_human(display_long)|uniprotkb:ALDH1B1(gene name)|psi-mi:ALDH1B1(display_short)|uniprotkb:ALDH5(gene name synonym)|uniprotkb:ALDHX(gene name synonym)|uniprotkb:Aldehyde dehydrogenase family 1 member B1(gene name synonym)|uniprotkb:Aldehyde dehydrogenase 5(gene name synonym)	"psi-mi:""MI:0030""(cross-linking study)"	Fasci et al. (2018)	pubmed:30021884|imex:IM-26653|doi:10.1074/mcp.ra118.000924	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-20900912|imex:IM-26653-2847	intact-miscore:0.40
uniprotkb:A6NMZ7	uniprotkb:Q9UNL2	intact:EBI-6677488|uniprotkb:A7DZQ0|uniprotkb:A7DZQ1|uniprotkb:A7DZQ2|uniprotkb:Q69YT0|ensembl:ENSP00000351310.6	intact:EBI-1043938|uniprotkb:Q549M4|uniprotkb:B2R7D0|uniprotkb:D3DNK5|uniprotkb:B4E2P2|ensembl:ENSP00000265044.2	psi-mi:co6a6_human(display_long)|uniprotkb:COL6A6(gene name)|psi-mi:COL6A6(display_short)	psi-mi:ssrg_human(display_long)|uniprotkb:Signal sequence receptor subunit gamma(gene name synonym)|uniprotkb:SSR3(gene name)|psi-mi:SSR3(display_short)|uniprotkb:TRAPG(gene name synonym)	"psi-mi:""MI:0030""(cross-linking study)"	Fasci et al. (2018)	pubmed:30021884|imex:IM-26653|doi:10.1074/mcp.ra118.000924	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-20905608|imex:IM-26653-6779	intact-miscore:0.40
