idA	idB	altIdsA	altIdsB	aliasesA	aliasesB	detectionMethod	firstAuthor	publicationIdentifiers	taxidA	taxidB	interactionType	sourceDatabase	interactionIdentifiers	confidence
uniprotkb:P49023	uniprotkb:P23471	intact:EBI-702209|uniprotkb:O14970|uniprotkb:O14971|uniprotkb:O60360|uniprotkb:B2RAI3|uniprotkb:Q5HYA4|uniprotkb:B7ZMB4|ensembl:ENSP00000228307.7	intact:EBI-2263175|uniprotkb:A4D0W5|uniprotkb:O76043|uniprotkb:Q9UDR6|uniprotkb:C9JFM0|ensembl:ENSP00000377047.2	psi-mi:paxi_human(display_long)|uniprotkb:PXN(gene name)|psi-mi:PXN(display_short)	psi-mi:ptprz_human(display_long)|uniprotkb:PTPRZ1(gene name)|psi-mi:PTPRZ1(display_short)|uniprotkb:HTPZP2(gene name synonym)|uniprotkb:PTPRZ(gene name synonym)|uniprotkb:PTPRZ2(gene name synonym)|uniprotkb:PTPZ(gene name synonym)|uniprotkb:R-PTP-zeta-2(gene name synonym)|uniprotkb:Protein-tyrosine phosphatase receptor type Z polypeptide 1(gene name synonym)|uniprotkb:Protein-tyrosine phosphatase receptor type Z polypeptide 2(gene name synonym)	"psi-mi:""MI:0434""(phosphatase assay)"	Barr et al. (2009)	imex:IM-12167|pubmed:19167335	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0203""(dephosphorylation reaction)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2263216|imex:IM-12167-14	author score:3.4|intact-miscore:0.44
uniprotkb:P23471	uniprotkb:P06239	intact:EBI-2263175|uniprotkb:A4D0W5|uniprotkb:O76043|uniprotkb:Q9UDR6|uniprotkb:C9JFM0|ensembl:ENSP00000377047.2	intact:EBI-1348|uniprotkb:P07100|uniprotkb:Q12850|uniprotkb:Q13152|uniprotkb:Q5TDH8|uniprotkb:Q5TDH9|ensembl:ENSP00000337825.5|uniprotkb:Q96DW4|uniprotkb:Q9NYT8|uniprotkb:Q7RTZ3|uniprotkb:D3DPP8	psi-mi:ptprz_human(display_long)|uniprotkb:PTPRZ1(gene name)|psi-mi:PTPRZ1(display_short)|uniprotkb:HTPZP2(gene name synonym)|uniprotkb:PTPRZ(gene name synonym)|uniprotkb:PTPRZ2(gene name synonym)|uniprotkb:PTPZ(gene name synonym)|uniprotkb:R-PTP-zeta-2(gene name synonym)|uniprotkb:Protein-tyrosine phosphatase receptor type Z polypeptide 1(gene name synonym)|uniprotkb:Protein-tyrosine phosphatase receptor type Z polypeptide 2(gene name synonym)	psi-mi:lck_human(display_long)|uniprotkb:Protein YT16(gene name synonym)|uniprotkb:Proto-oncogene Lck(gene name synonym)|uniprotkb:T cell-specific protein-tyrosine kinase(gene name synonym)|uniprotkb:LCK(gene name)|psi-mi:LCK(display_short)|uniprotkb:Lymphocyte cell-specific protein-tyrosine kinase(gene name synonym)|uniprotkb:p56-LCK(gene name synonym)|uniprotkb:Leukocyte C-terminal Src kinase(gene name synonym)	"psi-mi:""MI:0434""(phosphatase assay)"	Barr et al. (2009)	imex:IM-12167|pubmed:19167335	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0203""(dephosphorylation reaction)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2263268|imex:IM-12167-103	author score:2.3|intact-miscore:0.44
uniprotkb:P23471	uniprotkb:P41240	intact:EBI-2263175|uniprotkb:A4D0W5|uniprotkb:O76043|uniprotkb:Q9UDR6|uniprotkb:C9JFM0|ensembl:ENSP00000377047.2	intact:EBI-1380630|uniprotkb:Q2M3N2|uniprotkb:Q6FGZ6|ensembl:ENSP00000220003.9|ensembl:ENSP00000414764.2|ensembl:ENSP00000454906.1	psi-mi:ptprz_human(display_long)|uniprotkb:PTPRZ1(gene name)|psi-mi:PTPRZ1(display_short)|uniprotkb:HTPZP2(gene name synonym)|uniprotkb:PTPRZ(gene name synonym)|uniprotkb:PTPRZ2(gene name synonym)|uniprotkb:PTPZ(gene name synonym)|uniprotkb:R-PTP-zeta-2(gene name synonym)|uniprotkb:Protein-tyrosine phosphatase receptor type Z polypeptide 1(gene name synonym)|uniprotkb:Protein-tyrosine phosphatase receptor type Z polypeptide 2(gene name synonym)	psi-mi:csk_human(display_long)|uniprotkb:CSK(gene name)|psi-mi:CSK(display_short)|uniprotkb:C-Src kinase(gene name synonym)|uniprotkb:Protein-tyrosine kinase CYL(gene name synonym)	"psi-mi:""MI:0434""(phosphatase assay)"	Barr et al. (2009)	imex:IM-12167|pubmed:19167335	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0203""(dephosphorylation reaction)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2263282|imex:IM-12167-23	author score:1.9|intact-miscore:0.44
uniprotkb:P23471	uniprotkb:P04626	intact:EBI-2263175|uniprotkb:A4D0W5|uniprotkb:O76043|uniprotkb:Q9UDR6|uniprotkb:C9JFM0|ensembl:ENSP00000377047.2	intact:EBI-641062|uniprotkb:Q14256|uniprotkb:Q6LDV1|uniprotkb:Q9UMK4|uniprotkb:B2RZG3|uniprotkb:B4DHN3|uniprotkb:X5D2V5|ensembl:ENSP00000269571.4	psi-mi:ptprz_human(display_long)|uniprotkb:PTPRZ1(gene name)|psi-mi:PTPRZ1(display_short)|uniprotkb:HTPZP2(gene name synonym)|uniprotkb:PTPRZ(gene name synonym)|uniprotkb:PTPRZ2(gene name synonym)|uniprotkb:PTPZ(gene name synonym)|uniprotkb:R-PTP-zeta-2(gene name synonym)|uniprotkb:Protein-tyrosine phosphatase receptor type Z polypeptide 1(gene name synonym)|uniprotkb:Protein-tyrosine phosphatase receptor type Z polypeptide 2(gene name synonym)	psi-mi:erbb2_human(display_long)|uniprotkb:p185erbB2(gene name synonym)|uniprotkb:MLN19(gene name synonym)|uniprotkb:Proto-oncogene c-ErbB-2(gene name synonym)|uniprotkb:Tyrosine kinase-type cell surface receptor HER2(gene name synonym)|uniprotkb:Proto-oncogene Neu(gene name synonym)|uniprotkb:ERBB2(gene name)|psi-mi:ERBB2(display_short)|uniprotkb:HER2(gene name synonym)|uniprotkb:NEU(gene name synonym)|uniprotkb:NGL(gene name synonym)|uniprotkb:Metastatic lymph node gene 19 protein(gene name synonym)	"psi-mi:""MI:0434""(phosphatase assay)"	Barr et al. (2009)	imex:IM-12167|pubmed:19167335	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0203""(dephosphorylation reaction)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2263296|imex:IM-12167-135	author score:1.9|intact-miscore:0.44
uniprotkb:P23471	uniprotkb:P42768	intact:EBI-2263175|uniprotkb:A4D0W5|uniprotkb:O76043|uniprotkb:Q9UDR6|uniprotkb:C9JFM0|ensembl:ENSP00000377047.2	intact:EBI-346375|uniprotkb:Q9BU11|uniprotkb:Q9UNJ9|ensembl:ENSP00000365891.4|ensembl:ENSP00000513844.1	psi-mi:ptprz_human(display_long)|uniprotkb:PTPRZ1(gene name)|psi-mi:PTPRZ1(display_short)|uniprotkb:HTPZP2(gene name synonym)|uniprotkb:PTPRZ(gene name synonym)|uniprotkb:PTPRZ2(gene name synonym)|uniprotkb:PTPZ(gene name synonym)|uniprotkb:R-PTP-zeta-2(gene name synonym)|uniprotkb:Protein-tyrosine phosphatase receptor type Z polypeptide 1(gene name synonym)|uniprotkb:Protein-tyrosine phosphatase receptor type Z polypeptide 2(gene name synonym)	psi-mi:wasp_human(display_long)|uniprotkb:WAS(gene name)|psi-mi:WAS(display_short)|uniprotkb:IMD2(gene name synonym)|uniprotkb:Wiskott-Aldrich syndrome protein(gene name synonym)	"psi-mi:""MI:0434""(phosphatase assay)"	Barr et al. (2009)	imex:IM-12167|pubmed:19167335	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0203""(dephosphorylation reaction)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2263324|imex:IM-12167-134	author score:2.2|intact-miscore:0.44
uniprotkb:P01375	uniprotkb:P23471	intact:EBI-359977|uniprotkb:O43647|uniprotkb:Q9P1Q2|uniprotkb:Q9UIV3|ensembl:ENSP00000365290.3|ensembl:ENSP00000372988.4|ensembl:ENSP00000389490.2|ensembl:ENSP00000389492.2|ensembl:ENSP00000392858.2|ensembl:ENSP00000398698.2|ensembl:ENSP00000410668.2	intact:EBI-2263175|uniprotkb:A4D0W5|uniprotkb:O76043|uniprotkb:Q9UDR6|uniprotkb:C9JFM0|ensembl:ENSP00000377047.2	psi-mi:tnfa_human(display_long)|uniprotkb:TNF(gene name)|psi-mi:TNF(display_short)|uniprotkb:TNFA(gene name synonym)|uniprotkb:TNFSF2(gene name synonym)|uniprotkb:TNF-alpha(gene name synonym)|uniprotkb:Tumor necrosis factor ligand superfamily member 2(gene name synonym)|uniprotkb:Cachectin(gene name synonym)	psi-mi:ptprz_human(display_long)|uniprotkb:PTPRZ1(gene name)|psi-mi:PTPRZ1(display_short)|uniprotkb:HTPZP2(gene name synonym)|uniprotkb:PTPRZ(gene name synonym)|uniprotkb:PTPRZ2(gene name synonym)|uniprotkb:PTPZ(gene name synonym)|uniprotkb:R-PTP-zeta-2(gene name synonym)|uniprotkb:Protein-tyrosine phosphatase receptor type Z polypeptide 1(gene name synonym)|uniprotkb:Protein-tyrosine phosphatase receptor type Z polypeptide 2(gene name synonym)	"psi-mi:""MI:0034""(display technology)"	Miyamoto-Sato et al. (2010)	pubmed:20195357|imex:IM-20475	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2691345|imex:IM-20475-804	author score:class2|intact-miscore:0.40
uniprotkb:P23471	uniprotkb:P62736	intact:EBI-2263175|uniprotkb:A4D0W5|uniprotkb:O76043|uniprotkb:Q9UDR6|uniprotkb:C9JFM0|ensembl:ENSP00000377047.2	intact:EBI-698810|uniprotkb:P03996|uniprotkb:P04108|uniprotkb:Q6FI19|uniprotkb:B2R8A4|ensembl:ENSP00000224784.6|ensembl:ENSP00000396730.2|ensembl:ENSP00000398239.2|ensembl:ENSP00000518893.1|ensembl:ENSP00000518895.1|ensembl:ENSP00000518898.1	psi-mi:ptprz_human(display_long)|uniprotkb:PTPRZ1(gene name)|psi-mi:PTPRZ1(display_short)|uniprotkb:HTPZP2(gene name synonym)|uniprotkb:PTPRZ(gene name synonym)|uniprotkb:PTPRZ2(gene name synonym)|uniprotkb:PTPZ(gene name synonym)|uniprotkb:R-PTP-zeta-2(gene name synonym)|uniprotkb:Protein-tyrosine phosphatase receptor type Z polypeptide 1(gene name synonym)|uniprotkb:Protein-tyrosine phosphatase receptor type Z polypeptide 2(gene name synonym)	psi-mi:acta_human(display_long)|uniprotkb:Alpha-actin-2(gene name synonym)|uniprotkb:Cell growth-inhibiting gene 46 protein(gene name synonym)|uniprotkb:ACTA2(gene name)|psi-mi:ACTA2(display_short)|uniprotkb:ACTSA(gene name synonym)|uniprotkb:ACTVS(gene name synonym)|uniprotkb:GIG46(orf name)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2021)	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54779537|imex:IM-29278-14427	intact-miscore:0.35
uniprotkb:P23471	uniprotkb:Q69YQ0	intact:EBI-2263175|uniprotkb:A4D0W5|uniprotkb:O76043|uniprotkb:Q9UDR6|uniprotkb:C9JFM0|ensembl:ENSP00000377047.2	intact:EBI-351113|uniprotkb:O15081|uniprotkb:B7Z758|uniprotkb:F5H1H6|intact:EBI-10965349|ensembl:ENSP00000325785.8|ensembl:ENSP00000393363.1	psi-mi:ptprz_human(display_long)|uniprotkb:PTPRZ1(gene name)|psi-mi:PTPRZ1(display_short)|uniprotkb:HTPZP2(gene name synonym)|uniprotkb:PTPRZ(gene name synonym)|uniprotkb:PTPRZ2(gene name synonym)|uniprotkb:PTPZ(gene name synonym)|uniprotkb:R-PTP-zeta-2(gene name synonym)|uniprotkb:Protein-tyrosine phosphatase receptor type Z polypeptide 1(gene name synonym)|uniprotkb:Protein-tyrosine phosphatase receptor type Z polypeptide 2(gene name synonym)	psi-mi:cytsa_human(display_long)|uniprotkb:SPECC1L(gene name)|psi-mi:SPECC1L(display_short)|uniprotkb:Renal carcinoma antigen NY-REN-22(gene name synonym)|uniprotkb:CYTSA(gene name synonym)|uniprotkb:KIAA0376(gene name synonym)|uniprotkb:Sperm antigen with calponin homology and coiled-coil domains 1-like(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2021)	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54779537|imex:IM-29278-14427	intact-miscore:0.35
uniprotkb:P23471	uniprotkb:Q8IZQ5	intact:EBI-2263175|uniprotkb:A4D0W5|uniprotkb:O76043|uniprotkb:Q9UDR6|uniprotkb:C9JFM0|ensembl:ENSP00000377047.2	intact:EBI-2477343|intact:EBI-28975233|uniprotkb:Q8N672|ensembl:ENSP00000373509.4|ensembl:ENSP00000434511.1	psi-mi:ptprz_human(display_long)|uniprotkb:PTPRZ1(gene name)|psi-mi:PTPRZ1(display_short)|uniprotkb:HTPZP2(gene name synonym)|uniprotkb:PTPRZ(gene name synonym)|uniprotkb:PTPRZ2(gene name synonym)|uniprotkb:PTPZ(gene name synonym)|uniprotkb:R-PTP-zeta-2(gene name synonym)|uniprotkb:Protein-tyrosine phosphatase receptor type Z polypeptide 1(gene name synonym)|uniprotkb:Protein-tyrosine phosphatase receptor type Z polypeptide 2(gene name synonym)	psi-mi:selh_human(display_long)|uniprotkb:SELENOH(gene name)|psi-mi:SELENOH(display_short)|uniprotkb:C11orf31(gene name synonym)|uniprotkb:SELH(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2021)	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54779537|imex:IM-29278-14427	intact-miscore:0.35
uniprotkb:P09382	uniprotkb:P23471	intact:EBI-1048875|uniprotkb:B2R5E8|uniprotkb:Q9UDK5|ensembl:ENSP00000215909.5	intact:EBI-2263175|uniprotkb:A4D0W5|uniprotkb:O76043|uniprotkb:Q9UDR6|uniprotkb:C9JFM0|ensembl:ENSP00000377047.2	psi-mi:leg1_human(display_long)|uniprotkb:Lectin galactoside-binding soluble 1(gene name synonym)|uniprotkb:Beta-galactoside-binding lectin L-14-I(gene name synonym)|uniprotkb:S-Lac lectin 1(gene name synonym)|uniprotkb:Galaptin(gene name synonym)|uniprotkb:14 kDa lectin(gene name synonym)|uniprotkb:HPL(gene name synonym)|uniprotkb:HBL(gene name synonym)|uniprotkb:Putative MAPK-activating protein PM12(gene name synonym)|uniprotkb:LGALS1(gene name)|psi-mi:LGALS1(display_short)|uniprotkb:Lactose-binding lectin 1(gene name synonym)|uniprotkb:14 kDa laminin-binding protein(gene name synonym)	psi-mi:ptprz_human(display_long)|uniprotkb:PTPRZ1(gene name)|psi-mi:PTPRZ1(display_short)|uniprotkb:HTPZP2(gene name synonym)|uniprotkb:PTPRZ(gene name synonym)|uniprotkb:PTPRZ2(gene name synonym)|uniprotkb:PTPZ(gene name synonym)|uniprotkb:R-PTP-zeta-2(gene name synonym)|uniprotkb:Protein-tyrosine phosphatase receptor type Z polypeptide 1(gene name synonym)|uniprotkb:Protein-tyrosine phosphatase receptor type Z polypeptide 2(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2021)	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54616784|imex:IM-29278-3429	intact-miscore:0.35
