idA	idB	altIdsA	altIdsB	aliasesA	aliasesB	detectionMethod	firstAuthor	publicationIdentifiers	taxidA	taxidB	interactionType	sourceDatabase	interactionIdentifiers	confidence
uniprotkb:Q72FQ1	uniprotkb:Q72D35	intact:EBI-10065635	intact:EBI-11760594	psi-mi:q72fq1_nitv2(display_long)|uniprotkb:Carbamoyl phosphate synthetase ammonia chain(gene name synonym)|uniprotkb:DVU_0162(locus name)|uniprotkb:carB(gene name)|psi-mi:carB(display_short)	psi-mi:otc_nitv2(display_long)|uniprotkb:argF(gene name)|psi-mi:argF(display_short)|uniprotkb:DVU_1096(locus name)	"psi-mi:""MI:2223""(inference by quantitative co-purification)"	Shatsky et al. (2016)	pubmed:27099342|doi:10.1074/mcp.m115.057117	"taxid:882(desvh)|taxid:882(""Desulfovibrio vulgaris (strain Hildenborough / ATCC 29579 / NCIMB 8303)"")"	"taxid:882(desvh)|taxid:882(""Desulfovibrio vulgaris (strain Hildenborough / ATCC 29579 / NCIMB 8303)"")"	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-11760610	author score:1|intact-miscore:0.27
uniprotkb:Q72D35	uniprotkb:Q727F3	intact:EBI-11760594	intact:EBI-10066383	psi-mi:otc_nitv2(display_long)|uniprotkb:argF(gene name)|psi-mi:argF(display_short)|uniprotkb:DVU_1096(locus name)	psi-mi:q727f3_nitv2(display_long)|uniprotkb:pyrC(gene name)|psi-mi:pyrC(display_short)|uniprotkb:DVU_2902(locus name)	"psi-mi:""MI:2223""(inference by quantitative co-purification)"	Shatsky et al. (2016)	pubmed:27099342|doi:10.1074/mcp.m115.057117	"taxid:882(desvh)|taxid:882(""Desulfovibrio vulgaris (strain Hildenborough / ATCC 29579 / NCIMB 8303)"")"	"taxid:882(desvh)|taxid:882(""Desulfovibrio vulgaris (strain Hildenborough / ATCC 29579 / NCIMB 8303)"")"	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-11761907	author score:0.984|intact-miscore:0.27
uniprotkb:Q55782	uniprotkb:P74163	intact:EBI-1618423	intact:EBI-1618426	psi-mi:q55782_syny3(display_long)|uniprotkb:slr0209(locus name)	psi-mi:pyrb_syny3(display_long)|uniprotkb:pyrB(gene name)|psi-mi:pyrB(display_short)|uniprotkb:Aspartate transcarbamylase(gene name synonym)|uniprotkb:slr1476(locus name)	"psi-mi:""MI:0018""(two hybrid)"	Sato et al. (2007)	pubmed:18000013	"taxid:1111708(syny3)|taxid:1111708(""Synechocystis sp. (strain PCC 6803 / Kazusa)"")"	"taxid:1111708(syny3)|taxid:1111708(""Synechocystis sp. (strain PCC 6803 / Kazusa)"")"	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1618421	author score:C|intact-miscore:0.37
uniprotkb:Q9QY53	uniprotkb:B2RQC6	intact:EBI-77230|uniprotkb:Q9WUZ2|uniprotkb:Q9D7G8|uniprotkb:Q9QZP0	intact:EBI-3043834|uniprotkb:B7ZN27|ensembl:ENSMUSP00000013773.6	psi-mi:nphp1_mouse(display_long)|uniprotkb:Nphp1(gene name)|psi-mi:Nphp1(display_short)|uniprotkb:Nph1(gene name synonym)	psi-mi:pyr1_mouse(display_long)|uniprotkb:Cad(gene name)|psi-mi:Cad(display_short)|uniprotkb:Carbamoyl phosphate synthetase 2-aspartate transcarbamylase-dihydroorotase(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Sang et al. (2011)	pubmed:21565611|imex:IM-16529	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-4282416|imex:IM-16529-2	intact-miscore:0.35
uniprotkb:Q8CG73	uniprotkb:B2RQC6	intact:EBI-4281130|uniprotkb:G3X958|ensembl:ENSMUSP00000042702.8	intact:EBI-3043834|uniprotkb:B7ZN27|ensembl:ENSMUSP00000013773.6	psi-mi:ftm_mouse(display_long)|uniprotkb:Rpgrip1l(gene name)|psi-mi:Rpgrip1l(display_short)|uniprotkb:Nphp8(gene name synonym)|uniprotkb:Nephrocystin-8(gene name synonym)|uniprotkb:Ftm(gene name synonym)|uniprotkb:RPGR-interacting protein 1-like protein(gene name synonym)	psi-mi:pyr1_mouse(display_long)|uniprotkb:Cad(gene name)|psi-mi:Cad(display_short)|uniprotkb:Carbamoyl phosphate synthetase 2-aspartate transcarbamylase-dihydroorotase(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Sang et al. (2011)	pubmed:21565611|imex:IM-16529	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-4284701|imex:IM-16529-8	intact-miscore:0.35
uniprotkb:P20263	uniprotkb:B2RQC6	intact:EBI-1606219|uniprotkb:Q63843|ensembl:ENSMUSP00000025271.10	intact:EBI-3043834|uniprotkb:B7ZN27|ensembl:ENSMUSP00000013773.6	psi-mi:po5f1_mouse(display_long)|uniprotkb:Pou5f1(gene name)|psi-mi:Pou5f1(display_short)|uniprotkb:Oct-3(gene name synonym)|uniprotkb:Oct-4(gene name synonym)|uniprotkb:Otf-3(gene name synonym)|uniprotkb:Otf3(gene name synonym)|uniprotkb:Octamer-binding transcription factor 3(gene name synonym)|uniprotkb:NF-A3(gene name synonym)|uniprotkb:Octamer-binding protein 3(gene name synonym)|uniprotkb:Octamer-binding protein 4(gene name synonym)	psi-mi:pyr1_mouse(display_long)|uniprotkb:Cad(gene name)|psi-mi:Cad(display_short)|uniprotkb:Carbamoyl phosphate synthetase 2-aspartate transcarbamylase-dihydroorotase(gene name synonym)	"psi-mi:""MI:0676""(tandem affinity purification)"	- (2010)	pubmed:20362542|imex:IM-16970	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-3043810|pride:12005|pride:12006|pride:12007|pride:12008|pride:12009|pride:12010|imex:IM-16970-1	intact-miscore:0.35
uniprotkb:Q7TPH6	uniprotkb:B2RQC6	intact:EBI-1811542|uniprotkb:Q6PCM8|uniprotkb:E9PUJ6	intact:EBI-3043834|uniprotkb:B7ZN27|ensembl:ENSMUSP00000013773.6	psi-mi:mycb2_mouse(display_long)|uniprotkb:Mycbp2(gene name)|psi-mi:Mycbp2(display_short)|uniprotkb:Pam(gene name synonym)|uniprotkb:Phr1(gene name synonym)|uniprotkb:Myc-binding protein 2(gene name synonym)|uniprotkb:Protein associated with Myc(gene name synonym)|uniprotkb:Pam/highwire/rpm-1 protein(gene name synonym)|uniprotkb:Protein Magellan(gene name synonym)	psi-mi:pyr1_mouse(display_long)|uniprotkb:Cad(gene name)|psi-mi:Cad(display_short)|uniprotkb:Carbamoyl phosphate synthetase 2-aspartate transcarbamylase-dihydroorotase(gene name synonym)	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	Li et al. (2017)	pubmed:28671696|doi:10.1038/nn.4594|imex:IM-26285	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-16731507|imex:IM-26285-25	intact-miscore:0.35
uniprotkb:P52927	uniprotkb:B2RQC6	intact:EBI-912574|uniprotkb:Q3UQW0|ensembl:ENSMUSP00000072556.8	intact:EBI-3043834|uniprotkb:B7ZN27|ensembl:ENSMUSP00000013773.6	psi-mi:hmga2_mouse(display_long)|uniprotkb:High mobility group AT-hook protein 2(gene name synonym)|uniprotkb:Hmga2(gene name)|psi-mi:Hmga2(display_short)|uniprotkb:Hmgic(gene name synonym)	psi-mi:pyr1_mouse(display_long)|uniprotkb:Cad(gene name)|psi-mi:Cad(display_short)|uniprotkb:Carbamoyl phosphate synthetase 2-aspartate transcarbamylase-dihydroorotase(gene name synonym)	"psi-mi:""MI:0096""(pull down)"	Singh et al. (2015)	imex:IM-23312|pubmed:26045162	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-9986179|imex:IM-23312-1	intact-miscore:0.35
uniprotkb:Q80YT7	uniprotkb:B2RQC6	intact:EBI-16726361|uniprotkb:C4IXU1|uniprotkb:Q05CH5|uniprotkb:Q80U00|uniprotkb:Q8K240	intact:EBI-3043834|uniprotkb:B7ZN27|ensembl:ENSMUSP00000013773.6	psi-mi:myome_mouse(display_long)|uniprotkb:Phosphodiesterase 4D-interacting protein(gene name synonym)|uniprotkb:Pde4dip(gene name)|psi-mi:Pde4dip(display_short)|uniprotkb:Kiaa0454(gene name synonym)	psi-mi:pyr1_mouse(display_long)|uniprotkb:Cad(gene name)|psi-mi:Cad(display_short)|uniprotkb:Carbamoyl phosphate synthetase 2-aspartate transcarbamylase-dihydroorotase(gene name synonym)	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	Li et al. (2017)	pubmed:28671696|doi:10.1038/nn.4594|imex:IM-26285	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-16732484|imex:IM-26285-51	intact-miscore:0.35
uniprotkb:P83510	uniprotkb:B2RQC6	intact:EBI-7280013|intact:MINT-4138101|ensembl:ENSMUSP00000124681.3	intact:EBI-3043834|uniprotkb:B7ZN27|ensembl:ENSMUSP00000013773.6	psi-mi:tnik_mouse(display_long)|uniprotkb:Tnik(gene name)|psi-mi:Tnik(display_short)|uniprotkb:Kiaa0551(gene name synonym)	psi-mi:pyr1_mouse(display_long)|uniprotkb:Cad(gene name)|psi-mi:Cad(display_short)|uniprotkb:Carbamoyl phosphate synthetase 2-aspartate transcarbamylase-dihydroorotase(gene name synonym)	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	Li et al. (2017)	pubmed:28671696|doi:10.1038/nn.4594|imex:IM-26285	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-16734044|imex:IM-26285-31	intact-miscore:0.35
