idA	idB	altIdsA	altIdsB	aliasesA	aliasesB	detectionMethod	firstAuthor	publicationIdentifiers	taxidA	taxidB	interactionType	sourceDatabase	interactionIdentifiers	confidence
uniprotkb:Q6UVM3	uniprotkb:Q6UVM3	intact:EBI-27012016|ensembl:ENSP00000294725.8|ensembl:ENSP00000517747.1|uniprotkb:Q3SY59|uniprotkb:Q5VTN1|uniprotkb:Q6ZMT3	intact:EBI-27012016|ensembl:ENSP00000294725.8|ensembl:ENSP00000517747.1|uniprotkb:Q3SY59|uniprotkb:Q5VTN1|uniprotkb:Q6ZMT3	psi-mi:kcnt2_human(display_long)|uniprotkb:KNa1.2(gene name synonym)|uniprotkb:Slo2.1(gene name synonym)|uniprotkb:SLICK(gene name synonym)|uniprotkb:Sequence like an intermediate conductance potassium channel subunit(gene name synonym)|uniprotkb:Sodium and chloride-activated ATP-sensitive potassium channel Slo2.1(gene name synonym)|uniprotkb:KCNT2(gene name)|psi-mi:KCNT2(display_short)	psi-mi:kcnt2_human(display_long)|uniprotkb:KNa1.2(gene name synonym)|uniprotkb:Slo2.1(gene name synonym)|uniprotkb:SLICK(gene name synonym)|uniprotkb:Sequence like an intermediate conductance potassium channel subunit(gene name synonym)|uniprotkb:Sodium and chloride-activated ATP-sensitive potassium channel Slo2.1(gene name synonym)|uniprotkb:KCNT2(gene name)|psi-mi:KCNT2(display_short)	"psi-mi:""MI:0053""(fluorescence polarization spectroscopy)"	Gogl et al. (2022)	doi:10.1038/s41467-022-33018-0|pubmed:36115835|imex:IM-30294	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-67090678|imex:IM-30294-21714	intact-miscore:0.40
uniprotkb:Q6UVM3	uniprotkb:Q6UVM3	intact:EBI-27012016|ensembl:ENSP00000294725.8|ensembl:ENSP00000517747.1|uniprotkb:Q3SY59|uniprotkb:Q5VTN1|uniprotkb:Q6ZMT3	intact:EBI-27012016|ensembl:ENSP00000294725.8|ensembl:ENSP00000517747.1|uniprotkb:Q3SY59|uniprotkb:Q5VTN1|uniprotkb:Q6ZMT3	psi-mi:kcnt2_human(display_long)|uniprotkb:KNa1.2(gene name synonym)|uniprotkb:Slo2.1(gene name synonym)|uniprotkb:SLICK(gene name synonym)|uniprotkb:Sequence like an intermediate conductance potassium channel subunit(gene name synonym)|uniprotkb:Sodium and chloride-activated ATP-sensitive potassium channel Slo2.1(gene name synonym)|uniprotkb:KCNT2(gene name)|psi-mi:KCNT2(display_short)	psi-mi:kcnt2_human(display_long)|uniprotkb:KNa1.2(gene name synonym)|uniprotkb:Slo2.1(gene name synonym)|uniprotkb:SLICK(gene name synonym)|uniprotkb:Sequence like an intermediate conductance potassium channel subunit(gene name synonym)|uniprotkb:Sodium and chloride-activated ATP-sensitive potassium channel Slo2.1(gene name synonym)|uniprotkb:KCNT2(gene name)|psi-mi:KCNT2(display_short)	"psi-mi:""MI:0053""(fluorescence polarization spectroscopy)"	Gogl et al. (2022)	doi:10.1038/s41467-022-33018-0|pubmed:36115835|imex:IM-30294	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-67090716|imex:IM-30294-21718	intact-miscore:0.40
uniprotkb:Q6UVM3	uniprotkb:Q6UVM3	intact:EBI-27012016|ensembl:ENSP00000294725.8|ensembl:ENSP00000517747.1|uniprotkb:Q3SY59|uniprotkb:Q5VTN1|uniprotkb:Q6ZMT3	intact:EBI-27012016|ensembl:ENSP00000294725.8|ensembl:ENSP00000517747.1|uniprotkb:Q3SY59|uniprotkb:Q5VTN1|uniprotkb:Q6ZMT3	psi-mi:kcnt2_human(display_long)|uniprotkb:KNa1.2(gene name synonym)|uniprotkb:Slo2.1(gene name synonym)|uniprotkb:SLICK(gene name synonym)|uniprotkb:Sequence like an intermediate conductance potassium channel subunit(gene name synonym)|uniprotkb:Sodium and chloride-activated ATP-sensitive potassium channel Slo2.1(gene name synonym)|uniprotkb:KCNT2(gene name)|psi-mi:KCNT2(display_short)	psi-mi:kcnt2_human(display_long)|uniprotkb:KNa1.2(gene name synonym)|uniprotkb:Slo2.1(gene name synonym)|uniprotkb:SLICK(gene name synonym)|uniprotkb:Sequence like an intermediate conductance potassium channel subunit(gene name synonym)|uniprotkb:Sodium and chloride-activated ATP-sensitive potassium channel Slo2.1(gene name synonym)|uniprotkb:KCNT2(gene name)|psi-mi:KCNT2(display_short)	"psi-mi:""MI:0053""(fluorescence polarization spectroscopy)"	Gogl et al. (2022)	doi:10.1038/s41467-022-33018-0|pubmed:36115835|imex:IM-30294	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-67090754|imex:IM-30294-21722	intact-miscore:0.40
uniprotkb:Q5T197	uniprotkb:Q6UVM3	intact:EBI-20639045|uniprotkb:B4DXA0|uniprotkb:E9PHV3|uniprotkb:Q5T198|uniprotkb:Q6P1W6|uniprotkb:Q71S70|uniprotkb:Q96M70|ensembl:ENSP00000295542.2	intact:EBI-27012016|ensembl:ENSP00000294725.8|ensembl:ENSP00000517747.1|uniprotkb:Q3SY59|uniprotkb:Q5VTN1|uniprotkb:Q6ZMT3	psi-mi:dcst1_human(display_long)|uniprotkb:DCST1(gene name)|psi-mi:DCST1(display_short)|uniprotkb:DC-STAMP domain-containing protein 1(gene name synonym)|uniprotkb:RING-type E3 ubiquitin transferase(gene name synonym)	psi-mi:kcnt2_human(display_long)|uniprotkb:KNa1.2(gene name synonym)|uniprotkb:Slo2.1(gene name synonym)|uniprotkb:SLICK(gene name synonym)|uniprotkb:Sequence like an intermediate conductance potassium channel subunit(gene name synonym)|uniprotkb:Sodium and chloride-activated ATP-sensitive potassium channel Slo2.1(gene name synonym)|uniprotkb:KCNT2(gene name)|psi-mi:KCNT2(display_short)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2021)	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54690936|imex:IM-29278-6651	intact-miscore:0.35
uniprotkb:Q6ZQN7	uniprotkb:Q6UVM3	intact:EBI-11343446|intact:EBI-28987475|uniprotkb:Q86UG5|ensembl:ENSP00000309741.6	intact:EBI-27012016|ensembl:ENSP00000294725.8|ensembl:ENSP00000517747.1|uniprotkb:Q3SY59|uniprotkb:Q5VTN1|uniprotkb:Q6ZMT3	psi-mi:so4c1_human(display_long)|uniprotkb:SLCO4C1(gene name)|psi-mi:SLCO4C1(display_short)|uniprotkb:OATP-H(gene name synonym)|uniprotkb:OATP4C1(gene name synonym)|uniprotkb:OATPX(gene name synonym)|uniprotkb:Organic anion transporter M1(gene name synonym)|uniprotkb:SLC21A20(gene name synonym)|uniprotkb:Solute carrier family 21 member 20(gene name synonym)|uniprotkb:Organic anion transporting polypeptide 4C1(gene name synonym)	psi-mi:kcnt2_human(display_long)|uniprotkb:KNa1.2(gene name synonym)|uniprotkb:Slo2.1(gene name synonym)|uniprotkb:SLICK(gene name synonym)|uniprotkb:Sequence like an intermediate conductance potassium channel subunit(gene name synonym)|uniprotkb:Sodium and chloride-activated ATP-sensitive potassium channel Slo2.1(gene name synonym)|uniprotkb:KCNT2(gene name)|psi-mi:KCNT2(display_short)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2021)	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54759156|imex:IM-29278-12199	intact-miscore:0.35
uniprotkb:Q9Y5E3	uniprotkb:Q6UVM3	intact:EBI-21590402|uniprotkb:B2R8R9|ensembl:ENSP00000231136.1|ensembl:ENSP00000517189.1	intact:EBI-27012016|ensembl:ENSP00000294725.8|ensembl:ENSP00000517747.1|uniprotkb:Q3SY59|uniprotkb:Q5VTN1|uniprotkb:Q6ZMT3	psi-mi:pcdb6_human(display_long)|uniprotkb:PCDHB6(gene name)|psi-mi:PCDHB6(display_short)	psi-mi:kcnt2_human(display_long)|uniprotkb:KNa1.2(gene name synonym)|uniprotkb:Slo2.1(gene name synonym)|uniprotkb:SLICK(gene name synonym)|uniprotkb:Sequence like an intermediate conductance potassium channel subunit(gene name synonym)|uniprotkb:Sodium and chloride-activated ATP-sensitive potassium channel Slo2.1(gene name synonym)|uniprotkb:KCNT2(gene name)|psi-mi:KCNT2(display_short)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2021)	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54518416|imex:IM-29278-955	intact-miscore:0.35
uniprotkb:Q9NRJ7	uniprotkb:Q6UVM3	intact:EBI-21584519|uniprotkb:B3KPK5|uniprotkb:Q8IYD5|uniprotkb:Q96SE9|uniprotkb:Q9HCF1|ensembl:ENSP00000477314.1|ensembl:ENSP00000517193.1	intact:EBI-27012016|ensembl:ENSP00000294725.8|ensembl:ENSP00000517747.1|uniprotkb:Q3SY59|uniprotkb:Q5VTN1|uniprotkb:Q6ZMT3	psi-mi:pcdbg_human(display_long)|uniprotkb:Protocadherin-3X(gene name synonym)|uniprotkb:PCDHB16(gene name)|psi-mi:PCDHB16(display_short)|uniprotkb:KIAA1621(gene name synonym)|uniprotkb:PCDH3X(gene name synonym)	psi-mi:kcnt2_human(display_long)|uniprotkb:KNa1.2(gene name synonym)|uniprotkb:Slo2.1(gene name synonym)|uniprotkb:SLICK(gene name synonym)|uniprotkb:Sequence like an intermediate conductance potassium channel subunit(gene name synonym)|uniprotkb:Sodium and chloride-activated ATP-sensitive potassium channel Slo2.1(gene name synonym)|uniprotkb:KCNT2(gene name)|psi-mi:KCNT2(display_short)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2021)	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54559825|imex:IM-29278-1967	intact-miscore:0.35
uniprotkb:Q13705	uniprotkb:Q6UVM3	intact:EBI-1383577|uniprotkb:Q4VAV0|ensembl:ENSP00000340361.3	intact:EBI-27012016|ensembl:ENSP00000294725.8|ensembl:ENSP00000517747.1|uniprotkb:Q3SY59|uniprotkb:Q5VTN1|uniprotkb:Q6ZMT3	psi-mi:avr2b_human(display_long)|uniprotkb:Activin receptor type IIB(gene name synonym)|uniprotkb:ACVR2B(gene name)|psi-mi:ACVR2B(display_short)	psi-mi:kcnt2_human(display_long)|uniprotkb:KNa1.2(gene name synonym)|uniprotkb:Slo2.1(gene name synonym)|uniprotkb:SLICK(gene name synonym)|uniprotkb:Sequence like an intermediate conductance potassium channel subunit(gene name synonym)|uniprotkb:Sodium and chloride-activated ATP-sensitive potassium channel Slo2.1(gene name synonym)|uniprotkb:KCNT2(gene name)|psi-mi:KCNT2(display_short)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2021)	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54559881|imex:IM-29278-1969	intact-miscore:0.35
uniprotkb:Q8WWF5	uniprotkb:Q6UVM3	intact:EBI-2129267|uniprotkb:A8K886|uniprotkb:O75866|ensembl:ENSP00000222033.4	intact:EBI-27012016|ensembl:ENSP00000294725.8|ensembl:ENSP00000517747.1|uniprotkb:Q3SY59|uniprotkb:Q5VTN1|uniprotkb:Q6ZMT3	psi-mi:znrf4_human(display_long)|uniprotkb:ZNRF4(gene name)|psi-mi:ZNRF4(display_short)|uniprotkb:RNF204(gene name synonym)|uniprotkb:RING finger protein 204(gene name synonym)|uniprotkb:Nixin(gene name synonym)|uniprotkb:Zinc/RING finger protein 4(gene name synonym)|uniprotkb:RING-type E3 ubiquitin transferase ZNRF4(gene name synonym)	psi-mi:kcnt2_human(display_long)|uniprotkb:KNa1.2(gene name synonym)|uniprotkb:Slo2.1(gene name synonym)|uniprotkb:SLICK(gene name synonym)|uniprotkb:Sequence like an intermediate conductance potassium channel subunit(gene name synonym)|uniprotkb:Sodium and chloride-activated ATP-sensitive potassium channel Slo2.1(gene name synonym)|uniprotkb:KCNT2(gene name)|psi-mi:KCNT2(display_short)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2021)	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54560061|imex:IM-29278-1975	intact-miscore:0.35
uniprotkb:Q9HBX9	uniprotkb:Q6UVM3	intact:EBI-8088969|uniprotkb:Q3KU24|uniprotkb:Q3KU25|uniprotkb:Q3KU26|uniprotkb:Q2M215|intact:MINT-231156|uniprotkb:B4DTV2|uniprotkb:B4DHD1|ensembl:ENSP00000303248.5	intact:EBI-27012016|ensembl:ENSP00000294725.8|ensembl:ENSP00000517747.1|uniprotkb:Q3SY59|uniprotkb:Q5VTN1|uniprotkb:Q6ZMT3	psi-mi:rxfp1_human(display_long)|uniprotkb:RXFP1(gene name)|psi-mi:RXFP1(display_short)|uniprotkb:LGR7(gene name synonym)|uniprotkb:Relaxin family peptide receptor 1(gene name synonym)|uniprotkb:Leucine-rich repeat-containing G-protein coupled receptor 7(gene name synonym)	psi-mi:kcnt2_human(display_long)|uniprotkb:KNa1.2(gene name synonym)|uniprotkb:Slo2.1(gene name synonym)|uniprotkb:SLICK(gene name synonym)|uniprotkb:Sequence like an intermediate conductance potassium channel subunit(gene name synonym)|uniprotkb:Sodium and chloride-activated ATP-sensitive potassium channel Slo2.1(gene name synonym)|uniprotkb:KCNT2(gene name)|psi-mi:KCNT2(display_short)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2021)	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54558947|imex:IM-29278-1943	intact-miscore:0.35
