idA	idB	altIdsA	altIdsB	aliasesA	aliasesB	detectionMethod	firstAuthor	publicationIdentifiers	taxidA	taxidB	interactionType	sourceDatabase	interactionIdentifiers	confidence
uniprotkb:P09055	uniprotkb:E7ESP4	intact:EBI-644224|uniprotkb:F6R105|uniprotkb:Q60993|uniprotkb:Q61126|ensembl:ENSMUSP00000087457.6|uniprotkb:Q8BVU1|uniprotkb:Q3TIW5|uniprotkb:Q3TWH6|uniprotkb:Q8BTU0	intact:EBI-10984312|ensembl:ENSP00000422145.1	psi-mi:itb1_mouse(display_long)|uniprotkb:Fibronectin receptor subunit beta(gene name synonym)|uniprotkb:VLA-4 subunit beta(gene name synonym)|uniprotkb:Itgb1(gene name)|psi-mi:Itgb1(display_short)	psi-mi:e7esp4_human(display_long)|uniprotkb:ITGA2(gene name)|psi-mi:ITGA2(display_short)|uniprotkb:CD49 antigen-like family member B(gene name synonym)|uniprotkb:Collagen receptor(gene name synonym)|uniprotkb:Platelet membrane glycoprotein Ia(gene name synonym)|uniprotkb:VLA-2 subunit alpha(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Hein et al. (2015)	pubmed:26496610|imex:IM-24272	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-11010396|imex:IM-24272-107	intact-miscore:0.35
uniprotkb:P60033	uniprotkb:E7ESP4	intact:EBI-712921|uniprotkb:P18582|uniprotkb:Q5U0J6|ensembl:ENSP00000263645.5	intact:EBI-10984312|ensembl:ENSP00000422145.1	psi-mi:cd81_human(display_long)|uniprotkb:26 kDa cell surface protein TAPA-1(gene name synonym)|uniprotkb:Target of the antiproliferative antibody 1(gene name synonym)|uniprotkb:Tetraspanin-28(gene name synonym)|uniprotkb:CD81(gene name)|psi-mi:CD81(display_short)|uniprotkb:TAPA1(gene name synonym)|uniprotkb:TSPAN28(gene name synonym)	psi-mi:e7esp4_human(display_long)|uniprotkb:ITGA2(gene name)|psi-mi:ITGA2(display_short)|uniprotkb:CD49 antigen-like family member B(gene name synonym)|uniprotkb:Collagen receptor(gene name synonym)|uniprotkb:Platelet membrane glycoprotein Ia(gene name synonym)|uniprotkb:VLA-2 subunit alpha(gene name synonym)	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	Palor et al. (2020)	imex:IM-28053|pubmed:32900848	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-25645944|imex:IM-28053-1	intact-miscore:0.35
uniprotkb:P60033	uniprotkb:E7ESP4	intact:EBI-712921|uniprotkb:P18582|uniprotkb:Q5U0J6|ensembl:ENSP00000263645.5	intact:EBI-10984312|ensembl:ENSP00000422145.1	psi-mi:cd81_human(display_long)|uniprotkb:26 kDa cell surface protein TAPA-1(gene name synonym)|uniprotkb:Target of the antiproliferative antibody 1(gene name synonym)|uniprotkb:Tetraspanin-28(gene name synonym)|uniprotkb:CD81(gene name)|psi-mi:CD81(display_short)|uniprotkb:TAPA1(gene name synonym)|uniprotkb:TSPAN28(gene name synonym)	psi-mi:e7esp4_human(display_long)|uniprotkb:ITGA2(gene name)|psi-mi:ITGA2(display_short)|uniprotkb:CD49 antigen-like family member B(gene name synonym)|uniprotkb:Collagen receptor(gene name synonym)|uniprotkb:Platelet membrane glycoprotein Ia(gene name synonym)|uniprotkb:VLA-2 subunit alpha(gene name synonym)	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	Palor et al. (2020)	imex:IM-28053|pubmed:32900848	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-25646004|imex:IM-28053-5	intact-miscore:0.35
uniprotkb:P60033	uniprotkb:E7ESP4	intact:EBI-712921|uniprotkb:P18582|uniprotkb:Q5U0J6|ensembl:ENSP00000263645.5	intact:EBI-10984312|ensembl:ENSP00000422145.1	psi-mi:cd81_human(display_long)|uniprotkb:26 kDa cell surface protein TAPA-1(gene name synonym)|uniprotkb:Target of the antiproliferative antibody 1(gene name synonym)|uniprotkb:Tetraspanin-28(gene name synonym)|uniprotkb:CD81(gene name)|psi-mi:CD81(display_short)|uniprotkb:TAPA1(gene name synonym)|uniprotkb:TSPAN28(gene name synonym)	psi-mi:e7esp4_human(display_long)|uniprotkb:ITGA2(gene name)|psi-mi:ITGA2(display_short)|uniprotkb:CD49 antigen-like family member B(gene name synonym)|uniprotkb:Collagen receptor(gene name synonym)|uniprotkb:Platelet membrane glycoprotein Ia(gene name synonym)|uniprotkb:VLA-2 subunit alpha(gene name synonym)	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	Palor et al. (2020)	imex:IM-28053|pubmed:32900848	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-25646019|imex:IM-28053-7	intact-miscore:0.35
uniprotkb:Q5NF37	uniprotkb:P56199	intact:EBI-2798724	intact:EBI-2554465|uniprotkb:B2RNU0|ensembl:ENSP00000282588.5	psi-mi:syp_fratt(display_long)|uniprotkb:proS(gene name)|psi-mi:proS(display_short)|uniprotkb:Prolyl-tRNA synthetase(gene name synonym)|uniprotkb:FTT_1412(locus name)	psi-mi:ita1_human(display_long)|uniprotkb:ITGA1(gene name)|psi-mi:ITGA1(display_short)|uniprotkb:Laminin and collagen receptor(gene name synonym)|uniprotkb:VLA-1(gene name synonym)|uniprotkb:CD49 antigen-like family member A(gene name synonym)	"psi-mi:""MI:0398""(two hybrid pooling approach)"	Dyer et al. (2010)	imex:IM-13779|pubmed:20711500	taxid:177416(fratt)|taxid:177416(Francisella tularensis subsp. tularensis)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2805777|imex:IM-13779-954	author score:1|intact-miscore:0.37
uniprotkb:Q9EQL9	uniprotkb:P56199	intact:EBI-1394695|ensembl:ENSRNOP00000018032.3	intact:EBI-2554465|uniprotkb:B2RNU0|ensembl:ENSP00000282588.5	psi-mi:shrpn_rat(display_long)|uniprotkb:Sharpin(gene name)|psi-mi:Sharpin(display_short)|uniprotkb:Shank-associated RH domain-interacting protein(gene name synonym)	psi-mi:ita1_human(display_long)|uniprotkb:ITGA1(gene name)|psi-mi:ITGA1(display_short)|uniprotkb:Laminin and collagen receptor(gene name synonym)|uniprotkb:VLA-1(gene name synonym)|uniprotkb:CD49 antigen-like family member A(gene name synonym)	"psi-mi:""MI:0096""(pull down)"	Rantala et al. (2011)	pubmed:21947080|imex:IM-16896	"taxid:10116(rat)|taxid:10116(""Rattus norvegicus (Rat)"")"	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-5528902|imex:IM-16896-2	intact-miscore:0.40
uniprotkb:P56199	uniprotkb:A0A3G5L9M4	intact:EBI-2554465|uniprotkb:B2RNU0|ensembl:ENSP00000282588.5	intact:EBI-2844699	psi-mi:ita1_human(display_long)|uniprotkb:ITGA1(gene name)|psi-mi:ITGA1(display_short)|uniprotkb:Laminin and collagen receptor(gene name synonym)|uniprotkb:VLA-1(gene name synonym)|uniprotkb:CD49 antigen-like family member A(gene name synonym)	psi-mi:a0a3g5l9m4_yerpe(display_long)|uniprotkb:yceD_2(gene name synonym)|uniprotkb:NCTC5923_03599(orf name)|uniprotkb:y0556(locus name)|uniprotkb:terA(gene name)|psi-mi:terA(display_short)	"psi-mi:""MI:0398""(two hybrid pooling approach)"	Dyer et al. (2010)	imex:IM-13779|pubmed:20711500	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:632(yerpe)|taxid:632(Yersinia pestis)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2866518|imex:IM-13779-7225	author score:1|intact-miscore:0.37
uniprotkb:O00214	uniprotkb:P56199	intact:EBI-740058|uniprotkb:Q5T3P5|uniprotkb:Q8TEV1|uniprotkb:Q9BXC8|uniprotkb:O15215|uniprotkb:Q96B92|uniprotkb:Q9H584|uniprotkb:Q9H585|uniprotkb:Q9UEZ6|uniprotkb:Q9UP32|uniprotkb:Q9UP33|uniprotkb:Q9UP34|uniprotkb:Q5T3Q4|ensembl:ENSP00000342139.6|ensembl:ENSP00000355543.4|ensembl:ENSP00000437040.1	intact:EBI-2554465|uniprotkb:B2RNU0|ensembl:ENSP00000282588.5	psi-mi:leg8_human(display_long)|uniprotkb:LGALS8(gene name)|psi-mi:LGALS8(display_short)|uniprotkb:Prostate carcinoma tumor antigen 1(gene name synonym)|uniprotkb:Po66 carbohydrate-binding protein(gene name synonym)	psi-mi:ita1_human(display_long)|uniprotkb:ITGA1(gene name)|psi-mi:ITGA1(display_short)|uniprotkb:Laminin and collagen receptor(gene name synonym)|uniprotkb:VLA-1(gene name synonym)|uniprotkb:CD49 antigen-like family member A(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2017)	pubmed:28514442|doi:10.1038/nature22366|imex:IM-25778	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-21518344|imex:IM-25778-9905	intact-miscore:0.53
uniprotkb:P60033	uniprotkb:P56199	intact:EBI-712921|uniprotkb:P18582|uniprotkb:Q5U0J6|ensembl:ENSP00000263645.5	intact:EBI-2554465|uniprotkb:B2RNU0|ensembl:ENSP00000282588.5	psi-mi:cd81_human(display_long)|uniprotkb:26 kDa cell surface protein TAPA-1(gene name synonym)|uniprotkb:Target of the antiproliferative antibody 1(gene name synonym)|uniprotkb:Tetraspanin-28(gene name synonym)|uniprotkb:CD81(gene name)|psi-mi:CD81(display_short)|uniprotkb:TAPA1(gene name synonym)|uniprotkb:TSPAN28(gene name synonym)	psi-mi:ita1_human(display_long)|uniprotkb:ITGA1(gene name)|psi-mi:ITGA1(display_short)|uniprotkb:Laminin and collagen receptor(gene name synonym)|uniprotkb:VLA-1(gene name synonym)|uniprotkb:CD49 antigen-like family member A(gene name synonym)	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	BrÃ¼ning et al. (2018)	pubmed:30024968|imex:IM-25678	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-20568535|imex:IM-25678-1	intact-miscore:0.53
uniprotkb:P60033	uniprotkb:P56199	intact:EBI-712921|uniprotkb:P18582|uniprotkb:Q5U0J6|ensembl:ENSP00000263645.5	intact:EBI-2554465|uniprotkb:B2RNU0|ensembl:ENSP00000282588.5	psi-mi:cd81_human(display_long)|uniprotkb:26 kDa cell surface protein TAPA-1(gene name synonym)|uniprotkb:Target of the antiproliferative antibody 1(gene name synonym)|uniprotkb:Tetraspanin-28(gene name synonym)|uniprotkb:CD81(gene name)|psi-mi:CD81(display_short)|uniprotkb:TAPA1(gene name synonym)|uniprotkb:TSPAN28(gene name synonym)	psi-mi:ita1_human(display_long)|uniprotkb:ITGA1(gene name)|psi-mi:ITGA1(display_short)|uniprotkb:Laminin and collagen receptor(gene name synonym)|uniprotkb:VLA-1(gene name synonym)|uniprotkb:CD49 antigen-like family member A(gene name synonym)	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	BrÃ¼ning et al. (2018)	pubmed:30024968|imex:IM-25678	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-20568694|imex:IM-25678-7	intact-miscore:0.53
