idA	idB	altIdsA	altIdsB	aliasesA	aliasesB	detectionMethod	firstAuthor	publicationIdentifiers	taxidA	taxidB	interactionType	sourceDatabase	interactionIdentifiers	confidence
uniprotkb:Q9Y091	uniprotkb:Q9VGW9	intact:EBI-101869|intact:EBI-3405267|uniprotkb:A1Z9H6|uniprotkb:Q7K100|uniprotkb:Q7KA73|uniprotkb:Q9U974	intact:EBI-2508382|uniprotkb:A8E750	"psi-mi:fl2d_drome(display_long)|uniprotkb:""fl(2)d""(gene name)|psi-mi:""fl(2)d""(display_short)|uniprotkb:""dFL(2)D""(gene name synonym)|uniprotkb:CG6315(orf name)"	psi-mi:q9vgw9_drome(display_long)|uniprotkb:Dmel_CG42632(orf name)|uniprotkb:mRpL2a(gene name synonym)|uniprotkb:mRpL37(gene name)|psi-mi:mRpL37(display_short)|uniprotkb:CG6547(gene name synonym)|uniprotkb:Dmel\CG42632(gene name synonym)|uniprotkb:MRP-L2(gene name synonym)|uniprotkb:MRpL37(gene name synonym)|uniprotkb:CG42632(orf name)|uniprotkb:39S ribosomal protein L37, mitochondrial(gene name synonym)	"psi-mi:""MI:0096""(pull down)"	Lowe et al. (2014)	imex:IM-16527|pubmed:25294943	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-9965518|flannotator:CPTI-002309|imex:IM-16527-333	intact-miscore:0.35
uniprotkb:Q9VMT1	uniprotkb:Q9VGW9	intact:EBI-3430567	intact:EBI-2508382|uniprotkb:A8E750	"psi-mi:q9vmt1_drome(display_long)|uniprotkb:tkv(gene name)|psi-mi:tkv(display_short)|uniprotkb:tkv-RC(gene name synonym)|uniprotkb:Atkv(gene name synonym)|uniprotkb:Atr25D(gene name synonym)|uniprotkb:Brk25D(gene name synonym)|uniprotkb:Brk25D1(gene name synonym)|uniprotkb:Brk25D2(gene name synonym)|uniprotkb:Dmel\CG14026(gene name synonym)|uniprotkb:Dtfr(gene name synonym)|uniprotkb:STK-A(gene name synonym)|uniprotkb:TKV(gene name synonym)|uniprotkb:TKV1(gene name synonym)|uniprotkb:Tkv(gene name synonym)|uniprotkb:dtfr(gene name synonym)|uniprotkb:kv(gene name synonym)|uniprotkb:""l(2)04415""(gene name synonym)|uniprotkb:""l(2)25Da""(gene name synonym)|uniprotkb:str(gene name synonym)|uniprotkb:tkv1(gene name synonym)|uniprotkb:tkva(gene name synonym)|uniprotkb:Dmel_CG14026(orf name)|uniprotkb:CG14026(orf name)|uniprotkb:TkvA(gene name synonym)|uniprotkb:thv(gene name synonym)"	psi-mi:q9vgw9_drome(display_long)|uniprotkb:Dmel_CG42632(orf name)|uniprotkb:mRpL2a(gene name synonym)|uniprotkb:mRpL37(gene name)|psi-mi:mRpL37(display_short)|uniprotkb:CG6547(gene name synonym)|uniprotkb:Dmel\CG42632(gene name synonym)|uniprotkb:MRP-L2(gene name synonym)|uniprotkb:MRpL37(gene name synonym)|uniprotkb:CG42632(orf name)|uniprotkb:39S ribosomal protein L37, mitochondrial(gene name synonym)	"psi-mi:""MI:0096""(pull down)"	Lowe et al. (2014)	imex:IM-16527|pubmed:25294943	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-9965670|flannotator:CPTI-002487|imex:IM-16527-338	intact-miscore:0.35
uniprotkb:O97159	uniprotkb:Q9VGW9	intact:EBI-112333|uniprotkb:Q8MZ43|uniprotkb:Q9VW50	intact:EBI-2508382|uniprotkb:A8E750	psi-mi:chdm_drome(display_long)|uniprotkb:Mi-2(gene name)|psi-mi:Mi-2(display_short)|uniprotkb:CG8103(orf name)|uniprotkb:ATP-dependent helicase Mi-2(gene name synonym)	psi-mi:q9vgw9_drome(display_long)|uniprotkb:Dmel_CG42632(orf name)|uniprotkb:mRpL2a(gene name synonym)|uniprotkb:mRpL37(gene name)|psi-mi:mRpL37(display_short)|uniprotkb:CG6547(gene name synonym)|uniprotkb:Dmel\CG42632(gene name synonym)|uniprotkb:MRP-L2(gene name synonym)|uniprotkb:MRpL37(gene name synonym)|uniprotkb:CG42632(orf name)|uniprotkb:39S ribosomal protein L37, mitochondrial(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Lowe et al. (2014)	imex:IM-16527|pubmed:25294943	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-9918568|flannotator:CPTI-001119|imex:IM-16527-3	intact-miscore:0.35
uniprotkb:Q9VMV9	uniprotkb:Q9VGW9	intact:EBI-182234	intact:EBI-2508382|uniprotkb:A8E750	psi-mi:q9vmv9_drome(display_long)|uniprotkb:142893_at(gene name synonym)|uniprotkb:Dmel\CG33113(gene name synonym)|uniprotkb:G9(gene name synonym)|uniprotkb:Retl1(gene name synonym)|uniprotkb:Rtn1(gene name synonym)|uniprotkb:Rtnl-1(gene name synonym)|uniprotkb:rtnl1(gene name synonym)|uniprotkb:Dmel_CG33113(orf name)|uniprotkb:Rtnl1(gene name)|psi-mi:Rtnl1(display_short)|uniprotkb:CG33113(orf name)|uniprotkb:CG18623(gene name synonym)|uniprotkb:CG8895(gene name synonym)|uniprotkb:RTNL1(gene name synonym)	psi-mi:q9vgw9_drome(display_long)|uniprotkb:Dmel_CG42632(orf name)|uniprotkb:mRpL2a(gene name synonym)|uniprotkb:mRpL37(gene name)|psi-mi:mRpL37(display_short)|uniprotkb:CG6547(gene name synonym)|uniprotkb:Dmel\CG42632(gene name synonym)|uniprotkb:MRP-L2(gene name synonym)|uniprotkb:MRpL37(gene name synonym)|uniprotkb:CG42632(orf name)|uniprotkb:39S ribosomal protein L37, mitochondrial(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Lowe et al. (2014)	imex:IM-16527|pubmed:25294943	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-9929965|flannotator:CPTI-001291|imex:IM-16527-27	intact-miscore:0.53
uniprotkb:O61307	uniprotkb:Q9VGW9	intact:EBI-118556|intact:EBI-6405206|intact:EBI-3417376|intact:EBI-869833|uniprotkb:A8JNW8|uniprotkb:O18366|uniprotkb:Q24551|uniprotkb:Q9TX59|uniprotkb:Q9VNU6|intact:EBI-9921296	intact:EBI-2508382|uniprotkb:A8E750	psi-mi:tenm_drome(display_long)|uniprotkb:Ten-m(gene name)|psi-mi:Ten-m(display_short)|uniprotkb:Odd Oz protein(gene name synonym)|uniprotkb:Tenascin-like protein(gene name synonym)|uniprotkb:odz(gene name synonym)|uniprotkb:CG5723(orf name)	psi-mi:q9vgw9_drome(display_long)|uniprotkb:Dmel_CG42632(orf name)|uniprotkb:mRpL2a(gene name synonym)|uniprotkb:mRpL37(gene name)|psi-mi:mRpL37(display_short)|uniprotkb:CG6547(gene name synonym)|uniprotkb:Dmel\CG42632(gene name synonym)|uniprotkb:MRP-L2(gene name synonym)|uniprotkb:MRpL37(gene name synonym)|uniprotkb:CG42632(orf name)|uniprotkb:39S ribosomal protein L37, mitochondrial(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Lowe et al. (2014)	imex:IM-16527|pubmed:25294943	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-9921261|flannotator:CPTI-001175|imex:IM-16527-8	intact-miscore:0.35
uniprotkb:Q9VJ30	uniprotkb:Q9VGW9	intact:EBI-154050	intact:EBI-2508382|uniprotkb:A8E750	psi-mi:q9vj30_drome(display_long)|uniprotkb:Nak(gene name)|psi-mi:Nak(display_short)|uniprotkb:Dmel\CG10637(gene name synonym)|uniprotkb:nak(gene name synonym)|uniprotkb:Dmel_CG10637(orf name)|uniprotkb:CG10637(orf name)	psi-mi:q9vgw9_drome(display_long)|uniprotkb:Dmel_CG42632(orf name)|uniprotkb:mRpL2a(gene name synonym)|uniprotkb:mRpL37(gene name)|psi-mi:mRpL37(display_short)|uniprotkb:CG6547(gene name synonym)|uniprotkb:Dmel\CG42632(gene name synonym)|uniprotkb:MRP-L2(gene name synonym)|uniprotkb:MRpL37(gene name synonym)|uniprotkb:CG42632(orf name)|uniprotkb:39S ribosomal protein L37, mitochondrial(gene name synonym)	"psi-mi:""MI:0096""(pull down)"	Lowe et al. (2014)	imex:IM-16527|pubmed:25294943	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-9958752|flannotator:CPTI-001380|imex:IM-16527-243	intact-miscore:0.46
uniprotkb:Q9VJ30	uniprotkb:Q9VGW9	intact:EBI-154050	intact:EBI-2508382|uniprotkb:A8E750	psi-mi:q9vj30_drome(display_long)|uniprotkb:Nak(gene name)|psi-mi:Nak(display_short)|uniprotkb:Dmel\CG10637(gene name synonym)|uniprotkb:nak(gene name synonym)|uniprotkb:Dmel_CG10637(orf name)|uniprotkb:CG10637(orf name)	psi-mi:q9vgw9_drome(display_long)|uniprotkb:Dmel_CG42632(orf name)|uniprotkb:mRpL2a(gene name synonym)|uniprotkb:mRpL37(gene name)|psi-mi:mRpL37(display_short)|uniprotkb:CG6547(gene name synonym)|uniprotkb:Dmel\CG42632(gene name synonym)|uniprotkb:MRP-L2(gene name synonym)|uniprotkb:MRpL37(gene name synonym)|uniprotkb:CG42632(orf name)|uniprotkb:39S ribosomal protein L37, mitochondrial(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Lowe et al. (2014)	imex:IM-16527|pubmed:25294943	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-9932245|flannotator:CPTI-001380|imex:IM-16527-45	intact-miscore:0.46
uniprotkb:Q9VMV9	uniprotkb:Q9VGW9	intact:EBI-182234	intact:EBI-2508382|uniprotkb:A8E750	psi-mi:q9vmv9_drome(display_long)|uniprotkb:142893_at(gene name synonym)|uniprotkb:Dmel\CG33113(gene name synonym)|uniprotkb:G9(gene name synonym)|uniprotkb:Retl1(gene name synonym)|uniprotkb:Rtn1(gene name synonym)|uniprotkb:Rtnl-1(gene name synonym)|uniprotkb:rtnl1(gene name synonym)|uniprotkb:Dmel_CG33113(orf name)|uniprotkb:Rtnl1(gene name)|psi-mi:Rtnl1(display_short)|uniprotkb:CG33113(orf name)|uniprotkb:CG18623(gene name synonym)|uniprotkb:CG8895(gene name synonym)|uniprotkb:RTNL1(gene name synonym)	psi-mi:q9vgw9_drome(display_long)|uniprotkb:Dmel_CG42632(orf name)|uniprotkb:mRpL2a(gene name synonym)|uniprotkb:mRpL37(gene name)|psi-mi:mRpL37(display_short)|uniprotkb:CG6547(gene name synonym)|uniprotkb:Dmel\CG42632(gene name synonym)|uniprotkb:MRP-L2(gene name synonym)|uniprotkb:MRpL37(gene name synonym)|uniprotkb:CG42632(orf name)|uniprotkb:39S ribosomal protein L37, mitochondrial(gene name synonym)	"psi-mi:""MI:0963""(interactome parallel affinity capture)"	-	pubmed:21447707|imex:IM-17304	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2889999|flannotator:CPTI-001291|imex:IM-17304-4	author score:0.95|author score:high|intact-miscore:0.53
uniprotkb:O01482	uniprotkb:O18199	intact:EBI-315611	intact:EBI-2005988	psi-mi:o01482_caeel(display_long)|uniprotkb:rnf-1(gene name)|psi-mi:rnf-1(display_short)|uniprotkb:CELE_C06A5.9(orf name)|uniprotkb:C06A5.9(orf name)	psi-mi:o18199_caeel(display_long)|uniprotkb:39S ribosomal protein L37, mitochondrial(gene name synonym)|uniprotkb:CELE_Y48E1B.5(orf name)|uniprotkb:Y48E1B.5(orf name)|uniprotkb:mrpl-37(gene name)|psi-mi:mrpl-37(display_short)	"psi-mi:""MI:0397""(two hybrid array)"	Simonis et al. (2009)	pubmed:19123269	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2412659	intact-miscore:0.49
uniprotkb:O01482	uniprotkb:O18199	intact:EBI-315611	intact:EBI-2005988	psi-mi:o01482_caeel(display_long)|uniprotkb:rnf-1(gene name)|psi-mi:rnf-1(display_short)|uniprotkb:CELE_C06A5.9(orf name)|uniprotkb:C06A5.9(orf name)	psi-mi:o18199_caeel(display_long)|uniprotkb:39S ribosomal protein L37, mitochondrial(gene name synonym)|uniprotkb:CELE_Y48E1B.5(orf name)|uniprotkb:Y48E1B.5(orf name)|uniprotkb:mrpl-37(gene name)|psi-mi:mrpl-37(display_short)	"psi-mi:""MI:0398""(two hybrid pooling approach)"	Simonis et al. (2009)	pubmed:19123269	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2422531	intact-miscore:0.49
