idA	idB	altIdsA	altIdsB	aliasesA	aliasesB	detectionMethod	firstAuthor	publicationIdentifiers	taxidA	taxidB	interactionType	sourceDatabase	interactionIdentifiers	confidence
uniprotkb:Q39253	uniprotkb:Q93Z81	intact:EBI-2292388|uniprotkb:O80442|uniprotkb:Q56WC8	intact:EBI-2292420|uniprotkb:O65022|uniprotkb:Q0WUY4|uniprotkb:Q9LKW8	"psi-mi:cax1_arath(display_long)|uniprotkb:CAX1(gene name)|psi-mi:CAX1(display_short)|uniprotkb:RCI4(gene name synonym)|uniprotkb:""Ca(2+)/H(+) exchanger 1""(gene name synonym)|uniprotkb:""Ca(2+)/H(+) antiporter CAX1""(gene name synonym)|uniprotkb:Protein RARE COLD INDUCIBLE 4(gene name synonym)|uniprotkb:F16M14.10(orf name)|uniprotkb:At2g38170(locus name)|uniprotkb:Protein CATION EXCHANGER 1(gene name synonym)"	"psi-mi:cax3_arath(display_long)|uniprotkb:CAX3(gene name)|psi-mi:CAX3(display_short)|uniprotkb:""Ca(2+)/H(+) exchanger 3""(gene name synonym)|uniprotkb:""Ca(2+)/H(+) antiporter CAX3""(gene name synonym)|uniprotkb:Protein CATION EXCHANGER 3(gene name synonym)|uniprotkb:ATEM1.11(orf name)|uniprotkb:At3g51860(locus name)"	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	Zhao et al. (2009)	pubmed:19098009|imex:IM-20274	"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")"	"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")"	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2292448|imex:IM-20274-1	intact-miscore:0.58
uniprotkb:Q93Z81	uniprotkb:Q39253	intact:EBI-2292420|uniprotkb:O65022|uniprotkb:Q0WUY4|uniprotkb:Q9LKW8	intact:EBI-2292388|uniprotkb:O80442|uniprotkb:Q56WC8	"psi-mi:cax3_arath(display_long)|uniprotkb:CAX3(gene name)|psi-mi:CAX3(display_short)|uniprotkb:""Ca(2+)/H(+) exchanger 3""(gene name synonym)|uniprotkb:""Ca(2+)/H(+) antiporter CAX3""(gene name synonym)|uniprotkb:Protein CATION EXCHANGER 3(gene name synonym)|uniprotkb:ATEM1.11(orf name)|uniprotkb:At3g51860(locus name)"	"psi-mi:cax1_arath(display_long)|uniprotkb:CAX1(gene name)|psi-mi:CAX1(display_short)|uniprotkb:RCI4(gene name synonym)|uniprotkb:""Ca(2+)/H(+) exchanger 1""(gene name synonym)|uniprotkb:""Ca(2+)/H(+) antiporter CAX1""(gene name synonym)|uniprotkb:Protein RARE COLD INDUCIBLE 4(gene name synonym)|uniprotkb:F16M14.10(orf name)|uniprotkb:At2g38170(locus name)|uniprotkb:Protein CATION EXCHANGER 1(gene name synonym)"	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Zhao et al. (2009)	pubmed:19098009|imex:IM-20274	"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")"	"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")"	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2292463|imex:IM-20274-2	intact-miscore:0.58
uniprotkb:Q39253	uniprotkb:Q93Z81	intact:EBI-2292388|uniprotkb:O80442|uniprotkb:Q56WC8	intact:EBI-2292420|uniprotkb:O65022|uniprotkb:Q0WUY4|uniprotkb:Q9LKW8	"psi-mi:cax1_arath(display_long)|uniprotkb:CAX1(gene name)|psi-mi:CAX1(display_short)|uniprotkb:RCI4(gene name synonym)|uniprotkb:""Ca(2+)/H(+) exchanger 1""(gene name synonym)|uniprotkb:""Ca(2+)/H(+) antiporter CAX1""(gene name synonym)|uniprotkb:Protein RARE COLD INDUCIBLE 4(gene name synonym)|uniprotkb:F16M14.10(orf name)|uniprotkb:At2g38170(locus name)|uniprotkb:Protein CATION EXCHANGER 1(gene name synonym)"	"psi-mi:cax3_arath(display_long)|uniprotkb:CAX3(gene name)|psi-mi:CAX3(display_short)|uniprotkb:""Ca(2+)/H(+) exchanger 3""(gene name synonym)|uniprotkb:""Ca(2+)/H(+) antiporter CAX3""(gene name synonym)|uniprotkb:Protein CATION EXCHANGER 3(gene name synonym)|uniprotkb:ATEM1.11(orf name)|uniprotkb:At3g51860(locus name)"	"psi-mi:""MI:0112""(ubiquitin reconstruction)"	Zhao et al. (2009)	pubmed:19098009|imex:IM-20274	"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")"	"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")"	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2292478|imex:IM-20274-3	intact-miscore:0.58
uniprotkb:Q39253	uniprotkb:Q93Z81	intact:EBI-2292388|uniprotkb:O80442|uniprotkb:Q56WC8	intact:EBI-2292420|uniprotkb:O65022|uniprotkb:Q0WUY4|uniprotkb:Q9LKW8	"psi-mi:cax1_arath(display_long)|uniprotkb:CAX1(gene name)|psi-mi:CAX1(display_short)|uniprotkb:RCI4(gene name synonym)|uniprotkb:""Ca(2+)/H(+) exchanger 1""(gene name synonym)|uniprotkb:""Ca(2+)/H(+) antiporter CAX1""(gene name synonym)|uniprotkb:Protein RARE COLD INDUCIBLE 4(gene name synonym)|uniprotkb:F16M14.10(orf name)|uniprotkb:At2g38170(locus name)|uniprotkb:Protein CATION EXCHANGER 1(gene name synonym)"	"psi-mi:cax3_arath(display_long)|uniprotkb:CAX3(gene name)|psi-mi:CAX3(display_short)|uniprotkb:""Ca(2+)/H(+) exchanger 3""(gene name synonym)|uniprotkb:""Ca(2+)/H(+) antiporter CAX3""(gene name synonym)|uniprotkb:Protein CATION EXCHANGER 3(gene name synonym)|uniprotkb:ATEM1.11(orf name)|uniprotkb:At3g51860(locus name)"	"psi-mi:""MI:0112""(ubiquitin reconstruction)"	Zhao et al. (2009)	pubmed:19098009|imex:IM-20274	"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")"	"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")"	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2292484|imex:IM-20274-4	intact-miscore:0.58
uniprotkb:P42839	uniprotkb:P10591	intact:EBI-28392|uniprotkb:D6W0M5	intact:EBI-8591|uniprotkb:D6VPL2	"psi-mi:vnx1_yeast(display_long)|uniprotkb:YNL321W(locus name)|uniprotkb:N0339(orf name)|uniprotkb:VNX1(gene name)|psi-mi:VNX1(display_short)|uniprotkb:""Vacuolar Na(+)/H(+) exchanger""(gene name synonym)"	psi-mi:hsp71_yeast(display_long)|uniprotkb:YAL005C(locus name)|uniprotkb:SSA1(gene name)|psi-mi:SSA1(display_short)|uniprotkb:Heat shock protein YG100(gene name synonym)	"psi-mi:""MI:0676""(tandem affinity purification)"	Gong et al. (2009)	pubmed:19536198	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-3681804	intact-miscore:0.35
uniprotkb:P42839	uniprotkb:P10592	intact:EBI-28392|uniprotkb:D6W0M5	intact:EBI-8603|uniprotkb:D6VXY0	"psi-mi:vnx1_yeast(display_long)|uniprotkb:YNL321W(locus name)|uniprotkb:N0339(orf name)|uniprotkb:VNX1(gene name)|psi-mi:VNX1(display_short)|uniprotkb:""Vacuolar Na(+)/H(+) exchanger""(gene name synonym)"	psi-mi:hsp72_yeast(display_long)|uniprotkb:L0931(orf name)|uniprotkb:YLL024C(locus name)|uniprotkb:SSA2(gene name)|psi-mi:SSA2(display_short)	"psi-mi:""MI:0676""(tandem affinity purification)"	Gong et al. (2009)	pubmed:19536198	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-3718826	intact-miscore:0.35
uniprotkb:P42839	uniprotkb:P11484	intact:EBI-28392|uniprotkb:D6W0M5	intact:EBI-8627|uniprotkb:Q05834|uniprotkb:D6VRC7|intact:EBI-29890|uniprotkb:E9P9V5	"psi-mi:vnx1_yeast(display_long)|uniprotkb:YNL321W(locus name)|uniprotkb:N0339(orf name)|uniprotkb:VNX1(gene name)|psi-mi:VNX1(display_short)|uniprotkb:""Vacuolar Na(+)/H(+) exchanger""(gene name synonym)"	psi-mi:ssb1_yeast(display_long)|uniprotkb:YDL229W(locus name)|uniprotkb:SSB1(gene name)|psi-mi:SSB1(display_short)|uniprotkb:YG101(gene name synonym)|uniprotkb:Cold-inducible protein YG101(gene name synonym)|uniprotkb:Heat shock protein SSB1(gene name synonym)|uniprotkb:Hsp70 chaperone Ssb(gene name synonym)	"psi-mi:""MI:0676""(tandem affinity purification)"	Gong et al. (2009)	pubmed:19536198	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-3700629	intact-miscore:0.35
uniprotkb:P42839	uniprotkb:P32589	intact:EBI-28392|uniprotkb:D6W0M5	intact:EBI-8648|uniprotkb:D6W3R1	"psi-mi:vnx1_yeast(display_long)|uniprotkb:YNL321W(locus name)|uniprotkb:N0339(orf name)|uniprotkb:VNX1(gene name)|psi-mi:VNX1(display_short)|uniprotkb:""Vacuolar Na(+)/H(+) exchanger""(gene name synonym)"	psi-mi:hsp7f_yeast(display_long)|uniprotkb:SSE1(gene name)|psi-mi:SSE1(display_short)|uniprotkb:MSI3(gene name synonym)|uniprotkb:YPL106C(locus name)|uniprotkb:LPG3C(orf name)|uniprotkb:Chaperone protein MSI3(gene name synonym)	"psi-mi:""MI:0676""(tandem affinity purification)"	Gong et al. (2009)	pubmed:19536198	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-3732803	intact-miscore:0.35
uniprotkb:P62993	uniprotkb:O60721	intact:EBI-401755|uniprotkb:P29354|uniprotkb:Q14450|uniprotkb:Q63057|uniprotkb:Q63059|ensembl:ENSP00000339007.4|ensembl:ENSP00000376345.1|ensembl:ENSP00000376347.1|ensembl:ENSP00000496913.1	intact:EBI-1753504|uniprotkb:O43485|uniprotkb:O75184|uniprotkb:Q17RM9|ensembl:ENSP00000261892.6	psi-mi:grb2_human(display_long)|uniprotkb:GRB2(gene name)|psi-mi:GRB2(display_short)|uniprotkb:ASH(gene name synonym)|uniprotkb:Adapter protein GRB2(gene name synonym)|uniprotkb:SH2/SH3 adapter GRB2(gene name synonym)|uniprotkb:Protein Ash(gene name synonym)	"psi-mi:nckx1_human(display_long)|uniprotkb:SLC24A1(gene name)|psi-mi:SLC24A1(display_short)|uniprotkb:KIAA0702(gene name synonym)|uniprotkb:NCKX1(gene name synonym)|uniprotkb:""Na(+)/K(+)/Ca(2+)-exchange protein 1""(gene name synonym)|uniprotkb:Retinal rod Na-Ca+K exchanger(gene name synonym)|uniprotkb:Solute carrier family 24 member 1(gene name synonym)"	"psi-mi:""MI:0081""(peptide array)"	Wu et al. (2007)	imex:IM-11903|pubmed:17474147|mint:MINT-8109998	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1964310|imex:IM-11903-39	intact-miscore:0.40
uniprotkb:O60721	uniprotkb:P16333	intact:EBI-1753504|uniprotkb:O43485|uniprotkb:O75184|uniprotkb:Q17RM9|ensembl:ENSP00000261892.6	intact:EBI-389883|uniprotkb:B7Z751|intact:EBI-3448658|uniprotkb:D3DNE3|ensembl:ENSP00000288986.2|ensembl:ENSP00000417273.1	"psi-mi:nckx1_human(display_long)|uniprotkb:SLC24A1(gene name)|psi-mi:SLC24A1(display_short)|uniprotkb:KIAA0702(gene name synonym)|uniprotkb:NCKX1(gene name synonym)|uniprotkb:""Na(+)/K(+)/Ca(2+)-exchange protein 1""(gene name synonym)|uniprotkb:Retinal rod Na-Ca+K exchanger(gene name synonym)|uniprotkb:Solute carrier family 24 member 1(gene name synonym)"	psi-mi:nck1_human(display_long)|uniprotkb:NCK1(gene name)|psi-mi:NCK1(display_short)|uniprotkb:NCK(gene name synonym)|uniprotkb:Cytoplasmic protein NCK1(gene name synonym)|uniprotkb:NCK adapter protein 1(gene name synonym)|uniprotkb:SH2/SH3 adapter protein NCK-alpha(gene name synonym)	"psi-mi:""MI:0081""(peptide array)"	Wu et al. (2007)	imex:IM-11903|pubmed:17474147|mint:MINT-8109998	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1966249|imex:IM-11903-587	intact-miscore:0.40
