idA	idB	altIdsA	altIdsB	aliasesA	aliasesB	detectionMethod	firstAuthor	publicationIdentifiers	taxidA	taxidB	interactionType	sourceDatabase	interactionIdentifiers	confidence
uniprotkb:Q92560	uniprotkb:Q96HN2	intact:EBI-1791447|uniprotkb:Q6LEM0|uniprotkb:Q7Z5E8|uniprotkb:A8K993|intact:EBI-2558090|ensembl:ENSP00000417132.1	intact:EBI-1056923|uniprotkb:O94917|uniprotkb:B4DIZ5|uniprotkb:D9N155|ensembl:ENSP00000315931.3	psi-mi:bap1_human(display_long)|uniprotkb:BAP1(gene name)|psi-mi:BAP1(display_short)|uniprotkb:KIAA0272(gene name synonym)|uniprotkb:hucep-6(orf name)|uniprotkb:BRCA1-associated protein 1(gene name synonym)|uniprotkb:Cerebral protein 6(gene name synonym)	"psi-mi:sahh3_human(display_long)|uniprotkb:AHCYL2(gene name)|psi-mi:AHCYL2(display_short)|uniprotkb:KIAA0828(gene name synonym)|uniprotkb:S-adenosyl-L-homocysteine hydrolase 3(gene name synonym)|uniprotkb:S-adenosylhomocysteine hydrolase-like protein 2(gene name synonym)|uniprotkb:""IP(3)Rs binding protein released with IP(3) 2""(gene name synonym)|uniprotkb:Long-IRBIT(gene name synonym)"	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Sowa et al. (2009)	imex:IM-12079|pubmed:19615732	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2509989|imex:IM-12079-53	intact-miscore:0.35
uniprotkb:Q92560	uniprotkb:O15355	intact:EBI-1791447|uniprotkb:Q6LEM0|uniprotkb:Q7Z5E8|uniprotkb:A8K993|intact:EBI-2558090|ensembl:ENSP00000417132.1	intact:EBI-725702|ensembl:ENSP00000342778.4	psi-mi:bap1_human(display_long)|uniprotkb:BAP1(gene name)|psi-mi:BAP1(display_short)|uniprotkb:KIAA0272(gene name synonym)|uniprotkb:hucep-6(orf name)|uniprotkb:BRCA1-associated protein 1(gene name synonym)|uniprotkb:Cerebral protein 6(gene name synonym)	psi-mi:ppm1g_human(display_long)|uniprotkb:Protein phosphatase 2C isoform gamma(gene name synonym)|uniprotkb:Protein phosphatase magnesium-dependent 1 gamma(gene name synonym)|uniprotkb:Protein phosphatase 1C(gene name synonym)|uniprotkb:PPM1G(gene name)|psi-mi:PPM1G(display_short)|uniprotkb:PPM1C(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Sowa et al. (2009)	imex:IM-12079|pubmed:19615732	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2509989|imex:IM-12079-53	intact-miscore:0.35
uniprotkb:Q92560	uniprotkb:P83916	intact:EBI-1791447|uniprotkb:Q6LEM0|uniprotkb:Q7Z5E8|uniprotkb:A8K993|intact:EBI-2558090|ensembl:ENSP00000417132.1	intact:EBI-78129|uniprotkb:P23197|ensembl:ENSP00000225603.4|ensembl:ENSP00000377060.3	psi-mi:bap1_human(display_long)|uniprotkb:BAP1(gene name)|psi-mi:BAP1(display_short)|uniprotkb:KIAA0272(gene name synonym)|uniprotkb:hucep-6(orf name)|uniprotkb:BRCA1-associated protein 1(gene name synonym)|uniprotkb:Cerebral protein 6(gene name synonym)	psi-mi:cbx1_human(display_long)|uniprotkb:CBX1(gene name)|psi-mi:CBX1(display_short)|uniprotkb:CBX(gene name synonym)|uniprotkb:Heterochromatin protein 1 homolog beta(gene name synonym)|uniprotkb:Modifier 1 protein(gene name synonym)|uniprotkb:M31(gene name synonym)|uniprotkb:Heterochromatin protein p25(gene name synonym)|uniprotkb:p25beta(gene name synonym)|uniprotkb:HP1Hsbeta(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Sowa et al. (2009)	imex:IM-12079|pubmed:19615732	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2509989|imex:IM-12079-53	intact-miscore:0.35
uniprotkb:Q92560	uniprotkb:Q9UJX3	intact:EBI-1791447|uniprotkb:Q6LEM0|uniprotkb:Q7Z5E8|uniprotkb:A8K993|intact:EBI-2558090|ensembl:ENSP00000417132.1	intact:EBI-1384164|uniprotkb:Q96AC4|uniprotkb:Q96GF4|uniprotkb:Q9BU24|uniprotkb:Q9NT16|ensembl:ENSP00000394394.4	psi-mi:bap1_human(display_long)|uniprotkb:BAP1(gene name)|psi-mi:BAP1(display_short)|uniprotkb:KIAA0272(gene name synonym)|uniprotkb:hucep-6(orf name)|uniprotkb:BRCA1-associated protein 1(gene name synonym)|uniprotkb:Cerebral protein 6(gene name synonym)	psi-mi:apc7_human(display_long)|uniprotkb:ANAPC7(gene name)|psi-mi:ANAPC7(display_short)|uniprotkb:APC7(gene name synonym)|uniprotkb:Cyclosome subunit 7(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Sowa et al. (2009)	imex:IM-12079|pubmed:19615732	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2509989|imex:IM-12079-53	intact-miscore:0.35
uniprotkb:Q92560	uniprotkb:O75179	intact:EBI-1791447|uniprotkb:Q6LEM0|uniprotkb:Q7Z5E8|uniprotkb:A8K993|intact:EBI-2558090|ensembl:ENSP00000417132.1	intact:EBI-355530|uniprotkb:Q6PJ85|uniprotkb:Q6PK85|uniprotkb:Q6PKA2|uniprotkb:Q86XI3|uniprotkb:Q8NDR5|uniprotkb:Q96I86|uniprotkb:Q9H6J9|uniprotkb:Q9H288|ensembl:ENSP00000351416.4|uniprotkb:G5E964|uniprotkb:E7EUV3	psi-mi:bap1_human(display_long)|uniprotkb:BAP1(gene name)|psi-mi:BAP1(display_short)|uniprotkb:KIAA0272(gene name synonym)|uniprotkb:hucep-6(orf name)|uniprotkb:BRCA1-associated protein 1(gene name synonym)|uniprotkb:Cerebral protein 6(gene name synonym)	psi-mi:anr17_human(display_long)|uniprotkb:ANKRD17(gene name)|psi-mi:ANKRD17(display_short)|uniprotkb:GTAR(gene name synonym)|uniprotkb:KIAA0697(gene name synonym)|uniprotkb:Gene trap ankyrin repeat protein(gene name synonym)|uniprotkb:Serologically defined breast cancer antigen NY-BR-16(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Sowa et al. (2009)	imex:IM-12079|pubmed:19615732	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2509989|imex:IM-12079-53	intact-miscore:0.35
uniprotkb:Q92560	uniprotkb:Q8TEX9	intact:EBI-1791447|uniprotkb:Q6LEM0|uniprotkb:Q7Z5E8|uniprotkb:A8K993|intact:EBI-2558090|ensembl:ENSP00000417132.1	intact:EBI-395967|uniprotkb:Q2NL96|uniprotkb:Q86TZ9|uniprotkb:Q8NCG8|uniprotkb:Q96SJ3|uniprotkb:Q9BTI4|uniprotkb:Q9H5L0|uniprotkb:B2RN95|ensembl:ENSP00000346453.6|ensembl:ENSP00000494795.1	psi-mi:bap1_human(display_long)|uniprotkb:BAP1(gene name)|psi-mi:BAP1(display_short)|uniprotkb:KIAA0272(gene name synonym)|uniprotkb:hucep-6(orf name)|uniprotkb:BRCA1-associated protein 1(gene name synonym)|uniprotkb:Cerebral protein 6(gene name synonym)	psi-mi:ipo4_human(display_long)|uniprotkb:IPO4(gene name)|psi-mi:IPO4(display_short)|uniprotkb:IMP4B(gene name synonym)|uniprotkb:RANBP4(gene name synonym)|uniprotkb:Importin-4b(gene name synonym)|uniprotkb:Ran-binding protein 4(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Sowa et al. (2009)	imex:IM-12079|pubmed:19615732	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2509989|imex:IM-12079-53	intact-miscore:0.35
uniprotkb:Q92560	uniprotkb:Q9C0C9	intact:EBI-1791447|uniprotkb:Q6LEM0|uniprotkb:Q7Z5E8|uniprotkb:A8K993|intact:EBI-2558090|ensembl:ENSP00000417132.1	intact:EBI-2339946|uniprotkb:Q8TBN1|uniprotkb:Q6PIZ2|uniprotkb:Q9H7E4|uniprotkb:A6NDU5|uniprotkb:Q9BSW1|uniprotkb:Q69YP4|uniprotkb:Q86UA4|uniprotkb:Q8N425|uniprotkb:Q9H9B2|uniprotkb:Q9H6E6|ensembl:ENSP00000323687.6	psi-mi:bap1_human(display_long)|uniprotkb:BAP1(gene name)|psi-mi:BAP1(display_short)|uniprotkb:KIAA0272(gene name synonym)|uniprotkb:hucep-6(orf name)|uniprotkb:BRCA1-associated protein 1(gene name synonym)|uniprotkb:Cerebral protein 6(gene name synonym)	psi-mi:ube2o_human(display_long)|uniprotkb:UBE2O(gene name)|psi-mi:UBE2O(display_short)|uniprotkb:KIAA1734(gene name synonym)|uniprotkb:Ubiquitin-protein ligase O(gene name synonym)|uniprotkb:Ubiquitin carrier protein O(gene name synonym)|uniprotkb:Ubiquitin-conjugating enzyme E2 of 230 kDa(gene name synonym)|uniprotkb:Ubiquitin-conjugating enzyme E2 O(gene name synonym)|uniprotkb:E2/E3 hybrid ubiquitin-protein ligase UBE2O(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Sowa et al. (2009)	imex:IM-12079|pubmed:19615732	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2509989|imex:IM-12079-53	intact-miscore:0.73
uniprotkb:Q92560	uniprotkb:P51610	intact:EBI-1791447|uniprotkb:Q6LEM0|uniprotkb:Q7Z5E8|uniprotkb:A8K993|intact:EBI-2558090|ensembl:ENSP00000417132.1	intact:EBI-396176|intact:EBI-2832627|uniprotkb:Q6P4G5|intact:EBI-12037257|ensembl:ENSP00000309555.7|intact:EBI-14324845|intact:EBI-12980473	psi-mi:bap1_human(display_long)|uniprotkb:BAP1(gene name)|psi-mi:BAP1(display_short)|uniprotkb:KIAA0272(gene name synonym)|uniprotkb:hucep-6(orf name)|uniprotkb:BRCA1-associated protein 1(gene name synonym)|uniprotkb:Cerebral protein 6(gene name synonym)	psi-mi:hcfc1_human(display_long)|uniprotkb:HCFC1(gene name)|psi-mi:HCFC1(display_short)|uniprotkb:HCF1(gene name synonym)|uniprotkb:C1 factor(gene name synonym)|uniprotkb:VP16 accessory protein(gene name synonym)|uniprotkb:VCAF(gene name synonym)|uniprotkb:CFF(gene name synonym)|uniprotkb:HFC1(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Sowa et al. (2009)	imex:IM-12079|pubmed:19615732	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2509989|imex:IM-12079-53	intact-miscore:0.74
uniprotkb:Q92560	uniprotkb:O00410	intact:EBI-1791447|uniprotkb:Q6LEM0|uniprotkb:Q7Z5E8|uniprotkb:A8K993|intact:EBI-2558090|ensembl:ENSP00000417132.1	intact:EBI-356424|uniprotkb:O15257|intact:EBI-1105173|uniprotkb:B4DZA0|uniprotkb:Q5T578|uniprotkb:Q86XC7|ensembl:ENSP00000350219.3|ensembl:ENSP00000418393.1|ensembl:ENSP00000499125.1|intact:EBI-21353074	psi-mi:bap1_human(display_long)|uniprotkb:BAP1(gene name)|psi-mi:BAP1(display_short)|uniprotkb:KIAA0272(gene name synonym)|uniprotkb:hucep-6(orf name)|uniprotkb:BRCA1-associated protein 1(gene name synonym)|uniprotkb:Cerebral protein 6(gene name synonym)	psi-mi:ipo5_human(display_long)|uniprotkb:IPO5(gene name)|psi-mi:IPO5(display_short)|uniprotkb:KPNB3(gene name synonym)|uniprotkb:RANBP5(gene name synonym)|uniprotkb:Importin subunit beta-3(gene name synonym)|uniprotkb:Karyopherin beta-3(gene name synonym)|uniprotkb:Ran-binding protein 5(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Sowa et al. (2009)	imex:IM-12079|pubmed:19615732	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2509989|imex:IM-12079-53	intact-miscore:0.35
uniprotkb:Q92560	uniprotkb:P61289	intact:EBI-1791447|uniprotkb:Q6LEM0|uniprotkb:Q7Z5E8|uniprotkb:A8K993|intact:EBI-2558090|ensembl:ENSP00000417132.1	intact:EBI-355546|uniprotkb:O35563|uniprotkb:P97373|uniprotkb:Q12920|uniprotkb:Q13172|uniprotkb:Q9BQD9|uniprotkb:A8K9A3|ensembl:ENSP00000466794.1|intact:EBI-21352060	psi-mi:bap1_human(display_long)|uniprotkb:BAP1(gene name)|psi-mi:BAP1(display_short)|uniprotkb:KIAA0272(gene name synonym)|uniprotkb:hucep-6(orf name)|uniprotkb:BRCA1-associated protein 1(gene name synonym)|uniprotkb:Cerebral protein 6(gene name synonym)	psi-mi:psme3_human(display_long)|uniprotkb:PSME3(gene name)|psi-mi:PSME3(display_short)|uniprotkb:Proteasome activator 28 subunit gamma(gene name synonym)|uniprotkb:Activator of multicatalytic protease subunit 3(gene name synonym)|uniprotkb:11S regulator complex subunit gamma(gene name synonym)|uniprotkb:Ki nuclear autoantigen(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Sowa et al. (2009)	imex:IM-12079|pubmed:19615732	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2509989|imex:IM-12079-53	intact-miscore:0.53
