idA	idB	altIdsA	altIdsB	aliasesA	aliasesB	detectionMethod	firstAuthor	publicationIdentifiers	taxidA	taxidB	interactionType	sourceDatabase	interactionIdentifiers	confidence
uniprotkb:P15127	uniprotkb:D3ZFH5	intact:EBI-7472166|intact:MINT-1348005|uniprotkb:P97681	intact:EBI-21230719|ensembl:ENSRNOP00000036443.7	psi-mi:insr_rat(display_long)|uniprotkb:Insr(gene name)|psi-mi:Insr(display_short)	psi-mi:d3zfh5_rat(display_long)|uniprotkb:Itih2(gene name)|psi-mi:Itih2(display_short)	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	Boutchueng-Djidjou et al. (2017)	pubmed:30300385|imex:IM-26942|doi:10.1371/journal.pone.0205180	"taxid:10116(rat)|taxid:10116(""Rattus norvegicus (Rat)"")"	"taxid:10116(rat)|taxid:10116(""Rattus norvegicus (Rat)"")"	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-21294932|imex:IM-26942-8	intact-miscore:0.35
uniprotkb:Q09472	uniprotkb:Q06033	intact:EBI-447295|intact:EBI-3908041|uniprotkb:B1AKC2|intact:EBI-28987257|ensembl:ENSP00000263253.7|ensembl:ENSP00000520505.1	intact:EBI-3929079|uniprotkb:Q53F06|uniprotkb:Q99085|uniprotkb:Q6LAM2|uniprotkb:Q3B7H5|ensembl:ENSP00000415769.2	psi-mi:ep300_human(display_long)|uniprotkb:Histone butyryltransferase p300(gene name synonym)|uniprotkb:Histone crotonyltransferase p300(gene name synonym)|uniprotkb:Protein propionyltransferase p300(gene name synonym)|uniprotkb:EP300(gene name)|psi-mi:EP300(display_short)|uniprotkb:P300(gene name synonym)|uniprotkb:E1A-associated protein p300(gene name synonym)|uniprotkb:Protein 2-hydroxyisobutyryltransferase p300(gene name synonym)|uniprotkb:Protein lactyltransferas p300(gene name synonym)	psi-mi:itih3_human(display_long)|uniprotkb:ITIH3(gene name)|psi-mi:ITIH3(display_short)|uniprotkb:Serum-derived hyaluronan-associated protein(gene name synonym)	"psi-mi:""MI:0018""(two hybrid)"	Wang et al. (2011)	imex:IM-15364|pubmed:21988832	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-3929077|imex:IM-15364-2113	intact-miscore:0.37
uniprotkb:O76096	uniprotkb:Q06033	intact:EBI-2807448|uniprotkb:Q6FH95|uniprotkb:Q9UED4|uniprotkb:Q7Z4J8|ensembl:ENSP00000420384.1	intact:EBI-3929079|uniprotkb:Q53F06|uniprotkb:Q99085|uniprotkb:Q6LAM2|uniprotkb:Q3B7H5|ensembl:ENSP00000415769.2	psi-mi:cytf_human(display_long)|uniprotkb:CST7(gene name)|psi-mi:CST7(display_short)|uniprotkb:Cystatin-7(gene name synonym)|uniprotkb:Cystatin-like metastasis-associated protein(gene name synonym)|uniprotkb:Leukocystatin(gene name synonym)	psi-mi:itih3_human(display_long)|uniprotkb:ITIH3(gene name)|psi-mi:ITIH3(display_short)|uniprotkb:Serum-derived hyaluronan-associated protein(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2021)	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54741972|imex:IM-29278-10415	intact-miscore:0.35
uniprotkb:Q06033	uniprotkb:P14625	intact:EBI-3929079|uniprotkb:Q53F06|uniprotkb:Q99085|uniprotkb:Q6LAM2|uniprotkb:Q3B7H5|ensembl:ENSP00000415769.2	intact:EBI-359129|uniprotkb:Q96A97|ensembl:ENSP00000299767.4	psi-mi:itih3_human(display_long)|uniprotkb:ITIH3(gene name)|psi-mi:ITIH3(display_short)|uniprotkb:Serum-derived hyaluronan-associated protein(gene name synonym)	psi-mi:enpl_human(display_long)|uniprotkb:HSP90B1(gene name)|psi-mi:HSP90B1(display_short)|uniprotkb:TRA1(gene name synonym)|uniprotkb:Heat shock protein 90 kDa beta member 1(gene name synonym)|uniprotkb:94 kDa glucose-regulated protein(gene name synonym)|uniprotkb:GRP94(gene name synonym)|uniprotkb:gp96 homolog(gene name synonym)|uniprotkb:Tumor rejection antigen 1(gene name synonym)|uniprotkb:HSPC4(gene name synonym)|uniprotkb:Heat shock protein family C member 4(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2021)	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54755435|imex:IM-29278-11797	intact-miscore:0.35
uniprotkb:Q06033	uniprotkb:P53582	intact:EBI-3929079|uniprotkb:Q53F06|uniprotkb:Q99085|uniprotkb:Q6LAM2|uniprotkb:Q3B7H5|ensembl:ENSP00000415769.2	intact:EBI-1051435|uniprotkb:B4E2E6|ensembl:ENSP00000296411.6	psi-mi:itih3_human(display_long)|uniprotkb:ITIH3(gene name)|psi-mi:ITIH3(display_short)|uniprotkb:Serum-derived hyaluronan-associated protein(gene name synonym)	psi-mi:map11_human(display_long)|uniprotkb:Peptidase M 1(gene name synonym)|uniprotkb:METAP1(gene name)|psi-mi:METAP1(display_short)|uniprotkb:KIAA0094(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2021)	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54755435|imex:IM-29278-11797	intact-miscore:0.35
uniprotkb:Q06033	uniprotkb:Q3ZCM7	intact:EBI-3929079|uniprotkb:Q53F06|uniprotkb:Q99085|uniprotkb:Q6LAM2|uniprotkb:Q3B7H5|ensembl:ENSP00000415769.2	intact:EBI-302558|intact:EBI-1390656|uniprotkb:Q5SQX9|uniprotkb:Q8WZ78|ensembl:ENSP00000456206.2	psi-mi:itih3_human(display_long)|uniprotkb:ITIH3(gene name)|psi-mi:ITIH3(display_short)|uniprotkb:Serum-derived hyaluronan-associated protein(gene name synonym)	psi-mi:tbb8_human(display_long)|uniprotkb:TUBB8(gene name)|psi-mi:TUBB8(display_short)|uniprotkb:Tubulin beta 8 class VIII(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2021)	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54755435|imex:IM-29278-11797	intact-miscore:0.35
uniprotkb:Q06033	uniprotkb:Q70UQ0	intact:EBI-3929079|uniprotkb:Q53F06|uniprotkb:Q99085|uniprotkb:Q6LAM2|uniprotkb:Q3B7H5|ensembl:ENSP00000415769.2	intact:EBI-2557212|uniprotkb:Q96ND2|uniprotkb:Q86V91|uniprotkb:Q6ZWH4|uniprotkb:Q70UP9|ensembl:ENSP00000343471.2	psi-mi:itih3_human(display_long)|uniprotkb:ITIH3(gene name)|psi-mi:ITIH3(display_short)|uniprotkb:Serum-derived hyaluronan-associated protein(gene name synonym)	psi-mi:ikip_human(display_long)|uniprotkb:IKIP(gene name synonym)|uniprotkb:IKBIP(gene name)|psi-mi:IKBIP(display_short)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2021)	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54755435|imex:IM-29278-11797	intact-miscore:0.35
uniprotkb:Q06033	uniprotkb:Q8N1G4	intact:EBI-3929079|uniprotkb:Q53F06|uniprotkb:Q99085|uniprotkb:Q6LAM2|uniprotkb:Q3B7H5|ensembl:ENSP00000415769.2	intact:EBI-2509921|uniprotkb:Q9ULN5|ensembl:ENSP00000367498.1	psi-mi:itih3_human(display_long)|uniprotkb:ITIH3(gene name)|psi-mi:ITIH3(display_short)|uniprotkb:Serum-derived hyaluronan-associated protein(gene name synonym)	psi-mi:lrc47_human(display_long)|uniprotkb:LRRC47(gene name)|psi-mi:LRRC47(display_short)|uniprotkb:KIAA1185(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2021)	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54755435|imex:IM-29278-11797	intact-miscore:0.35
uniprotkb:Q06033	uniprotkb:Q96J42	intact:EBI-3929079|uniprotkb:Q53F06|uniprotkb:Q99085|uniprotkb:Q6LAM2|uniprotkb:Q3B7H5|ensembl:ENSP00000415769.2	intact:EBI-2908241|uniprotkb:Q96MT2|uniprotkb:Q9H639|intact:EBI-28986412|uniprotkb:D3DQA9|ensembl:ENSP00000351157.5	psi-mi:itih3_human(display_long)|uniprotkb:ITIH3(gene name)|psi-mi:ITIH3(display_short)|uniprotkb:Serum-derived hyaluronan-associated protein(gene name synonym)	psi-mi:txd15_human(display_long)|uniprotkb:TXNDC15(gene name)|psi-mi:TXNDC15(display_short)|uniprotkb:C5orf14(gene name synonym)|uniprotkb:UNQ335/PRO534(orf name)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2021)	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54755435|imex:IM-29278-11797	intact-miscore:0.35
uniprotkb:P98066	uniprotkb:Q06033	intact:EBI-11700693|uniprotkb:Q53TI7|uniprotkb:Q8WWI9|ensembl:ENSP00000243347.3	intact:EBI-3929079|uniprotkb:Q53F06|uniprotkb:Q99085|uniprotkb:Q6LAM2|uniprotkb:Q3B7H5|ensembl:ENSP00000415769.2	psi-mi:tsg6_human(display_long)|uniprotkb:TSG6(gene name synonym)|uniprotkb:TNFAIP6(gene name)|psi-mi:TNFAIP6(display_short)|uniprotkb:Hyaluronate-binding protein(gene name synonym)|uniprotkb:TNF-stimulated gene 6 protein(gene name synonym)|uniprotkb:Tumor necrosis factor alpha-induced protein 6(gene name synonym)	psi-mi:itih3_human(display_long)|uniprotkb:ITIH3(gene name)|psi-mi:ITIH3(display_short)|uniprotkb:Serum-derived hyaluronan-associated protein(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2021)	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54951252|imex:IM-29278-23631	intact-miscore:0.35
