PartnerUniProtID,Publications
A6NI15,imex:IM-25472|pubmed:32296183
D6RGG3,imex:IM-24272|pubmed:26496610
K7EMM4,imex:IM-24272|pubmed:26496610
O00534,doi:10.1016/j.cell.2021.04.011|imex:IM-25472|imex:IM-29278|pubmed:32296183|pubmed:33961781
O14936,pubmed:15694377
O43824,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O75564,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O75925,imex:IM-24272|pubmed:26496610
O94763,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P06396,doi:10.1016/j.celrep.2020.108050|imex:IM-28217|pubmed:32814053
P0CG47,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P11908,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P13349,imex:IM-25472|pubmed:32296183
P15173,imex:IM-25472|pubmed:32296183
P15884,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-15364|imex:IM-25778|imex:IM-29278|pubmed:21988832|pubmed:28514442|pubmed:33961781
P15884-3,imex:IM-25472|pubmed:32296183
P15923,imex:IM-24272|pubmed:26496610
P15923-1,imex:IM-19434|pubmed:10915743
P15923-2,imex:IM-24272|pubmed:26496610
P15923-3,imex:IM-25472|pubmed:32296183
P22607,doi:10.1016/j.celrep.2020.108050|imex:IM-28217|pubmed:32814053
P28329-3,doi:10.1016/j.celrep.2020.108050|imex:IM-28217|pubmed:32814053
P40424,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P40425,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P40426,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P41134,doi:10.1016/j.cell.2010.01.044|doi:10.1016/j.cell.2021.04.011|doi:10.1016/j.celrep.2020.108050|doi:10.1242/jcs.233395|imex:IM-14939|imex:IM-15364|imex:IM-19434|imex:IM-22632|imex:IM-24272|imex:IM-25472|imex:IM-25805|imex:IM-28217|imex:IM-28774|imex:IM-29278|pubmed:10915743|pubmed:15694377|pubmed:17855368|pubmed:17891176|pubmed:20211142|pubmed:21988832|pubmed:25814554|pubmed:26496610|pubmed:31391242|pubmed:32296183|pubmed:32814053|pubmed:33961781
P41134-1,pubmed:15694377
P41134-2,doi:10.1038/nature22366|imex:IM-25778|pubmed:15694377|pubmed:28514442
P41223,imex:IM-24272|pubmed:26496610
P53618,imex:IM-15364|pubmed:21988832
P55036,imex:IM-14939|pubmed:17891176
P55347,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P56962,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P61764,imex:IM-24272|pubmed:26496610
P62158,imex:IM-19867|pubmed:16512683
P83876,imex:IM-24272|pubmed:26496610
Q00013-3,imex:IM-24272|pubmed:26496610
Q02577,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q03135,pubmed:17855368
Q16401,imex:IM-24272|pubmed:26496610
Q5T200,imex:IM-24272|pubmed:26496610
Q6FHY5,imex:IM-25472|pubmed:32296183
Q6SPF0,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q6XD76,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q7L0Y3,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q7Z333,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q7Z699,doi:10.1016/j.celrep.2020.108050|imex:IM-28217|pubmed:32814053
Q86W42,imex:IM-24272|pubmed:26496610
Q86WJ1,imex:IM-24272|pubmed:26496610
Q8BW96,imex:IM-19867|pubmed:16512683
Q8NFJ9,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q92785,imex:IM-24272|pubmed:26496610
Q969Q1,doi:10.1242/jcs.233395|imex:IM-25805|pubmed:31391242
Q96BD6,imex:IM-25472|pubmed:32296183
Q96ES7,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q96JB3,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q96KN3,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q96MH2,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q99081,doi:10.1016/j.cell.2010.01.044|imex:IM-24272|imex:IM-28774|pubmed:20211142|pubmed:26496610
Q99081-3,imex:IM-25472|pubmed:32296183
Q9BQ90,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9BS26,imex:IM-24272|pubmed:26496610
Q9BUB5-2,imex:IM-24272|pubmed:26496610
Q9BX63,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9BYV6,doi:10.1242/jcs.233395|imex:IM-25805|pubmed:31391242
Q9H3S7,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9H6U6,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9H792,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9NQ33,imex:IM-25472|pubmed:32296183
Q9NRG1,imex:IM-25472|pubmed:32296183
Q9NS37,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9NTJ4,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9NUX5,imex:IM-24272|pubmed:26496610
Q9NVV4,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9NWZ5,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9NX01,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9NXL9,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9UBV7,imex:IM-24272|pubmed:26496610
Q9UEY8,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9UH62,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9UJA3,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9UKG1,imex:IM-22632|pubmed:25814554
Q9Y3X0,imex:IM-24272|pubmed:26496610
Q9Y4E8,imex:IM-24272|pubmed:26496610
Q9Y649,doi:10.1016/j.celrep.2020.108050|imex:IM-28217|pubmed:32814053
Q9Y6K9,doi:10.1016/j.cell.2010.01.044|imex:IM-28774|pubmed:20211142
intact:EBI-22617209,imex:IM-25472|pubmed:32296183
