PartnerUniProtID,Publications
A0A1D6IB58,imex:IM-29553|pubmed:36581701
A0A1D6K1W3,imex:IM-29553|pubmed:36581701
A0A1D6M7Z6,imex:IM-29553|pubmed:36581701
A1ZAX1,imex:IM-20442|pubmed:17392269
A2A3N6,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
B9DGI8,imex:IM-30532|pubmed:38884001
E9Q4K7,imex:IM-24272|pubmed:26496610
F8VQC1,imex:IM-24272|pubmed:26496610
O00429,doi:10.1016/j.cels.2017.10.010|imex:IM-26363|pubmed:29128334
O02056,imex:IM-16523|mint:MINT-5216848|pubmed:14704431
O02195,imex:IM-20442|pubmed:17392269
O14649,imex:IM-29540|pubmed:36012204
O15372,imex:IM-12079|pubmed:19615732
O15460-2,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
O15524,imex:IM-26434|pubmed:31980649
O43493,imex:IM-26301|pubmed:29568061
O43900,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
O75807,imex:IM-23248|pubmed:29109149
O75821,imex:IM-30059|pubmed:39251607
O75822,imex:IM-25472|pubmed:32296183
O75940,imex:IM-30059|pubmed:39251607
O89033,imex:IM-24272|pubmed:26496610
O95985,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P00533,imex:IM-26434|pubmed:31980649
P01112,imex:IM-30494|pubmed:35839996
P02407,pubmed:16429126
P02792,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P02994,pubmed:16429126
P03348,imex:IM-24060|pubmed:21543480
P04147,imex:IM-29638|pubmed:37070168
P04626,imex:IM-30532|pubmed:38884001
P05317,pubmed:16429126
P05737,pubmed:16429126
P07259,pubmed:16429126
P08922,imex:IM-29494|pubmed:35384245
P0C2I0,pubmed:16429126
P0DOF2,imex:IM-27674|pubmed:33208464
P0DTD1-PRO_0000449619,imex:IM-28299|pubmed:32680882
P10114,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P10591,pubmed:19536198
P10592,pubmed:16429126
P10664,pubmed:16429126
P11484,pubmed:16429126
P11717,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P13010,imex:IM-24272|pubmed:26496610
P13569,imex:IM-29540|pubmed:36012204
P14126,pubmed:16429126
P15108,pubmed:16429126
P15408,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
P16140,pubmed:16429126
P17079,pubmed:16429126
P17980,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
P19320,imex:IM-17358|pubmed:22623428
P21802,imex:IM-29494|pubmed:35384245
P23248,pubmed:16429126
P24385,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
P24783,pubmed:16429126
P26196,imex:IM-30059|pubmed:39251607
P26321,pubmed:16429126
P26786,pubmed:16429126
P27635,imex:IM-24272|pubmed:26496610
