PartnerUniProtID,Publications
A0A1D6EH81,imex:IM-29553|pubmed:36581701
A0A1D6F8W7,imex:IM-29553|pubmed:36581701
A0A1D6FBR8,imex:IM-29553|pubmed:36581701
A0A1D6FR26,imex:IM-29553|pubmed:36581701
A0A1D6FVH3,imex:IM-29553|pubmed:36581701
A0A1D6GTQ2,imex:IM-29553|pubmed:36581701
A0A1D6HW66,imex:IM-29553|pubmed:36581701
A0A1D6INZ6,imex:IM-29553|pubmed:36581701
A0A1D6J2Q8,imex:IM-29553|pubmed:36581701
A0A1D6JLG7,imex:IM-29553|pubmed:36581701
A0A1D6JMS0,imex:IM-29553|pubmed:36581701
A0A1D6KQP9,imex:IM-29553|pubmed:36581701
A0A1D6L690,imex:IM-29553|pubmed:36581701
A0A1D6M2D7,imex:IM-29553|pubmed:36581701
A0A1D6MM43,imex:IM-29553|pubmed:36581701
A0A1D6MNA1,imex:IM-29553|pubmed:36581701
A0A1D6MQV4,imex:IM-29553|pubmed:36581701
A0A1D6N4I8,imex:IM-29553|pubmed:36581701
A0A1D6N949,imex:IM-29553|pubmed:36581701
A0A1D6NKX3,imex:IM-29553|pubmed:36581701
A0A1D6NR73,imex:IM-29553|pubmed:36581701
A0A1D6PTV9,imex:IM-29553|pubmed:36581701
A0A1D6PU15,imex:IM-29553|pubmed:36581701
A0A1D6PUT5,imex:IM-29553|pubmed:36581701
A0A1D6Q253,imex:IM-29553|pubmed:36581701
A0A1D6QAL1,imex:IM-29553|pubmed:36581701
A0A1D6QV85,imex:IM-29553|pubmed:36581701
A1A4Y4,imex:IM-30012|pubmed:34524948
A1ZBJ8,imex:IM-16524|mint:MINT-5216804|pubmed:14605208
A6ZKI3,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
B2Y833,imex:IM-16532|pubmed:21575865
B4F8H7,imex:IM-29553|pubmed:36581701
B4FCS1,imex:IM-29553|pubmed:36581701
B4FMV3,imex:IM-29553|pubmed:36581701
B4FQX1,imex:IM-29553|pubmed:36581701
B4FSK3,imex:IM-29553|pubmed:36581701
B4FSQ4,imex:IM-29553|pubmed:36581701
B4FT00,imex:IM-29553|pubmed:36581701
B4FXB2,imex:IM-29553|pubmed:36581701
B4G1Q1,imex:IM-29553|pubmed:36581701
B4G221,imex:IM-29553|pubmed:36581701
B6SIS5,imex:IM-29553|pubmed:36581701
B6SJC8,imex:IM-29553|pubmed:36581701
B6SLW1,imex:IM-29553|pubmed:36581701
B6SP02,imex:IM-29553|pubmed:36581701
B6SVJ8,imex:IM-29553|pubmed:36581701
B6T8U0,imex:IM-29553|pubmed:36581701
B6TB84,imex:IM-29553|pubmed:36581701
B6TBL1,imex:IM-29553|pubmed:36581701
B6TGS7,imex:IM-29553|pubmed:36581701
B6TW91,imex:IM-29553|pubmed:36581701
B6U0J7,imex:IM-29553|pubmed:36581701
B8A045,imex:IM-29553|pubmed:36581701
C0P3F0,imex:IM-29553|pubmed:36581701
C0P4V0,imex:IM-29553|pubmed:36581701
C0PLU8,imex:IM-29553|pubmed:36581701
C4J6V7,imex:IM-29553|pubmed:36581701
E7FI45,imex:IM-12113|pubmed:19945378
F5H1C8,imex:IM-26691|pubmed:30833792
K7TDY4,imex:IM-29553|pubmed:36581701
K7UH13,imex:IM-29553|pubmed:36581701
K7UI56,imex:IM-29553|pubmed:36581701
K7UQP3,imex:IM-29553|pubmed:36581701
K7UST5,imex:IM-29553|pubmed:36581701
K7V8M7,imex:IM-29553|pubmed:36581701
K7VQD7,imex:IM-29553|pubmed:36581701
M9NFI9,imex:IM-16527|pubmed:25294943
O00221,mint:MINT-5216883|pubmed:14743216
O13563,pubmed:16429126
O13585,pubmed:16429126
O14733,doi:10.1016/j.molcel.2020.07.001|imex:IM-29257|pubmed:32707033
O14829,imex:IM-25671|pubmed:28330616
O15027,imex:IM-24272|pubmed:26496610
O15178,imex:IM-28767|pubmed:35140242
O15524,imex:IM-26434|pubmed:31980649
O24560,imex:IM-29553|pubmed:36581701
O25045,imex:IM-22256|pubmed:24627523
O43318-2,mint:MINT-5216883|pubmed:14743216
O60806,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O61307,imex:IM-16527|pubmed:25294943
O69292,pubmed:17615063
O75143,imex:IM-30012|pubmed:34524948
O75368,imex:IM-26434|pubmed:31980649
O94925-3,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
O95166,imex:IM-15184|pubmed:20562859
P00546,pubmed:16429126
P00812,imex:IM-19025|pubmed:12679340|pubmed:16429126
P00815,pubmed:16429126
P00899,pubmed:16429126
P00927,pubmed:16429126
P00937,pubmed:16429126
P00958,pubmed:16429126
P02293,pubmed:16429126
P02309,pubmed:16429126
P02829,pubmed:19536198
P02992,pubmed:16429126
P02994,pubmed:16429126
P03372,imex:IM-23333|imex:IM-26954|pubmed:25604459|pubmed:31527615
P03965,pubmed:16429126
P04451,pubmed:16429126
P04629,imex:IM-29494|pubmed:35384245
P04802,pubmed:16429126
P04803,pubmed:16429126
P04819,pubmed:16429126
P04840,pubmed:16429126
P04912,pubmed:16429126
P05453,imex:IM-29638|pubmed:37070168
P06102,pubmed:16429126
P06241,imex:IM-26434|pubmed:31980649
P06633,pubmed:16429126
P06634,pubmed:16429126
P06700,pubmed:16429126
P06839,pubmed:16429126
P07244,pubmed:16429126
P07246,pubmed:16429126
P07260,pubmed:16429126
P07262,pubmed:16429126
P07279,pubmed:16429126
P07283,pubmed:16429126
P07342,pubmed:16429126
P07347,pubmed:16429126
P07437,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P07604,pubmed:16606699
P08047,imex:IM-28767|pubmed:35140242
P09032,pubmed:16429126
P09435,pubmed:19536198
P09440,pubmed:16429126
P09734,pubmed:16429126
P09769,imex:IM-26434|pubmed:31980649
P09798,pubmed:16429126
P09959,pubmed:16429126
P0A7F3,imex:IM-18898|imex:IM-22059|pubmed:10651286|pubmed:10891088|pubmed:15014067|pubmed:15157075|pubmed:15157076|pubmed:15288791|pubmed:16858726|pubmed:24561554
P0A8W8,pubmed:16606699
P0ACP7,pubmed:16606699
P0AFK0,pubmed:16606699
P0AG44,pubmed:16606699
P0CI39,pubmed:16429126
P0DOE9,imex:IM-15828|pubmed:22593156
P0DOF2,imex:IM-27674|pubmed:33208464
P10081,pubmed:16429126
P10507,pubmed:16429126
P10591,imex:IM-18714|pubmed:16429126|pubmed:19536198|pubmed:23217712
P10592,pubmed:19536198
P10659,pubmed:16429126
P10662,pubmed:16429126
P10907,pubmed:16606699
P11021,imex:IM-24272|pubmed:26496610
P11353,pubmed:16429126
P11433,pubmed:16429126
P11484,pubmed:19536198
P11632,pubmed:16429126
P11745,pubmed:16429126
P12385,pubmed:16429126
P12688,pubmed:16429126
P12695,pubmed:16429126
P12754,pubmed:16429126
P12931,imex:IM-26434|pubmed:31980649
P13393,pubmed:16429126
P13433,pubmed:16429126
P13569,imex:IM-27204|imex:IM-29540|pubmed:29924966|pubmed:36012204
P13663,pubmed:16429126
P14164,pubmed:16429126
P14741,pubmed:16429126
P14906,pubmed:19536198
P15442,pubmed:16429126
P15498,imex:IM-26434|pubmed:31980649
P15705,pubmed:16429126
P15790,pubmed:16429126
P15992,pubmed:16429126
P16387,pubmed:16429126
P16550,pubmed:16429126
P17028,imex:IM-13779|pubmed:20711500
P17423,pubmed:16429126
P17442,pubmed:16429126
P18562,pubmed:16429126
P18843,pubmed:16606699
P18851,pubmed:16429126
P19146,pubmed:16429126
P19262,pubmed:16429126
P19263,pubmed:16429126
P19320,imex:IM-17358|pubmed:22623428
P19419,imex:IM-26434|pubmed:31980649
P19438,mint:MINT-5216883|pubmed:14743216
