Count;InterProID;pubmeds;Name;ShortDescription
81;IPR036034;"doi:10.1038/s41467-022-33018-0
imex:IM-15154
imex:IM-30294
imex:IM-9475
pubmed:19423573
pubmed:22174833
pubmed:36115835
pubmed:9502797";PDZ superfamily;<p>PDZ domains (also known as Discs-large homologous regions (DHR) or GLGF)) are found in diverse signalling proteins in bacteria, yeasts, plants, insects and vertebrates [[cite:PUB00005049], [cite:PUB00000735]]. PDZ domains can occur in one or multiple copies and are nearly always found in cytoplasmic proteins. They bind either the carboxyl-terminal sequences of proteins or internal peptide sequences [[cite:PUB00000735]]. In most cases, interaction between a PDZ domain and its target is constitutive, with a binding affinity of 1 to 10 microns. However, agonist-dependent activation of cell surface receptors is sometimes required to promote interaction with a PDZ protein. PDZ domain proteins are frequently associated with the plasma membrane, a compartment where high concentrations of phosphatidylinositol 4,5-bisphosphate (PIP2) are found. Direct interaction between PIP2 and a subset of class II PDZ domains (syntenin, CASK, Tiam-1) has been demonstrated.</p>
78;IPR001478;"doi:10.1038/s41467-022-33018-0
imex:IM-15154
imex:IM-30294
imex:IM-9475
pubmed:19423573
pubmed:22174833
pubmed:36115835
pubmed:9502797";PDZ domain;<p>PDZ domains (also known as Discs-large homologous regions (DHR) or GLGF)) are found in diverse signalling proteins in bacteria, yeasts, plants, insects and vertebrates [[cite:PUB00005049], [cite:PUB00000735]]. PDZ domains can occur in one or multiple copies and are nearly always found in cytoplasmic proteins. They bind either the carboxyl-terminal sequences of proteins or internal peptide sequences [[cite:PUB00000735]]. In most cases, interaction between a PDZ domain and its target is constitutive, with a binding affinity of 1 to 10 microns. However, agonist-dependent activation of cell surface receptors is sometimes required to promote interaction with a PDZ protein. PDZ domain proteins are frequently associated with the plasma membrane, a compartment where high concentrations of phosphatidylinositol 4,5-bisphosphate (PIP2) are found. Direct interaction between PIP2 and a subset of class II PDZ domains (syntenin, CASK, Tiam-1) has been demonstrated.</p>
32;IPR027417;"doi:10.1038/s41467-022-33018-0
imex:IM-11875
imex:IM-15154
imex:IM-30294
imex:IM-9475
pubmed:17610306
pubmed:19423573
pubmed:22174833
pubmed:36115835";P-loop containing nucleoside triphosphate hydrolase;"<p>The P-loop NTPase fold is the most prevalent domain of the several distinct nucleotide-binding protein folds.</p>

<p>The most common reaction catalysed by enzymes of the P-loop NTPase fold is the hydrolysis of the beta-gamma phosphate bond of a bound nucleoside triphosphate (NTP). The energy from NTP hydrolysis is typically utilised to induce conformational changes in other molecules, which constitutes the basis of the biological functions of most P-loop NTPases. P-loop NTPases show substantial substrate preference for either ATP or GTP [[cite:PUB00064266]].</p>"
25;Mus musculus;"IPR000194
IPR000362
IPR000573
IPR000793
IPR000796
IPR001030
IPR001041
IPR001100
IPR001189
IPR001236
IPR001252
IPR001557
IPR001844
IPR002155
IPR002423
IPR003593
IPR004000
IPR004001
IPR004099
IPR004100
IPR004434
IPR004489
IPR004838
IPR004839
IPR005294
IPR005475
IPR005677
IPR005722
IPR005809
IPR005811
IPR005814
IPR006058
IPR006095
IPR006096
IPR006097
IPR006109
IPR006168
IPR006248
IPR006258
IPR007863
IPR008927
IPR008948
IPR009014
IPR009051
IPR010061
IPR010097
IPR010164
IPR011128
IPR011249
IPR011761
IPR011765
IPR012675
IPR012725
IPR012999
IPR013126
IPR013328
IPR013650
IPR013815
IPR015421
IPR015422
IPR015424
IPR015590
IPR015928
IPR015931
IPR015932
IPR015955
IPR016039
IPR016102
IPR016156
IPR016160
IPR016161
IPR016162
IPR016163
IPR017751
IPR017866
IPR017896
IPR017900
IPR018136
IPR018181
IPR018370
IPR018951
IPR019818
IPR019831
IPR019832
IPR019833
IPR020003
IPR020557
IPR020610
IPR020613
IPR020615
IPR020616
IPR020617
IPR020902
IPR022383
IPR022761
IPR023366
IPR023753
IPR024034
IPR024083
IPR024084
IPR025192
IPR027110
IPR027409
IPR027410
IPR027413
IPR027417
IPR029047
IPR029048
IPR029061
IPR033199
IPR033248
IPR033524
IPR033732
IPR033922
IPR034722
IPR034723
IPR036008
IPR036010
IPR036121
IPR036188
IPR036291
IPR036314
IPR036324
IPR038376
IPR043129
IPR046346
IPR049704
IPR050053
IPR050103
IPR050151
IPR050265
IPR050361
IPR050573
IPR050926
IPR055190";;
17;IPR011992;"imex:IM-15154
imex:IM-9475
pubmed:19423573
pubmed:22174833";EF-hand domain pair;"<p>This domain superfamily consists of a duplication of two EF-hand units, where each unit is composed of two helices connected by a twelve-residue calcium-binding loop. The calcium ion in the EF-hand loop is coordinated in a pentagonal bipyramidal configuration. Many calcium-binding proteins contain an EF-hand-type calcium-binding domain [[cite:PUB00014021], [cite:PUB00014022]]. These include calbindin D9K; S100 proteins such as calcyclin, polcalcin phl p 7 (a calcium-binding pollen allergen), osteonectin, parvalbumin, and calmodulin [[cite:PUB00014032]] family of proteins (troponin C, caltractin, cdc4p, myosin essential chain, calcineurin, recoverin, and neurocalcin); the plasmodial-specific CaII-binding protein Cbp40; penta-EF-Hand proteins [[cite:PUB00014023]] (sorcin, grancalcin, and calpain); as well as multidomain proteins such as phosphoinositide-specific phospholipase C, dystrophin, Cb1, and alpha-actinin. The fold consists of four helices and an open array of two hairpins.</p>"
16;IPR011993;"doi:10.1038/s41467-022-33018-0
imex:IM-15154
imex:IM-30294
imex:IM-9475
pubmed:19423573
pubmed:22174833
pubmed:36115835";PH-like domain superfamily;"<p>This superfamily represents the PH domain and structurally related domains.</p>

<p>Pleckstrin homology (PH) domains are small modular domains that occur in a large variety of signalling proteins, where they serve as simple targeting domains that bind lipids [[cite:PUB00014130], [cite:PUB00014131], [cite:PUB00057291]].</p>

<p>PH domains have a partly opened β-barrel topology that is capped by an α-helix. The structure of PH domains is similar to the phosphotyrosine-binding domain (PTB) found in IRS-1 (insulin receptor substrate 1) [[cite:PUB00000936]], Shc adaptor and Numb [[cite:PUB00018031]]; to the Ran-binding domain, found in Nup nuclear pore complex and Ranbp1 [[cite:PUB00006171]]; to the Enabled/VASP homology domain 1 (EVH1 domain), found in Enabled, VASP (vasodilator-stimulated phosphoprotein), Homer and WASP actin regulatory protein [[cite:PUB00018222]]; and to the third domain of FERM, found in moesin, radixin, ezrin, merlin and talin [[cite:PUB00029080]].</p>"
16;IPR002048;"imex:IM-15154
imex:IM-9475
pubmed:19423573
pubmed:22174833";EF-hand domain;"<p>Many calcium-binding proteins belong to the same evolutionary family and share a type of calcium-binding domain known as the EF-hand. This type of domain consists of a twelve residue loop flanked on both sides by a twelve residue α-helical domain. In an EF-hand loop the calcium ion is coordinated in a pentagonal bipyramidal configuration. The six residues involved in the binding are in positions 1, 3, 5, 7, 9 and 12; these residues are denoted by X, Y, Z, -Y, -X and -Z. The invariant Glu or Asp at position 12 provides two oxygens for liganding Ca (bidentate ligand). Ca2 binding induces a conformational change in the EF-hand motif, leading to the activation or inactivation of target proteins. EF-hands tend to occur in pairs or higher copy numbers [[cite:PUB00023349], [cite:PUB00081528], [cite:PUB00004973], [cite:PUB00081532], [cite:PUB00081536]].</p>"
15;IPR036028;"doi:10.1038/s41467-022-33018-0
imex:IM-15154
imex:IM-30294
pubmed:10234050
pubmed:22174833
pubmed:36115835";SH3-like domain superfamily;"<p>SH3 (src Homology-3) domains are small protein modules containing approximately 50 amino acid residues [[cite:PUB00001025], [cite:PUB00007145]]. They are found in a great variety of intracellular or membrane-associated proteins [[cite:PUB00001644], [cite:PUB00005506], [cite:PUB00004203]] for example, in a variety of proteins with enzymatic activity, in adaptor proteins, such as fodrin and yeast actin binding protein ABP-1.</p>

<p>The SH3 domain has a characteristic fold which consists of five or six β-strands arranged as two tightly packed anti-parallel β-sheets. The linker regions may contain short helices. The surface of the SH3-domain bears a flat, hydrophobic ligand-binding pocket which consists of three shallow grooves defined by conservative aromatic residues in which the ligand adopts an extended left-handed helical arrangement. The ligand binds with low affinity but this may be enhanced by multiple interactions. The region bound by the SH3 domain is in all cases proline-rich and contains PXXP as a core-conserved binding motif. The function of the SH3 domain is not well understood but they may mediate many diverse processes such as increasing local concentration of proteins, altering their subcellular location and mediating the assembly of large multiprotein complexes [[cite:PUB00001031]].</p>; <p>The crystal structure of the SH3 domain of the cytoskeletal protein spectrin, and the solution structures of SH3 domains of phospholipase C (PLC-y) and phosphatidylinositol 3-kinase p85 alpha-subunit, have been determined [[cite:PUB00004135], [cite:PUB00000895], [cite:PUB00000887]]. In spite of relatively limited sequence similarity, their overall structures are similar. The domains belong to the α+β structural class, with five to eight β-strands forming 2 tightly-packed, anti-parallel β-sheets arranged in a barrel-like structure, and intervening loops sometimes forming helices. Conserved aliphatic and aromatic residues form a hydrophobic core (A11, L23, A29, V34, W42, L52 and V59 in PLC-y [[cite:PUB00000887]]) and a hydrophobic pocket on the molecular surface (L12, F13, W53 and P55 in PLC-y). The conserved core is believed to stabilise the fold, while the pocket is thought to serve as a binding site for target proteins. Conserved carboxylic amino acids located in the loops, on the periphery of the pocket (D14 and E22), may be involved in protein-protein interactions via proline-rich regions. The N- and C-terminal are packed in close proximity, indicating that they are independent structural modules.</p>"
15;IPR001452;"doi:10.1038/s41467-022-33018-0
imex:IM-15154
imex:IM-30294
pubmed:10234050
pubmed:22174833
pubmed:36115835";SH3 domain;"<p>SH3 (src Homology-3) domains are small protein modules containing approximately 50 amino acid residues [[cite:PUB00001025], [cite:PUB00007145]]. They are found in a great variety of intracellular or membrane-associated proteins [[cite:PUB00001644], [cite:PUB00005506], [cite:PUB00004203]] for example, in a variety of proteins with enzymatic activity, in adaptor proteins, such as fodrin and yeast actin binding protein ABP-1.</p>

<p>The SH3 domain has a characteristic fold which consists of five or six β-strands arranged as two tightly packed anti-parallel β-sheets. The linker regions may contain short helices. The surface of the SH3-domain bears a flat, hydrophobic ligand-binding pocket which consists of three shallow grooves defined by conservative aromatic residues in which the ligand adopts an extended left-handed helical arrangement. The ligand binds with low affinity but this may be enhanced by multiple interactions. The region bound by the SH3 domain is in all cases proline-rich and contains PXXP as a core-conserved binding motif. The function of the SH3 domain is not well understood but they may mediate many diverse processes such as increasing local concentration of proteins, altering their subcellular location and mediating the assembly of large multiprotein complexes [[cite:PUB00001031]].</p>; <p>The crystal structure of the SH3 domain of the cytoskeletal protein spectrin, and the solution structures of SH3 domains of phospholipase C (PLC-y) and phosphatidylinositol 3-kinase p85 alpha-subunit, have been determined [[cite:PUB00004135], [cite:PUB00000895], [cite:PUB00000887]]. In spite of relatively limited sequence similarity, their overall structures are similar. The domains belong to the α+β structural class, with five to eight β-strands forming 2 tightly-packed, anti-parallel β-sheets arranged in a barrel-like structure, and intervening loops sometimes forming helices. Conserved aliphatic and aromatic residues form a hydrophobic core (A11, L23, A29, V34, W42, L52 and V59 in PLC-y [[cite:PUB00000887]]) and a hydrophobic pocket on the molecular surface (L12, F13, W53 and P55 in PLC-y). The conserved core is believed to stabilise the fold, while the pocket is thought to serve as a binding site for target proteins. Conserved carboxylic amino acids located in the loops, on the periphery of the pocket (D14 and E22), may be involved in protein-protein interactions via proline-rich regions. The N- and C-terminal are packed in close proximity, indicating that they are independent structural modules.</p>"
15;IPR018247;"imex:IM-15154
imex:IM-9475
pubmed:19423573
pubmed:22174833";EF-Hand 1, calcium-binding site;"<p>This entry represents the complete EF-hand loop as well as the first residue which follows the loop and which seem to always be hydrophobic. Interestingly, positions 1 (X), 3 (Y) and 12 (-Z) are the most conserved. The 6th residue in an EF-hand loop is, in most cases a Gly, but the number of exceptions to this 'rule' has gradually increased, therefore, this signature pattern includes all the different residues which have been shown to exist in this position in functional Ca-binding sites. The pattern is known, in some cases, to miss one of the EF-hand regions in some proteins with multiple EF-hand domains.</p>; <p>Many calcium-binding proteins belong to the same evolutionary family and share a type of calcium-binding domain known as the EF-hand. This type of domain consists of a twelve residue loop flanked on both sides by a twelve residue α-helical domain. In an EF-hand loop the calcium ion is coordinated in a pentagonal bipyramidal configuration. The six residues involved in the binding are in positions 1, 3, 5, 7, 9 and 12; these residues are denoted by X, Y, Z, -Y, -X and -Z. The invariant Glu or Asp at position 12 provides two oxygens for liganding Ca (bidentate ligand). Ca2 binding induces a conformational change in the EF-hand motif, leading to the activation or inactivation of target proteins. EF-hands tend to occur in pairs or higher copy numbers [[cite:PUB00023349], [cite:PUB00081528], [cite:PUB00004973], [cite:PUB00081532], [cite:PUB00081536]].</p>"
