Count;InterProID;pubmeds;Name;ShortDescription
3;IPR000719;"doi:10.1126/science.1251358
doi:10.3389/fpls.2012.00124
imex:IM-26295
imex:IM-26362
imex:IM-29553
pubmed:22737156
pubmed:24833385
pubmed:36581701";Protein kinase domain;"<p>This entry represents the protein kinase domain containing the catalytic function of protein kinases [[cite:PUB00003569]]. This domain is found in serine/threonine-protein kinases, tyrosine-protein kinases and dual specificity protein kinases.</p>; <p>Eukaryotic protein kinases [[cite:PUB00003569], [cite:PUB00005115], [cite:PUB00015293], [cite:PUB00001530], [cite:PUB00003568]] are enzymes that belong to a very extensive family of proteins which share a conserved catalytic core common with both serine/threonine and tyrosine protein kinases. There are a number of conserved regions in the catalytic domain of protein kinases. In the N-terminal extremity of the catalytic domain there is a glycine-rich stretch of residues in the vicinity of a lysine residue, which has been shown to be involved in ATP binding. In the central part of the catalytic domain there is a conserved aspartic acid residue which is important for the catalytic activity of the enzyme [[cite:PUB00005145]].</p>; <p>Protein phosphorylation, which plays a key role in most cellular activities, is a reversible process mediated by protein kinases and phosphoprotein phosphatases. Protein kinases catalyse the transfer of the gamma phosphate from nucleotide triphosphates (often ATP) to one or more amino acid residues in a protein substrate side chain, resulting in a conformational change affecting protein function. Phosphoprotein phosphatases catalyse the reverse process. 
Protein kinases fall into three broad classes, characterised with respect to substrate specificity [[cite:PUB00005115]]:</p>

<ul>
<li>Serine/threonine-protein kinases</li>
<li>Tyrosine-protein kinases</li>
<li>Dual specificity protein kinases (e.g. MEK -phosphorylates both Thr and Tyr on target proteins)</li>
</ul>

<p>Protein kinase function is evolutionarily conserved from Escherichia coli to human [[cite:PUB00020114]]. Protein kinases play a role in a multitude of cellular processes, including division, proliferation, apoptosis, and differentiation [[cite:PUB00015362]]. Phosphorylation usually results in a functional change of the target protein by changing enzyme activity, cellular location, or association with other proteins. The catalytic subunits of protein kinases are highly conserved, and several structures have been solved [[cite:PUB00034898]], leading to large screens to develop kinase-specific inhibitors for the treatments of a number of diseases [[cite:PUB00034899]].</p>"
3;IPR017441;"doi:10.1126/science.1251358
doi:10.3389/fpls.2012.00124
imex:IM-26295
imex:IM-26362
imex:IM-29553
pubmed:22737156
pubmed:24833385
pubmed:36581701";Protein kinase, ATP binding site;"<p>Eukaryotic protein kinases [[cite:PUB00015293], [cite:PUB00001530], [cite:PUB00003568], [cite:PUB00003569], [cite:PUB00005115]] are enzymes that belong to a very extensive family of proteins which share a conserved catalytic core common with both serine/threonine and tyrosine protein kinases. There are a number of conserved regions in the catalytic domain of protein kinases.</p>
<p>This entry represents a conserved site, which is located in the N-terminal extremity of the catalytic domain, where there is a glycine-rich stretch of residues in the vicinity of a lysine residue. It is this lysine residue that has been shown to be involved in ATP binding.</p>; <p>Protein phosphorylation, which plays a key role in most cellular activities, is a reversible process mediated by protein kinases and phosphoprotein phosphatases. Protein kinases catalyse the transfer of the gamma phosphate from nucleotide triphosphates (often ATP) to one or more amino acid residues in a protein substrate side chain, resulting in a conformational change affecting protein function. Phosphoprotein phosphatases catalyse the reverse process. 
Protein kinases fall into three broad classes, characterised with respect to substrate specificity [[cite:PUB00005115]]:</p>

<ul>
<li>Serine/threonine-protein kinases</li>
<li>Tyrosine-protein kinases</li>
<li>Dual specificity protein kinases (e.g. MEK -phosphorylates both Thr and Tyr on target proteins)</li>
</ul>

<p>Protein kinase function is evolutionarily conserved from Escherichia coli to human [[cite:PUB00020114]]. Protein kinases play a role in a multitude of cellular processes, including division, proliferation, apoptosis, and differentiation [[cite:PUB00015362]]. Phosphorylation usually results in a functional change of the target protein by changing enzyme activity, cellular location, or association with other proteins. The catalytic subunits of protein kinases are highly conserved, and several structures have been solved [[cite:PUB00034898]], leading to large screens to develop kinase-specific inhibitors for the treatments of a number of diseases [[cite:PUB00034899]].</p>"
3;IPR011009;"doi:10.1126/science.1251358
doi:10.3389/fpls.2012.00124
imex:IM-26295
imex:IM-26362
imex:IM-29553
pubmed:22737156
pubmed:24833385
pubmed:36581701";Protein kinase-like domain superfamily;"<p>This entry represents the protein kinase domain superfamily containing the catalytic function of protein kinases. This domain is found in serine/threonine-protein kinases, tyrosine-protein kinases and dual-specificity protein kinases. Protein kinases ([interpro:IPR000719]) modify other proteins by chemically adding phosphate groups to them. This process is fundamental to most signalling and regulatory processes in the eukaryotic cell [[cite:PUB00014025]].</p>; <p>Eukaryotic protein kinases [[cite:PUB00003569], [cite:PUB00005115], [cite:PUB00015293], [cite:PUB00001530], [cite:PUB00003568]] are enzymes that belong to a very extensive family of proteins which share a conserved catalytic core common with both serine/threonine and tyrosine protein kinases. There are a number of conserved regions in the catalytic domain of protein kinases. In the N-terminal extremity of the catalytic domain there is a glycine-rich stretch of residues in the vicinity of a lysine residue, which has been shown to be involved in ATP binding. In the central part of the catalytic domain there is a conserved aspartic acid residue which is important for the catalytic activity of the enzyme [[cite:PUB00005145]].</p>; <p>Protein phosphorylation, which plays a key role in most cellular activities, is a reversible process mediated by protein kinases and phosphoprotein phosphatases. Protein kinases catalyse the transfer of the gamma phosphate from nucleotide triphosphates (often ATP) to one or more amino acid residues in a protein substrate side chain, resulting in a conformational change affecting protein function. Phosphoprotein phosphatases catalyse the reverse process. 
Protein kinases fall into three broad classes, characterised with respect to substrate specificity [[cite:PUB00005115]]:</p>

<ul>
<li>Serine/threonine-protein kinases</li>
<li>Tyrosine-protein kinases</li>
<li>Dual specificity protein kinases (e.g. MEK -phosphorylates both Thr and Tyr on target proteins)</li>
</ul>

<p>Protein kinase function is evolutionarily conserved from Escherichia coli to human [[cite:PUB00020114]]. Protein kinases play a role in a multitude of cellular processes, including division, proliferation, apoptosis, and differentiation [[cite:PUB00015362]]. Phosphorylation usually results in a functional change of the target protein by changing enzyme activity, cellular location, or association with other proteins. The catalytic subunits of protein kinases are highly conserved, and several structures have been solved [[cite:PUB00034898]], leading to large screens to develop kinase-specific inhibitors for the treatments of a number of diseases [[cite:PUB00034899]].</p>"
3;IPR008271;"doi:10.1126/science.1251358
doi:10.3389/fpls.2012.00124
imex:IM-26295
imex:IM-26362
imex:IM-29553
pubmed:22737156
pubmed:24833385
pubmed:36581701";Serine/threonine-protein kinase, active site;"<p>Eukaryotic protein kinases [[cite:PUB00001530], [cite:PUB00003568], [cite:PUB00003569], [cite:PUB00005115]] are enzymes that belong to a very extensive family of proteins which share a conserved catalytic core common with both serine/threonine and tyrosine protein kinases. There are a number of conserved regions in the catalytic domain of protein kinases. In the N-terminal extremity of the catalytic domain there is a glycine-rich stretch of residues in the vicinity of a lysine residue, which has been shown to be involved in ATP binding. In the central part of the catalytic domain there is a conserved aspartic acid residue, which is important for the catalytic activity of the enzyme [[cite:PUB00005145]].</p>

<p>This entry represents a conserved region that surrounds the active site aspartate residue and it is more specific for serine/threonine protein kinases. It also matches several dual-specificity protein kinases and members of WEE kinase family that are bona fide tyrosine protein kinases.</p>; <p>Protein phosphorylation, which plays a key role in most cellular activities, is a reversible process mediated by protein kinases and phosphoprotein phosphatases. Protein kinases catalyse the transfer of the gamma phosphate from nucleotide triphosphates (often ATP) to one or more amino acid residues in a protein substrate side chain, resulting in a conformational change affecting protein function. Phosphoprotein phosphatases catalyse the reverse process. 
Protein kinases fall into three broad classes, characterised with respect to substrate specificity [[cite:PUB00005115]]:</p>

<ul>
<li>Serine/threonine-protein kinases</li>
<li>Tyrosine-protein kinases</li>
<li>Dual specificity protein kinases (e.g. MEK -phosphorylates both Thr and Tyr on target proteins)</li>
</ul>

<p>Protein kinase function is evolutionarily conserved from Escherichia coli to human [[cite:PUB00020114]]. Protein kinases play a role in a multitude of cellular processes, including division, proliferation, apoptosis, and differentiation [[cite:PUB00015362]]. Phosphorylation usually results in a functional change of the target protein by changing enzyme activity, cellular location, or association with other proteins. The catalytic subunits of protein kinases are highly conserved, and several structures have been solved [[cite:PUB00034898]], leading to large screens to develop kinase-specific inhibitors for the treatments of a number of diseases [[cite:PUB00034899]].</p>"
3;IPR036291;"doi:10.1126/science.1251358
imex:IM-26362
pubmed:17615063
pubmed:24833385";NAD(P)-binding domain superfamily;"<p>This entry represents NAD- and NADP-binding domains superfamily with a core Rossmann-type fold, which consists of three layers (α/β/α) with parallel β-sheet of 6 strands. Many different enzymes contain an NAD/NADP-binding domain, including:</p>

<ul>
<li>C-terminal domain of alcohol dehydrogenases [[cite:PUB00031657]]</li>
<li>Tyrosine-dependent oxidoreductases (also known as short-chain dehydrogenases) [[cite:PUB00000446]]</li>
<li>N-terminal domain of glyceraldehyde-3-phosphate dehydrogenase [[cite:PUB00023536]]</li>
<li>NAD-binding domain of formate/glycerate dehydrogenases [[cite:PUB00032846]]</li>
<li>N-terminal domain of sirohaem synthase [[cite:PUB00029889]]</li>
<li>N-terminal domain of lactate dehydrogenase [[cite:PUB00025866]]</li>
<li>N-terminal domain of 6-phosphogluconate dehydrogenase (the β-sheet is extended to 8 strands) [[cite:PUB00041823]]</li>
<li>C-terminal domain of amino acid dehydrogenases (an extra N-terminal helix displaces the C-terminal helix [[cite:PUB00025375]]</li>
<li>NAD-binding domain of certain potassium channels [[cite:PUB00025981]]</li>
<li>C-terminal domain of the transcriptional repressor Rex [[cite:PUB00032388]]</li>
<li>Ornithine cyclodeaminase [[cite:PUB00031693]]</li>
<li>CoA-binding N-terminal domain of the alpha chain of succinyl-CoA synthetase [[cite:PUB00015984]]</li>
</ul>"
3;IPR036249;"doi:10.1126/science.1251358
imex:IM-26362
imex:IM-29553
pubmed:17615063
pubmed:24833385
pubmed:36581701";Thioredoxin-like superfamily;"<p>This entry represents the Thioredoxin-like superfamily which brings together a diverse group of proteins that play crucial roles in various cellular processes, particularly in redox reactions [[cite:PUB00160392], [cite:PUB00160393]]. This superfamily is characterised by two key features:</p>

<ul><li>A conserved Cys-X-X-Cys (CXXC) motif at the active site, located at the N-terminal of an α-helix.</li>
<li>A distinctive structural fold known as the ""thioredoxin fold,"" consisting of a central four-stranded mixed β-sheet, surrounded by α-helices, with a strand order: 2134 in which strand 3 is antiparallel to the others.</li></ul>

<p>In a redox reaction, the side chains of the two cysteines in this active site motif can switch from the free thiol (SH) form to a disulphide bond (S-S) and/or back and hence donate or accept electrons. The preference for electron donation or acceptance, along with the cellular redox context, determines the biological function of each protein.</p>; <p>Several biological processes regulate the activity of target proteins through changes in the redox state of thiol groups (S2 to SH2), where a hydrogen donor is linked to an intermediary disulphide protein. Such processes include the ferredoxin/thioredoxin system, the NADP/thioredoxin system, and the glutathione/glutaredoxin system [[cite:PUB00016292]]. Several of these disulphide proteins share a common structure, consisting of a three-layer α/β/α core. Proteins that contain domains with a thioredoxin-like fold include:</p>

<ul>
<li>Arsenate reductase (ArsC) [[cite:PUB00025947]]</li>
<li>Calsequestrin (contains three tandem repeats of this fold) [[cite:PUB00023289]]</li>
<li>Circadian oscillation regulator KaiB [[cite:PUB00015216]]</li>
<li>Disulphide bond isomerase DsbC and DsbG (C-terminal domain) [[cite:PUB00013324], [cite:PUB00031997]]</li>
<li>Disulphide bond facilitator DsbA (contains an α-helical insertion) [[cite:PUB00023314]]</li>
<li>Endoplasmic reticulum protein ERP29 (N-terminal domain) [[cite:PUB00014099]]</li>
<li>Glutathione S-transferase (GST) (N-terminal domain) [[cite:PUB00039118]]</li>
<li>Mitochondrial ribosomal protein L51/S25/CI-B8 domain (variable positions for Cys residues in active site) [[cite:PUB00030888]]</li>
<li>Phosducin [[cite:PUB00032922]]</li>
<li>Protein disulphide isomerase (PDI) (contains two tandem repeats of this fold) [[cite:PUB00032776]]</li>
<li>Glutathione peroxidase-like enzymes [[cite:PUB00001337]]</li>
<li>Selenoprotein W-related [[cite:PUB00035459]]</li>
<li>SH3-binding glutamic acid-rich protein like (SH3BGR) (lacks both conserved Cys residues) [[cite:PUB00031286]]</li>
<li>Spliceosomal protein U5-15Kd [[cite:PUB00007371]]</li>
<li>Thioltransferases, including thioredoxin [[cite:PUB00032923]], glutaredoxin [[cite:PUB00024544]], hybrid peroxiredoxin hyPrx5 [[cite:PUB00029121]]</li>
<li>Thioredoxin-like 2Fe-2S ferredoxin [[cite:PUB00027201]]</li>
</ul>"
3;IPR044839;"doi:10.1126/science.1251358
imex:IM-26362
pubmed:24833385";Protein NDR1-like;<p>This entry represents a group of plant NDR1-like proteins. In Arabidopsis, NDR1 is involved in disease resistance [[cite:PUB00097310]]. It interacts with RIN4 and mediates the differential activation of multiple disease resistance pathways in Arabidopsis [[cite:PUB00097309]].</p>
2;IPR011989;"imex:IM-29553
pubmed:36581701";Armadillo-like helical;<p>This superfamily represents a domain consisting of a multi-helical fold comprising two curved layers of α-helices arranged in a regular right-handed superhelix, where the repeats that make up this structure are arranged about a common axis [[cite:PUB00015442]]. These superhelical structures present an extensive solvent-accessible surface that is well suited to binding large substrates such as proteins and nucleic acids. This topology has been found with a number of repeats and domains, including the armadillo repeat (found in beta-catenins and importins), the HEAT repeat (found in protein phosphatase 2a and initiation factor eIF4G), the PHAT domain (found in Smaug RNA-binding protein), the leucine-rich repeat variant, the Pumilo repeat, and in the H regulatory subunit of V-type ATPases. The sequence similarity among these different repeats or domains is low, however they exhibit considerable structural similarity. Furthermore, the number of repeats present in the superhelical structure can vary between orthologues, indicating that rapid loss/gain of repeats has occurred frequently in evolution. A common phylogenetic origin has been proposed for the armadillo and HEAT repeats [[cite:PUB00015443]].</p>
2;IPR016024;"imex:IM-29553
pubmed:36581701";Armadillo-type fold;"<p>This entry represents a structural domain with an armadillo (ARM)-like fold, consisting of a multi-helical fold comprised of two curved layers of α-helices arranged in a regular right-handed superhelix, where the repeats that make up this structure are arranged about a common axis [[cite:PUB00015442]]. These superhelical structures present an extensive solvent-accessible surface that is well suited to binding large substrates such as proteins and nucleic acids.</p>

<p>The sequence similarity among these different repeats or domains is low, however they exhibit considerable structural similarity. Furthermore, the number of repeats present in the superhelical structure can vary between orthologues, indicating that rapid loss/gain of repeats has occurred frequently in evolution. A common phylogenetic origin has been proposed for the armadillo and HEAT repeats [[cite:PUB00015443]].</p>"
2;IPR036890;"doi:10.1126/science.1251358
imex:IM-26362
pubmed:19536198
pubmed:24833385";Histidine kinase/HSP90-like ATPase superfamily;"<p>This domain superfamily is found in several ATP-binding proteins, including: DNA mismatch repair protein MutL, Chaperone protein HtpG, DNA gyrase subunit B, Anti-sigma F factor, histidine kinase [[cite:PUB00030541]], topoisomerases [[cite:PUB00022659]], heat shock protein HSP90 [[cite:PUB00031400], [cite:PUB00031884], [cite:PUB00031942]], phytochrome-like ATPases and DNA mismatch repair proteins. The fold of this domain consists of two layers, α/β, which contains an 8-stranded mixed β-sheet.</p>; <p>DNA mismatch repair protein MutL is an essential component of the methyl-directed mismatch repair (MMR) system, which corrects replication errors and maintains genomic integrity. MutL functions in the Dam-dependent MMR pathway, where the methylation status of GATC sequences is used to distinguish the parental strand from the newly synthesised strand containing the replication error. MutL acts as a molecular matchmaker, facilitating the ATP-dependent assembly of stable complexes between DNA-binding proteins involved in the repair process without itself remaining part of the final effector complex. Following mismatch recognition by MutS, MutL is recruited to the site of damage, where it coordinates downstream repair events, including activation of the endonuclease MutH and recruitment of the UvrD helicase and exonucleases required for excision of the error-containing strand. The ATPase activity of MutL, mediated by its N-terminal GHKL domain, is essential for these functions, driving the conformational changes necessary for proper coordination of the repair machinery [[cite:PUB00163295], [cite:PUB00023516]].</p>"
