PartnerUniProtID,Publications
A0A1D6E625,imex:IM-29553|pubmed:36581701
A0A1D6E8R2,imex:IM-29553|pubmed:36581701
A0A1D6EWB9,imex:IM-29553|pubmed:36581701
A0A1D6FHT8,imex:IM-29553|pubmed:36581701
A0A1D6FQ43,imex:IM-29553|pubmed:36581701
A0A1D6HCT4,imex:IM-29553|pubmed:36581701
A0A1D6HL62,imex:IM-29553|pubmed:36581701
A0A1D6HQC9,imex:IM-29553|pubmed:36581701
A0A1D6JP38,imex:IM-29553|pubmed:36581701
A0A1D6K256,imex:IM-29553|pubmed:36581701
A0A1D6KTN3,imex:IM-29553|pubmed:36581701
A0A1D6MCG8,imex:IM-29553|pubmed:36581701
A0A1D6NC34,imex:IM-29553|pubmed:36581701
A0A1D6NEB5,imex:IM-29553|pubmed:36581701
A0A1D6P567,imex:IM-29553|pubmed:36581701
A0A1D6PGR9,imex:IM-29553|pubmed:36581701
A0A1D6PZJ5,imex:IM-29553|pubmed:36581701
A0A2U2GXH7,imex:IM-13779|pubmed:20711500
A0A2U2H0X4,imex:IM-13779|pubmed:20711500
A0A3N4B749,imex:IM-13779|pubmed:20711500
A0A5P8YHJ0,imex:IM-13779|pubmed:20711500
A2T1W7,imex:IM-29553|pubmed:36581701
B4F925,imex:IM-29553|pubmed:36581701
B4FAN8,imex:IM-29553|pubmed:36581701
B4FKI7,imex:IM-29553|pubmed:36581701
B4FRR5,imex:IM-29553|pubmed:36581701
B4FY28,imex:IM-29553|pubmed:36581701
B4G0W3,imex:IM-29553|pubmed:36581701
B6SRI4,imex:IM-29553|pubmed:36581701
B6T442,imex:IM-29553|pubmed:36581701
B9DGI8,imex:IM-30532|pubmed:38884001
C0P7L5,imex:IM-29553|pubmed:36581701
C4J434,imex:IM-29553|pubmed:36581701
C4J6V7,imex:IM-29553|pubmed:36581701
C4JB18,imex:IM-29553|pubmed:36581701
O00400,imex:IM-24272|pubmed:26496610
O00422,pubmed:17353931
O00429,doi:10.1016/j.cels.2017.10.010|imex:IM-26363|pubmed:29128334
O43663,imex:IM-25472|pubmed:32296183
