PartnerUniProtID,Publications
A0A1D6IAW0,imex:IM-29553|pubmed:36581701
A0A1D6JSI9,imex:IM-29553|pubmed:36581701
B3XYC5,imex:IM-16562|pubmed:21656680
B4FCX3,imex:IM-29553|pubmed:36581701
B4FH55,imex:IM-29553|pubmed:36581701
B7ZAQ6,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
F4HZR4,doi:10.1126/science.1251358|imex:IM-26362|pubmed:24833385
F4I4R0,doi:10.1126/science.1251358|imex:IM-26362|pubmed:24833385
F4JN35,imex:IM-16043|pubmed:21798944
F4K1J1,doi:10.1126/science.1251358|imex:IM-26362|pubmed:24833385
K7VW09,imex:IM-29553|pubmed:36581701
O00124,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O22151,doi:10.1126/science.1251358|imex:IM-26362|pubmed:24833385
O22588,doi:10.3389/fpls.2012.00124|imex:IM-26295|pubmed:22737156
O22622,doi:10.1126/science.1251358|imex:IM-26362|pubmed:24833385
O60427,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O83083,doi:10.1371/journal.pone.0002292|imex:IM-9152|pubmed:18509523
O83268,doi:10.1371/journal.pone.0002292|imex:IM-9152|pubmed:18509523
O83282,doi:10.1371/journal.pone.0002292|imex:IM-9152|pubmed:18509523
O83293,doi:10.1371/journal.pone.0002292|imex:IM-9152|pubmed:18509523
O83352,doi:10.1371/journal.pone.0002292|imex:IM-9152|pubmed:18509523
O83572,doi:10.1371/journal.pone.0002292|imex:IM-9152|pubmed:18509523
O83814,doi:10.1371/journal.pone.0002292|imex:IM-9152|pubmed:18509523
O83873,doi:10.1371/journal.pone.0002292|imex:IM-9152|pubmed:18509523
O83887,doi:10.1371/journal.pone.0002292|imex:IM-9152|pubmed:18509523
O83958,doi:10.1371/journal.pone.0002292|imex:IM-9152|pubmed:18509523
P00519,imex:IM-11903|mint:MINT-8109998|pubmed:17474147
P04035,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P05090,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P06241,imex:IM-11903|mint:MINT-8109998|pubmed:17474147
P07864,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P0DPB3,imex:IM-20475|pubmed:20195357
P10591,pubmed:19536198
P10592,pubmed:19536198
P11484,pubmed:19536198
P16333,imex:IM-11903|mint:MINT-8109998|pubmed:17474147
P20263,imex:IM-20293|pubmed:17093407
P22227,imex:IM-20293|pubmed:17093407
P25071,pubmed:17360592
P25854,pubmed:17360592
P27986,imex:IM-11903|mint:MINT-8109998|pubmed:17474147
P30187,pubmed:17360592
P32589,pubmed:19536198
P43304,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P47192,doi:10.1126/science.1251358|imex:IM-26362|pubmed:24833385
P51674,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P57103-2,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
P59220,pubmed:17360592
P62993,imex:IM-11903|mint:MINT-8109998|pubmed:17474147
P73912,pubmed:18000013
P92961,doi:10.1126/science.1251358|imex:IM-26362|pubmed:24833385
Q02159,pubmed:14690591
Q10587,imex:IM-13779|pubmed:20711500
Q1ECK0,doi:10.1126/science.1251358|imex:IM-26362|pubmed:24833385
Q2PZI1,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
