PartnerUniProtID,Publications
C6KT55,imex:IM-16518|mint:MINT-5218050|pubmed:16267556
O15078,imex:IM-24512|pubmed:26638075
O15209,imex:IM-24995|pubmed:27107014
P02751,imex:IM-14135|pubmed:19738201
P03372,imex:IM-26954|pubmed:31527615
P04798,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
P06748,imex:IM-24272|pubmed:26496610
P11484,pubmed:19536198
P12429,imex:IM-16517|mint:MINT-5217955|pubmed:16169070
P14091,imex:IM-16517|mint:MINT-5217955|pubmed:16169070
P15822,imex:IM-16517|mint:MINT-5217955|pubmed:16169070
P15884,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P23116,imex:IM-24272|pubmed:26496610
P25586,pubmed:12150911|pubmed:16429126
P25635,pubmed:12150911|pubmed:16429126
P27635,imex:IM-24272|pubmed:26496610
P35869,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P38333,pubmed:12150911|pubmed:16429126
P38882,pubmed:12150911|pubmed:16429126
P39960,pubmed:16429126
P42945,pubmed:12150911|pubmed:16429126
P47047,imex:IM-29638|pubmed:37070168
P52927,imex:IM-23312|pubmed:26045162
P53254,pubmed:12150911|pubmed:16429126
P68431,imex:IM-26301|pubmed:29568061
Q02354,pubmed:12150911|pubmed:16429126
Q05672,pubmed:18719252
Q06323,imex:IM-16517|mint:MINT-5217955|pubmed:16169070
Q06512,pubmed:12150911|pubmed:16429126
Q06631,pubmed:16429126
Q07666,imex:IM-16517|mint:MINT-5217955|pubmed:16169070
Q08162,imex:IM-29638|pubmed:37070168
Q08285,imex:IM-29638|pubmed:37070168
Q08965,pubmed:16429126
Q12499,pubmed:12150911|pubmed:16429126
Q15006,imex:IM-24272|pubmed:26496610
Q16666-2,imex:IM-23523|pubmed:25665578
Q16799,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q53EZ4,doi:10.1038/s41467-019-11959-3|imex:IM-27438|pubmed:31515488
Q659A1,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q6ZWV7,imex:IM-24272|pubmed:26496610
Q7L985,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q7Z5G4,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q7Z6M3,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q8I2R3,imex:IM-16518|mint:MINT-5218050|pubmed:16267556
Q8IKM7,imex:IM-16518|mint:MINT-5218050|pubmed:16267556
Q8NC51,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q93015,imex:IM-16517|mint:MINT-5217955|pubmed:16169070
Q96DW6,imex:IM-16517|mint:MINT-5217955|pubmed:16169070
Q99207,doi:10.1261/rna.062927.117|imex:IM-24374|imex:IM-25795|pubmed:11694595|pubmed:12150911|pubmed:16429126|pubmed:29054886
Q99436,imex:IM-16517|mint:MINT-5217955|pubmed:16169070
Q99PL5,imex:IM-24272|pubmed:26496610
Q9BVV7,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9H2F3,imex:IM-25472|pubmed:32296183
Q9H2Y7,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9H5H4,imex:IM-25472|pubmed:32296183
Q9NQW6,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9UNA1-1,imex:IM-26436|pubmed:32203420
Q9VUQ1,imex:IM-16524|mint:MINT-5216804|pubmed:14605208
Q9Y5W5,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
"chebi:""CHEBI:15414""",imex:IM-25684|pubmed:18063569
intact:EBI-10247271,imex:IM-23318|pubmed:25416956
intact:EBI-10821373,imex:IM-24471|imex:IM-25684|pubmed:18063569|pubmed:20972225
intact:EBI-5333164,imex:IM-21740|pubmed:23902751
intact:EBI-5333185,imex:IM-21740|pubmed:23902751
intact:EBI-5333230,imex:IM-21740|pubmed:23902751
intact:EBI-5333232,imex:IM-21740|pubmed:23902751
intact:EBI-5333234,imex:IM-21740|pubmed:23902751
intact:EBI-5333236,imex:IM-21740|pubmed:23902751
intact:EBI-5333238,imex:IM-21740|pubmed:23902751
intact:EBI-5333273,imex:IM-21740|pubmed:23902751
