PartnerUniProtID,Publications
A0A1D6JMK2,imex:IM-29553|pubmed:36581701
A0A1D6K1U6,imex:IM-29553|pubmed:36581701
A0A1D6M742,imex:IM-29553|pubmed:36581701
B6THK3,imex:IM-29553|pubmed:36581701
C4J434,imex:IM-29553|pubmed:36581701
O15431,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O60884,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O95711,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P00738,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P02647,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P04626,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P04626-2,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
P07437,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P0A850,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P0DOF2,imex:IM-27674|pubmed:33208464
P13637,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P53355,doi:10.1002/pmic.201700444|imex:IM-26443|pubmed:29513927
P55082,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
P59636,imex:IM-28441|pubmed:33060197
P60891,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P62736,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P68871,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P69905,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q3ZCM7,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q4V339,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q676U5-1,imex:IM-29997|pubmed:31015422
Q8N6R0,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q96C23,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q96N06,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9BRT8,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9BRT8-3,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q9H4B7,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9HCU4,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q9UK39,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q9UNE7,imex:IM-13779|pubmed:20711500
Q9Y5Y2,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
