PartnerUniProtID,Publications
O25338,imex:IM-22256|pubmed:24627523
O25939,imex:IM-22256|pubmed:24627523
O25979,imex:IM-22256|pubmed:24627523
O69289,pubmed:17615063
O69297,pubmed:17615063
P23481,pubmed:16606699
P73183,pubmed:18000013
Q0P7V5,pubmed:17615063
Q0P7W3,pubmed:17615063
Q0P8A8,pubmed:17615063
Q0P8E6,pubmed:17615063
Q0P8F5,pubmed:17615063
Q0P8M9,pubmed:17615063
Q0P8S6,pubmed:17615063
Q0P8X3,pubmed:17615063
Q0P9C2,pubmed:17615063
Q0P9E6,pubmed:17615063
Q0P9N3,pubmed:17615063
Q0P9N8,pubmed:17615063
Q0P9P8,pubmed:17615063
Q0P9X9,pubmed:17615063
Q0PAF4,pubmed:17615063
Q0PAH6,pubmed:17615063
Q0PAM1,pubmed:17615063
Q0PAS1,pubmed:17615063
Q0PB14,pubmed:17615063
Q0PB75,pubmed:17615063
Q0PBB8,pubmed:17615063
Q0PBD8,pubmed:17615063
Q0PBX4,pubmed:17615063
Q0PC10,pubmed:17615063
Q0PC22,pubmed:17615063
Q72C30,imex:IM-22740|pubmed:26873250
Q72D36,pubmed:unassigned1256
Q72FB7,imex:IM-22740|pubmed:26873250
Q8N1G0,imex:IM-13779|pubmed:20711500
Q9PHK9,pubmed:17615063
Q9PIQ3,pubmed:17615063
Q9PLV2,pubmed:17615063
Q9PML1,pubmed:17615063
Q9PMT4,pubmed:17615063
Q9PN59,pubmed:17615063
Q9PNT2,pubmed:17615063
Q9PP15,pubmed:17615063
Q9Y2H6,imex:IM-13779|pubmed:20711500
