PartnerUniProtID,Publications
A0A0B4J274,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
A0ABM2Y8P8,imex:IM-25819|pubmed:24789099
A1L157,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
A6H8M9,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
A6NFA1,imex:IM-29698|pubmed:36994853
A6NI73,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
A6Y878,imex:IM-29184|pubmed:28534487
B9A064,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
H3BSK8,imex:IM-24272|pubmed:26496610
H7BYY1,imex:IM-24272|pubmed:26496610
O00182,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O00214,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
O00626,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
O14498,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O14649,imex:IM-29540|pubmed:36012204
O14931,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O14967,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O15143,imex:IM-24272|pubmed:26496610
O15294,imex:IM-24272|pubmed:26496610
O15511,imex:IM-24272|pubmed:26496610
O35566,imex:IM-26933|pubmed:14691142
O43293,imex:IM-24272|pubmed:26496610
O43323,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O43653,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O43929,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O60279,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O60292,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O60513,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O75150,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O95157,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O95445,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O95630,imex:IM-15364|pubmed:21988832
O95672,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O95711,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O95968,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O95971,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P01574,imex:IM-29304|pubmed:29414325
P01880,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P01903,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P01909,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P01920,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P02679,imex:IM-25819|imex:IM-26204|pubmed:24789099|pubmed:25398877
P02745,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P02751,doi:10.1016/j.cell.2021.04.011|imex:IM-14135|imex:IM-19205|imex:IM-25819|imex:IM-29254|imex:IM-29278|pubmed:1694173|pubmed:19738201|pubmed:22451694|pubmed:24789099|pubmed:33961781
P02866,imex:IM-14965|pubmed:20217867
P03979,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P04004,imex:IM-19205|pubmed:1694173
P04275,imex:IM-29295|pubmed:30305279
P04808,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P05106,imex:IM-19205|imex:IM-25819|imex:IM-26204|imex:IM-26217|imex:IM-29295|pubmed:11884718|pubmed:14681217|pubmed:15299032|pubmed:15378069|pubmed:1694173|pubmed:23125415|pubmed:24789099|pubmed:25398877|pubmed:30305279
P05556,doi:10.1016/j.cell.2021.04.011|doi:10.1074/mcp.ra118.000924|imex:IM-16896|imex:IM-19309|imex:IM-19961|imex:IM-24272|imex:IM-26653|imex:IM-29254|imex:IM-29278|pubmed:12724312|pubmed:21947080|pubmed:22451694|pubmed:2649503|pubmed:26496610|pubmed:30021884|pubmed:33961781
P06126,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P06213,imex:IM-29494|pubmed:35384245
P06241,imex:IM-26434|pubmed:31980649
P06753-2,imex:IM-24272|pubmed:26496610
P07288,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P07951-2,imex:IM-24272|pubmed:26496610
P08069,imex:IM-29494|pubmed:35384245
P08195,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P08928,imex:IM-16527|pubmed:25294943
P09055,imex:IM-24272|pubmed:26496610
P09382,doi:10.1016/j.cell.2021.04.011|doi:10.1074/mcp.ra118.000924|imex:IM-26653|imex:IM-29278|pubmed:30021884|pubmed:33961781
P09803,imex:IM-26933|pubmed:14691142
P0CG37,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P0DTC3,doi:10.1101/2020.06.17.156455|imex:IM-28109|pmc:PPR177217|pubmed:33845483
P0DTC8,doi:10.1101/2020.06.17.156455|imex:IM-28109|pmc:PPR177217|pubmed:33845483
P0DTD8,doi:10.1101/2020.06.17.156455|imex:IM-28109|pmc:PPR177217|pubmed:33845483
P10253,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P10321,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P10333,imex:IM-16527|pubmed:25294943
P10412,doi:10.1074/mcp.ra118.000924|imex:IM-26653|pubmed:30021884
P10909,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P10909-2,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
P11279,imex:IM-26301|pubmed:29568061
P11584,imex:IM-16527|pubmed:25294943
P11686,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P12532,doi:10.1074/mcp.ra118.000924|imex:IM-26653|pubmed:30021884
P13569,imex:IM-27204|imex:IM-29200|imex:IM-29540|pubmed:29924966|pubmed:31324722|pubmed:36012204
P13727,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P13747,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P13987,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P14138,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P14555-PRO_0000022750,imex:IM-26204|pubmed:25398877
P15151,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P15812,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
P16144,doi:10.1016/j.cell.2021.04.011|imex:IM-17018|imex:IM-19309|imex:IM-29278|imex:IM-29808|pubmed:21880726|pubmed:2649503|pubmed:33961781|pubmed:35657344
P16234,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P16473,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P17612,doi:10.1016/j.celrep.2020.108050|imex:IM-28217|pubmed:32814053
P17931,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P18084,imex:IM-19205|pubmed:1694173
P18564,imex:IM-29184|pubmed:28534487
P19109-2,imex:IM-16527|pubmed:25294943
P19320,imex:IM-17358|pubmed:22623428
P19357,mint:MINT-5218203|pubmed:16396496
P19823,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P20339,imex:IM-26434|pubmed:31980649
P21333-2,imex:IM-24272|pubmed:26496610
P21980,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P22304,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P22830,imex:IM-29649|pubmed:36836934
P23242,imex:IM-24057|imex:IM-24058|pubmed:24163432|pubmed:24563481
P26012,imex:IM-20373|pubmed:1918072
P26715,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P28289,imex:IM-24272|pubmed:26496610
P28324,imex:IM-26434|pubmed:31980649
P28828,imex:IM-26933|pubmed:14691142
P30086,imex:IM-26434|pubmed:31980649
P31025,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P31997,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P33151,imex:IM-30239|pubmed:39232006
P33908,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P35226,imex:IM-29168|pubmed:34316702
P35282,imex:IM-20461|pubmed:16754960
P35443,imex:IM-29812|pubmed:32567740
P37173,doi:10.1016/j.celrep.2020.108050|imex:IM-28217|pubmed:32814053
P43250,imex:IM-15364|pubmed:21988832
P47756-2,imex:IM-24272|pubmed:26496610
P48509,doi:10.1016/j.cell.2021.04.011|imex:IM-26297|imex:IM-26883|imex:IM-29278|pubmed:10811835|pubmed:14557253|pubmed:33961781
P49023-1,imex:IM-30146|pubmed:37316325
P49023-4,imex:IM-30146|pubmed:37316325
P49184,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P50454,doi:10.1016/j.celrep.2020.108050|imex:IM-28217|pubmed:32814053
P51572,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P54315,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P54315-2,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
P54709,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
P54725,doi:10.1016/j.celrep.2020.108050|imex:IM-28217|pubmed:32814053
P55083,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P56851,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P59665,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
P60033,imex:IM-25678|imex:IM-28053|pubmed:30024968|pubmed:32900848
P61158,imex:IM-24272|pubmed:26496610
P61160,imex:IM-24272|pubmed:26496610
P62140,imex:IM-24272|pubmed:26496610
