PartnerUniProtID,Publications
A0A1D6IB58,imex:IM-29553|pubmed:36581701
A0A1D6K1W3,imex:IM-29553|pubmed:36581701
A0A1D6M7Z6,imex:IM-29553|pubmed:36581701
A2A3N6,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
B9DGI8,imex:IM-30532|pubmed:38884001
F8VQC1,imex:IM-24272|pubmed:26496610
O15460-2,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
O43900,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
O95985,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P02792,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P02994,pubmed:16429126
P07259,pubmed:16429126
P10114,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P10591,pubmed:19536198
P10592,pubmed:16429126
P15408,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
P17980,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
P24385,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
P26321,pubmed:16429126
P27635,imex:IM-24272|pubmed:26496610
P30822,imex:IM-24970|pubmed:26673895
P34082,imex:IM-16527|imex:IM-17304|pubmed:21447707|pubmed:25294943
P53539,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P62745,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P78317,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q02078-4,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q03252,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q04864,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q08830,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q13557-10,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q15287,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q1RMZ1,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q39204,imex:IM-30532|pubmed:38884001
Q8IYW2,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q8NB90,imex:IM-30175|pubmed:38554706
Q8NHX9,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q8NHY3,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q8WYN0,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q93YQ1,imex:IM-30002|pubmed:39307424
Q969K3,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q969K3-2,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q96CX2,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q96DN2,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q99549,imex:IM-24272|pubmed:26496610
Q9BVQ7,imex:IM-30175|pubmed:38554706
Q9C8W9,imex:IM-30532|pubmed:38884001
Q9H063,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q9H4A6,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q9NX31,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q9NXC2,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q9P0P0,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9UF02,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q9Y216,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
