PartnerUniProtID,Publications
A0PK11,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
A4D2P6,doi:10.1038/s41467-022-33018-0|imex:IM-30294|pubmed:36115835
A4JYP8,imex:IM-24186|pubmed:26190107
A9XP97,imex:IM-23003|pubmed:23565095
B9A064,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
G5EGG0,imex:IM-16523|mint:MINT-5216848|pubmed:14704431
H2KYP1,imex:IM-16523|mint:MINT-5216848|pubmed:14704431
O00151,doi:10.1038/s41467-022-33018-0|imex:IM-30294|pubmed:36115835
O00182,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O00214,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O00391,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O00429-2,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
O00442,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O00471,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
O00602,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O14519,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O14649,imex:IM-29540|pubmed:36012204
O14787,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O14907,doi:10.1038/s41467-022-33018-0|imex:IM-30294|pubmed:36115835
O14936,doi:10.1038/s41467-022-33018-0|imex:IM-30294|pubmed:36115835
O15018,doi:10.1038/s41467-022-33018-0|imex:IM-30294|pubmed:36115835
O15119,imex:IM-23318|pubmed:25416956
O15230,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O15530,imex:IM-12167|pubmed:19167335
O43147,imex:IM-16517|mint:MINT-5217955|pubmed:16169070
O43186,doi:10.1038/s41467-019-11959-3|imex:IM-23318|imex:IM-25511|imex:IM-27438|pubmed:25416956|pubmed:25910212|pubmed:31515488
O43464,doi:10.1038/s41467-022-33018-0|imex:IM-30294|pubmed:36115835
O43502,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O43929,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O46085,imex:IM-16524|mint:MINT-5216804|pubmed:14605208
O60518,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
O60741,imex:IM-29810|pubmed:37207277
O75051,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O75112,doi:10.1038/s41467-022-33018-0|imex:IM-30294|pubmed:36115835
O75427,imex:IM-16517|mint:MINT-5217955|pubmed:16169070
O75717,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
O75935-2,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
O75970,doi:10.1038/s41467-022-33018-0|imex:IM-30294|pubmed:36115835
O76003,doi:10.1016/j.cell.2016.01.029|imex:IM-25013|imex:IM-25472|pubmed:26871637|pubmed:32296183
O94788,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O94822,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
O94952,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O94955,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O94985,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O95049,doi:10.1038/s41467-022-33018-0|imex:IM-30294|pubmed:36115835
O95396,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O95456,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O95456-2,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
O95620,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O95897,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O96018,doi:10.1038/s41467-022-33018-0|imex:IM-30294|pubmed:36115835
P00533,imex:IM-26371|imex:IM-26434|pubmed:25970784|pubmed:31980649
P00749,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P00966,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
P01009,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P01009-2,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
P01024,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
P01834,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
P01857,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
P01859,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
P01860,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
P02679,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P02679-2,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
P02741,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
P02765,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
P02768,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
P02787,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
P04626,imex:IM-12167|pubmed:19167335
P04629,imex:IM-12167|pubmed:19167335
P05120,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
P05201,imex:IM-16651|pubmed:15627969
P06213,imex:IM-12167|pubmed:19167335
P06239,imex:IM-12167|pubmed:19167335
P07437,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P08581,imex:IM-12167|pubmed:19167335
P08670,doi:10.1074/mcp.ra118.000924|imex:IM-26653|pubmed:30021884
P09105,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P09382,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P09619,imex:IM-12167|pubmed:19167335
P09919,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P0C6X7-PRO_0000037314,doi:10.1101/2020.06.17.156455|imex:IM-28109|pmc:PPR177217|pubmed:33845483
P0DTC3,doi:10.1101/2020.06.17.156455|imex:IM-28109|pmc:PPR177217|pubmed:33845483
P0DTD8,doi:10.1101/2020.06.17.156455|imex:IM-28109|imex:IM-29365|pmc:PPR177217|pubmed:33845483|pubmed:34232536
P10636-8,imex:IM-29755|pubmed:32812023
P11021,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P11182,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
P11413-2,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
P11440,imex:IM-11719|pubmed:20360068
P11586,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
P12110,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
