PartnerUniProtID,Publications
A0A1D5P7R1,imex:IM-15154|pubmed:22174833
A0A8I6GLU8,imex:IM-11875|pubmed:17610306
A0ABK0LGN9,imex:IM-11875|pubmed:17610306
D3ZD23,imex:IM-11875|pubmed:17610306
D4AE02,imex:IM-11875|pubmed:17610306
E1BYN7,imex:IM-15154|pubmed:22174833
F1LXV3,imex:IM-11875|pubmed:17610306
F1NLP2,imex:IM-15154|pubmed:22174833
F1NPL8,imex:IM-15154|pubmed:22174833
F1NSA8,imex:IM-15154|pubmed:22174833
O08553,imex:IM-9475|pubmed:19423573
O08677,imex:IM-9475|pubmed:19423573
O08749,imex:IM-9475|pubmed:19423573
O13268,imex:IM-15154|pubmed:22174833
O35639,imex:IM-9475|pubmed:19423573
O35685,imex:IM-9475|pubmed:19423573
O35824,imex:IM-11875|pubmed:17610306
O42163,imex:IM-15154|pubmed:22174833
O54786,imex:IM-9475|pubmed:19423573
O55103,imex:IM-9475|pubmed:19423573
O57391,imex:IM-15154|pubmed:22174833
O57513,imex:IM-15154|pubmed:22174833
O57535,imex:IM-15154|pubmed:22174833
O73885,imex:IM-15154|pubmed:22174833
O88712,imex:IM-9475|pubmed:19423573
O88952,imex:IM-9475|pubmed:19423573
O93467,imex:IM-15154|pubmed:22174833
O93510,imex:IM-15154|pubmed:22174833
P00337,imex:IM-15154|pubmed:22174833
P00340,imex:IM-15154|pubmed:22174833
P00356,imex:IM-15154|pubmed:22174833
P00508,imex:IM-15154|pubmed:22174833
P00528,pubmed:10234050
P00548,imex:IM-15154|pubmed:22174833
P00920,imex:IM-9475|pubmed:19423573
P00940,imex:IM-15154|pubmed:22174833
P02001,imex:IM-15154|pubmed:22174833
P02088,imex:IM-9475|pubmed:19423573
P02089,imex:IM-9475|pubmed:19423573
P02112,imex:IM-15154|pubmed:22174833
P02457,imex:IM-15154|pubmed:22174833
P02460,imex:IM-15154|pubmed:22174833
P02607,imex:IM-15154|pubmed:22174833
P02650,imex:IM-11875|pubmed:17610306
P02688,imex:IM-11875|pubmed:17610306
P02688-3,imex:IM-11875|pubmed:17610306
P02768,imex:IM-19123|pubmed:15174051
P02789,imex:IM-15154|pubmed:22174833
P03995,imex:IM-9475|pubmed:19423573
P04354,imex:IM-15154|pubmed:22174833
P04370,imex:IM-9475|pubmed:19423573
P04642,imex:IM-11875|pubmed:17610306
P04797,imex:IM-11875|pubmed:17610306
P05064,imex:IM-9475|pubmed:19423573
P05122,imex:IM-15154|pubmed:22174833
P05201,imex:IM-9475|pubmed:19423573
P05419,imex:IM-15154|pubmed:22174833
P05765,imex:IM-11875|pubmed:17610306
P06151,imex:IM-9475|pubmed:19423573
P07090,imex:IM-15154|pubmed:22174833
P07214,imex:IM-9475|pubmed:19423573
P07341,imex:IM-15154|pubmed:22174833
P07724,imex:IM-9475|pubmed:19423573
P07759,imex:IM-9475|pubmed:19423573
P08030,imex:IM-9475|pubmed:19423573
P08106,imex:IM-15154|pubmed:22174833
P08110,imex:IM-15154|pubmed:22174833
P08226,imex:IM-9475|pubmed:19423573
P08228,imex:IM-9475|pubmed:19423573
P08249,imex:IM-9475|pubmed:19423573
P08250,imex:IM-15154|pubmed:22174833
P08551,imex:IM-9475|pubmed:19423573
P08553,imex:IM-9475|pubmed:19423573
P09117,imex:IM-11875|pubmed:17610306
P09411,imex:IM-9475|pubmed:19423573
P09572,imex:IM-15154|pubmed:22174833
P09654,imex:IM-15154|pubmed:22174833
P09671,imex:IM-9475|pubmed:19423573
P09951,imex:IM-11875|pubmed:17610306
P10518,imex:IM-9475|pubmed:19423573
P10630,imex:IM-9475|pubmed:19423573
P10649,imex:IM-9475|pubmed:19423573
P11087,imex:IM-9475|pubmed:19423573
P11352,imex:IM-9475|pubmed:19423573
P11501,imex:IM-15154|pubmed:22174833
P12370,pubmed:10234050|pubmed:unassigned4
P13471,imex:IM-11875|pubmed:17610306
P13648,imex:IM-15154|pubmed:22174833
P13707,imex:IM-9475|pubmed:19423573
P13731,imex:IM-15154|pubmed:22174833
P14206,imex:IM-9475|pubmed:19423573
P14211,imex:IM-9475|pubmed:19423573
P14732,imex:IM-15154|pubmed:22174833
P15331,imex:IM-9475|pubmed:19423573
P16045,imex:IM-9475|pubmed:19423573
P16053,imex:IM-15154|pubmed:22174833
P16125,imex:IM-9475|pubmed:19423573
P16580,imex:IM-15154|pubmed:22174833
P16627,imex:IM-9475|pubmed:19423573
P16858,imex:IM-9475|pubmed:19423573
P17074,imex:IM-11875|pubmed:17610306
P17153,imex:IM-15154|pubmed:22174833
P17156,imex:IM-9475|pubmed:19423573
P17182,imex:IM-9475|pubmed:19423573
P17183,imex:IM-9475|pubmed:19423573
P17742,imex:IM-9475|pubmed:19423573
P17751,imex:IM-9475|pubmed:19423573
P17918,imex:IM-9475|pubmed:19423573
P18359,imex:IM-15154|pubmed:22174833
P18760,imex:IM-9475|pubmed:19423573
P19121,imex:IM-15154|pubmed:22174833
P19246,imex:IM-9475|pubmed:19423573
P20029,imex:IM-9475|pubmed:19423573
P20152,imex:IM-9475|pubmed:19423573
P21550,imex:IM-9475|pubmed:19423573
P21614,imex:IM-9475|pubmed:19423573
P22599,imex:IM-9475|pubmed:19423573
P23927,imex:IM-9475|pubmed:19423573
P24032,imex:IM-15154|pubmed:22174833
P26443,imex:IM-9475|pubmed:19423573
P27573,imex:IM-9475|pubmed:19423573
P27773,imex:IM-9475|pubmed:19423573
P28497,imex:IM-15154|pubmed:22174833
P29310,pubmed:10230800
P29699,imex:IM-9475|pubmed:19423573
P29758,imex:IM-9475|pubmed:19423573
P31000,imex:IM-11875|pubmed:17610306
P31395,imex:IM-15154|pubmed:22174833
P32882,imex:IM-15154|pubmed:22174833
P35915,imex:IM-15154|pubmed:22174833
P35922,doi:10.1038/nn.4594|imex:IM-26285|pubmed:28671696
P35979,imex:IM-9475|pubmed:19423573
P37301,imex:IM-15154|pubmed:22174833
P37804,imex:IM-9475|pubmed:19423573
P38647,imex:IM-9475|pubmed:19423573
P40142,imex:IM-9475|pubmed:19423573
