Count;InterProID;pubmeds;Name;ShortDescription
58;IPR013783;"doi:10.1016/j.cell.2021.04.011
doi:10.1038/nature22366
imex:IM-14135
imex:IM-17018
imex:IM-17358
imex:IM-19205
imex:IM-19309
imex:IM-25778
imex:IM-25819
imex:IM-26933
imex:IM-29254
imex:IM-29278
imex:IM-29494
imex:IM-29808
pubmed:14691142
pubmed:1694173
pubmed:19738201
pubmed:21880726
pubmed:22451694
pubmed:22623428
pubmed:24789099
pubmed:2649503
pubmed:28514442
pubmed:33961781
pubmed:35384245
pubmed:35657344";Immunoglobulin-like fold;"<p>This superfamily represents domains with an immunoglobulin-like (Ig-like) fold, which consists of a β-sandwich of seven or more strands in two sheets with a Greek-key topology. Ig-like domains are one of the most common protein modules found in animals, occurring in a variety of different proteins. These domains are often involved in interactions, commonly with other Ig-like domains via their β-sheets [[cite:PUB00003330], [cite:PUB00018310], [cite:PUB00015110], [cite:PUB00027656]].  Domains within this fold-family share the same structure, but can diverge with respect to their sequence. Based on sequence, Ig-like domains can be classified as V-set domains (antibody variable domain-like), C1-set domains (antibody constant domain-like), C2-set domains, and I-set domains (antibody intermediate domain-like). Proteins can contain more than one of these types of Ig-like domains. For example, in the human T-cell receptor antigen CD2, domain 1 (D1) is a V-set domain, while domain 2 (D2) is a C2-set domain, both domains having the same Ig-like fold [[cite:PUB00027700]].</p>
<p>Domains with an Ig-like fold can be found in many, diverse proteins in addition to immunoglobulin molecules. For example, Ig-like domains occur in several different types of receptors (such as various T-cell antigen receptors), several cell adhesion molecules, MHC class I and II antigens, as well as the hemolymph protein hemolin, and the muscle proteins titin, telokin and twitchin.</p>"
46;IPR036179;"doi:10.1016/j.cell.2021.04.011
doi:10.1038/nature22366
imex:IM-17358
imex:IM-25778
imex:IM-26933
imex:IM-29278
pubmed:14691142
pubmed:22623428
pubmed:28514442
pubmed:33961781";Immunoglobulin-like domain superfamily;"<p>The basic structure of immunoglobulin (Ig) molecules is a tetramer of two light chains and two heavy chains linked by disulphide bonds. There are two types of light chains: kappa and lambda, each composed of a constant domain (CL) and a variable domain (VL). There are five types of heavy chains: alpha, delta, epsilon, gamma and mu, all consisting of a variable domain (VH) and three (in alpha, delta and gamma) or four (in epsilon and mu) constant domains (CH1 to CH4). Ig molecules are highly modular proteins, in which the variable and constant domains have clear, conserved sequence patterns. The domains in Ig and Ig-like molecules are grouped into four types: V-set (variable; [interpro:IPR013106]), C1-set (constant-1; [interpro:IPR003597]), C2-set (constant-2; [interpro:IPR008424]) and I-set (intermediate; [interpro:IPR013098]) [[cite:PUB00014840]]. Structural studies have shown that these domains share a common core Greek-key β-sandwich structure, with the types differing in the number of strands in the β-sheets as well as in their sequence patterns [[cite:PUB00015110], [cite:PUB00010610]].</p>

<p>Immunoglobulin-like domains that are related in both sequence and structure can be found in several diverse protein families. Ig-like domains are involved in a variety of functions, including cell-cell recognition, cell-surface receptors, muscle structure and the immune system [[cite:PUB00027656]].</p>"
42;IPR007110;"doi:10.1016/j.cell.2021.04.011
doi:10.1038/nature22366
imex:IM-17358
imex:IM-25778
imex:IM-26933
imex:IM-29278
pubmed:14691142
pubmed:22623428
pubmed:28514442
pubmed:33961781";Immunoglobulin-like domain;"<p>The basic structure of immunoglobulin (Ig) molecules is a tetramer of two light chains and two heavy chains linked by disulphide bonds. There are two types of light chains: kappa and lambda, each composed of a constant domain (CL) and a variable domain (VL). There are five types of heavy chains: alpha, delta, epsilon, gamma and mu, all consisting of a variable domain (VH) and three (in alpha, delta and gamma) or four (in epsilon and mu) constant domains (CH1 to CH4). Ig molecules are highly modular proteins, in which the variable and constant domains have clear, conserved sequence patterns. The domains in Ig and Ig-like molecules are grouped into four types: V-set (variable; [interpro:IPR013106]), C1-set (constant-1; [interpro:IPR003597]), C2-set (constant-2; [interpro:IPR008424]) and I-set (intermediate; [interpro:IPR013098]) [[cite:PUB00014840]]. Structural studies have shown that these domains share a common core Greek-key β-sandwich structure, with the types differing in the number of strands in the β-sheets as well as in their sequence patterns [[cite:PUB00015110], [cite:PUB00010610]].</p>

<p>Immunoglobulin-like domains that are related in both sequence and structure can be found in several diverse protein families. Ig-like domains are involved in a variety of functions, including cell-cell recognition, cell-surface receptors, muscle structure and the immune system [[cite:PUB00027656]].</p>"
40;Homo sapiens;"Brak InterPro kodów dla tego białka.
IPR000353
IPR000749
IPR001003
IPR001015
IPR001039
IPR001382
IPR001452
IPR001650
IPR001675
IPR002347
IPR002659
IPR003006
IPR003597
IPR003859
IPR005925
IPR006035
IPR007110
IPR007667
IPR010579
IPR011161
IPR011162
IPR012163
IPR012341
IPR013783
IPR014745
IPR014746
IPR015827
IPR019772
IPR020855
IPR022192
IPR022413
IPR022414
IPR022415
IPR023696
IPR027350
IPR027417
IPR027791
IPR027995
IPR029044
IPR033644
IPR033659
IPR035653
IPR036026
IPR036028
IPR036179
IPR036291
IPR036802
IPR037055
IPR038578
IPR041082
IPR041453
IPR044774
IPR045017
IPR045573
IPR050160
IPR050208
IPR050355
IPR050699
IPR050749
IPR050943
IPR051757
IPR055206
IPR057326";;
30;IPR013320;"doi:10.1016/j.cell.2021.04.011
doi:10.1038/nature22366
doi:10.1074/mcp.ra118.000924
imex:IM-14965
imex:IM-25778
imex:IM-26653
imex:IM-26933
imex:IM-29278
imex:IM-29812
pubmed:14691142
pubmed:20217867
pubmed:28514442
pubmed:30021884
pubmed:32567740
pubmed:33961781
pubmed:unassigned4";Concanavalin A-like lectin/glucanase domain superfamily;"<p>This superfamily represents the concanavalin A-like domain, which has a sandwich structure of 12-14 β-strands in two sheets with a complex topology. Proteins containing this domain include:</p>

<ul>
<li>Legume lectins</li>
<li>Glycosyl hydrolases family 16</li>
<li>Galectin (animal S-lectin)</li>
<li>Laminin G-like module</li>
<li>Pentraxin</li>
<li>Clostridium neurotoxins</li>
<li>Exotoxin A</li>
<li>Vibrio cholera sialidase</li>
<li>Leech intramolecular trans-sialidase</li>
<li>Glycosyl hydrolase family 7</li>
<li>Xylanase/endoglucanase</li>
<li>Calnexin/calreticulin</li>
<li>Lectin leg-like</li>
<li>vp4 sialic acid binding protein</li>
<li>Trypanosoma sialidase</li>
<li>Thrombospondin</li>
<li>Hypothetical protein YesU</li>
<li>Alginate lyase</li>
<li>Glycosyl hydrolases family 32</li>
<li>Peptidase A4</li>
<li>Alpha-L-arabinofuranosidase B</li>
<li>SPRY domain containing proteins</li>
<li>Beta-D-xylosidase</li>
<li>SO2946-like</li>
<li>MAM domain containing proteins</li>
</ul>"
26;IPR003599;"doi:10.1016/j.cell.2021.04.011
doi:10.1038/nature22366
imex:IM-17358
imex:IM-25778
imex:IM-26933
imex:IM-29278
pubmed:14691142
pubmed:22623428
pubmed:28514442
pubmed:33961781";Immunoglobulin domain subtype;"<p>This entry represents a subtype of the immunoglobulin domain which is found in a group of proteins that includes:</p>

<ul>
<li>Cell surface receptors containing an immunoglobulin domain.</li>
<li>Killer cell inhibitory receptors.</li>
<li>Cell adhesion molecules.</li>
</ul>; <p>The basic structure of immunoglobulin (Ig) molecules is a tetramer of two light chains and two heavy chains linked by disulphide bonds. There are two types of light chains: kappa and lambda, each composed of a constant domain (CL) and a variable domain (VL). There are five types of heavy chains: alpha, delta, epsilon, gamma and mu, all consisting of a variable domain (VH) and three (in alpha, delta and gamma) or four (in epsilon and mu) constant domains (CH1 to CH4). Ig molecules are highly modular proteins, in which the variable and constant domains have clear, conserved sequence patterns. The domains in Ig and Ig-like molecules are grouped into four types: V-set (variable; [interpro:IPR013106]), C1-set (constant-1; [interpro:IPR003597]), C2-set (constant-2; [interpro:IPR008424]) and I-set (intermediate; [interpro:IPR013098]) [[cite:PUB00014840]]. Structural studies have shown that these domains share a common core Greek-key β-sandwich structure, with the types differing in the number of strands in the β-sheets as well as in their sequence patterns [[cite:PUB00015110], [cite:PUB00010610]].</p>

<p>Immunoglobulin-like domains that are related in both sequence and structure can be found in several diverse protein families. Ig-like domains are involved in a variety of functions, including cell-cell recognition, cell-surface receptors, muscle structure and the immune system [[cite:PUB00027656]].</p>"
22;IPR013106;"doi:10.1016/j.cell.2021.04.011
doi:10.1038/nature22366
imex:IM-17358
imex:IM-25778
imex:IM-29278
pubmed:22623428
pubmed:28514442
pubmed:33961781";Immunoglobulin V-set domain;"<p>This entry represents the V-set domains, which are Ig-like domains resembling the antibody variable domain. V-set domains are found in diverse protein families, including immunoglobulin light and heavy chains; in several T-cell receptors such as CD2 (Cluster of Differentiation 2), CD4, CD80, and CD86; in myelin membrane adhesion molecules; in junction adhesion molecules (JAM); in tyrosine-protein kinase receptors; and in the programmed cell death protein 1 (PD1).</p>; <p>The basic structure of immunoglobulin (Ig) molecules is a tetramer of two light chains and two heavy chains linked by disulphide bonds. There are two types of light chains: kappa and lambda, each composed of a constant domain (CL) and a variable domain (VL). There are five types of heavy chains: alpha, delta, epsilon, gamma and mu, all consisting of a variable domain (VH) and three (in alpha, delta and gamma) or four (in epsilon and mu) constant domains (CH1 to CH4). Ig molecules are highly modular proteins, in which the variable and constant domains have clear, conserved sequence patterns. The domains in Ig and Ig-like molecules are grouped into four types: V-set (variable; [interpro:IPR013106]), C1-set (constant-1; [interpro:IPR003597]), C2-set (constant-2; [interpro:IPR008424]) and I-set (intermediate; [interpro:IPR013098]) [[cite:PUB00014840]]. Structural studies have shown that these domains share a common core Greek-key β-sandwich structure, with the types differing in the number of strands in the β-sheets as well as in their sequence patterns [[cite:PUB00015110], [cite:PUB00010610]].</p>

<p>Immunoglobulin-like domains that are related in both sequence and structure can be found in several diverse protein families. Ig-like domains are involved in a variety of functions, including cell-cell recognition, cell-surface receptors, muscle structure and the immune system [[cite:PUB00027656]].</p>"
22;IPR020894;"doi:10.1016/j.cell.2021.04.011
doi:10.1038/nature22366
imex:IM-25778
imex:IM-26933
imex:IM-29278
imex:IM-30239
pubmed:14691142
pubmed:28514442
pubmed:33961781
pubmed:39232006";Cadherin conserved site;"<p>Cadherins are a group of transmembrane proteins that serve as the major adhesion molecules located within adherens junctions. They can regulate cell-cell adhesion through their extracellular domain and their cytosolic domains connect to the actin cytoskeleton by binding to catenins [[cite:PUB00071518]]. These proteins preferentially interact with themselves in a homophilic manner in connecting cells; thus acting as both receptor and ligand. They may play an important role in the sorting of different cell types during morphogenesis, histogenesis and regeneration. They may also be involved in the regulation of tight and gap junctions, and in the control of intercellular spacing. Cadherins are evolutionary related to the desmogleins which are component of intercellular desmosome junctions involved in the interaction of plaque proteins.</p>

<p>Structurally, cadherins comprise a number of domains: classically, these include a signal sequence; a propeptide of around 130 residues; a single transmembrane domain and five tandemly repeated extracellular cadherin domains, 4 of which are cadherin repeats, and the fifth contains 4 conserved cysteines and a C-terminal cytoplasmic domain [[cite:PUB00007174]]. However, proteins are designated as members of the broadly defined cadherin family if they have one or more cadherin repeats. A cadherin repeat is an independently folding sequence of approximately 110 amino acids that contains motifs with the conserved sequences DRE, DXNDNAPXF, and DXD. Crystal structures have revealed that multiple cadherin domains form Ca2+-dependent rod-like structures with a conserved Ca2+-binding pocket at the domain-domain interface. Cadherins depend on calcium for their function: calcium ions bind to specific residues in each cadherin repeat to ensure its proper folding, to confer rigidity upon the extracellular domain and is essential for cadherin adhesive function and for protection against protease digestion.</p>"
22;IPR002126;"doi:10.1016/j.cell.2021.04.011
doi:10.1038/nature22366
imex:IM-25778
imex:IM-26933
imex:IM-29278
imex:IM-30239
pubmed:14691142
pubmed:28514442
pubmed:33961781
pubmed:39232006";Cadherin-like;"<p>This entry represents the extracellular repeated domains found in cadherins and related proteins.</p>; <p>Cadherins are a group of transmembrane proteins that serve as the major adhesion molecules located within adherens junctions. They can regulate cell-cell adhesion through their extracellular domain and their cytosolic domains connect to the actin cytoskeleton by binding to catenins [[cite:PUB00071518]]. These proteins preferentially interact with themselves in a homophilic manner in connecting cells; thus acting as both receptor and ligand. They may play an important role in the sorting of different cell types during morphogenesis, histogenesis and regeneration. They may also be involved in the regulation of tight and gap junctions, and in the control of intercellular spacing. Cadherins are evolutionary related to the desmogleins which are component of intercellular desmosome junctions involved in the interaction of plaque proteins.</p>

<p>Structurally, cadherins comprise a number of domains: classically, these include a signal sequence; a propeptide of around 130 residues; a single transmembrane domain and five tandemly repeated extracellular cadherin domains, 4 of which are cadherin repeats, and the fifth contains 4 conserved cysteines and a C-terminal cytoplasmic domain [[cite:PUB00007174]]. However, proteins are designated as members of the broadly defined cadherin family if they have one or more cadherin repeats. A cadherin repeat is an independently folding sequence of approximately 110 amino acids that contains motifs with the conserved sequences DRE, DXNDNAPXF, and DXD. Crystal structures have revealed that multiple cadherin domains form Ca2+-dependent rod-like structures with a conserved Ca2+-binding pocket at the domain-domain interface. Cadherins depend on calcium for their function: calcium ions bind to specific residues in each cadherin repeat to ensure its proper folding, to confer rigidity upon the extracellular domain and is essential for cadherin adhesive function and for protection against protease digestion.</p>"
22;IPR015919;"doi:10.1016/j.cell.2021.04.011
doi:10.1038/nature22366
imex:IM-25778
imex:IM-26933
imex:IM-29278
imex:IM-30239
pubmed:14691142
pubmed:28514442
pubmed:33961781
pubmed:39232006";Cadherin-like superfamily;"<p>This entry represents domains with an immunoglobulin-like β-sandwich fold, consisting of 7 strands in two sheets with a Greek key topology.  Such domains are found in cadherin, as well as at the N-terminal of dystroglycan. Dystroglycan is a cell surface receptor consisting of two subunits: alpha-dystroglycan, extracellular and highly glycosylated, and beta-dystroglycan, spanning the cell membrane. It is a pivotal member of the dystrophin-glycoprotein complex and is involved in a wide variety of important cellular processes such as the stabilisation of the muscle fibre sarcolemma or the clustering of acetylcholine receptors [[cite:PUB00009704], [cite:PUB00031647], [cite:PUB00036004]].</p>

<p>Cadherins are a family of adhesion molecules that mediate Ca2+-dependent cell-cell adhesion in all solid tissues of the organism which modulate a wide variety of processes including cell polarisation and migration [[cite:PUB00000071], [cite:PUB00014193]]. Cadherin-mediated cell-cell junctions are formed as a result of interaction between extracellular domains of identical cadherins, which are located on the membranes of the neighbouring cells. The stability of these adhesive junctions is ensured by binding of the intracellular cadherin domain with the actin cytoskeleton. There are a number of different isoforms distributed in a tissue-specific manner in a wide variety of organisms. Cells containing different cadherins tend to segregate in vitro, while those that contain the same cadherins tend to preferentially aggregate together. This observation is linked to the finding that cadherin expression causes morphological changes involving the positional segregation of cells into layers, suggesting they may play an important role in the sorting of different cell types during morphogenesis, histogenesis and regeneration. They may also be involved in the regulation of tight and gap junctions, and in the control of intercellular spacing. Cadherins are evolutionary related to the desmogleins which are component of intercellular desmosome junctions involved in the interaction of plaque proteins.</p>
<p>Structurally, cadherins comprise a number of domains: classically, these include a signal sequence; a propeptide of around 130 residues; a single transmembrane domain and five tandemly repeated extracellular cadherin domains, 4 of which are cadherin repeats, and the fifth contains 4 conserved cysteines and a N-terminal cytoplasmic domain [[cite:PUB00007174]]. However, proteins are designated as members of the broadly defined cadherin family if they have one or more cadherin repeats. A cadherin repeat is an independently folding sequence of approximately 110 amino acids that contains motifs with the conserved sequences DRE, DXNDNAPXF, and DXD. Crystal structures have revealed that multiple cadherin domains form Ca2+-dependent rod-like structures with a conserved Ca2+-binding pocket at the domain-domain interface. Cadherins depend on calcium for their function: calcium ions bind to specific residues in each cadherin repeat to ensure its proper folding, to confer rigidity upon the extracellular domain and is essential for cadherin adhesive function and for protection against protease digestion.</p>"
