PartnerUniProtID,Publications
A0A1D6EHK5,imex:IM-29553|pubmed:36581701
A0A1D6EP97,imex:IM-29553|pubmed:36581701
A0A1D6EXS6,imex:IM-29553|pubmed:36581701
A0A1D6GEC8,imex:IM-29553|pubmed:36581701
A0A1D6HNK0,imex:IM-29553|pubmed:36581701
A0A1D6HZ94,imex:IM-29553|pubmed:36581701
A0A1D6II57,imex:IM-29553|pubmed:36581701
A0A1D6IL08,imex:IM-29553|pubmed:36581701
A0A1D6JP91,imex:IM-29553|pubmed:36581701
A0A1D6K1Z7,imex:IM-29553|pubmed:36581701
A0A1D6KBV1,imex:IM-29553|pubmed:36581701
A0A1D6MWT0,imex:IM-29553|pubmed:36581701
A0A1D6PZJ5,imex:IM-29553|pubmed:36581701
A0A1D6Q2L8,imex:IM-29553|pubmed:36581701
A9X4U2,doi:10.1126/science.1251358|imex:IM-26362|pubmed:24833385
B4FG65,imex:IM-29553|pubmed:36581701
B4FR72,imex:IM-29553|pubmed:36581701
B6T9F9,imex:IM-29553|pubmed:36581701
B6TE60,imex:IM-29553|pubmed:36581701
B8A1L1,imex:IM-29553|pubmed:36581701
B8A377,imex:IM-29553|pubmed:36581701
C0PBU6,imex:IM-29553|pubmed:36581701
F4JS23,doi:10.1126/science.1251358|imex:IM-26362|pubmed:24833385
K7UB77,imex:IM-29553|pubmed:36581701
O04036,doi:10.3389/fpls.2012.00124|imex:IM-26295|pubmed:22737156
O64852,doi:10.1126/science.1251358|imex:IM-26362|pubmed:24833385
O80592,doi:10.3389/fpls.2012.00124|imex:IM-26295|pubmed:22737156
O81078,doi:10.3389/fpls.2012.00124|imex:IM-26295|pubmed:22737156
P02829,pubmed:19536198
P10591,pubmed:19536198
P22696,imex:IM-19627|mint:MINT-5218502|pubmed:16606443
P32589,pubmed:19536198
P46995,imex:IM-19627|mint:MINT-5218502|pubmed:16606443
Q0P8D9,pubmed:17615063
Q0P8S9,pubmed:17615063
Q0P957,pubmed:17615063
Q0P961,pubmed:17615063
Q0P9A5,pubmed:17615063
Q0P9A8,pubmed:17615063
Q0PBZ0,pubmed:17615063
Q0WPQ2,doi:10.1126/science.1251358|imex:IM-26362|pubmed:24833385
Q2HIM5,doi:10.1126/science.1251358|imex:IM-26362|pubmed:24833385
Q38998,doi:10.3389/fpls.2012.00124|imex:IM-26295|pubmed:22737156
Q59291,pubmed:17615063
Q5EUD8,imex:IM-29553|pubmed:36581701
Q84MB5,doi:10.1126/science.1251358|imex:IM-26362|pubmed:24833385
Q84N34,doi:10.1126/science.1251358|imex:IM-26362|pubmed:24833385
Q8L8T2,doi:10.1126/science.1251358|imex:IM-26362|pubmed:24833385
Q8RY98,doi:10.1126/science.1251358|imex:IM-26362|pubmed:24833385
Q94K72,doi:10.1126/science.1251358|imex:IM-26362|pubmed:24833385
Q9AST5,doi:10.1126/science.1251358|imex:IM-26362|pubmed:24833385
Q9C7D7,doi:10.1126/science.1251358|imex:IM-26362|pubmed:24833385
Q9C835,doi:10.1126/science.1251358|imex:IM-26362|pubmed:24833385
Q9C9M8,doi:10.3389/fpls.2012.00124|imex:IM-26295|pubmed:22737156
Q9FI00,doi:10.3389/fpls.2012.00124|imex:IM-26295|pubmed:22737156
Q9FNH6,doi:10.1126/science.1251358|imex:IM-26362|pubmed:24833385
Q9FVS6,doi:10.1126/science.1251358|imex:IM-26362|pubmed:24833385
Q9LIN9,doi:10.1126/science.1251358|imex:IM-26362|pubmed:24833385
Q9LSP7,doi:10.1126/science.1251358|imex:IM-26362|pubmed:24833385
Q9LYG2,doi:10.1126/science.1251358|imex:IM-26362|pubmed:24833385
Q9LYI4,doi:10.1126/science.1251358|imex:IM-26362|pubmed:24833385
Q9LZD2,doi:10.1126/science.1251358|imex:IM-26362|pubmed:24833385
Q9M0B0,doi:10.1126/science.1251358|imex:IM-26362|pubmed:24833385
Q9M132,doi:10.1126/science.1251358|imex:IM-26362|pubmed:24833385
Q9PHP0,pubmed:17615063
Q9PM41,pubmed:17615063
Q9PMK7,pubmed:17615063
Q9PP34,pubmed:17615063
Q9SEL6,doi:10.3389/fpls.2012.00124|imex:IM-26295|pubmed:22737156
Q9SHI7,doi:10.1126/science.1251358|imex:IM-26362|pubmed:24833385
Q9SUZ7,doi:10.1126/science.1251358|imex:IM-26362|pubmed:24833385
Q9SX96,doi:10.1126/science.1251358|imex:IM-26362|pubmed:24833385
Q9SXA0,doi:10.1126/science.1251358|imex:IM-26362|pubmed:24833385
Q9XFM6,doi:10.1126/science.1251358|imex:IM-26362|pubmed:24833385
Q9XII4,doi:10.1126/science.1251358|imex:IM-26362|pubmed:24833385
Q9ZNV8,doi:10.3389/fpls.2012.00124|imex:IM-26295|pubmed:22737156
Q9ZRF9,doi:10.3389/fpls.2012.00124|imex:IM-26295|pubmed:22737156
