Count;InterProID;pubmeds;Name;ShortDescription
46;Homo sapiens;"IPR000222
IPR000504
IPR001017
IPR001129
IPR001412
IPR001537
IPR001763
IPR001844
IPR001907
IPR001932
IPR002300
IPR002302
IPR002305
IPR002307
IPR002312
IPR002314
IPR002320
IPR002343
IPR002423
IPR003000
IPR003111
IPR003231
IPR003593
IPR003594
IPR003789
IPR003959
IPR004095
IPR004115
IPR004154
IPR004364
IPR004365
IPR004413
IPR004524
IPR004815
IPR005467
IPR006075
IPR006076
IPR006089
IPR006091
IPR006162
IPR006195
IPR006222
IPR008268
IPR008269
IPR009008
IPR009075
IPR009080
IPR009081
IPR009100
IPR011234
IPR012340
IPR012675
IPR012676
IPR012677
IPR012947
IPR013123
IPR013155
IPR013177
IPR013786
IPR013977
IPR014721
IPR014729
IPR014746
IPR014816
IPR015655
IPR015947
IPR017958
IPR017959
IPR018027
IPR018163
IPR018215
IPR018370
IPR018955
IPR020568
IPR023168
IPR023352
IPR023562
IPR024088
IPR025709
IPR026587
IPR026590
IPR026591
IPR027065
IPR027266
IPR027409
IPR027410
IPR027413
IPR027417
IPR027503
IPR028896
IPR029026
IPR029028
IPR029035
IPR029043
IPR029045
IPR029061
IPR029063
IPR029064
IPR029351
IPR032503
IPR033135
IPR033728
IPR034183
IPR034406
IPR035979
IPR036188
IPR036250
IPR036457
IPR036621
IPR036663
IPR036736
IPR036784
IPR036890
IPR036986
IPR037069
IPR039028
IPR045864
IPR046336
IPR046373
IPR047089
IPR047090
IPR047246
IPR049470
IPR050134
IPR050771
IPR050997
IPR051259
IPR053888
IPR054151
IPR054594";;
22;IPR027417;"doi:10.1016/j.cell.2021.04.011
doi:10.1038/nature22366
imex:IM-24272
imex:IM-25778
imex:IM-26452
imex:IM-26684
imex:IM-29278
imex:IM-29540
imex:IM-30175
imex:IM-30494
pubmed:26496610
pubmed:28514442
pubmed:30177828
pubmed:31046837
pubmed:33961781
pubmed:35839996
pubmed:36012204
pubmed:38554706";P-loop containing nucleoside triphosphate hydrolase;"<p>The P-loop NTPase fold is the most prevalent domain of the several distinct nucleotide-binding protein folds.</p>

<p>The most common reaction catalysed by enzymes of the P-loop NTPase fold is the hydrolysis of the beta-gamma phosphate bond of a bound nucleoside triphosphate (NTP). The energy from NTP hydrolysis is typically utilised to induce conformational changes in other molecules, which constitutes the basis of the biological functions of most P-loop NTPases. P-loop NTPases show substantial substrate preference for either ATP or GTP [[cite:PUB00064266]].</p>"
14;IPR012677;"doi:10.1016/j.cell.2021.04.011
doi:10.1038/nature22366
imex:IM-25778
imex:IM-29278
imex:IM-30059
pubmed:28514442
pubmed:33961781
pubmed:39251607";Nucleotide-binding alpha-beta plait domain superfamily;"<p>This superfamily represents nucleotide-binding domains with an α-β plait structure, which consists of either a ferredoxin-like (β-α-β)2 fold, such as that found in RNA-binding domains of various ribonucleoproteins or in viral DNA-binding domains [[cite:PUB00016352], [cite:PUB00007413]]; or a β-(α)-β-α-β(2) fold, such as that found in the ribosomal protein L23 [[cite:PUB00016354]].</p>"
12;IPR012340;"doi:10.1016/j.cell.2021.04.011
doi:10.1038/nature22366
imex:IM-25778
imex:IM-29278
imex:IM-30059
pubmed:28514442
pubmed:33961781
pubmed:39251607";Nucleic acid-binding, OB-fold;"<p>A five-stranded β-barrel was first noted as a common structure among four proteins binding single-stranded nucleic acids (staphylococcal nuclease and aspartyl-tRNA synthetase) or oligosaccharides (B subunits of enterotoxin and verotoxin-1), and has been termed the oligonucleotide/oligosaccharide binding motif, or OB fold, a five-stranded β-sheet coiled to form a closed β-barrel capped by an α helix located between the third and fourth strands [[cite:PUB00016307]]. Two ribosomal proteins, S17 and S1, are members of this class and have different variations of the OB fold theme. Comparisons with other OB fold nucleic acid binding proteins suggest somewhat different mechanisms of nucleic acid recognition in each case [[cite:PUB00011768]].</p>

<p>There are many nucleic acid-binding proteins that contain domains with this OB-fold structure, including:</p>

<ul><li>Large ribosomal subunit protein uL2</li>
  <li>Small ribosomal subunit protein uS12</li>
  <li>DNA ligase</li>
  <li>Polyribonucleotide nucleotidyltransferase</li>
  <li>Phage ssDNA-binding proteins (gp32, gp2.5, gpV)</li>
  <li>Holliday junction branch migration complex subunit RuvA</li>
  <li>Elongation factor P</li></ul>"
10;IPR035979;"doi:10.1016/j.cell.2021.04.011
imex:IM-29278
imex:IM-30059
pubmed:33961781
pubmed:39251607";RNA-binding domain superfamily;"<p>Many eukaryotic proteins containing one or more copies of a putative RNA-binding domain of about 90 amino acids are known to bind single-stranded RNAs [[cite:PUB00005341], [cite:PUB00034493], [cite:PUB00034494]]. The largest group of single strand RNA-binding proteins is the eukaryotic RNA recognition motif (RRM) family that contains an eight amino acid RNP-1 consensus sequence [[cite:PUB00001891], [cite:PUB00034495]]. RRM proteins have a variety of RNA binding preferences and functions, and include heterogeneous nuclear ribonucleoproteins (hnRNPs), proteins implicated in regulation of alternative splicing (SR, U2AF, Sxl), protein components of small nuclear ribonucleoproteins (U1 and U2 snRNPs), and proteins that regulate RNA stability and translation (PABP, La, Hu) [[cite:PUB00034493], [cite:PUB00034494], [cite:PUB00034495]]. The RRM in heterodimeric splicing factor U2 snRNP auxiliary factor (U2AF) appears to have two RRM-like domains with specialised features for protein recognition [[cite:PUB00016352]]. The motif also appears in a few single stranded DNA binding proteins.</p>

<p>The typical RRM consists of four anti-parallel β-strands and two α-helices arranged in a β-α-β-β-α-β fold with side chains that stack with RNA bases. Specificity of RNA binding is determined by multiple contacts with surrounding amino acids. A third helix is present during RNA binding in some cases [[cite:PUB00004440]]. The RRM is reviewed in a number of publications [[cite:PUB00034496], [cite:PUB00034497], [cite:PUB00034498]].</p>

<p>This entry also includes some bacterial putative RNA-binding proteins.</p>"
10;IPR000504;"doi:10.1016/j.cell.2021.04.011
imex:IM-29278
imex:IM-30059
pubmed:33961781
pubmed:39251607";RNA recognition motif domain;"<p>Many eukaryotic proteins containing one or more copies of a putative RNA-binding domain of about 90 amino acids are known to bind single-stranded RNAs [[cite:PUB00005341], [cite:PUB00034493], [cite:PUB00034494]]. The largest group of single strand RNA-binding proteins is the eukaryotic RNA recognition motif (RRM) family that contains an eight amino acid RNP-1 consensus sequence [[cite:PUB00001891], [cite:PUB00034495]]. RRM proteins have a variety of RNA binding preferences and functions, and include heterogeneous nuclear ribonucleoproteins (hnRNPs), proteins implicated in regulation of alternative splicing (SR, U2AF, Sxl), protein components of small nuclear ribonucleoproteins (U1 and U2 snRNPs), and proteins that regulate RNA stability and translation (PABP, La, Hu) [[cite:PUB00034493], [cite:PUB00034494], [cite:PUB00034495]]. The RRM in heterodimeric splicing factor U2 snRNP auxiliary factor (U2AF) appears to have two RRM-like domains with specialised features for protein recognition [[cite:PUB00016352]]. The motif also appears in a few single stranded DNA binding proteins.</p>

<p>The typical RRM consists of four anti-parallel β-strands and two α-helices arranged in a β-α-β-β-α-β fold with side chains that stack with RNA bases. Specificity of RNA binding is determined by multiple contacts with surrounding amino acids. A third helix is present during RNA binding in some cases [[cite:PUB00004440]]. The RRM is reviewed in a number of publications [[cite:PUB00034496], [cite:PUB00034497], [cite:PUB00034498]].</p>

<p>This entry also includes some bacterial putative RNA-binding proteins.</p>"
10;IPR011009;"imex:IM-16524
imex:IM-26684
imex:IM-29494
mint:MINT-5216804
pubmed:14605208
pubmed:19123269
pubmed:31046837
pubmed:35384245";Protein kinase-like domain superfamily;"<p>This entry represents the protein kinase domain superfamily containing the catalytic function of protein kinases. This domain is found in serine/threonine-protein kinases, tyrosine-protein kinases and dual-specificity protein kinases. Protein kinases ([interpro:IPR000719]) modify other proteins by chemically adding phosphate groups to them. This process is fundamental to most signalling and regulatory processes in the eukaryotic cell [[cite:PUB00014025]].</p>; <p>Eukaryotic protein kinases [[cite:PUB00003569], [cite:PUB00005115], [cite:PUB00015293], [cite:PUB00001530], [cite:PUB00003568]] are enzymes that belong to a very extensive family of proteins which share a conserved catalytic core common with both serine/threonine and tyrosine protein kinases. There are a number of conserved regions in the catalytic domain of protein kinases. In the N-terminal extremity of the catalytic domain there is a glycine-rich stretch of residues in the vicinity of a lysine residue, which has been shown to be involved in ATP binding. In the central part of the catalytic domain there is a conserved aspartic acid residue which is important for the catalytic activity of the enzyme [[cite:PUB00005145]].</p>; <p>Protein phosphorylation, which plays a key role in most cellular activities, is a reversible process mediated by protein kinases and phosphoprotein phosphatases. Protein kinases catalyse the transfer of the gamma phosphate from nucleotide triphosphates (often ATP) to one or more amino acid residues in a protein substrate side chain, resulting in a conformational change affecting protein function. Phosphoprotein phosphatases catalyse the reverse process. 
Protein kinases fall into three broad classes, characterised with respect to substrate specificity [[cite:PUB00005115]]:</p>

<ul>
<li>Serine/threonine-protein kinases</li>
<li>Tyrosine-protein kinases</li>
<li>Dual specificity protein kinases (e.g. MEK -phosphorylates both Thr and Tyr on target proteins)</li>
</ul>

<p>Protein kinase function is evolutionarily conserved from Escherichia coli to human [[cite:PUB00020114]]. Protein kinases play a role in a multitude of cellular processes, including division, proliferation, apoptosis, and differentiation [[cite:PUB00015362]]. Phosphorylation usually results in a functional change of the target protein by changing enzyme activity, cellular location, or association with other proteins. The catalytic subunits of protein kinases are highly conserved, and several structures have been solved [[cite:PUB00034898]], leading to large screens to develop kinase-specific inhibitors for the treatments of a number of diseases [[cite:PUB00034899]].</p>"
8;IPR003593;"imex:IM-24272
imex:IM-29540
imex:IM-30175
pubmed:26496610
pubmed:36012204
pubmed:38554706";AAA+ ATPase domain;"<p>This entry represents the AAA+ ATPase domain found in a range of proteins, including Holliday junction ATP-dependent DNA helicase RuvB from Mycobacterium sp, ATP synthases, and related ATP-dependent proteins.</p>; <p>The proteins in this superfamily are characterised by the structural conservation of a central ATPase domain of about 250 amino acids called the AAA  module. Typically, the AAA  domain can be divided into two structural subdomains, an N-terminal P-loop NTPase α-β-α subdomain that is connected to a smaller C-terminal all-α subdomain. The α-β-α subdomain adopts a Rossman fold and contains several motifs involved in ATP binding and hydrolysis, including classical motifs Walker A and Walker B [[cite:PUB00057226], [cite:PUB00057227]]. The all-α subdomain [[cite:PUB00005841]], is much less conserved across AAA  proteins.</p>; <p>The AAA+ superfamily of ATPases is found in all kingdoms of living organisms where they participate in diverse cellular processes including membrane fusion, proteolysis and DNA replication. Although the terms AAA+ and AAA are often used loosely and interchangeably, the classical AAA family members are distinguished by their possession of the SRH region in the AAA module. Many AAA+ proteins are involved in similar processes to those of AAA proteins (facilitation of protein folding and unfolding, assembly or disassembly of proteins complexes, protein transport and degradation), but others function in replication, recombination, repair and transcription. For a review see [[cite:PUB00057226]].</p>"
8;IPR002141;"imex:IM-25584
imex:IM-30237
pubmed:28169297
pubmed:37758692";Nucleoprotein, influenza virus;<p>Nucleoprotein (NP) from influenza virus is a structural protein which encapsidates the negative-strand viral RNA. NP is one of the main determinants of species specificity. The question of how far the NP gene can cross the species barrier by reassortment and become adapted by mutation to the new host has been discussed [[cite:PUB00006231]].</p>
8;IPR011332;"doi:10.1016/j.cell.2021.04.011
doi:10.1038/nature22366
imex:IM-25778
imex:IM-29278
pubmed:28514442
pubmed:33961781";Zinc-binding ribosomal protein;<p>This superfamily represents a rubredoxin-like metal-binding fold found in bL32, bL33, eL37, eL43, eL40, eL42 and other ribosomal proteins. This domain contains two CX(n)C motifs (where n is usually two) [[cite:PUB00030943], [cite:PUB00030432]].</p>
