PartnerUniProtID,Publications
A0A142I5B9,imex:IM-26452|pubmed:30177828
A2AHJ4,imex:IM-24272|pubmed:26496610
A4D1E9,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
B4DEF8,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
C5E522,imex:IM-25584|pubmed:28169297
E9PZI6,imex:IM-24272|pubmed:26496610
I6TAH8,imex:IM-25584|pubmed:28169297
O14561,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O14880,imex:IM-26301|pubmed:29568061
O15091,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O43347,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O43493,imex:IM-26301|pubmed:29568061
O75152,imex:IM-30059|pubmed:39251607
O75394,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
O75879,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O95714,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P00528,imex:IM-16524|mint:MINT-5216804|pubmed:14605208
P01112,imex:IM-30494|pubmed:35839996
P03466,imex:IM-25584|pubmed:28169297
P06748,imex:IM-30059|pubmed:39251607
P09001,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
P10075,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P10809,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-26301|imex:IM-29278|pubmed:28514442|pubmed:29568061|pubmed:33961781
P12694,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P13569,imex:IM-29540|pubmed:36012204
P18621,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P18824,imex:IM-16527|pubmed:25294943
P19339-3,imex:IM-16524|mint:MINT-5216804|pubmed:14605208
P22607,imex:IM-29494|pubmed:35384245
P26373,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P26440,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P29310-2,imex:IM-16524|mint:MINT-5216804|pubmed:14605208
P29376,imex:IM-29494|pubmed:35384245
P36776,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P40429,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P42766,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P46776,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P46781,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P49406,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
P50336,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P52815,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
P55075-2,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
P61927,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P62241,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
P62280,imex:IM-30059|pubmed:39251607
P62750,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P62753,doi:10.1016/j.cell.2021.04.011|imex:IM-26301|imex:IM-29278|pubmed:29568061|pubmed:33961781
P67809,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P82908,imex:IM-19900|pubmed:11279123
P84098,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P84103,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q00839,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q07973,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q08170,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q10713,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
