Count;InterProID;pubmeds;Name;ShortDescription
68;IPR027417;"doi:10.1016/j.cels.2017.10.010
doi:10.1038/nature03239
imex:IM-13779
imex:IM-17622
imex:IM-21967
imex:IM-24272
imex:IM-26363
imex:IM-26434
imex:IM-26684
imex:IM-27204
imex:IM-29540
imex:IM-29553
imex:IM-29638
imex:IM-2994
mint:MINT-5217509
pubmed:15690043
pubmed:16429126
pubmed:17353931
pubmed:17615063
pubmed:19834901
pubmed:20711500
pubmed:22770215
pubmed:26496610
pubmed:29128334
pubmed:29924966
pubmed:31046837
pubmed:31980649
pubmed:36012204
pubmed:36581701
pubmed:37070168";P-loop containing nucleoside triphosphate hydrolase;"<p>The P-loop NTPase fold is the most prevalent domain of the several distinct nucleotide-binding protein folds.</p>

<p>The most common reaction catalysed by enzymes of the P-loop NTPase fold is the hydrolysis of the beta-gamma phosphate bond of a bound nucleoside triphosphate (NTP). The energy from NTP hydrolysis is typically utilised to induce conformational changes in other molecules, which constitutes the basis of the biological functions of most P-loop NTPases. P-loop NTPases show substantial substrate preference for either ATP or GTP [[cite:PUB00064266]].</p>"
28;Saccharomyces cerevisiae (strain ATCC 204508 / S288c);"IPR000089
IPR000399
IPR000573
IPR001030
IPR001078
IPR001270
IPR001305
IPR001349
IPR001623
IPR001891
IPR001930
IPR002312
IPR002939
IPR003016
IPR003111
IPR003593
IPR003959
IPR004364
IPR004365
IPR004522
IPR004815
IPR006113
IPR006114
IPR006115
IPR006183
IPR006184
IPR006195
IPR006248
IPR006255
IPR008268
IPR008269
IPR008927
IPR008971
IPR011053
IPR011766
IPR012000
IPR012001
IPR012301
IPR012302
IPR012340
IPR012724
IPR012725
IPR012846
IPR013126
IPR013328
IPR014721
IPR014782
IPR015590
IPR015884
IPR015928
IPR015931
IPR015932
IPR015947
IPR016161
IPR016162
IPR016163
IPR018136
IPR018181
IPR018253
IPR018368
IPR018507
IPR019489
IPR020568
IPR023213
IPR023753
IPR024571
IPR027065
IPR027268
IPR027417
IPR027503
IPR028299
IPR029035
IPR029047
IPR029048
IPR029061
IPR029510
IPR034016
IPR036008
IPR036188
IPR036291
IPR036410
IPR036418
IPR036869
IPR037062
IPR039368
IPR041546
IPR042097
IPR043129
IPR045024
IPR045229
IPR045357
IPR045864
IPR046336
IPR046346
IPR048952
IPR050130
IPR050344
IPR050537
IPR050926
IPR054585
IPR054594";;
28;IPR043129;"doi:10.1016/j.cell.2021.04.011
doi:10.1038/nature03239
imex:IM-18714
imex:IM-21967
imex:IM-29278
mint:MINT-5217509
pubmed:15690043
pubmed:16429126
pubmed:17353931
pubmed:19536198
pubmed:23217712
pubmed:33961781";ATPase, nucleotide binding domain;<p>This superfamily comprises domains found in several ATPases, including actin, Hsp70, BadF/BadG/BcrA/BcrD, various kinases, DnaK, ROK, PilM, and Fumble. Members of this superfamily have two lobes, one with nucleotide binding activity, and a second one with substrate binding activity. The lobes can be structurally divided into 4 subdomains - 1A, 1B, 2A, 2B (or 1, 2, 3, 4). The ATP binding site in these ATPases is well conserved, and is located at the junction of the two lobes, in a deep cleft. This superfamily entry represents the nucleotide binding domain (NBD) or the first lobe (subdomains 1A and 1B), which exhibits ATPase activity.</p>
26;IPR000719;"doi:10.1016/j.celrep.2020.108050
doi:10.1016/j.molcel.2020.07.001
imex:IM-25748
imex:IM-26434
imex:IM-26684
imex:IM-28217
imex:IM-29257
imex:IM-29553
imex:IM-30532
pubmed:16429126
pubmed:17353931
pubmed:27086506
pubmed:31046837
pubmed:31980649
pubmed:32707033
pubmed:32814053
pubmed:36581701
pubmed:38884001";Protein kinase domain;"<p>This entry represents the protein kinase domain containing the catalytic function of protein kinases [[cite:PUB00003569]]. This domain is found in serine/threonine-protein kinases, tyrosine-protein kinases and dual specificity protein kinases.</p>; <p>Eukaryotic protein kinases [[cite:PUB00003569], [cite:PUB00005115], [cite:PUB00015293], [cite:PUB00001530], [cite:PUB00003568]] are enzymes that belong to a very extensive family of proteins which share a conserved catalytic core common with both serine/threonine and tyrosine protein kinases. There are a number of conserved regions in the catalytic domain of protein kinases. In the N-terminal extremity of the catalytic domain there is a glycine-rich stretch of residues in the vicinity of a lysine residue, which has been shown to be involved in ATP binding. In the central part of the catalytic domain there is a conserved aspartic acid residue which is important for the catalytic activity of the enzyme [[cite:PUB00005145]].</p>; <p>Protein phosphorylation, which plays a key role in most cellular activities, is a reversible process mediated by protein kinases and phosphoprotein phosphatases. Protein kinases catalyse the transfer of the gamma phosphate from nucleotide triphosphates (often ATP) to one or more amino acid residues in a protein substrate side chain, resulting in a conformational change affecting protein function. Phosphoprotein phosphatases catalyse the reverse process. 
Protein kinases fall into three broad classes, characterised with respect to substrate specificity [[cite:PUB00005115]]:</p>

<ul>
<li>Serine/threonine-protein kinases</li>
<li>Tyrosine-protein kinases</li>
<li>Dual specificity protein kinases (e.g. MEK -phosphorylates both Thr and Tyr on target proteins)</li>
</ul>

<p>Protein kinase function is evolutionarily conserved from Escherichia coli to human [[cite:PUB00020114]]. Protein kinases play a role in a multitude of cellular processes, including division, proliferation, apoptosis, and differentiation [[cite:PUB00015362]]. Phosphorylation usually results in a functional change of the target protein by changing enzyme activity, cellular location, or association with other proteins. The catalytic subunits of protein kinases are highly conserved, and several structures have been solved [[cite:PUB00034898]], leading to large screens to develop kinase-specific inhibitors for the treatments of a number of diseases [[cite:PUB00034899]].</p>"
26;IPR011009;"doi:10.1016/j.celrep.2020.108050
doi:10.1016/j.molcel.2020.07.001
imex:IM-25748
imex:IM-26434
imex:IM-26684
imex:IM-28217
imex:IM-29257
imex:IM-29553
imex:IM-30532
pubmed:16429126
pubmed:17353931
pubmed:27086506
pubmed:31046837
pubmed:31980649
pubmed:32707033
pubmed:32814053
pubmed:36581701
pubmed:38884001";Protein kinase-like domain superfamily;"<p>This entry represents the protein kinase domain superfamily containing the catalytic function of protein kinases. This domain is found in serine/threonine-protein kinases, tyrosine-protein kinases and dual-specificity protein kinases. Protein kinases ([interpro:IPR000719]) modify other proteins by chemically adding phosphate groups to them. This process is fundamental to most signalling and regulatory processes in the eukaryotic cell [[cite:PUB00014025]].</p>; <p>Eukaryotic protein kinases [[cite:PUB00003569], [cite:PUB00005115], [cite:PUB00015293], [cite:PUB00001530], [cite:PUB00003568]] are enzymes that belong to a very extensive family of proteins which share a conserved catalytic core common with both serine/threonine and tyrosine protein kinases. There are a number of conserved regions in the catalytic domain of protein kinases. In the N-terminal extremity of the catalytic domain there is a glycine-rich stretch of residues in the vicinity of a lysine residue, which has been shown to be involved in ATP binding. In the central part of the catalytic domain there is a conserved aspartic acid residue which is important for the catalytic activity of the enzyme [[cite:PUB00005145]].</p>; <p>Protein phosphorylation, which plays a key role in most cellular activities, is a reversible process mediated by protein kinases and phosphoprotein phosphatases. Protein kinases catalyse the transfer of the gamma phosphate from nucleotide triphosphates (often ATP) to one or more amino acid residues in a protein substrate side chain, resulting in a conformational change affecting protein function. Phosphoprotein phosphatases catalyse the reverse process. 
Protein kinases fall into three broad classes, characterised with respect to substrate specificity [[cite:PUB00005115]]:</p>

<ul>
<li>Serine/threonine-protein kinases</li>
<li>Tyrosine-protein kinases</li>
<li>Dual specificity protein kinases (e.g. MEK -phosphorylates both Thr and Tyr on target proteins)</li>
</ul>

<p>Protein kinase function is evolutionarily conserved from Escherichia coli to human [[cite:PUB00020114]]. Protein kinases play a role in a multitude of cellular processes, including division, proliferation, apoptosis, and differentiation [[cite:PUB00015362]]. Phosphorylation usually results in a functional change of the target protein by changing enzyme activity, cellular location, or association with other proteins. The catalytic subunits of protein kinases are highly conserved, and several structures have been solved [[cite:PUB00034898]], leading to large screens to develop kinase-specific inhibitors for the treatments of a number of diseases [[cite:PUB00034899]].</p>"
24;IPR017441;"doi:10.1016/j.celrep.2020.108050
doi:10.1016/j.molcel.2020.07.001
imex:IM-26434
imex:IM-26684
imex:IM-28217
imex:IM-29257
imex:IM-29553
imex:IM-30532
pubmed:16429126
pubmed:17353931
pubmed:31046837
pubmed:31980649
pubmed:32707033
pubmed:32814053
pubmed:36581701
pubmed:38884001";Protein kinase, ATP binding site;"<p>Eukaryotic protein kinases [[cite:PUB00015293], [cite:PUB00001530], [cite:PUB00003568], [cite:PUB00003569], [cite:PUB00005115]] are enzymes that belong to a very extensive family of proteins which share a conserved catalytic core common with both serine/threonine and tyrosine protein kinases. There are a number of conserved regions in the catalytic domain of protein kinases.</p>
<p>This entry represents a conserved site, which is located in the N-terminal extremity of the catalytic domain, where there is a glycine-rich stretch of residues in the vicinity of a lysine residue. It is this lysine residue that has been shown to be involved in ATP binding.</p>; <p>Protein phosphorylation, which plays a key role in most cellular activities, is a reversible process mediated by protein kinases and phosphoprotein phosphatases. Protein kinases catalyse the transfer of the gamma phosphate from nucleotide triphosphates (often ATP) to one or more amino acid residues in a protein substrate side chain, resulting in a conformational change affecting protein function. Phosphoprotein phosphatases catalyse the reverse process. 
Protein kinases fall into three broad classes, characterised with respect to substrate specificity [[cite:PUB00005115]]:</p>

<ul>
<li>Serine/threonine-protein kinases</li>
<li>Tyrosine-protein kinases</li>
<li>Dual specificity protein kinases (e.g. MEK -phosphorylates both Thr and Tyr on target proteins)</li>
</ul>

<p>Protein kinase function is evolutionarily conserved from Escherichia coli to human [[cite:PUB00020114]]. Protein kinases play a role in a multitude of cellular processes, including division, proliferation, apoptosis, and differentiation [[cite:PUB00015362]]. Phosphorylation usually results in a functional change of the target protein by changing enzyme activity, cellular location, or association with other proteins. The catalytic subunits of protein kinases are highly conserved, and several structures have been solved [[cite:PUB00034898]], leading to large screens to develop kinase-specific inhibitors for the treatments of a number of diseases [[cite:PUB00034899]].</p>"
20;IPR029047;"doi:10.1016/j.cell.2021.04.011
doi:10.1038/nature03239
imex:IM-18714
imex:IM-21967
imex:IM-29278
mint:MINT-5217509
pubmed:15690043
pubmed:16429126
pubmed:19536198
pubmed:23217712
pubmed:33961781";Heat shock protein 70kD, peptide-binding domain superfamily;"<p>This superfamily represents peptide-binding β-sandwich domain from DnaK and other
HSP70 proteins.</p>; <p>Members of the 70-kilodalton heat-shock protein (HSP70) family promote protein folding both constitutively and in response to stress. These proteins have two functional units: a substrate-binding unit, and an adenosine triphosphatase unit. The substrate-binding unit of DnaK consists of a β-sandwich domain followed by α-helical segments. The α-helical domain stabilises the complex, but does not contact the peptide directly [[cite:PUB00028362]].</p>"
20;IPR013126;"doi:10.1016/j.cell.2021.04.011
doi:10.1038/nature03239
imex:IM-18714
imex:IM-21967
imex:IM-29278
mint:MINT-5217509
pubmed:15690043
pubmed:16429126
pubmed:19536198
pubmed:23217712
pubmed:33961781";Heat shock protein 70 family;"<p>Heat shock proteins, Hsp70 chaperones help to fold many proteins. Hsp70 assisted folding involves repeated cycles of substrate binding and release. Hsp70 activity is ATP dependent. Hsp70 proteins are made up of two regions: the amino terminus is the ATPase domain and the carboxyl terminus is the substrate binding region [[cite:PUB00000958]].</p>

<p>Hsp70 proteins have an average molecular weight of 70kDa [[cite:PUB00000712], [cite:PUB00000809], [cite:PUB00004019]]. In most species, there are many proteins that belong to the Hsp70 family. Some of these are only expressed under stress conditions (strictly inducible), while some are present in cells under normal growth conditions and are not heat-inducible (constitutive or cognate) [[cite:PUB00004070], [cite:PUB00001766]]. Hsp70 proteins can be found in different cellular compartments (nuclear, cytosolic, mitochondrial, endoplasmic reticulum, for example).</p>

<p>This entry represents the Hsp70 family, and includes chaperone protein DnaK and luminal-binding proteins. It also includes heat shock protein 110 (Hsp110) from Caenorhabditis elegans which helps prevent the aggregation of denatured proteins in neurons [[cite:PUB00082583]]. Also included is endoplasmic reticulum (ER) chaperone BiP (HSPA5) which is important for protein folding and quality control in the ER [[cite:PUB00090977]].</p>; <p>The Heat Shock Protein 70 (HSP70) family is a group of highly conserved molecular chaperones involved in a variety of cellular processes. Members of this family play crucial roles in the folding of newly synthesized proteins, preventing the aggregation of denatured proteins under stress, assisting in protein translocation into organelles, and participating in the degradation of damaged proteins. They are also implicated in the assembly of multimeric protein complexes within the endoplasmic reticulum. Some HSP70 proteins act as nucleotide-exchange factors, promoting the release of ADP from other chaperones to trigger substrate release. They are essential for cellular protection against stress conditions such as heat shock and hypoxia, where they may help in cytoprotection and protein folding.</p>"
20;IPR016024;"doi:10.1016/j.celrep.2020.108050
imex:IM-26684
imex:IM-28217
imex:IM-29638
pubmed:16429126
pubmed:31046837
pubmed:32814053
pubmed:37070168";Armadillo-type fold;"<p>This entry represents a structural domain with an armadillo (ARM)-like fold, consisting of a multi-helical fold comprised of two curved layers of α-helices arranged in a regular right-handed superhelix, where the repeats that make up this structure are arranged about a common axis [[cite:PUB00015442]]. These superhelical structures present an extensive solvent-accessible surface that is well suited to binding large substrates such as proteins and nucleic acids.</p>

<p>The sequence similarity among these different repeats or domains is low, however they exhibit considerable structural similarity. Furthermore, the number of repeats present in the superhelical structure can vary between orthologues, indicating that rapid loss/gain of repeats has occurred frequently in evolution. A common phylogenetic origin has been proposed for the armadillo and HEAT repeats [[cite:PUB00015443]].</p>"
18;IPR004827;"imex:IM-30532
pubmed:38884001";Basic-leucine zipper domain;"<p>The basic-leucine zipper (bZIP) domain transcription factors [[cite:PUB00004967]] of eukaryotic are proteins that contain a basic region mediating sequence-specific DNA-binding followed by a leucine zipper region required for dimerisation.</p>

<p>Several structure of bZIP have been solved. The basic region and the leucine zipper form a contiguous α-helix where the four hydrophobic residues of the leucine zipper are oriented on one side. This conformation allows dimerisation in parallel and it bends the helices so that the newly functional dimer forms a flexible fork where the basic domains, at the N-terminal open end, can then interact with DNA. The two leucine zipper are therefore oriented perpendicular to the DNA [[cite:PUB00017872]].</p>"
