PartnerUniProtID,Publications
O43824,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O75564,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O94763,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P0CG47,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P11908,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P40424,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P40425,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P40426,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P55347,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P56962,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q6FHY5,imex:IM-25472|pubmed:32296183
Q6SPF0,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q7L0Y3,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q7Z333,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q8NFJ9,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q96BD6,imex:IM-25472|pubmed:32296183
Q96JB3,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q96KN3,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9BQ90,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9BX63,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9H3S7,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9H6U6,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9H792,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9NRG1,imex:IM-25472|pubmed:32296183
Q9NS37,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9NTJ4,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9NVV4,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9NWZ5,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9NX01,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9NXL9,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9UEY8,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9UH62,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9UJA3,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
intact:EBI-22617209,imex:IM-25472|pubmed:32296183
