Count;InterProID;pubmeds;Name;ShortDescription
8;IPR027417;"imex:IM-22256
pubmed:17615063
pubmed:24627523";P-loop containing nucleoside triphosphate hydrolase;"<p>The P-loop NTPase fold is the most prevalent domain of the several distinct nucleotide-binding protein folds.</p>

<p>The most common reaction catalysed by enzymes of the P-loop NTPase fold is the hydrolysis of the beta-gamma phosphate bond of a bound nucleoside triphosphate (NTP). The energy from NTP hydrolysis is typically utilised to induce conformational changes in other molecules, which constitutes the basis of the biological functions of most P-loop NTPases. P-loop NTPases show substantial substrate preference for either ATP or GTP [[cite:PUB00064266]].</p>"
6;IPR003593;pubmed:17615063;AAA+ ATPase domain;"<p>This entry represents the AAA+ ATPase domain found in a range of proteins, including Holliday junction ATP-dependent DNA helicase RuvB from Mycobacterium sp, ATP synthases, and related ATP-dependent proteins.</p>; <p>The proteins in this superfamily are characterised by the structural conservation of a central ATPase domain of about 250 amino acids called the AAA  module. Typically, the AAA  domain can be divided into two structural subdomains, an N-terminal P-loop NTPase α-β-α subdomain that is connected to a smaller C-terminal all-α subdomain. The α-β-α subdomain adopts a Rossman fold and contains several motifs involved in ATP binding and hydrolysis, including classical motifs Walker A and Walker B [[cite:PUB00057226], [cite:PUB00057227]]. The all-α subdomain [[cite:PUB00005841]], is much less conserved across AAA  proteins.</p>; <p>The AAA+ superfamily of ATPases is found in all kingdoms of living organisms where they participate in diverse cellular processes including membrane fusion, proteolysis and DNA replication. Although the terms AAA+ and AAA are often used loosely and interchangeably, the classical AAA family members are distinguished by their possession of the SRH region in the AAA module. Many AAA+ proteins are involved in similar processes to those of AAA proteins (facilitation of protein folding and unfolding, assembly or disassembly of proteins complexes, protein transport and degradation), but others function in replication, recombination, repair and transcription. For a review see [[cite:PUB00057226]].</p>"
6;IPR036291;pubmed:17615063;NAD(P)-binding domain superfamily;"<p>This entry represents NAD- and NADP-binding domains superfamily with a core Rossmann-type fold, which consists of three layers (α/β/α) with parallel β-sheet of 6 strands. Many different enzymes contain an NAD/NADP-binding domain, including:</p>

<ul>
<li>C-terminal domain of alcohol dehydrogenases [[cite:PUB00031657]]</li>
<li>Tyrosine-dependent oxidoreductases (also known as short-chain dehydrogenases) [[cite:PUB00000446]]</li>
<li>N-terminal domain of glyceraldehyde-3-phosphate dehydrogenase [[cite:PUB00023536]]</li>
<li>NAD-binding domain of formate/glycerate dehydrogenases [[cite:PUB00032846]]</li>
<li>N-terminal domain of sirohaem synthase [[cite:PUB00029889]]</li>
<li>N-terminal domain of lactate dehydrogenase [[cite:PUB00025866]]</li>
<li>N-terminal domain of 6-phosphogluconate dehydrogenase (the β-sheet is extended to 8 strands) [[cite:PUB00041823]]</li>
<li>C-terminal domain of amino acid dehydrogenases (an extra N-terminal helix displaces the C-terminal helix [[cite:PUB00025375]]</li>
<li>NAD-binding domain of certain potassium channels [[cite:PUB00025981]]</li>
<li>C-terminal domain of the transcriptional repressor Rex [[cite:PUB00032388]]</li>
<li>Ornithine cyclodeaminase [[cite:PUB00031693]]</li>
<li>CoA-binding N-terminal domain of the alpha chain of succinyl-CoA synthetase [[cite:PUB00015984]]</li>
</ul>"
4;IPR017896;"pubmed:16606699
pubmed:17615063";4Fe-4S ferredoxin-type, iron-sulphur binding domain;"<p>Ferredoxins are a group of iron-sulphur proteins which mediate electron transfer in a wide variety of metabolic reactions. Ferredoxins can be divided into several subgroups depending upon the physiological nature of the iron-sulphur cluster(s). One of these subgroups are the 4Fe-4S ferredoxins, which are found in bacteria and which are thus often referred as 'bacterial-type' ferredoxins. The structure of these proteins [[cite:PUB00003399]] consists of the duplication of a domain of twenty six amino acid residues; each of these domains contains four cysteine residues that bind to a 4Fe-4S centre.</p>

<p>Several structures of the 4Fe-4S ferredoxin domain have been determined [[cite:PUB00003332]]. The clusters consist of two interleaved 4Fe- and 4S-tetrahedra forming a cubane-like structure, in such a way that the four iron occupy the eight corners of a distorted cube. Each 4Fe-4S is attached to the polypeptide chain by four covalent Fe-S bonds involving cysteine residues.</p>

<p>A number of proteins have been found [[cite:PUB00001503]] that include one or more 4Fe-4S binding domains similar to those of bacterial-type ferredoxins.</p>

<p>The pattern of cysteine residues in the iron-sulphur region is sufficient to detect this class of 4Fe-4S binding proteins. This entry represents the whole domain.</p>

<p>Note: In some bacterial ferredoxins, one of the two duplicated domains has lost one or more of the four conserved cysteines. The consequence of such variations is that these domains have either lost their iron-sulphur binding property or bind to a 3Fe-3S centre instead of a 4Fe-4S centre.</p>"
4;IPR017900;"pubmed:16606699
pubmed:17615063";4Fe-4S ferredoxin, iron-sulphur binding, conserved site;"<p>This entry represents a conserved site of Fe-4S ferredoxin, iron-sulphur binding domain</p>

<p>Ferredoxins are iron-sulphur proteins that mediate electron transfer in a range of metabolic reactions; they fall into several subgroups according to the nature of their iron-sulphur cluster(s) [[cite:PUB00003397], [cite:PUB00003406]]. One group, originally found in bacteria, has been termed ""bacterial-type"", in which the active centre is a 4Fe-4S cluster. 4Fe-4S ferredoxins may in turn be subdivided into further groups, based on their sequence properties. Most contain at least one conserved domain, including four Cys residues that bind to a 4Fe-4S centre.</p>"
4;IPR002347;pubmed:17615063;Short-chain dehydrogenase/reductase SDR;<p>The short-chain dehydrogenases/reductases family (SDR) [[cite:PUB00000419], [cite:PUB00075490]] is a very large family of enzymes, most of which are known to be NAD- or NADP-dependent oxidoreductases. As the first member of this family to be characterised was Drosophila alcohol dehydrogenase, this family used to be called [[cite:PUB00001371], [cite:PUB00001399], [cite:PUB00001408]] 'insect-type', or 'short-chain' alcohol dehydrogenases. Most members of this family are proteins of about 250 to 300 amino acid residues. Most dehydrogenases possess at least 2 domains [[cite:PUB00004592]], the first binding the coenzyme, often NAD, and the second binding the substrate. This latter domain determines the substrate specificity and contains amino acids involved in catalysis. Little sequence similarity has been found in the coenzyme binding domain although there is a large degree of structural similarity, and it has therefore been suggested that the structure of dehydrogenases has arisen through gene fusion of a common ancestral coenzyme nucleotide sequence with various substrate specific domains [[cite:PUB00004592]].</p>
4;IPR046357;pubmed:17615063;Peptidyl-prolyl cis-trans isomerase domain superfamily;"<p>This superfamily represents the peptidyl-prolyl cis-trans isomerase domain found in a wide range of proteins, including trigger factor [[cite:PUB00038013], [cite:PUB00099906]], FK506-binding proteins [[cite:PUB00025822], [cite:PUB00034622]], proteins from the parvulin family such as Par10 from E.coli, Pin1 and Par14 from human or Pin from plants [[cite:PUB00028754]], chaperone SurA [[cite:PUB00028929], [cite:PUB00099907]] and foldase protein PrsA [[cite:PUB00053986]]. This domain catalyses cis/trans isomerization of peptidyl-prolyl bonds, which is often rate-limiting for protein folding.</p>

<p>This domain consists of a flattened β-barrel of four/six-stranded, antiparallel sheets, surrounded by four/six α-helices.</p>"
4;IPR029055;pubmed:17615063;Nucleophile aminohydrolases, N-terminal;"<p>The N-terminal of the nucleophile aminohydrolase (Ntn hydrolases) provides two catalytic groups, nucleophile and proton donor. Ntn hydrolases use the side chain of the amino-terminal residue, incorporated in a β-sheet, as the nucleophile in the catalytic attack at the carbonyl carbon. The nucleophile is cysteine in GAT, serine in penicillin acylase, and threonine in the proteasome. All the enzymes share an unusual fold in which the nucleophile and other catalytic groups occupy equivalent sites. This fold provides both the capacity for nucleophilic attack and the possibility of autocatalytic processing [[cite:PUB00050262]].</p>

<p>Some nucleophile aminohydrolases include:</p>

<ul><li>ATP-dependent protease subunit HslV</li>
  <li>Glutamine--fructose-6-phosphate aminotransferase [isomerizing]</li>
  <li>Proteasome subunits</li>
  <li>Amidophosphoribosyltransferase</li>
  <li>Related proteins</li></ul>"
2;IPR005747;"imex:IM-22256
pubmed:24627523";Endonuclease MutS2;"<p>This entry represents endonuclease MutS2. MutS2 is a paralogue of MutS and is not involved in DNA mismatch repair but in the suppression of homologous recombination [[cite:PUB00068032], [cite:PUB00068033], [cite:PUB00050421], [cite:PUB00068769]]. It may therefore have a key role in the control of bacterial genetic diversity.</p>; <p>The MutS family of proteins is named after the Salmonella typhimurium MutS protein involved in mismatch repair. Homologues of MutS have been found in many species including eukaryotes (MSH 1, 2, 3, 4, 5, and 6 proteins), archaea and bacteria, and together these proteins have been grouped into the MutS family. Although many of these proteins have similar activities to the E. coli MutS, there is significant diversity of function among the MutS family members. Inter-species homologues may have arisen through frequent ancient horizontal gene transfer of MutS (and MutL) from bacteria to archaea and eukaryotes via endosymbiotic ancestors of mitochondria and chloroplasts [[cite:PUB00042615]].</p>"
2;IPR045076;"imex:IM-22256
pubmed:24627523";DNA mismatch repair MutS;<p>Mismatch repair contributes to the overall fidelity of DNA replication and is essential for combating the adverse effects of damage to the genome. It involves the correction of mismatched base pairs that have been missed by the proofreading element of the DNA polymerase complex. The post-replicative Mismatch Repair System (MMRS) of Escherichia coli involves MutS (Mutator S), MutL and MutH proteins, and acts to correct point mutations or small insertion/deletion loops produced during DNA replication [[cite:PUB00042612]]. MutS and MutL are involved in preventing recombination between partially homologous DNA sequences. The assembly of MMRS is initiated by MutS, which recognises and binds to mispaired nucleotides and allows further action of MutL and MutH to eliminate a portion of newly synthesized DNA strand containing the mispaired base [[cite:PUB00042613]]. MutS can also collaborate with methyltransferases in the repair of O(6)-methylguanine damage, which would otherwise pair with thymine during replication to create an O(6)mG:T mismatch [[cite:PUB00042614]]. MutS exists as a dimer, where the two monomers have different conformations and form a heterodimer at the structural level [[cite:PUB00042218]]. Only one monomer recognises the mismatch specifically and has ADP bound. Non-specific major groove DNA-binding domains from both monomers embrace the DNA in a clamp-like structure. Mismatch binding induces ATP uptake and a conformational change in the MutS protein, resulting in a clamp that translocates on DNA.</p>
