PartnerUniProtID,Publications
A1L0T0,doi:10.1074/mcp.ra118.000924|imex:IM-26653|pubmed:30021884
B2RNN3,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O15460,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O43824,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O75556,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O75564,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O75636,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O76061,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O94763,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O95711,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O95969,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P01308,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P01857,imex:IM-28585|pubmed:20423149
P01876,imex:IM-28585|pubmed:20423149
P02747,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P02768,imex:IM-19123|pubmed:15174051
P04085,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P04090,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P04808,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P06733,imex:IM-16425|pubmed:23414517
P08253,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P09681,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P09919,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P0C862,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P0CG47,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P11464,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P11908,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P13569,imex:IM-12000|pubmed:17110338
P13674,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P14780,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P17050,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P18433,doi:10.1016/j.cell.2019.09.008|imex:IM-27423|pubmed:31585087
P18847,imex:IM-30532|pubmed:38884001
P25067,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P29459,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P30837,doi:10.1074/mcp.ra118.000924|imex:IM-26653|pubmed:30021884
P32119,imex:IM-25054|pubmed:27173435|pubmed:unassigned1312
P35221,imex:IM-30532|pubmed:38884001
P35968,doi:10.1016/j.cell.2019.09.008|imex:IM-27423|pubmed:31585087
P36888,doi:10.1016/j.cell.2019.09.008|imex:IM-27423|pubmed:31585087
P40424,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P40425,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P40426,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P40933,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P51692,doi:10.1016/j.cell.2019.09.008|imex:IM-27423|pubmed:31585087
P51888,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P55347,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
