Count;InterProID;pubmeds;Name;ShortDescription
122;IPR027417;"imex:IM-16529
imex:IM-26434
imex:IM-26684
imex:IM-27204
imex:IM-29540
imex:IM-29553
imex:IM-29638
imex:IM-30012
imex:IM-30072
imex:IM-30175
pubmed:16429126
pubmed:16606699
pubmed:17615063
pubmed:19536198
pubmed:21565611
pubmed:29924966
pubmed:31046837
pubmed:31980649
pubmed:34524948
pubmed:35273242
pubmed:36012204
pubmed:36581701
pubmed:37070168
pubmed:38554706";P-loop containing nucleoside triphosphate hydrolase;"<p>The P-loop NTPase fold is the most prevalent domain of the several distinct nucleotide-binding protein folds.</p>

<p>The most common reaction catalysed by enzymes of the P-loop NTPase fold is the hydrolysis of the beta-gamma phosphate bond of a bound nucleoside triphosphate (NTP). The energy from NTP hydrolysis is typically utilised to induce conformational changes in other molecules, which constitutes the basis of the biological functions of most P-loop NTPases. P-loop NTPases show substantial substrate preference for either ATP or GTP [[cite:PUB00064266]].</p>"
108;IPR011009;"doi:10.1016/j.molcel.2020.07.001
doi:10.1038/nn.4594
imex:IM-17578
imex:IM-22750
imex:IM-22990
imex:IM-23674
imex:IM-24272
imex:IM-26285
imex:IM-26434
imex:IM-26684
imex:IM-26691
imex:IM-29257
imex:IM-29494
mint:MINT-5216883
pubmed:14743216
pubmed:16429126
pubmed:23455922
pubmed:24855944
pubmed:25852190
pubmed:26496610
pubmed:26972000
pubmed:28671696
pubmed:30833792
pubmed:31046837
pubmed:31980649
pubmed:32707033
pubmed:35384245";Protein kinase-like domain superfamily;"<p>This entry represents the protein kinase domain superfamily containing the catalytic function of protein kinases. This domain is found in serine/threonine-protein kinases, tyrosine-protein kinases and dual-specificity protein kinases. Protein kinases ([interpro:IPR000719]) modify other proteins by chemically adding phosphate groups to them. This process is fundamental to most signalling and regulatory processes in the eukaryotic cell [[cite:PUB00014025]].</p>; <p>Eukaryotic protein kinases [[cite:PUB00003569], [cite:PUB00005115], [cite:PUB00015293], [cite:PUB00001530], [cite:PUB00003568]] are enzymes that belong to a very extensive family of proteins which share a conserved catalytic core common with both serine/threonine and tyrosine protein kinases. There are a number of conserved regions in the catalytic domain of protein kinases. In the N-terminal extremity of the catalytic domain there is a glycine-rich stretch of residues in the vicinity of a lysine residue, which has been shown to be involved in ATP binding. In the central part of the catalytic domain there is a conserved aspartic acid residue which is important for the catalytic activity of the enzyme [[cite:PUB00005145]].</p>; <p>Protein phosphorylation, which plays a key role in most cellular activities, is a reversible process mediated by protein kinases and phosphoprotein phosphatases. Protein kinases catalyse the transfer of the gamma phosphate from nucleotide triphosphates (often ATP) to one or more amino acid residues in a protein substrate side chain, resulting in a conformational change affecting protein function. Phosphoprotein phosphatases catalyse the reverse process. 
Protein kinases fall into three broad classes, characterised with respect to substrate specificity [[cite:PUB00005115]]:</p>

<ul>
<li>Serine/threonine-protein kinases</li>
<li>Tyrosine-protein kinases</li>
<li>Dual specificity protein kinases (e.g. MEK -phosphorylates both Thr and Tyr on target proteins)</li>
</ul>

<p>Protein kinase function is evolutionarily conserved from Escherichia coli to human [[cite:PUB00020114]]. Protein kinases play a role in a multitude of cellular processes, including division, proliferation, apoptosis, and differentiation [[cite:PUB00015362]]. Phosphorylation usually results in a functional change of the target protein by changing enzyme activity, cellular location, or association with other proteins. The catalytic subunits of protein kinases are highly conserved, and several structures have been solved [[cite:PUB00034898]], leading to large screens to develop kinase-specific inhibitors for the treatments of a number of diseases [[cite:PUB00034899]].</p>"
104;IPR000719;"doi:10.1016/j.molcel.2020.07.001
doi:10.1038/nn.4594
imex:IM-17578
imex:IM-22750
imex:IM-23674
imex:IM-24272
imex:IM-26285
imex:IM-26434
imex:IM-26684
imex:IM-26691
imex:IM-29257
imex:IM-29494
mint:MINT-5216883
pubmed:14743216
pubmed:16429126
pubmed:23455922
pubmed:25852190
pubmed:26496610
pubmed:26972000
pubmed:28671696
pubmed:30833792
pubmed:31046837
pubmed:31980649
pubmed:32707033
pubmed:35384245";Protein kinase domain;"<p>This entry represents the protein kinase domain containing the catalytic function of protein kinases [[cite:PUB00003569]]. This domain is found in serine/threonine-protein kinases, tyrosine-protein kinases and dual specificity protein kinases.</p>; <p>Eukaryotic protein kinases [[cite:PUB00003569], [cite:PUB00005115], [cite:PUB00015293], [cite:PUB00001530], [cite:PUB00003568]] are enzymes that belong to a very extensive family of proteins which share a conserved catalytic core common with both serine/threonine and tyrosine protein kinases. There are a number of conserved regions in the catalytic domain of protein kinases. In the N-terminal extremity of the catalytic domain there is a glycine-rich stretch of residues in the vicinity of a lysine residue, which has been shown to be involved in ATP binding. In the central part of the catalytic domain there is a conserved aspartic acid residue which is important for the catalytic activity of the enzyme [[cite:PUB00005145]].</p>; <p>Protein phosphorylation, which plays a key role in most cellular activities, is a reversible process mediated by protein kinases and phosphoprotein phosphatases. Protein kinases catalyse the transfer of the gamma phosphate from nucleotide triphosphates (often ATP) to one or more amino acid residues in a protein substrate side chain, resulting in a conformational change affecting protein function. Phosphoprotein phosphatases catalyse the reverse process. 
Protein kinases fall into three broad classes, characterised with respect to substrate specificity [[cite:PUB00005115]]:</p>

<ul>
<li>Serine/threonine-protein kinases</li>
<li>Tyrosine-protein kinases</li>
<li>Dual specificity protein kinases (e.g. MEK -phosphorylates both Thr and Tyr on target proteins)</li>
</ul>

<p>Protein kinase function is evolutionarily conserved from Escherichia coli to human [[cite:PUB00020114]]. Protein kinases play a role in a multitude of cellular processes, including division, proliferation, apoptosis, and differentiation [[cite:PUB00015362]]. Phosphorylation usually results in a functional change of the target protein by changing enzyme activity, cellular location, or association with other proteins. The catalytic subunits of protein kinases are highly conserved, and several structures have been solved [[cite:PUB00034898]], leading to large screens to develop kinase-specific inhibitors for the treatments of a number of diseases [[cite:PUB00034899]].</p>"
90;IPR017441;"doi:10.1016/j.molcel.2020.07.001
doi:10.1038/nn.4594
imex:IM-22750
imex:IM-26285
imex:IM-26434
imex:IM-26684
imex:IM-26691
imex:IM-29257
imex:IM-29494
mint:MINT-5216883
pubmed:14743216
pubmed:16429126
pubmed:26972000
pubmed:28671696
pubmed:30833792
pubmed:31046837
pubmed:31980649
pubmed:32707033
pubmed:35384245";Protein kinase, ATP binding site;"<p>Eukaryotic protein kinases [[cite:PUB00015293], [cite:PUB00001530], [cite:PUB00003568], [cite:PUB00003569], [cite:PUB00005115]] are enzymes that belong to a very extensive family of proteins which share a conserved catalytic core common with both serine/threonine and tyrosine protein kinases. There are a number of conserved regions in the catalytic domain of protein kinases.</p>
<p>This entry represents a conserved site, which is located in the N-terminal extremity of the catalytic domain, where there is a glycine-rich stretch of residues in the vicinity of a lysine residue. It is this lysine residue that has been shown to be involved in ATP binding.</p>; <p>Protein phosphorylation, which plays a key role in most cellular activities, is a reversible process mediated by protein kinases and phosphoprotein phosphatases. Protein kinases catalyse the transfer of the gamma phosphate from nucleotide triphosphates (often ATP) to one or more amino acid residues in a protein substrate side chain, resulting in a conformational change affecting protein function. Phosphoprotein phosphatases catalyse the reverse process. 
Protein kinases fall into three broad classes, characterised with respect to substrate specificity [[cite:PUB00005115]]:</p>

<ul>
<li>Serine/threonine-protein kinases</li>
<li>Tyrosine-protein kinases</li>
<li>Dual specificity protein kinases (e.g. MEK -phosphorylates both Thr and Tyr on target proteins)</li>
</ul>

<p>Protein kinase function is evolutionarily conserved from Escherichia coli to human [[cite:PUB00020114]]. Protein kinases play a role in a multitude of cellular processes, including division, proliferation, apoptosis, and differentiation [[cite:PUB00015362]]. Phosphorylation usually results in a functional change of the target protein by changing enzyme activity, cellular location, or association with other proteins. The catalytic subunits of protein kinases are highly conserved, and several structures have been solved [[cite:PUB00034898]], leading to large screens to develop kinase-specific inhibitors for the treatments of a number of diseases [[cite:PUB00034899]].</p>"
82;Saccharomyces cerevisiae (strain ATCC 204508 / S288c);"IPR000089
IPR000115
IPR000131
IPR000169
IPR000399
IPR000559
IPR000581
IPR000634
IPR000672
IPR000689
IPR000740
IPR000795
IPR000796
IPR001017
IPR001078
IPR001270
IPR001305
IPR001349
IPR001412
IPR001544
IPR001623
IPR001721
IPR001891
IPR001926
IPR001930
IPR002092
IPR002225
IPR002300
IPR002305
IPR002306
IPR002312
IPR002328
IPR002938
IPR002939
IPR003016
IPR003111
IPR003593
IPR003959
IPR004113
IPR004134
IPR004160
IPR004161
IPR004167
IPR004193
IPR004364
IPR004365
IPR004404
IPR004434
IPR004493
IPR004522
IPR004523
IPR004541
IPR004733
IPR004815
IPR004838
IPR004839
IPR005225
IPR005475
IPR005786
IPR005787
IPR006047
IPR006048
IPR006094
IPR006195
IPR006255
IPR006257
IPR008268
IPR008269
IPR008630
IPR008971
IPR009000
IPR009001
IPR009008
IPR009012
IPR009014
IPR009071
IPR009080
IPR010918
IPR010971
IPR011032
IPR011053
IPR011054
IPR011761
IPR011766
IPR012000
IPR012001
IPR012301
IPR012302
IPR012340
IPR012724
IPR012725
IPR012846
IPR013126
IPR013149
IPR013154
IPR013155
IPR013780
IPR013783
IPR013805
IPR013815
IPR014721
IPR014729
IPR014756
IPR014758
IPR014782
IPR015413
IPR015421
IPR015422
IPR015424
IPR015590
IPR015884
IPR015947
IPR016160
IPR016161
IPR016162
IPR016163
IPR016164
IPR016166
IPR016169
IPR016171
IPR016185
IPR016188
IPR017597
IPR017853
IPR018168
IPR018181
IPR018253
IPR018285
IPR018300
IPR018368
IPR018507
IPR019489
IPR019818
IPR020558
IPR020559
IPR020560
IPR020561
IPR020562
IPR020568
IPR020628
IPR020630
IPR020631
IPR020843
IPR020867
IPR023213
IPR023458
IPR023632
IPR023753
IPR024075
IPR024084
IPR024571
IPR025660
IPR027065
IPR027110
IPR027268
IPR027417
IPR027503
IPR028299
IPR029035
IPR029038
IPR029044
IPR029047
IPR029048
IPR029061
IPR029262
IPR029510
IPR031157
IPR033248
IPR033720
IPR033911
IPR033939
IPR034016
IPR035968
IPR036038
IPR036052
IPR036188
IPR036291
IPR036318
IPR036410
IPR036418
IPR036625
IPR036676
IPR036869
IPR036910
IPR036921
IPR037062
IPR037123
IPR037159
IPR037237
IPR037439
IPR038110
IPR038765
IPR039368
IPR041546
IPR041709
IPR041872
IPR042096
IPR042097
IPR043129
IPR043131
IPR043132
IPR043502
IPR045024
IPR045229
IPR045257
IPR045357
IPR045864
IPR045865
IPR046336
IPR046346
IPR046950
IPR048952
IPR050055
IPR050130
IPR050147
IPR050165
IPR050177
IPR050203
IPR050344
IPR050537
IPR050642
IPR051205
IPR051965
IPR054585
IPR054594
IPR055416
IPR056740";;
78;IPR008271;"doi:10.1016/j.molcel.2020.07.001
doi:10.1038/nn.4594
imex:IM-22750
imex:IM-26285
imex:IM-26434
imex:IM-26684
imex:IM-26691
imex:IM-29257
mint:MINT-5216883
pubmed:14743216
pubmed:16429126
pubmed:26972000
pubmed:28671696
pubmed:30833792
pubmed:31046837
pubmed:31980649
pubmed:32707033";Serine/threonine-protein kinase, active site;"<p>Eukaryotic protein kinases [[cite:PUB00001530], [cite:PUB00003568], [cite:PUB00003569], [cite:PUB00005115]] are enzymes that belong to a very extensive family of proteins which share a conserved catalytic core common with both serine/threonine and tyrosine protein kinases. There are a number of conserved regions in the catalytic domain of protein kinases. In the N-terminal extremity of the catalytic domain there is a glycine-rich stretch of residues in the vicinity of a lysine residue, which has been shown to be involved in ATP binding. In the central part of the catalytic domain there is a conserved aspartic acid residue, which is important for the catalytic activity of the enzyme [[cite:PUB00005145]].</p>

<p>This entry represents a conserved region that surrounds the active site aspartate residue and it is more specific for serine/threonine protein kinases. It also matches several dual-specificity protein kinases and members of WEE kinase family that are bona fide tyrosine protein kinases.</p>; <p>Protein phosphorylation, which plays a key role in most cellular activities, is a reversible process mediated by protein kinases and phosphoprotein phosphatases. Protein kinases catalyse the transfer of the gamma phosphate from nucleotide triphosphates (often ATP) to one or more amino acid residues in a protein substrate side chain, resulting in a conformational change affecting protein function. Phosphoprotein phosphatases catalyse the reverse process. 
Protein kinases fall into three broad classes, characterised with respect to substrate specificity [[cite:PUB00005115]]:</p>

<ul>
<li>Serine/threonine-protein kinases</li>
<li>Tyrosine-protein kinases</li>
<li>Dual specificity protein kinases (e.g. MEK -phosphorylates both Thr and Tyr on target proteins)</li>
</ul>

<p>Protein kinase function is evolutionarily conserved from Escherichia coli to human [[cite:PUB00020114]]. Protein kinases play a role in a multitude of cellular processes, including division, proliferation, apoptosis, and differentiation [[cite:PUB00015362]]. Phosphorylation usually results in a functional change of the target protein by changing enzyme activity, cellular location, or association with other proteins. The catalytic subunits of protein kinases are highly conserved, and several structures have been solved [[cite:PUB00034898]], leading to large screens to develop kinase-specific inhibitors for the treatments of a number of diseases [[cite:PUB00034899]].</p>"
70;IPR016024;"doi:10.1038/nn.4594
imex:IM-13779
imex:IM-16529
imex:IM-26285
imex:IM-26684
mint:MINT-5216883
pubmed:14690591
pubmed:14743216
pubmed:16429126
pubmed:17461779
pubmed:20711500
pubmed:21565611
pubmed:28671696
pubmed:31046837";Armadillo-type fold;"<p>This entry represents a structural domain with an armadillo (ARM)-like fold, consisting of a multi-helical fold comprised of two curved layers of α-helices arranged in a regular right-handed superhelix, where the repeats that make up this structure are arranged about a common axis [[cite:PUB00015442]]. These superhelical structures present an extensive solvent-accessible surface that is well suited to binding large substrates such as proteins and nucleic acids.</p>

<p>The sequence similarity among these different repeats or domains is low, however they exhibit considerable structural similarity. Furthermore, the number of repeats present in the superhelical structure can vary between orthologues, indicating that rapid loss/gain of repeats has occurred frequently in evolution. A common phylogenetic origin has been proposed for the armadillo and HEAT repeats [[cite:PUB00015443]].</p>"
56;IPR011989;"imex:IM-13779
imex:IM-26684
mint:MINT-5216883
pubmed:14690591
pubmed:14743216
pubmed:16429126
pubmed:20711500
pubmed:31046837";Armadillo-like helical;<p>This superfamily represents a domain consisting of a multi-helical fold comprising two curved layers of α-helices arranged in a regular right-handed superhelix, where the repeats that make up this structure are arranged about a common axis [[cite:PUB00015442]]. These superhelical structures present an extensive solvent-accessible surface that is well suited to binding large substrates such as proteins and nucleic acids. This topology has been found with a number of repeats and domains, including the armadillo repeat (found in beta-catenins and importins), the HEAT repeat (found in protein phosphatase 2a and initiation factor eIF4G), the PHAT domain (found in Smaug RNA-binding protein), the leucine-rich repeat variant, the Pumilo repeat, and in the H regulatory subunit of V-type ATPases. The sequence similarity among these different repeats or domains is low, however they exhibit considerable structural similarity. Furthermore, the number of repeats present in the superhelical structure can vary between orthologues, indicating that rapid loss/gain of repeats has occurred frequently in evolution. A common phylogenetic origin has been proposed for the armadillo and HEAT repeats [[cite:PUB00015443]].</p>
42;IPR015943;"imex:IM-16527
imex:IM-23164
imex:IM-24512
imex:IM-26684
imex:IM-9155
pubmed:16429126
pubmed:19156129
pubmed:25073740
pubmed:25294943
pubmed:26638075
pubmed:31046837";WD40/YVTN repeat-like-containing domain superfamily;<p>This superfamily represents a WD40/YVTN repeat-like domain. Both the WD40 and the YVTN repeated motifs consist of about 40 residues, and although they consist of distinct sequences, they do share a similar structure. Structurally, both the WD40 and the YVTN repeated motifs form seven-bladed propellers (although some members can contain eight blades), which consist of seven 4-stranded β-sheets.</p>
40;IPR036322;"imex:IM-23164
imex:IM-24512
imex:IM-26684
imex:IM-9155
pubmed:16429126
pubmed:19156129
pubmed:25073740
pubmed:26638075
pubmed:31046837";WD40-repeat-containing domain superfamily;"<p>This entry identifies a domain superfamily containing adjacent WD repeats. These WD repeats are located on β-sheets (blades) that fold into a higher order  structure called β-propeller.</p>; <p>WD-40 repeats (also known as WD or β-transducin repeats) are short ~40 amino acid motifs, often terminating in a Trp-Asp (W-D) dipeptide. WD40 repeats usually assume a 7-8 bladed β-propeller fold, but proteins have been found with 4 to 16 repeated units, which also form a circularised β-propeller structure. WD-repeat proteins are a large family found in all eukaryotes and are implicated in a variety of functions ranging from signal transduction and transcription regulation to cell cycle control and apoptosis. Repeated WD40 motifs act as a site for protein-protein or protein-DNA  interaction, and proteins containing WD40 repeats are known to serve as platforms for the assembly of protein complexes or mediators of transient interplay among other proteins [[cite:PUB00094364]]. The specificity of the proteins is determined by the sequences outside the repeats themselves. Examples of such complexes are G proteins (beta subunit is a β-propeller), TAFII transcription factor, and E3 ubiquitin ligase [[cite:PUB00015237], [cite:PUB00005491]]. In Arabidopsis spp., several WD40-containing proteins act as key regulators of plant-specific developmental events.</p>"
