PartnerUniProtID,Publications
A4D2P6,doi:10.1038/s41467-022-33018-0|imex:IM-30294|pubmed:36115835
O00151,doi:10.1038/s41467-022-33018-0|imex:IM-30294|pubmed:36115835
O00624,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O14910,doi:10.1038/s41467-022-33018-0|imex:IM-30294|pubmed:36115835
O14936,doi:10.1038/s41467-022-33018-0|imex:IM-30294|pubmed:36115835
O15018,doi:10.1038/s41467-022-33018-0|imex:IM-30294|pubmed:36115835
O15085,doi:10.1038/s41467-022-33018-0|imex:IM-30294|pubmed:36115835
O43464,doi:10.1038/s41467-022-33018-0|imex:IM-30294|pubmed:36115835
O60403,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O75074,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O75112,doi:10.1038/s41467-022-33018-0|imex:IM-30294|pubmed:36115835
O75970,doi:10.1038/s41467-022-33018-0|imex:IM-30294|pubmed:36115835
O94933,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O95049,doi:10.1038/s41467-022-33018-0|imex:IM-30294|pubmed:36115835
O96018,doi:10.1038/s41467-022-33018-0|imex:IM-30294|pubmed:36115835
P0DOF2,imex:IM-27674|pubmed:33208464
P0DTC5,imex:IM-29365|pubmed:34232536
P24394,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P26045,doi:10.1038/s41467-022-33018-0|imex:IM-30294|pubmed:36115835
P29475,doi:10.1038/s41467-022-33018-0|imex:IM-30294|pubmed:36115835
P35922,doi:10.1038/nn.4594|imex:IM-26285|pubmed:28671696
P40238,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P53671,doi:10.1038/s41467-022-33018-0|imex:IM-30294|pubmed:36115835
P57105,doi:10.1038/s41467-022-33018-0|imex:IM-30294|pubmed:36115835
P78352,doi:10.1038/s41467-022-33018-0|imex:IM-30294|pubmed:36115835
P83105,doi:10.1038/s41467-022-33018-0|imex:IM-30294|pubmed:36115835
P83110,doi:10.1038/s41467-022-33018-0|imex:IM-30294|pubmed:36115835
Q02410,doi:10.1038/s41467-022-33018-0|imex:IM-30294|pubmed:36115835
Q02763,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q07157,doi:10.1038/s41467-022-33018-0|imex:IM-30294|pubmed:36115835
Q09666,doi:10.1038/s41467-022-33018-0|imex:IM-30294|pubmed:36115835
Q12923,doi:10.1038/s41467-022-33018-0|imex:IM-30294|pubmed:36115835
Q12959,doi:10.1038/s41467-022-33018-0|imex:IM-30294|pubmed:36115835
Q13424,doi:10.1038/s41467-022-33018-0|imex:IM-30294|pubmed:36115835
Q13488,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q13705,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q13884,doi:10.1038/s41467-022-33018-0|imex:IM-30294|pubmed:36115835
Q14005,doi:10.1038/s41467-022-33018-0|imex:IM-30294|pubmed:36115835
Q14160,doi:10.1038/s41467-022-33018-0|imex:IM-30294|pubmed:36115835
Q14168,doi:10.1038/s41467-022-33018-0|imex:IM-30294|pubmed:36115835
