Count;InterProID;pubmeds;Name;ShortDescription
1;IPR000305;pubmed:18000013;GIY-YIG endonuclease;"<p>Nucleases of the GIY-YIG family are involved in many cellular processes, including DNA repair and recombination, transfer of mobile genetic elements, and restriction of incoming foreign DNA. The GIY-YIG superfamily groups together nucleases characterised by the presence of a domain of typically ~100 amino acids, with two short motifs ""GIY"" and ""YIG"" in the N-terminal part, followed by an Arg residue in the centre and a Glu residue in the C-terminal part [[cite:PUB00019614], [cite:PUB00017038], [cite:PUB00032630], [cite:PUB00044989], [cite:PUB00063738]].</p>

<p>The GIY-YIG domain forms a compact structural domain, which serves as a scaffold for the coordination of a divalent metal ion required for catalysis of the phosphodiester bond cleavage. The GIY-YIG domain has an α/β-sandwich architecture with a central three-stranded antiparallel β-sheet flanked by three-helices. The three-stranded antiparallel β-sheet contains the GIY-YIG sequence elements. The most conserved and putative catalytic residues are located on a shallow, concave surface and include a metal coordination site [[cite:PUB00017038], [cite:PUB00032630], [cite:PUB00044989], [cite:PUB00063738]].</p>

<p>The GIY-YIG domain has been implicated in a variety of cellular processes involving DNA cleavage, from self-propagation with or without introns, to restriction of foreign DNA, to DNA repair and maintenance of genome stability [[cite:PUB00044989]].</p>

<p>Some proteins known to contain a GIY-YIG domain include:</p>

<ul>
<li>Eukaryotic Slx-1 proteins, involved in the maintenance of the rDNA copy number. They have a C-terminal RING finger Zn-binding domain.</li>
<li>Mammalian ankyrin repeat and LEM domain- containing protein 1 (ANKLE1).</li>
<li>Bacterial and archaeal UvrC subunits of (A)BC excinucleases, which remove damaged nucleotides by incising the damaged strand on both sides of the lesion.</li>
<li>Phage T4 endonucleases SegA to E, probably involved in the movement of the endonuclease-encoding DNA.</li>
<li>Phage T4 intron-associated endonuclease 1 (I-TevI), specific to the thymidylate synthase (td) gene splice junction and involved in intron homing.</li>
</ul>"
1;IPR036876;pubmed:18000013;UVR domain superfamily;"<p>During the process of Escherichia coli nucleotide excision repair, DNA damage recognition and processing are achieved by the action of the uvrA, uvrB, and uvrC gene products [[cite:PUB00006064]]. UvrB and UvrC share a common domain of around 35 amino acids, the so called UVR domain. This domain in UvrB can interact with the homologous domain in UvrC throughout a putative coiled coil structure. This interaction is important for the incision of the damaged strand [[cite:PUB00006065]]. UVRC incises the DNA on either side of the lesion [[cite:PUB00102494], [cite:PUB00165489], [cite:PUB00164899]].</p>

<p>A conserved region similar to the UVR domain is also found in the ATP-binding subunit of bacterial and chloroplastic Clp ATPases [[cite:PUB00057847]], which suggest that the UVR domain is not only involved in the interaction between uvrB and uvrC.</p>"
1;IPR001162;pubmed:18000013;UvrC, RNAse H endonuclease domain;"<p>This entry represents the RNAse H endonuclease domain, located at the C-terminal, between the UvrBC and the (HhH)2 domains, nearby the N-terminal of the HhH. Despite the lack of sequence homology, the endonuclease domain has an RNase H-like fold, which is characteristic of enzymes with nuclease or polynucleotide transferase activities. RNase H-related enzymes typically contain a highly conserved carboxylate triad, usually DDE, in their catalytic centre. However, instead of a third carboxylate, UvrC of Thermotoga maritima was found to contain a highly conserved histidine (H488) on helix-4 in close proximity to two aspartates [[cite:PUB00042023]].</p>; <p>Nucleotide excision repair (NER) is a conserved DNA repair pathway that enables the repair of chemically and structurally distinct DNA lesions. In prokaryotes, the UvrA, UvrB and UvrC proteins mediate NER in a multistep, ATP-dependent reaction. UvrC catalyses the first incision on the fourth or fifth phosphodiester bond 3' and on the eighth phosphodiester bond 5' from the damage that is to be excised. UvrC proteins contain conserved regions: the GIY-YIG domain, the cys-rich region, the UvrBC domain which interacts with uvrB, the RNAse H endonuclease domain and the Helix hairpin Helix (HhH)2 domain  [[cite:PUB00042023]].</p>"
1;IPR041663;pubmed:18000013;DisA/LigA, helix-hairpin-helix motif;"<p>This HhH domain is a DNA-binding domain [[cite:PUB00044227]]. It can be found in bacterial checkpoint control protein DisA, NAD-dependent DNA ligase LigA, UvrABC system protein C [[cite:PUB00010573]] and in the ATP-dependent DNA helicase Hel308 (also known as HelQ) [[cite:PUB00094277]].</p>; <p>DNA integrity scanning protein (DisA) participates in a DNA-damage check-point that is active prior to asymmetric division when DNA is damaged. DisA forms globular foci that rapidly scan along the chromosomes during sporulation, searching for lesions. When a lesion is present, disA pauses at the lesion site. This triggers a cellular response that culminates in a temporary block in sporulation initiation [[cite:PUB00054982], [cite:PUB00054983]].</p>"
1;IPR010994;pubmed:18000013;RuvA domain 2-like;"<p>In prokaryotes, RuvA, RuvB, and RuvC process the universal DNA intermediate of homologous recombination, termed Holliday junction. The tetrameric DNA helicase RuvA specifically binds to the Holliday junction and facilitates the isomerization of the junction from the stacked folded configuration to the square-planar structure [[cite:PUB00013198]]. In the RuvA tetramer, each subunit consists of three domains, I, II and III, where I and II form the major core that is responsible for Holliday junction binding and base pair rearrangements of Holliday junction executed at the crossover point, whereas domain III regulates branch migration through direct contact with RuvB. Domain 2 has a SAM (sterile alpha motif)-like α-bundle fold that occurs as a duplication containing two helix-hairpin-helix (HhH) motifs.</p>

<p>The C-terminal domain (CTD) of the excision repair protein UvrC shows structural similarity to RuvA domain 2. The CTD of UvrC is essential for 5' incision in the prokaryotic nucleotide excision repair process, and acts to mediate structure-specific binding to single-stranded-double-stranded junction DNA [[cite:PUB00014056]].</p>

<p>Domain III of NAD+-dependent DNA ligase consists of a duplication of two RuvA-like domains (four HhH motifs), and also contains a zinc-finger subdomain. DNA ligases catalyse the crucial step of joining the breaks in duplex DNA during DNA replication, repair and recombination, utilizing either ATP or NAD+ as a cofactor [[cite:PUB00007386]].</p>"
1;IPR003583;pubmed:18000013;Helix-hairpin-helix DNA-binding motif, class 1;<p>The HhH motif is a stretch of approximately 20 amino acids that is present in prokaryotic and eukaryotic non-sequence-specific DNA binding proteins [[cite:PUB00006161], [cite:PUB00006160], [cite:PUB00006162]]. The HhH motif is similar to, but distinct from, the HtH motif. Both of these motifs have two helices connected by a short turn. In the HtH motif the second helix binds to DNA with the helix in the major groove. This allows the contact between specific base and residues throughout the protein. In the HhH motif the second helix does not protrude from the surface of the protein and therefore cannot lie in the major groove of the DNA. Crystallographic studies suggest that the interaction of the HhH domain with DNA is mediated by amino acids located in the strongly conserved loop (L-P-G-V) and at the N-terminal end of the second helix [[cite:PUB00006161]]. This interaction could involve the formation of hydrogen bonds between protein backbone nitrogens and DNA phosphate groups [[cite:PUB00004467]]. The structural difference between the HtH and HhH domains is reflected at the functional level: whereas the HtH domain, found primarily in gene regulatory proteins and binds DNA in a sequence specific manner, the HhH domain is rather found in proteins involved in enzymatic activities and binds DNA with no sequence specificity [[cite:PUB00004467]].</p>
1;IPR047296;pubmed:18000013;UvrC/Cho-like, GIY-YIG domain;"<p>This entry represents the catalytic GIY-YIG domain localised at the N-terminal of nucleotide excision repair endonucleases UvrC, Cho (UvrC homologue) and similar proteins predominantly found in prokaryotes. This domain is also known as Uri domain and it is responsible for the 3' incision reaction.</p>

<p>UvrC is essential for nucleotide excision repair (NER). Besides UvrC, protein Cho serves as a second endonuclease in E. coli NER. Cho contains GIY-YIG motif followed by a Cys-rich region and shares sequence homology with the N-terminal half of UvrC. It is capable of incising the DNA at the 3' side of a lesion in the presence of the UvrA and UvrB proteins during NER. The C-terminal half of Cho is a unique uncharacterised domain, which is distinct from that of UvrC. Moreover, unlike UvrC, Cho does not require the UvrC-binding domain of UvrB for the 3' incision reaction, which might cause the shift in incision position and the difference in incision efficiencies between Cho and UvrC on different damaged substrates. Due to this, the range of NER in E. coli can be broadened by combining action of Cho and UvrC [[cite:PUB00102491], [cite:PUB00102495], [cite:PUB00102496], [cite:PUB00006160], [cite:PUB00032630], [cite:PUB00102494]].</p>"
1;IPR035901;pubmed:18000013;GIY-YIG endonuclease superfamily;"<p>Nucleases of the GIY-YIG family are involved in many cellular processes, including DNA repair and recombination, transfer of mobile genetic elements, and restriction of incoming foreign DNA. The GIY-YIG superfamily groups together nucleases characterised by the presence of a domain of typically ~100 amino acids, with two short motifs ""GIY"" and ""YIG"" in the N-terminal part, followed by an Arg residue in the centre and a Glu residue in the C-terminal part [[cite:PUB00019614], [cite:PUB00017038], [cite:PUB00032630], [cite:PUB00044989], [cite:PUB00063738]].</p>

<p>The GIY-YIG domain forms a compact structural domain, which serves as a scaffold for the coordination of a divalent metal ion required for catalysis of the phosphodiester bond cleavage. The GIY-YIG domain has an α/β-sandwich architecture with a central three-stranded antiparallel β-sheet flanked by three-helices. The three-stranded antiparallel β-sheet contains the GIY-YIG sequence elements. The most conserved and putative catalytic residues are located on a shallow, concave surface and include a metal coordination site [[cite:PUB00017038], [cite:PUB00032630], [cite:PUB00044989], [cite:PUB00063738]].</p>

<p>The GIY-YIG domain has been implicated in a variety of cellular processes involving DNA cleavage, from self-propagation with or without introns, to restriction of foreign DNA, to DNA repair and maintenance of genome stability [[cite:PUB00044989]].</p>

<p>Some proteins known to contain a GIY-YIG domain include:</p>

<ul>
<li>Eukaryotic Slx-1 proteins, involved in the maintenance of the rDNA copy number. They have a C-terminal RING finger Zn-binding domain.</li>
<li>Mammalian ankyrin repeat and LEM domain- containing protein 1 (ANKLE1).</li>
<li>Bacterial and archaeal UvrC subunits of (A)BC excinucleases, which remove damaged nucleotides by incising the damaged strand on both sides of the lesion.</li>
<li>Phage T4 endonucleases SegA to E, probably involved in the movement of the endonuclease-encoding DNA.</li>
<li>Phage T4 intron-associated endonuclease 1 (I-TevI), specific to the thymidylate synthase (td) gene splice junction and involved in intron homing.</li>
</ul>; <p>This entry represents GIY-YIG nuclease superfamily, and identifies the GIY-YIG domain in diverse and distantly related superfamily members, such as Slx1 [[cite:PUB00044989]].</p>"
1;IPR004791;pubmed:18000013;UvrABC system, subunit C;"<p>In Eubacteria and some Archaea, the first steps in nucleotide excision repair are carried out by the coordinated action of the UvrA, UvrB, and UvrC proteins. A damage recognition complex composed of 2 UvrA and 2 UvrB subunits scans DNA for abnormalities. Upon binding of the UvrA(2)B(2) complex to a putative damaged site, the DNA wraps around one UvrB monomer. DNA wrap is dependent on ATP binding by UvrB and probably causes local melting of the DNA helix, facilitating insertion of UvrB β-hairpin between the DNA strands. Then UvrB probes one DNA strand for the presence of a lesion. If a lesion is found the UvrA subunits dissociate and the UvrB-DNA preincision complex is formed. This complex is subsequently bound by UvrC and the second UvrB is released. If no lesion is found, the DNA wraps around the other UvrB subunit that will check the other stand for damage [[cite:PUB00057848]].</p>; <p>This entry represents UvrC, which is recruited to the UvrB-bound lesion site and cuts the DNA backbone both 5' and 3' to the lesion on the same strand [[cite:PUB00088372]].</p>"
1;IPR038476;pubmed:18000013;UvrC, RNAse H endonuclease domain superfamily;"<p>Nucleotide excision repair (NER) is a conserved DNA repair pathway that enables the repair of chemically and structurally distinct DNA lesions. In prokaryotes, the UvrA, UvrB and UvrC proteins mediate NER in a multistep, ATP-dependent reaction. UvrC catalyses the first incision on the fourth or fifth phosphodiester bond 3' and on the eighth phosphodiester bond 5' from the damage that is to be excised. UvrC proteins contain conserved regions: the GIY-YIG domain, the cys-rich region, the UvrBC domain which interacts with uvrB, the RNAse H endonuclease domain and the Helix hairpin Helix (HhH)2 domain  [[cite:PUB00042023]].</p>; <p>This entry represents the RNAse H endonuclease domain, located at the C-terminal, between the UvrBC and the (HhH)2 domains, nearby the N-terminal of the HhH. Despite the lack of sequence homology, the endonuclease domain has an RNase H-like fold, which is characteristic of enzymes with nuclease or polynucleotide transferase activities. RNase H-related enzymes typically contain a highly conserved carboxylate triad, usually DDE, in their catalytic centre. However, instead of a third carboxylate, UvrC of Thermotoga maritima was found to contain a highly conserved histidine (H488) on helix-4 in close proximity to two aspartates [[cite:PUB00042023]].</p>"
