PartnerUniProtID,Publications
A0A0B4J274,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
A0A0B4KGY6,imex:IM-16527|pubmed:25294943
A0A2U2GWZ3,imex:IM-13779|pubmed:20711500
A0A3G5L9M4,imex:IM-13779|pubmed:20711500
A0A3N4B418,imex:IM-13779|pubmed:20711500
A0A6H3AII8,imex:IM-13779|pubmed:20711500
A0A6L7HRI8,imex:IM-13779|pubmed:20711500
A2ABF9,imex:IM-23318|pubmed:25416956
A2RTX5,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
A6H8M9,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
A6NFA1,imex:IM-29698|pubmed:36994853
A6Y878,imex:IM-29184|pubmed:28534487
A8MQ03,imex:IM-25472|pubmed:32296183
B9A064,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
C0HLB4,imex:IM-16523|mint:MINT-5216848|pubmed:14704431
C9JA28,imex:IM-24272|pubmed:26496610
F8VQ29,imex:IM-24272|pubmed:26496610
F8W1B3,imex:IM-24272|pubmed:26496610
O00182,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O00182-2,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
O00214,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
O00258,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
O00746,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
O14649,imex:IM-29540|pubmed:36012204
O14713-1,imex:IM-20208|pubmed:11919189
O14880,imex:IM-25472|pubmed:32296183
O14925,imex:IM-24272|pubmed:26496610
O15173,imex:IM-25472|pubmed:32296183
O15355,imex:IM-25671|pubmed:28330616
O15466,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O15529,imex:IM-25472|pubmed:32296183
O35387,imex:IM-24272|pubmed:26496610
O43173,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
O43240,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
O43493,imex:IM-26301|pubmed:29568061
O43504,imex:IM-16425|pubmed:23414517
O43653,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O43854,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O43854-2,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
O43914,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O45923,imex:IM-16523|mint:MINT-5216848|pubmed:14704431
O60331,imex:IM-29361|pubmed:35044719
