Count;InterProID;pubmeds;Name;ShortDescription
6;IPR013083;"imex:IM-16527
pubmed:19123269
pubmed:25294943";Zinc finger, RING/FYVE/PHD-type;"<p>This superfamily represents RING-, PHD-, and FYVE-type zinc finger domains, which share a common dimetal (zinc)-bound α/β structural fold, as well as the non-zinc-containing U-box domain, which is similar to the RING zinc finger only lacking the metal ion-binding residues (U-box associated with multi-ubiquitination).</p>; <p>Zinc finger (Znf) domains are relatively small protein motifs which contain multiple finger-like protrusions that make tandem contacts with their target molecule. Some of these domains bind zinc, but many do not; instead, they bind other metals, such as iron, or no metal at all. For example, some family members form salt bridges to stabilise the finger-like folds. They were first identified as a DNA-binding motif in transcription factor TFIIIA from Xenopus laevis (African clawed frog); however, they are now recognised to bind DNA, RNA, protein and/or lipid substrates [[cite:PUB00035807], [cite:PUB00035805], [cite:PUB00035806], [cite:PUB00035804], [cite:PUB00014077]]. Their binding properties depend on the amino acid sequence of the finger domains and of the linker between fingers, as well as on the higher-order structures and the number of fingers. Znf domains are often found in clusters, where fingers can have different binding specificities. There are many superfamilies of Znf motifs, varying in both sequence and structure. They display considerable versatility in binding modes, even between members of the same class (e.g., some bind DNA, others protein), suggesting that Znf motifs are stable scaffolds that have evolved specialised functions. For example, Znf-containing proteins function in gene transcription, translation, mRNA trafficking, cytoskeleton organisation, epithelial development, cell adhesion, protein folding, chromatin remodelling and zinc sensing, to name but a few [[cite:PUB00035812]]. Zinc-binding motifs are stable structures, and they rarely undergo conformational changes upon binding their target.</p>"
6;IPR000719;"imex:IM-16527
pubmed:25294943";Protein kinase domain;"<p>This entry represents the protein kinase domain containing the catalytic function of protein kinases [[cite:PUB00003569]]. This domain is found in serine/threonine-protein kinases, tyrosine-protein kinases and dual specificity protein kinases.</p>; <p>Eukaryotic protein kinases [[cite:PUB00003569], [cite:PUB00005115], [cite:PUB00015293], [cite:PUB00001530], [cite:PUB00003568]] are enzymes that belong to a very extensive family of proteins which share a conserved catalytic core common with both serine/threonine and tyrosine protein kinases. There are a number of conserved regions in the catalytic domain of protein kinases. In the N-terminal extremity of the catalytic domain there is a glycine-rich stretch of residues in the vicinity of a lysine residue, which has been shown to be involved in ATP binding. In the central part of the catalytic domain there is a conserved aspartic acid residue which is important for the catalytic activity of the enzyme [[cite:PUB00005145]].</p>; <p>Protein phosphorylation, which plays a key role in most cellular activities, is a reversible process mediated by protein kinases and phosphoprotein phosphatases. Protein kinases catalyse the transfer of the gamma phosphate from nucleotide triphosphates (often ATP) to one or more amino acid residues in a protein substrate side chain, resulting in a conformational change affecting protein function. Phosphoprotein phosphatases catalyse the reverse process. 
Protein kinases fall into three broad classes, characterised with respect to substrate specificity [[cite:PUB00005115]]:</p>

<ul>
<li>Serine/threonine-protein kinases</li>
<li>Tyrosine-protein kinases</li>
<li>Dual specificity protein kinases (e.g. MEK -phosphorylates both Thr and Tyr on target proteins)</li>
</ul>

<p>Protein kinase function is evolutionarily conserved from Escherichia coli to human [[cite:PUB00020114]]. Protein kinases play a role in a multitude of cellular processes, including division, proliferation, apoptosis, and differentiation [[cite:PUB00015362]]. Phosphorylation usually results in a functional change of the target protein by changing enzyme activity, cellular location, or association with other proteins. The catalytic subunits of protein kinases are highly conserved, and several structures have been solved [[cite:PUB00034898]], leading to large screens to develop kinase-specific inhibitors for the treatments of a number of diseases [[cite:PUB00034899]].</p>"
6;IPR011009;"imex:IM-16527
pubmed:25294943";Protein kinase-like domain superfamily;"<p>This entry represents the protein kinase domain superfamily containing the catalytic function of protein kinases. This domain is found in serine/threonine-protein kinases, tyrosine-protein kinases and dual-specificity protein kinases. Protein kinases ([interpro:IPR000719]) modify other proteins by chemically adding phosphate groups to them. This process is fundamental to most signalling and regulatory processes in the eukaryotic cell [[cite:PUB00014025]].</p>; <p>Eukaryotic protein kinases [[cite:PUB00003569], [cite:PUB00005115], [cite:PUB00015293], [cite:PUB00001530], [cite:PUB00003568]] are enzymes that belong to a very extensive family of proteins which share a conserved catalytic core common with both serine/threonine and tyrosine protein kinases. There are a number of conserved regions in the catalytic domain of protein kinases. In the N-terminal extremity of the catalytic domain there is a glycine-rich stretch of residues in the vicinity of a lysine residue, which has been shown to be involved in ATP binding. In the central part of the catalytic domain there is a conserved aspartic acid residue which is important for the catalytic activity of the enzyme [[cite:PUB00005145]].</p>; <p>Protein phosphorylation, which plays a key role in most cellular activities, is a reversible process mediated by protein kinases and phosphoprotein phosphatases. Protein kinases catalyse the transfer of the gamma phosphate from nucleotide triphosphates (often ATP) to one or more amino acid residues in a protein substrate side chain, resulting in a conformational change affecting protein function. Phosphoprotein phosphatases catalyse the reverse process. 
Protein kinases fall into three broad classes, characterised with respect to substrate specificity [[cite:PUB00005115]]:</p>

<ul>
<li>Serine/threonine-protein kinases</li>
<li>Tyrosine-protein kinases</li>
<li>Dual specificity protein kinases (e.g. MEK -phosphorylates both Thr and Tyr on target proteins)</li>
</ul>

<p>Protein kinase function is evolutionarily conserved from Escherichia coli to human [[cite:PUB00020114]]. Protein kinases play a role in a multitude of cellular processes, including division, proliferation, apoptosis, and differentiation [[cite:PUB00015362]]. Phosphorylation usually results in a functional change of the target protein by changing enzyme activity, cellular location, or association with other proteins. The catalytic subunits of protein kinases are highly conserved, and several structures have been solved [[cite:PUB00034898]], leading to large screens to develop kinase-specific inhibitors for the treatments of a number of diseases [[cite:PUB00034899]].</p>"
3;IPR027370;pubmed:19123269;Zinc finger, RING-type, eukaryotic;<p>This zinc-finger is typical of ubiquitin ligases from eukaryotes [[cite:PUB00064253], [cite:PUB00068569]]. This domain can also be found in Tripartite motif-containing proteins (TRIM), including TRIM5 from humans, a capsid-specific restriction factor that prevents infection from non-host-adapted retroviruses [[cite:PUB00086278], [cite:PUB00077164]].</p>
3;IPR017907;pubmed:19123269;Zinc finger, RING-type, conserved site;"<p>A number of eukaryotic and viral proteins contain a conserved cysteine-rich domain of 40 to 60 residues (called C3HC4 zinc-finger or 'RING' finger) [[cite:PUB00001094]] that binds two atoms of zinc. There are two different variants, the C3HC4-type and the C3H2C3-type, which is clearly related despite the different cysteine/histidine pattern. The latter type is sometimes referred to as ""RING-H2 finger"". The 3D structure [[cite:PUB00017951]] of the zinc ligation system is referred to as the ""cross-brace"" motif. This atypical conformation is also shared by the FYVE (see [prositedoc:PDOC50178]) and PHD (see [prositedoc:PDOC50016]) domains. Many proteins containing a RING finger play a key role in the ubiquitination pathway. The ubiquitination pathway generally involves three types of enzyme, know as E1, E2 and E3. E1 and E2 are ubiquitin conjugating enzymes. E1 acts first and passes ubiquitin to E2. E3 are ubiquitin protein ligases, responsible for substrate recognition. It has been shown [[cite:PUB00017952], [cite:PUB00017953]] that several RING fingers act as E3 enzymes in the ubiquitination process.</p>; <p>Zinc finger (Znf) domains are relatively small protein motifs which contain multiple finger-like protrusions that make tandem contacts with their target molecule. Some of these domains bind zinc, but many do not; instead, they bind other metals, such as iron, or no metal at all. For example, some family members form salt bridges to stabilise the finger-like folds. They were first identified as a DNA-binding motif in transcription factor TFIIIA from Xenopus laevis (African clawed frog); however, they are now recognised to bind DNA, RNA, protein and/or lipid substrates [[cite:PUB00035807], [cite:PUB00035805], [cite:PUB00035806], [cite:PUB00035804], [cite:PUB00014077]]. Their binding properties depend on the amino acid sequence of the finger domains and of the linker between fingers, as well as on the higher-order structures and the number of fingers. Znf domains are often found in clusters, where fingers can have different binding specificities. There are many superfamilies of Znf motifs, varying in both sequence and structure. They display considerable versatility in binding modes, even between members of the same class (e.g., some bind DNA, others protein), suggesting that Znf motifs are stable scaffolds that have evolved specialised functions. For example, Znf-containing proteins function in gene transcription, translation, mRNA trafficking, cytoskeleton organisation, epithelial development, cell adhesion, protein folding, chromatin remodelling and zinc sensing, to name but a few [[cite:PUB00035812]]. Zinc-binding motifs are stable structures, and they rarely undergo conformational changes upon binding their target.</p>"
3;IPR051435;pubmed:19123269;RING finger E3 ubiquitin-protein ligases;<p>The RING finger protein family comprises E3 ubiquitin-protein ligases involved in various cellular processes, including apoptotic signaling pathways activated by endoplasmic reticulum stress, the unfolded protein response, autophagy, and nutrient sensing. Members of the family ubiquitinate specific substrates, regulating their localization, stability, and function. For instance, they ubiquitinate BNIP1 affecting its mitochondrial localization, ATF6 to promote UPR, and EPHB2 for autophagy induction. They also control mTORC1 activity by ubiquitinating Sestrin-2. The RING-type domain within these proteins is essential for their ubiquitination activity.</p>
3;IPR001841;pubmed:19123269;Zinc finger, RING-type;"<p>This entry represents RING-type zinc finger domains. The RING-finger is a specialised type of Zn-finger of 40 to 60 residues that binds two atoms of zinc, and is probably involved in mediating protein-protein interactions [[cite:PUB00005712], [cite:PUB00001094], [cite:PUB00006216]]. There are two different variants, the C3HC4-type and a C3H2C3-type, which are clearly related despite the different cysteine/histidine pattern. The latter type is sometimes referred to as 'RING-H2 finger'. The RING domain is a protein interaction domain that has been implicated in a range of diverse biological processes. E3 ubiquitin-protein ligase, in Homo sapiens [swissprot:Q06587], activity is intrinsic to the RING domain of c-Cbl and is likely to be a general function of this domain. E3 ubiquitin-protein ligases determine the substrate specificity for ubiquitylation and have been classified into HECT and RING-finger families. Various RING fingers also exhibit binding to E2 ubiquitin-conjugating enzymes (Ubc's) [[cite:PUB00006474], [cite:PUB00006565], [cite:PUB00006516]].</p>

<p>Several 3D-structures for RING-fingers are known [[cite:PUB00001094], [cite:PUB00006216]]. The 3D structure of the zinc ligation system is unique to the RING domain and is referred to as the 'cross-brace' motif. The spacing of the cysteines in such a domain is C-x(2)-C-x(9 to 39)-C-x(1 to 3)-H-x(2 to 3)-C-x(2)-C-x(4 to 48)-C-x(2)-C. Metal ligand pairs one and three co-ordinate to bind one zinc ion, whilst pairs two and four bind the second.</p>

<p>Note that in the older literature, some RING-fingers are denoted as LIM-domains. The LIM-domain Zn-finger is a fundamentally different family, albeit with similar Cys-spacing (see [interpro:IPR001781]).</p>; <p>Zinc finger (Znf) domains are relatively small protein motifs which contain multiple finger-like protrusions that make tandem contacts with their target molecule. Some of these domains bind zinc, but many do not; instead, they bind other metals, such as iron, or no metal at all. For example, some family members form salt bridges to stabilise the finger-like folds. They were first identified as a DNA-binding motif in transcription factor TFIIIA from Xenopus laevis (African clawed frog); however, they are now recognised to bind DNA, RNA, protein and/or lipid substrates [[cite:PUB00035807], [cite:PUB00035805], [cite:PUB00035806], [cite:PUB00035804], [cite:PUB00014077]]. Their binding properties depend on the amino acid sequence of the finger domains and of the linker between fingers, as well as on the higher-order structures and the number of fingers. Znf domains are often found in clusters, where fingers can have different binding specificities. There are many superfamilies of Znf motifs, varying in both sequence and structure. They display considerable versatility in binding modes, even between members of the same class (e.g., some bind DNA, others protein), suggesting that Znf motifs are stable scaffolds that have evolved specialised functions. For example, Znf-containing proteins function in gene transcription, translation, mRNA trafficking, cytoskeleton organisation, epithelial development, cell adhesion, protein folding, chromatin remodelling and zinc sensing, to name but a few [[cite:PUB00035812]]. Zinc-binding motifs are stable structures, and they rarely undergo conformational changes upon binding their target.</p>"
3;IPR057629;"imex:IM-16527
pubmed:25294943";Teneurin-1-4-like, galactose-binding domain-like;"<p>This galactose-binding domain (GBD) is found in Teneurin-1-4 from Mus musculus (Ten1-4) and its orthologues in animal proteins such as Teneurin a and m in Drosophila melanogaster.</p>; <p>Teneurins are a family of phylogenetically conserved transmembrane glycoproteins expressed during pattern formation and morphogenesis [[cite:PUB00014529]]. Originally discovered as ten-m and ten-a in Drosophila melanogaster, the teneurin family is conserved from Caenorhabditis elegans (ten-1) to vertebrates, in which four paralogs exist (teneurin-1 to -4 or odz-1 to -4). Their distinct domain architecture is highly conserved between invertebrate and vertebrate teneurins, particularly in the extracellular part. The intracellular domains of Ten-a, Ten-m/Odz and C. elegans Ten-1 are significantly different, both in size and structure, from the comparable domains of vertebrate teneurins, but the extracellular domains of all of these proteins are remarkably similar.</p>

<p>The large C-terminal extracellular domain consists of eight EGF-like repeats (see [prositedoc:PDOC00021]), a region of conserved cysteines and unique YD-repeats. The N-terminal intracellular domain of vertebrate teneurins contains two EF-hand-like calcium-binding motifs and two polyproline regions involved in protein-protein interactions, followed by a single-span transmembrane domain. The intracellular domain is linked to the cytoskeleton through its interaction with the adaptor protein CAP/ponsin and can be cleaved near (or possibly in) the transmembrane domain and transported to the nucleus [[cite:PUB00014530], [cite:PUB00014531]], giving teneurins the potential to act as transcription factors [cite:PUB00012632], [cite:PUB00012632]]. There is considerable divergence between intracellular domains of invertebrate and vertebrate teneurins as well as between different invertebrate proteins [[cite:PUB00009650], [cite:PUB00012632], [cite:PUB00043665], [cite:PUB00043666], [cite:PUB00043667]].</p>

<p>Teneurin proteins are involved in the development and function of the nervous system [[cite:PUB00066378]]. They are ancient cell-cell adhesion receptors that play a vital role in establishing precise connectivity within the nervous system, including the formation of topographic projections, dendrite morphogenesis, and axon targeting [[cite:PUB00155423]]. These proteins mediate both homophilic and heterophilic cell-cell adhesion, which is essential for synapse assembly and the formation of neural circuits. They also act as ligands for specific receptors, contributing to axon guidance and intracellular signal transduction. Additionally, certain members are implicated in gene transcription regulation, cytoskeleton reorganisation, and neuroplasticity. Teneurins may also contribute to the differentiation of specific cell types, and play roles in stress response and neuroprotection. Their functions are fundamental to neural development and the establishment of proper nervous system connectivity [[cite:PUB00066378], [cite:PUB00066375], [cite:PUB00155630], [cite:PUB00155629]].</p>"
3;IPR006530;"imex:IM-16527
pubmed:25294943";YD repeat;"<p>These sequences contain two tandem copies of a 21-residue extracellular repeat that is found in Gram-negative, Gram-positive, and animal proteins. The repeat is named for a YD dipeptide, the most strongly conserved motif of the repeat. These repeats appear in general to be involved in binding carbohydrate; the chicken teneurin-1 YD-repeat region has been shown to bind heparin [[cite:PUB00009650], [cite:PUB00003864], [cite:PUB00002114]].</p>"
3;IPR051216;"imex:IM-16527
pubmed:25294943";Teneurin;"<p>Teneurins are a family of phylogenetically conserved transmembrane glycoproteins expressed during pattern formation and morphogenesis [[cite:PUB00014529]]. Originally discovered as ten-m and ten-a in Drosophila melanogaster, the teneurin family is conserved from Caenorhabditis elegans (ten-1) to vertebrates, in which four paralogs exist (teneurin-1 to -4 or odz-1 to -4). Their distinct domain architecture is highly conserved between invertebrate and vertebrate teneurins, particularly in the extracellular part. The intracellular domains of Ten-a, Ten-m/Odz and C. elegans Ten-1 are significantly different, both in size and structure, from the comparable domains of vertebrate teneurins, but the extracellular domains of all of these proteins are remarkably similar.</p>

<p>The large C-terminal extracellular domain consists of eight EGF-like repeats (see [prositedoc:PDOC00021]), a region of conserved cysteines and unique YD-repeats. The N-terminal intracellular domain of vertebrate teneurins contains two EF-hand-like calcium-binding motifs and two polyproline regions involved in protein-protein interactions, followed by a single-span transmembrane domain. The intracellular domain is linked to the cytoskeleton through its interaction with the adaptor protein CAP/ponsin and can be cleaved near (or possibly in) the transmembrane domain and transported to the nucleus [[cite:PUB00014530], [cite:PUB00014531]], giving teneurins the potential to act as transcription factors [cite:PUB00012632], [cite:PUB00012632]]. There is considerable divergence between intracellular domains of invertebrate and vertebrate teneurins as well as between different invertebrate proteins [[cite:PUB00009650], [cite:PUB00012632], [cite:PUB00043665], [cite:PUB00043666], [cite:PUB00043667]].</p>

<p>Teneurin proteins are involved in the development and function of the nervous system [[cite:PUB00066378]]. They are ancient cell-cell adhesion receptors that play a vital role in establishing precise connectivity within the nervous system, including the formation of topographic projections, dendrite morphogenesis, and axon targeting [[cite:PUB00155423]]. These proteins mediate both homophilic and heterophilic cell-cell adhesion, which is essential for synapse assembly and the formation of neural circuits. They also act as ligands for specific receptors, contributing to axon guidance and intracellular signal transduction. Additionally, certain members are implicated in gene transcription regulation, cytoskeleton reorganisation, and neuroplasticity. Teneurins may also contribute to the differentiation of specific cell types, and play roles in stress response and neuroprotection. Their functions are fundamental to neural development and the establishment of proper nervous system connectivity [[cite:PUB00066378], [cite:PUB00066375], [cite:PUB00155630], [cite:PUB00155629]].</p>"
