PartnerUniProtID,Publications
A0A0G2JZJ1,imex:IM-29994|pubmed:37228199
A0A1D6EF82,imex:IM-29553|pubmed:36581701
A0A1D6GD30,imex:IM-29553|pubmed:36581701
A0A1D6JD96,imex:IM-29553|pubmed:36581701
A0A1D6LGX9,imex:IM-29553|pubmed:36581701
A0A1D6N681,imex:IM-29553|pubmed:36581701
A0A1D6PTN4,imex:IM-29553|pubmed:36581701
A2T1W7,imex:IM-29553|pubmed:36581701
A6NEM2,imex:IM-24272|pubmed:26496610
B6T7B2,imex:IM-29553|pubmed:36581701
B7NZD2,imex:IM-21433|pubmed:23706739
O00231,imex:IM-21659|pubmed:27705803
O00410,imex:IM-12079|pubmed:19615732
O14929,imex:IM-12079|pubmed:19615732
O15294,doi:10.1016/j.cell.2021.04.011|imex:IM-12079|imex:IM-21659|imex:IM-29278|pubmed:19615732|pubmed:27705803|pubmed:33961781
O15355,imex:IM-12079|pubmed:19615732
O43242,imex:IM-21659|pubmed:27705803
O43791,doi:10.1016/j.cell.2022.04.014|imex:IM-29493|pubmed:35512704
O75150,imex:IM-24272|pubmed:26496610
O75179,imex:IM-12079|pubmed:19615732
O75940,imex:IM-30059|pubmed:39251607
O95218,imex:IM-30059|pubmed:39251607
O95600,imex:IM-28767|pubmed:35140242
P00533,doi:10.1016/j.cell.2022.04.014|imex:IM-29493|pubmed:35512704
P01106,imex:IM-28767|pubmed:35140242
P07910,imex:IM-30059|pubmed:39251607
P10242,imex:IM-28767|pubmed:35140242
P11908,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P14921,imex:IM-28767|pubmed:35140242
P15056,doi:10.1016/j.cell.2022.04.014|imex:IM-29493|pubmed:35512704
P15172,imex:IM-28767|pubmed:35140242
P16220,imex:IM-30532|pubmed:38884001
P18846,imex:IM-30532|pubmed:38884001
P22314,imex:IM-22822|pubmed:25260751
P23769,imex:IM-28767|pubmed:35140242
P25490,imex:IM-28767|pubmed:35140242
P26367,imex:IM-28767|pubmed:35140242
P31314,imex:IM-28767|pubmed:35140242
P31749,doi:10.1016/j.cell.2022.04.014|imex:IM-29493|pubmed:35512704
P32519,imex:IM-28767|pubmed:35140242
P33151,imex:IM-30239|pubmed:39232006
P35680,imex:IM-28767|pubmed:35140242
P35998,imex:IM-21659|pubmed:27705803
P41235,imex:IM-28767|pubmed:35140242
P41970,imex:IM-28767|pubmed:35140242
P43686,imex:IM-21659|pubmed:27705803
P45973,doi:10.15252/msb.20156660|imex:IM-25015|pubmed:27107012
P48556,imex:IM-21659|pubmed:27705803
P49674,imex:IM-24272|pubmed:26496610
P49716,imex:IM-30532|pubmed:38884001
P51571,imex:IM-21659|pubmed:27705803
P51610,doi:10.1016/j.cell.2021.04.011|imex:IM-11719|imex:IM-12079|imex:IM-21659|imex:IM-29278|pubmed:19615732|pubmed:20360068|pubmed:27705803|pubmed:33961781
P51665,imex:IM-21659|pubmed:27705803
P52788,imex:IM-24272|pubmed:26496610
P55036,imex:IM-21659|pubmed:27705803
P60484,doi:10.1016/j.cell.2022.04.014|imex:IM-29493|pubmed:35512704
P61088,imex:IM-22822|pubmed:25260751
P61289,doi:10.1016/j.cell.2021.04.011|imex:IM-12079|imex:IM-29278|pubmed:19615732|pubmed:33961781
P61289-2,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
P61759,imex:IM-24272|pubmed:26496610
P62193,imex:IM-29994|pubmed:37228199
P62195,imex:IM-21659|pubmed:27705803
P62333,imex:IM-21659|pubmed:27705803
P83916,imex:IM-12079|pubmed:19615732
P85037,doi:10.1016/j.cell.2021.04.011|imex:IM-12079|imex:IM-21659|imex:IM-24272|imex:IM-29278|pubmed:19615732|pubmed:26496610|pubmed:27705803|pubmed:33961781
Q01094,imex:IM-28767|pubmed:35140242
Q01167,doi:10.1016/j.cell.2021.04.011|imex:IM-12079|imex:IM-21659|imex:IM-29278|pubmed:19615732|pubmed:27705803|pubmed:33961781
Q05925,imex:IM-28767|pubmed:35140242
Q06124,doi:10.1016/j.cell.2022.04.014|imex:IM-29493|pubmed:35512704
Q13185,imex:IM-12079|pubmed:19615732
Q13200,imex:IM-21659|pubmed:27705803
Q13330,imex:IM-24279|pubmed:26028330
Q13404,imex:IM-22822|pubmed:25260751
Q13485,doi:10.1016/j.cell.2022.04.014|imex:IM-29493|pubmed:35512704
Q13557,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q13557-10,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q13952,imex:IM-28767|pubmed:35140242
Q14192,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q14938,imex:IM-28767|pubmed:35140242
Q14978,imex:IM-30059|pubmed:39251607
Q15723,imex:IM-28767|pubmed:35140242
Q16576,imex:IM-12079|pubmed:19615732
Q16629,imex:IM-30059|pubmed:39251607
Q16650,imex:IM-28767|pubmed:35140242
Q5S007,imex:IM-26684|pubmed:31046837
Q5THK1-4,imex:IM-24272|pubmed:26496610
Q5U651,imex:IM-24272|pubmed:26496610
Q5XKL5,imex:IM-24272|pubmed:26496610
Q62925,imex:IM-22822|pubmed:25260751
Q6PCT9,imex:IM-29994|pubmed:37228199
Q76L83,doi:10.1016/j.cell.2021.04.011|imex:IM-11719|imex:IM-12079|imex:IM-21659|imex:IM-29278|pubmed:19615732|pubmed:20360068|pubmed:27705803|pubmed:33961781
Q76L83-2,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q7Z494,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q86XP3,imex:IM-24272|pubmed:26496610
Q86Y56,imex:IM-24272|pubmed:26496610
Q8IWZ3,doi:10.1016/j.cell.2021.04.011|imex:IM-12079|imex:IM-29278|pubmed:19615732|pubmed:33961781
Q8IX15,imex:IM-24272|pubmed:26496610
Q8IXJ9,doi:10.1016/j.cell.2021.04.011|imex:IM-11719|imex:IM-12079|imex:IM-17716|imex:IM-21659|imex:IM-24272|imex:IM-29278|pubmed:19615732|pubmed:20360068|pubmed:22897849|pubmed:26496610|pubmed:27705803|pubmed:33961781
Q8N302,imex:IM-30059|pubmed:39251607
Q8N5P1,imex:IM-30059|pubmed:39251607
Q8NB78,doi:10.1016/j.cell.2021.04.011|imex:IM-12079|imex:IM-21659|imex:IM-24272|imex:IM-29278|pubmed:19615732|pubmed:26496610|pubmed:27705803|pubmed:33961781
Q8TEX9,imex:IM-12079|pubmed:19615732
Q8WTW3,imex:IM-24272|pubmed:26496610
Q8ZA28,imex:IM-13779|pubmed:20711500
Q969H0,doi:10.1016/j.cell.2022.04.014|imex:IM-29493|pubmed:35512704
Q96DN6,imex:IM-21659|pubmed:27705803
Q96HS1,imex:IM-21659|pubmed:27705803
Q96K37,imex:IM-24272|pubmed:26496610
Q96N21,imex:IM-24272|pubmed:26496610
Q99581,imex:IM-28767|pubmed:35140242
Q99598,imex:IM-24272|pubmed:26496610
Q99607,imex:IM-28767|pubmed:35140242
Q9BQE3,imex:IM-21659|pubmed:27705803
Q9BRG1,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9BXK1,imex:IM-28767|pubmed:35140242
Q9C0C9,doi:10.1016/j.cell.2021.04.011|imex:IM-12079|imex:IM-21659|imex:IM-29278|pubmed:19615732|pubmed:27705803|pubmed:33961781
Q9C0F0,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9H0Y0,imex:IM-30012|pubmed:34524948
Q9H773,imex:IM-24272|pubmed:26496610
Q9HC77,imex:IM-24272|pubmed:26496610
Q9HD26,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9HD26-2,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
