PartnerUniProtID,Publications
A0A2U3TZT1,imex:IM-25472|pubmed:32296183
A0A4Y1W7L5,imex:IM-13779|pubmed:20711500
A0A5P8YEP4,imex:IM-13779|pubmed:20711500
A0A5P8YFD8,imex:IM-13779|pubmed:20711500
A4D1S0,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O00339,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O00526,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O00587,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O14960,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O15520,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
O15547,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O43240,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O43711,imex:IM-25472|pubmed:32296183
O60513,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O60676,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O60938,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O75462,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O76096,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O95156,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O95231,imex:IM-25472|pubmed:32296183
O95816,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O95968,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O96008,imex:IM-24272|pubmed:26496610
P00533,imex:IM-29494|pubmed:35384245
P01375,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P02768,imex:IM-19123|pubmed:15174051
P04808,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P07585,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P08246,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P08620,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P09238,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P0C6X5-PRO_0000283874,imex:IM-29365|pubmed:34232536
P0C722,imex:IM-20435|mint:MINT-6769080|pubmed:17446270
P0DPF6,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P10636-8,imex:IM-29755|imex:IM-29773|pubmed:32812023|pubmed:35063084
P12314,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
P13569,imex:IM-27204|pubmed:29924966
P14625,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P15127,doi:10.1371/journal.pone.0205180|imex:IM-26942|pubmed:30300385
P18627,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P20336,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
P20382,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P23946,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P25067,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P26022,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P29120,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P31997,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P32246,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P34925,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P35226,imex:IM-29168|pubmed:34316702
P36542,imex:IM-16517|mint:MINT-5217955|pubmed:16169070
P40227,imex:IM-16425|pubmed:23414517
P41241,imex:IM-24272|pubmed:26496610
P42336,imex:IM-19021|pubmed:18624398
P42658,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P43403,doi:10.1016/j.cell.2019.09.008|imex:IM-27423|pubmed:31585087
P53582,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P53708,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P62993,imex:IM-19021|pubmed:18624398
P68431,imex:IM-26301|pubmed:29568061
P69479,imex:IM-27782|pubmed:unassigned2293
P84022,imex:IM-15364|pubmed:21988832
P98066,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q00610,imex:IM-24272|pubmed:26496610
Q03828,imex:IM-25472|pubmed:32296183
Q07797,imex:IM-24272|pubmed:26496610
Q08345,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q09472,imex:IM-15364|pubmed:21988832
Q13253,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q14244,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q14764,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q15198,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q16778,doi:10.1074/mcp.ra118.000924|imex:IM-26653|pubmed:30021884
Q3KPI0,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q3KPI0-2,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q3LI64,imex:IM-25472|pubmed:32296183
Q3ZCM7,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q49AR9,imex:IM-25472|pubmed:32296183
Q4ACU6,doi:10.1038/nn.4594|imex:IM-26285|pubmed:28671696
Q4JQU7,imex:IM-30341|pubmed:40739040
Q5NEC0,imex:IM-13779|pubmed:20711500
Q5S007,imex:IM-26684|pubmed:31046837
Q5T749,imex:IM-25472|pubmed:32296183
Q5VVX9,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q5W111,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q676U5-1,imex:IM-29997|pubmed:31015422
Q6P4A7,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q70UQ0,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q81UH3,imex:IM-13779|pubmed:20711500
Q8CZG2,imex:IM-13779|pubmed:20711500
Q8CZH4,imex:IM-13779|pubmed:20711500
Q8IXL6,imex:IM-25629|pubmed:22582013
Q8IZH2,pubmed:15231747
