PartnerUniProtID,Publications
A0A0B4JCU2,imex:IM-28761|intact:EBI-26687448|pubmed:37061542
A2A935,doi:10.1093/nar/gky1192|imex:IM-26659|intact:EBI-20976136|pubmed:30462309
A8E124,doi:10.1073/pnas.0800909105|imex:IM-9383|intact:EBI-15710767|pubmed:18567673
B5X533,imex:IM-28761|intact:EBI-26687448|pubmed:37061542
C6KT55,imex:IM-16518|mint:MINT-5218050|pubmed:16267556
O00410,imex:IM-30001|intact:EBI-52315730|pubmed:35271311
O15078,imex:IM-24512|pubmed:26638075
O15209,imex:IM-24995|pubmed:27107014
P00890,doi:10.1038/415180a|imex:IM-8299|intact:EBI-16263388|pubmed:11805837
P02557,doi:10.1038/415180a|imex:IM-8299|intact:EBI-16263388|pubmed:11805837
P02751,imex:IM-14135|pubmed:19738201
P03372,imex:IM-26954|pubmed:31527615
P04397,doi:10.1038/415180a|imex:IM-8299|intact:EBI-16263388|pubmed:11805837
P04798,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
P05412,imex:IM-24178|intact:EBI-10685480|pubmed:25609649
P06748,imex:IM-24272|pubmed:26496610
P07251,doi:10.1038/415180a|imex:IM-8299|intact:EBI-16263388|pubmed:11805837
P07991,doi:10.1038/415180a|imex:IM-8299|intact:EBI-16263388|pubmed:11805837
P0C0W1,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
P0CS90,doi:10.1038/415180a|imex:IM-8299|intact:EBI-16263388|pubmed:11805837
P10659,doi:10.1038/415180a|imex:IM-8299|intact:EBI-16263388|pubmed:11805837
P11484,pubmed:19536198
P12429,imex:IM-16517|mint:MINT-5217955|pubmed:16169070
P12709,doi:10.1038/415180a|imex:IM-8299|intact:EBI-16263388|pubmed:11805837
P13569,imex:IM-29676|intact:EBI-30860122|pubmed:35156780
P14091,imex:IM-16517|mint:MINT-5217955|pubmed:16169070
P14404,doi:10.1093/nar/gky1192|imex:IM-26659|intact:EBI-20976136|pubmed:30462309
P15822,imex:IM-16517|mint:MINT-5217955|pubmed:16169070
P15884,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P16862,doi:10.1038/415180a|imex:IM-8299|intact:EBI-16263388|pubmed:11805837
P17442,doi:10.1038/415180a|imex:IM-8299|intact:EBI-16263388|pubmed:11805837
P20448,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
P23116,imex:IM-24272|pubmed:26496610
P25359,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
P25368,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
P25586,pubmed:16429126
P25635,pubmed:16429126
P27635,imex:IM-24272|pubmed:26496610
P32899,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
P33750,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
P34247,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
P35194,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
P35869,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P36144,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
P38333,pubmed:16429126
P38792,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
P38801,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
P38882,pubmed:16429126
P38961,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
P39960,pubmed:16429126
P40019,doi:10.1038/415180a|imex:IM-8299|intact:EBI-16263388|pubmed:11805837
P40055,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
P40079,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
P40362,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
P40470,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
P40498,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
P40546,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
P42945,pubmed:16429126
P45818,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
P46948,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
P47047,imex:IM-29638|pubmed:37070168
P47083,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
P48234,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
P48240,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
P52927,imex:IM-23312|pubmed:26045162
P53254,pubmed:16429126
P53256,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
P53276,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
P53725,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
P53743,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
P53859,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
P53914,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
P53941,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
P60010,doi:10.1038/415180a|imex:IM-8299|intact:EBI-16263388|pubmed:11805837
P68431,imex:IM-26301|pubmed:29568061
P78316,imex:IM-30001|intact:EBI-52315730|pubmed:35271311
Q02354,pubmed:16429126
Q02931,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
Q03280,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
Q03558,doi:10.1038/415180a|imex:IM-8299|intact:EBI-16263388|pubmed:11805837
Q04177,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
Q04217,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
Q04305,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
Q04500,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
Q05022,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
Q05498,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
Q05636,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
Q05672,pubmed:18719252
Q05946,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
Q06078,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
Q06323,imex:IM-16517|mint:MINT-5217955|pubmed:16169070
Q06344,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
Q06506,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
Q06512,pubmed:16429126
Q06631,imex:IM-29986|intact:EBI-52311758|pubmed:16429126|pubmed:37968396
Q06679,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
Q07666,imex:IM-16517|mint:MINT-5217955|pubmed:16169070
Q07897,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
Q08096,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
Q08162,imex:IM-29638|pubmed:37070168
Q08224,doi:10.1038/415180a|imex:IM-8299|intact:EBI-16263388|pubmed:11805837
Q08285,imex:IM-29638|pubmed:37070168
Q08492,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
Q08965,imex:IM-29986|intact:EBI-52311758|pubmed:16429126|pubmed:37968396
Q12035,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
Q12136,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
Q12149,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
Q12220,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
Q12230,doi:10.1038/415180a|imex:IM-8299|intact:EBI-16263388|pubmed:11805837
Q12277,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
Q12460,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
Q12481,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
Q12499,pubmed:16429126
Q12754,imex:IM-29986|intact:EBI-52311758|pubmed:37968396
Q15006,imex:IM-24272|pubmed:26496610
Q15843,doi:10.1038/embor.2008.10|imex:IM-11564|intact:EBI-7813432|mint:MINT-6541102|mint:MINT-6541107|pubmed:18274552
Q16666-2,imex:IM-23523|pubmed:25665578
Q16799,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
