PartnerUniProtID,Publications
A0A0S2Z4D7,doi:10.1016/j.cell.2016.01.029|imex:IM-25013|pubmed:26871637
A0A0S2Z6P0,doi:10.1016/j.cell.2016.01.029|imex:IM-25013|pubmed:26871637
A0A142I5B9,imex:IM-26452|pubmed:30177828
A0A6L8PQK3,imex:IM-13779|pubmed:20711500
A1KZ92,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
A1L0T0,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
A6NED2,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
A6NEM1,imex:IM-25472|pubmed:32296183
A8K8V0,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
B2RXF5,imex:IM-25472|pubmed:32296183
C5E519,imex:IM-25584|pubmed:28169297
D6R9G5,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
F4JN35,imex:IM-16043|pubmed:21798944
F5H1C8,imex:IM-26691|pubmed:30833792
J3JZZ6,imex:IM-21394|pubmed:24049175
O00214,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O00220,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O00308,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O00391,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O00391-2,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
O00399,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-11719|imex:IM-15364|imex:IM-24272|imex:IM-24512|imex:IM-25054|imex:IM-25778|imex:IM-27626|imex:IM-29278|imex:IM-29494|imex:IM-29773|pubmed:20360068|pubmed:21988832|pubmed:26496610|pubmed:26638075|pubmed:27173435|pubmed:28514442|pubmed:33961781|pubmed:35063084|pubmed:35384245|pubmed:35914814|pubmed:unassigned1312
O00461,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O00526,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O00560,imex:IM-23318|imex:IM-25472|pubmed:25416956|pubmed:32296183
O04834,imex:IM-16043|pubmed:21798944
O08788,imex:IM-11719|imex:IM-24272|pubmed:20360068|pubmed:26496610
O14544,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O14558,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O14561,imex:IM-25472|pubmed:32296183
O14645,doi:10.1016/j.celrep.2020.108050|imex:IM-28217|pubmed:32814053
O14649,imex:IM-29540|pubmed:36012204
O14786,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
O14787,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O14842,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O14901,doi:10.1016/j.celrep.2020.108050|imex:IM-28217|pubmed:32814053
O14978,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O15160,imex:IM-25472|pubmed:32296183
O15554,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O22160,imex:IM-14648|pubmed:20049866
O22287,imex:IM-16043|imex:IM-27834|pubmed:21798944|pubmed:32612234
O22769,pubmed:12837548
O23489,pubmed:12837548
O23712,imex:IM-16043|pubmed:21798944
O32591,imex:IM-11838|pubmed:16294310
O34764,imex:IM-22270|pubmed:25374563
O43298,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
O43395,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O43488,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O43557,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O43633,imex:IM-24991|pubmed:16730941
O43676,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O43808,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O43909,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
O49313,pubmed:12837548
O60427,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O60551,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O60568,imex:IM-25472|pubmed:32296183
O60678,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O60683,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O60704,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O60741,imex:IM-29810|pubmed:37207277
O60831,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
O65429,pubmed:12837548
O65496,pubmed:15821992
O69297,pubmed:17615063
O75152,imex:IM-30059|pubmed:39251607
O75325,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O75366,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O75366-2,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
O75558,doi:10.1016/j.cell.2021.04.011|imex:IM-23318|imex:IM-25472|imex:IM-29278|pubmed:25416956|pubmed:32296183|pubmed:33961781
O75626,imex:IM-30542|pubmed:24613396
O75695,doi:10.1016/j.cell.2021.04.011|doi:10.1016/j.molcel.2020.07.001|doi:10.1038/nature22366|imex:IM-25054|imex:IM-25472|imex:IM-25739|imex:IM-25778|imex:IM-27204|imex:IM-29168|imex:IM-29234|imex:IM-29257|imex:IM-29278|imex:IM-29540|pubmed:27173435|pubmed:28514442|pubmed:28877994|pubmed:29924966|pubmed:32296183|pubmed:32707033|pubmed:33961781|pubmed:34316702|pubmed:35800763|pubmed:36012204|pubmed:unassigned1312
O75935,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O75935-2,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
O76003,imex:IM-23318|pubmed:25416956
O76011,imex:IM-25472|pubmed:32296183
O76061,imex:IM-16517|mint:MINT-5217955|pubmed:16169070
O80489,imex:IM-16043|pubmed:21798944
O80915,imex:IM-16043|pubmed:21798944
O82238,pubmed:12837548
O94808,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O94842,imex:IM-13779|pubmed:20711500
O95067,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O95166,imex:IM-15184|pubmed:20562859
O95169,imex:IM-16517|mint:MINT-5217955|pubmed:16169070
O95198,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O95229,imex:IM-24272|pubmed:26496610
O95235,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O95258,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O95376,imex:IM-16520|imex:IM-23318|imex:IM-25472|mint:MINT-5217968|pubmed:16189514|pubmed:25416956|pubmed:32296183
O95470,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O95502,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O95715,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O95793,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O95863,imex:IM-23299|pubmed:25203322
O95872,imex:IM-25472|pubmed:32296183
O95977,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O96015,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O96017,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P00533,imex:IM-17166|imex:IM-26434|pubmed:15657067|pubmed:20029029|pubmed:31980649
P00946,doi:10.1038/nature03239|imex:IM-21967|imex:IM-22059|mint:MINT-5217509|pubmed:15690043|pubmed:24561554
P00962,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P01100,imex:IM-30532|pubmed:38884001
P01116-1,imex:IM-30494|pubmed:35839996
P01116-2,imex:IM-30494|pubmed:35839996
P01730,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
P02359,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043|pubmed:16606699
P02413,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043|pubmed:16606699
P02741,imex:IM-23318|pubmed:25416956
P02751,imex:IM-14135|pubmed:19738201
P02794,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P02829,pubmed:15879519
P02994,pubmed:16429126
P03372,imex:IM-26954|pubmed:31527615
P03965,pubmed:16429126
P04233,imex:IM-26691|pubmed:30833792
P04637,imex:IM-19684|pubmed:17098746
P04693,pubmed:16606699
P05317,pubmed:16429126
P06028,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
P06105,pubmed:16429126
P06169,pubmed:16429126
P06241,imex:IM-26801|pubmed:31413325
P06396,doi:10.1016/j.cell.2021.04.011|doi:10.1016/j.celrep.2020.108050|imex:IM-28217|imex:IM-29278|pubmed:32814053|pubmed:33961781
P06634,pubmed:16429126
