PartnerUniProtID,Publications
A0A0H2UQ73,"imex:IM-18537|psi-mi:""MI:0946""|pubmed:23267104"
A0A1D6EZQ5,imex:IM-29553|pubmed:36581701
A0A1D6FPL6,imex:IM-29553|pubmed:36581701
A0A1D6GW91,imex:IM-29553|pubmed:36581701
A0A1D6MLL0,imex:IM-29553|pubmed:36581701
A0A1D6NI87,imex:IM-29553|pubmed:36581701
A2VEN5,imex:IM-28761|pubmed:37061542
A5PKU2,imex:IM-25472|pubmed:32296183
A6NDU8,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
A6NJ78,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
A8K2U0,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
B3KSW4,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
B4FRR5,imex:IM-29553|pubmed:36581701
C6KT55,imex:IM-16518|mint:MINT-5218050|pubmed:16267556
F8VQC1,imex:IM-24272|pubmed:26496610
K7V3H5,imex:IM-29553|pubmed:36581701
K9N4V7,imex:IM-29365|pubmed:34232536
M9PEN8,imex:IM-28761|pubmed:37061542
O00159,imex:IM-24272|pubmed:26496610
O00442,pubmed:17353931
O00567,imex:IM-24272|pubmed:26496610
O14880,imex:IM-25472|imex:IM-26301|pubmed:29568061|pubmed:32296183
O15078,imex:IM-24512|pubmed:26638075
O15091,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O15091-2,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
O15209,imex:IM-24995|pubmed:27107014
O15218,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O15400,imex:IM-25472|pubmed:32296183
O15479,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O15496,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
O25338,imex:IM-22256|pubmed:24627523
O25939,imex:IM-22256|pubmed:24627523
O25979,imex:IM-22256|pubmed:24627523
O31863,imex:IM-16574|pubmed:21630458
O43149,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
O43166,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O43169,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O60506,imex:IM-24272|pubmed:26496610
O60573,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O60911,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O60939,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
O69289,pubmed:17615063
O69297,pubmed:17615063
O75380,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
O75409,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O75439,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
O75496,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
O75533,imex:IM-30298|pubmed:31474574
O75569,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O75596,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
O75629,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O75940,pubmed:17353931
O83133,doi:10.1371/journal.pone.0002292|imex:IM-9152|pubmed:18509523
O83312,doi:10.1371/journal.pone.0002292|imex:IM-9152|pubmed:18509523
O83403,doi:10.1371/journal.pone.0002292|imex:IM-9152|pubmed:18509523
O83532,doi:10.1371/journal.pone.0002292|imex:IM-9152|pubmed:18509523
O83570,doi:10.1371/journal.pone.0002292|imex:IM-9152|pubmed:18509523
O83667,doi:10.1371/journal.pone.0002292|imex:IM-9152|pubmed:18509523
O83745,doi:10.1371/journal.pone.0002292|imex:IM-9152|pubmed:18509523
O83767,doi:10.1371/journal.pone.0002292|imex:IM-9152|pubmed:18509523
O83927,doi:10.1371/journal.pone.0002292|imex:IM-9152|pubmed:18509523
O83954,doi:10.1371/journal.pone.0002292|imex:IM-9152|pubmed:18509523
O83970,doi:10.1371/journal.pone.0002292|imex:IM-9152|pubmed:18509523
O85213,pubmed:17615063
O94817,pubmed:17353931
O94925-3,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
O94929,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O95159,imex:IM-25472|pubmed:32296183
O95196,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O95218,imex:IM-30059|pubmed:39251607
O95260,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
O95274,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
O95406,imex:IM-25472|pubmed:32296183
O95487-2,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
P00954,pubmed:16606699
P01011,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P01100,imex:IM-30532|pubmed:38884001
P01111,imex:IM-30494|pubmed:35839996
P01112,imex:IM-30494|pubmed:35839996
P01116-1,imex:IM-30494|pubmed:35839996
P01116-2,imex:IM-30494|pubmed:35839996
