PartnerUniProtID,Publications
B8A342,imex:IM-29553|pubmed:36581701
O00483,doi:10.1016/j.molcel.2016.06.033|imex:IM-26449|pubmed:27499296
O00534,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O00534-3,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
O00567,imex:IM-24272|pubmed:26496610
O14880,imex:IM-26301|pubmed:29568061
O15091,imex:IM-12139|pubmed:18984158
O15155,imex:IM-26301|pubmed:29568061
O18404,imex:IM-16524|mint:MINT-5216804|pubmed:14605208
O18697,pubmed:19123269
O43149,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
O60783,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
O61307,imex:IM-16527|pubmed:25294943
O75940,imex:IM-30059|pubmed:39251607
O77263,imex:IM-9552|pubmed:19079254
O95831,imex:IM-26301|pubmed:29568061
P01100,imex:IM-30532|pubmed:38884001
P01112,imex:IM-30494|pubmed:35839996
P01116-2,imex:IM-30494|pubmed:35839996
P03372,imex:IM-26954|pubmed:31527615
P06748,doi:10.1074/mcp.ra118.000924|imex:IM-26653|pubmed:30021884
P09622,doi:10.1016/j.cels.2017.10.010|imex:IM-26363|pubmed:29128334
P0C6X5-PRO_0000283874,imex:IM-29365|pubmed:34232536
P0C6X6-PRO_0000283826,imex:IM-29365|pubmed:34232536
P0C7P0,doi:10.1016/j.molcel.2016.06.033|imex:IM-26449|pubmed:27499296
P0DOF2,imex:IM-27674|pubmed:33208464
P10636-8,imex:IM-29773|pubmed:35063084
P10809,imex:IM-26301|pubmed:29568061
P11362,imex:IM-26434|pubmed:31980649
P11484,pubmed:19536198
P13569,imex:IM-29540|pubmed:36012204
P17844,imex:IM-12139|pubmed:18984158
P17948,imex:IM-29494|pubmed:35384245
P18431-3,imex:IM-16527|pubmed:25294943
P18847,imex:IM-30532|pubmed:38884001
P22607,imex:IM-29494|pubmed:35384245
P23116,imex:IM-24272|pubmed:26496610
P26022,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
P26196,imex:IM-30059|pubmed:39251607
P30530,imex:IM-29494|pubmed:35384245
P32243-2,imex:IM-25472|pubmed:32296183
P34897,imex:IM-12139|pubmed:18984158
P35221,imex:IM-30532|pubmed:38884001
P42574,imex:IM-30532|pubmed:38884001
P49411,imex:IM-12139|pubmed:18984158
P49448,imex:IM-12139|pubmed:18984158
P51398,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
P53215,pubmed:14690591
P62495,imex:IM-12139|pubmed:18984158
P62979,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P68104,imex:IM-12139|pubmed:18984158
P69479,imex:IM-27782|pubmed:unassigned2293
P80318,imex:IM-24272|pubmed:26496610
P82663,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
P82664,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
P82673,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P82673-2,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
P82675,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
P82912,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P82912-2,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
P82914,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
P82921,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
P82930,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
P82933,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q02252,imex:IM-12139|pubmed:18984158
Q13257,imex:IM-24272|pubmed:26496610
Q13283,imex:IM-29413|pubmed:34901782
Q14554,imex:IM-12139|pubmed:18984158
Q14690,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q15118,imex:IM-26301|pubmed:29568061
Q16629,imex:IM-30059|pubmed:39251607
Q24568,imex:IM-16527|pubmed:25294943
Q53GS9,imex:IM-12079|pubmed:19615732
Q5S007,imex:IM-26684|pubmed:31046837
Q5T160,imex:IM-12139|pubmed:18984158
Q5T447,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q6ZWV7,imex:IM-24272|pubmed:26496610
Q86T24,imex:IM-24272|pubmed:26496610
Q8BMQ2,imex:IM-24272|pubmed:26496610
Q8IVT5,imex:IM-25748|pubmed:27086506
Q8IYB8,imex:IM-30059|pubmed:39251607
Q8N5D0,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q8N9I0,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q8NB90,imex:IM-30175|pubmed:38554706
Q8NC60,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q8VDD5,imex:IM-24272|pubmed:26496610
Q8WUA2,imex:IM-30059|pubmed:39251607
Q8WUK0,doi:10.1016/j.molcel.2016.06.033|imex:IM-26449|pubmed:27499296
Q8WYQ5,imex:IM-30059|pubmed:39251607
Q92552,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q92665,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q969Z0,imex:IM-30059|pubmed:39251607
Q96EL2,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q96EY7,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q96EY7-2,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q96PU8,imex:IM-30059|pubmed:39251607
Q96Q11-2,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q99714,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-12139|imex:IM-25778|imex:IM-29278|pubmed:18984158|pubmed:28514442|pubmed:33961781
Q99959,imex:IM-12139|pubmed:18984158
Q9BQ52,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q9BVQ7,imex:IM-30175|pubmed:38554706
Q9BVS5,imex:IM-26301|pubmed:29568061
Q9BW19,imex:IM-12139|pubmed:18984158
Q9BYN8,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q9C002,doi:10.1016/j.molcel.2016.06.033|imex:IM-26449|pubmed:27499296
Q9C029,imex:IM-25472|pubmed:32296183
Q9CU62,imex:IM-24272|pubmed:26496610
Q9EPK7,imex:IM-26378|pubmed:29748336|pubmed:unassigned1673
Q9H078,imex:IM-12139|pubmed:18984158
Q9H857,imex:IM-12139|pubmed:18984158
Q9HA77,imex:IM-12139|pubmed:18984158
Q9JL61,imex:IM-24272|pubmed:26496610
Q9NP81,imex:IM-12139|pubmed:18984158
Q9NQB0,imex:IM-26691|pubmed:30833792
Q9NQT4,imex:IM-30059|pubmed:39251607
Q9NWT6,imex:IM-22750|pubmed:26972000
Q9NWT8,imex:IM-26301|pubmed:29568061
Q9NY65,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q9NYY8,imex:IM-30059|pubmed:39251607
Q9UNX3,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q9VEN1,imex:IM-16527|pubmed:25294943
Q9VH81,imex:IM-16527|pubmed:25294943
Q9VME1,imex:IM-16524|mint:MINT-5216804|pubmed:14605208
Q9VV44,imex:IM-16524|mint:MINT-5216804|pubmed:14605208
Q9Y291,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q9Y2Q9,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q9Y2R9,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q9Y399,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q9Y3A5,imex:IM-30059|pubmed:39251607
